dates,logEC,beachEColiValue,jday,beachSc,LogbeachTurbidityBeach,beachTurbidityBeach,beachWaterTemp,MeanCloudcoverover1hr12813,MeanCloudcoverover2hr12813,MeanCloudcoverover6hr12813,MeanCloudcoverover12hr12813,MeanCloudcoverover24hr12813,MeanCloudcoverover48hr12813,MeairtempCover1hr12813,MeairtempCover2hr12813,MeairtempCover6hr12813,MeairtempCover12hr12813,MeairtempCover24hr12813,MeairtempCover48hr12813,MeairtempCover120hr12813,MeairtempCover72hr12813,StDevAirtempCover6hr12813,StDevAirtempCover12hr12813,StDevAirtempCover24hr12813,StDevAirtempCover48hr12813,StDevAirtempCover120hr12813,StDevAirtempCover72hr12813,MeanSeaWaterTemperatureCover1hrX128Y13Sigma0,MeanSeaWaterTemperatureCover2hrX128Y13Sigma0,MeanSeaWaterTemperatureCover6hrX128Y13Sigma0,StDevSeaWaterTemperatureCover6hrX128Y13Sigma0,StDevSeaWaterTemperatureCover12hrX128Y13Sigma0,MeanSeaWaterTemperatureCover12hrX128Y13Sigma0,MeanSeaWaterTemperatureCover24hrX128Y13Sigma0,StDevSeaWaterTemperatureCover24hrX128Y13Sigma0,MeanSeaWaterTemperatureCover48hrX128Y13Sigma0,StDevSeaWaterTemperatureCover48hrX128Y13Sigma0,MeanSeaWaterTemperatureCover72hrX128Y13Sigma0,StDevSeaWaterTemperatureCover72hrX128Y13Sigma0,MeanSeaWaterTemperatureCover120hrX128Y13Sigma0,StDevSeaWaterTemperatureCover120hrX128Y13Sigma0,Qmean1,Qmin1,Qmean2,Qmin2,Qmean6,Qmin6,Qmean12,Qmin12,Qmean24,Qmax24,Qmin24,Qmean48,Qmin48,Qmean72,Qmin72,Qmean120,Qmin120,Qdifference6,scperp_mean1,scperp_mean2,scperp_mean6,scperp_mean12,scperp_mean24,scperp_mean48,scperp_mean72,scperp_mean120,scparl_mean1,scparl_mean2,scparl_mean6,scparl_mean12,scparl_mean24,scparl_mean48,scparl_mean72,scparl_mean120,dcperp_mean1,dcperp_mean2,dcperp_mean6,dcperp_mean12,dcperp_mean24,dcperp_mean48,dcperp_mean72,dcperp_mean120,dcparl_mean1,dcparl_mean2,dcparl_mean6,dcparl_mean12,dcparl_mean24,dcparl_mean48,dcparl_mean72,dcparl_mean120,wndperp_mean1,wndperp_mean2,wndperp_mean6,wndperp_mean12,wndperp_mean24,wndparl_mean1,wndparl_mean2,wndparl_mean6,wndparl_mean12,wndparl_mean24,wvh_mean1,wvh_mean2,wvh_mean6,wvh_mean12,wvh_mean24,wvperp_mean1,wvperp_mean2,wvperp_mean6,wvperp_mean12,wvperp_mean24,wvparl_mean1,wvparl_mean2,wvparl_mean6,wvparl_mean12,wvparl_mean24,dirwvhperp_mean1,dirwvhperp_mean2,dirwvhperp_mean6,dirwvhperp_mean12,dirwvhperp_mean24,dirwvhparl_mean1,dirwvhparl_mean2,dirwvhparl_mean6,dirwvhparl_mean12,dirwvhparl_mean24,rainsum1,rainsum2,rainsum6,rainsum12,rainsum24,rainsum48,rainsum72,rainsum120
40338.37153,2.536684673,344.1,160,294,1.627365857,42.4,16.3,0.668249,0.536013,0.555653,0.777826,0.87454,0.483108,15.584644,15.387447,15.128328,14.499131,13.954366,13.893166,14.365399,13.901805,0.249,0.68211,0.746667,1.025959,1.311363,1.0236,15.329333,15.329333,15.42674,0.097407,0.133534,15.537177,15.586243,0.118914,15.859486,0.463474,15.588307,0.566072,15.213124,0.780321,175,174,174.875,171,176.25,171,178.2708333,171,168.6,184,149,165.1727749,149,164.6655052,149,155.4759916,128,-8,0.05518959,0.059941338,0.102527368,0.214217718,0.219303742,0.109786388,0.028330974,0.027211659,0.088236654,0.091101219,0.094724058,0.107976359,0.08013218,0.034026291,0.001884728,0.008207273,0.070371448,0.075188359,0.10631661,0.18342273,0.163433923,0.072048549,0.012971073,0.012328304,0.036314917,0.038371502,0.04813427,0.071528804,0.057402152,0.023697991,0.00333224,0.00387303,-3.253158947,-3.189762324,-1.983743582,2.764250158,5.537792583,6.514545763,6.065820852,5.221935428,3.161545215,0.009872873,0.1903732,0.176173985,0.37764566,0.978949172,0.950733797,0.985903577,0.963986165,0.113468469,-0.359574967,-0.633684338,0.167314483,0.25136716,0.581214657,0.567343054,0.49055695,0.187689619,0.170140494,-0.151627422,-0.734438568,-0.78163549,0.031852194,0.043090872,0.225154899,0.548746706,0.473757517,0,0,0,0.11,0.54,0.54,0.61,1.46
40339.375,2.537567257,344.8,161,573,0.607455023,4.05,15.2,0,0,0.004571,0.013785,0.10576,0.474202,15.020824,14.862711,14.265514,14.671713,16.245988,15.15209,14.646104,14.714891,0.455355,0.655202,1.704514,1.74304,1.619976,1.708938,10.948001,10.948001,10.962983,0.014983,0.334227,11.254142,12.589335,1.661336,14.087789,1.9059,14.769435,1.854626,14.852183,1.474819,194.25,192,193.875,192,190.0833333,182,186.375,179,179.53125,198,164,174.0942408,149,169.9756098,149,163.8705637,128,11,-0.055493705,-0.046492598,-0.021440309,0.005992155,0.044003724,0.131653733,0.087858834,0.016616666,-0.006167923,-0.002796304,0.011061626,0.025530859,0.056059281,0.068095731,0.041370621,0.008864747,-0.013400832,-0.007802487,0.005842291,0.023548048,0.052156867,0.107795395,0.065417989,0.008927373,0.009018733,0.010238293,0.013017076,0.018461437,0.027162634,0.042282393,0.024852872,0.004131033,-5.459458985,-5.716517175,-4.602609955,-3.57336974,-2.933465217,-1.177927617,-1.114037283,1.665015297,3.17028446,5.615308067,0.23533392,0.21446211,0.175378328,0.154278614,0.207140265,0.3417423,0.475101815,0.752197731,0.858040518,0.875613797,-0.939793701,-0.866688613,-0.577499064,-0.39890084,-0.061209176,0.080423555,0.099107883,0.124931307,0.126320507,0.179170362,-0.221165336,-0.187397704,-0.108740976,-0.070461398,0.002599656,0,0,0,0,0,0.54,0.54,1.2
40343.375,2.577951128,378.4,165,647,0.831869774,6.79,17.6,0.944968,0.71843,0.86159,0.928502,0.877402,0.928504,14.731072,15.021251,15.171679,15.126475,15.673383,15.135264,15.254621,15.2922,0.211097,0.236805,0.796309,0.786592,1.25154,0.847727,15.773125,15.773125,15.859888,0.086763,0.205737,16.035469,15.964521,0.452776,15.2777,0.772031,14.948257,0.820434,14.241089,1.397497,215.75,212,216.5,212,218.2083333,212,219.0833333,212,219.4166667,223,212,214.8229167,192,207.3506944,182,198.1020833,164,-5,-0.082383678,-0.073587097,-0.053300171,-0.011380117,-0.039918878,-0.105791314,-0.053456129,-0.025667615,-0.053972149,-0.044942899,-0.019702565,0.001760047,-0.030146614,-0.059229862,-0.034512207,-0.012327656,-0.031717921,-0.026793432,-0.011917583,-0.007390389,-0.041505683,-0.083458098,-0.040502899,-0.016831642,-0.012352713,-0.01121097,-0.007585372,-0.007510084,-0.019759495,-0.034273232,-0.018157863,-0.006065396,-3.727984365,-3.572263789,-3.233934352,-1.176729833,-0.258717106,-3.011992697,-2.512542869,-1.017655333,0.025034869,-1.193122278,0.12552078,0.107691285,0.070232167,0.057128524,0.121343087,0.030035391,0.195738691,0.527167322,0.048744444,-0.33428617,-0.999548836,-0.965971717,-0.766707717,-0.173021536,-0.428105119,0.003770066,0.018124945,0.028189051,0.001024655,-0.06273079,-0.12546415,-0.104625399,-0.059652556,-0.020550747,-0.077617652,0,0,0,0.02,0.03,0.03,0.13,0.88
40344.36806,2.286680969,193.5,166,339,0.599883072,3.98,17.8,0.999709,0.999711,0.999904,0.928386,0.922036,0.900865,15.811766,15.640065,15.528241,15.194641,15.019321,15.35373,15.011702,15.095717,0.148811,0.382033,0.326507,0.686138,0.871937,0.672103,15.390055,15.390055,15.428446,0.038391,0.170586,15.577984,15.734251,0.2377,15.849386,0.379486,15.429884,0.680079,14.870073,0.957558,207,204,207.25,204,207.625,204,209.5625,204,212.59375,218,204,216.0052083,204,214.0798611,192,204.7145833,174,0,-0.042875796,-0.049581624,-0.07189003,-0.117577365,-0.143778256,-0.091848567,-0.118453628,-0.063224011,-0.025762137,-0.026757589,-0.032603864,-0.046960274,-0.064349295,-0.047247955,-0.06093634,-0.036409371,-0.054713209,-0.057418526,-0.0730172,-0.104994003,-0.117045333,-0.079275508,-0.094653843,-0.050672082,-0.015451431,-0.016253569,-0.021439155,-0.034237367,-0.041506065,-0.03063278,-0.036684176,-0.019799136,2.870726138,2.63159307,2.047832033,-1.149980112,-3.088512577,-2.585413216,-2.593431313,-2.552949925,-2.923009645,-4.107722988,0.24883515,0.24600473,0.278778833,0.405135422,0.434443637,-0.746547382,-0.733512333,-0.727426694,-0.695220769,-0.587611302,-0.665332253,-0.679405396,-0.686023523,-0.716839734,-0.791676908,-0.18576723,-0.180484398,-0.202821533,-0.27658804,-0.256719435,-0.165558051,-0.167097108,-0.191219161,-0.295198756,-0.345211192,0,0,0,0,0.02,0.05,0.05,0.9
40345.37153,3.383743576,2419.6,167,355,1.409933123,25.7,17.7,1,1,0.974852,0.962291,0.969121,0.945579,15.623064,15.542616,15.350731,15.303986,15.297413,15.158367,15.235844,15.334958,0.166603,0.130463,0.314173,0.34927,0.698636,0.58946,15.886894,15.886894,15.891523,0.004629,0.009476,15.896222,15.877628,0.145276,15.80594,0.209625,15.8588,0.321277,15.29133,0.7733,1232.5,1210,1252.5,1210,1293.75,1210,1251.708333,709,790.03125,1370,206,501.3125,204,407.3472222,204,324.9354167,182,-70,-0.093805657,-0.092372317,-0.098447274,-0.115499824,-0.084709497,-0.114243877,-0.089468877,-0.077771228,-0.01342076,-0.013398646,-0.021880512,-0.03457068,-0.030869448,-0.047609372,-0.041788452,-0.039751073,-0.061080241,-0.061396659,-0.070703859,-0.085293917,-0.065136931,-0.091091132,-0.074562649,-0.060738192,-0.021854814,-0.021666405,-0.025271213,-0.030614846,-0.022128126,-0.031817095,-0.027797895,-0.023621556,-4.863035159,-4.380690537,-3.214545108,-3.69266019,-2.201107106,5.157029819,5.159811169,4.056288372,2.924794721,0.395053646,0.19748357,0.17872606,0.143655098,0.223397137,0.273391067,0.931525405,0.931468129,0.514775021,0.045658699,-0.323916923,-0.363676257,-0.363822897,-0.705003226,-0.786137648,-0.748909913,0.183960962,0.166478703,0.07533145,-0.037213097,-0.131130217,-0.071820086,-0.065021882,-0.097784898,-0.175669608,-0.203118507,0,0,0,0.06,1.73,1.75,1.78,1.88
40346.37153,3.298044843,1986.3,168,336,1.02201574,10.52,17.4,0.008846,0.250591,0.595266,0.568337,0.780357,0.874739,16.525253,16.16383,15.163384,15.160012,15.811218,15.554316,15.279157,15.375984,0.750163,0.597069,0.831147,0.678788,0.711203,0.637424,15.99032,15.99032,16.001146,0.010826,0.07788,16.071706,16.09185,0.102244,15.984739,0.165083,15.901243,0.22571,15.651826,0.601908,896.25,884,896.875,884,906.2916667,884,921.6458333,884,989.5208333,1200,884,889.7760417,206,664.0486111,204,484.3583333,192,-39,-0.001578787,-0.008336698,-0.013423155,-0.025693987,-0.060505611,-0.072607554,-0.096331122,-0.100115199,-0.014369209,-0.013133328,-0.009193028,-0.011184758,-0.024216569,-0.027543009,-0.039811771,-0.047579007,-0.016157711,-0.017938416,-0.019018569,-0.031022087,-0.051306203,-0.058221567,-0.077829489,-0.080080933,-0.006503367,-0.007000605,-0.007769289,-0.012759702,-0.019651419,-0.020889772,-0.02776187,-0.030366415,2.40259286,2.318155126,1.802148909,2.018608866,-0.057501149,-2.35680128,-1.963449196,-1.36022291,-0.587358248,0.474608879,0.057781436,0.055858315,0.076653637,0.073107375,0.123844443,-0.859724822,-0.819985605,-0.517272823,-0.565971515,-0.115364187,0.510757506,0.568114893,0.798915945,0.383668173,-0.138754431,-0.049676135,-0.045879437,-0.034943788,-0.037470633,0.016156232,0.029512302,0.031623635,0.064442533,0.027876114,-0.040731824,0,0,0,0,0,1.73,1.75,1.78
40350.375,1.776701184,59.8,172,361,0.562292864,3.65,18.1,0,0,0.011156,0.024906,0.075548,0.131549,18.285906,18.004717,17.025633,16.879235,17.551638,17.945052,17.705649,18.532163,0.757239,0.593154,0.832767,1.222777,1.684643,1.557168,15.107494,15.107494,15.555243,0.447749,0.630625,16.097946,16.239203,0.989418,14.909196,1.545531,15.064851,1.404777,15.552027,1.288759,729,719,729,719,732.1666667,719,736.1666667,719,742.7083333,770,719,756.5885417,719,770.5173611,719,829.7041667,719,0,0.129465258,0.124000967,0.115918068,0.131498392,0.133025444,0.09443895,0.105043428,0.076388579,0.038544707,0.04043127,0.06236322,0.072489324,0.05375871,0.053206133,0.062052059,0.043385011,0.075873479,0.076064238,0.077754541,0.081751644,0.066325051,0.058521933,0.07152519,0.049685791,0.025106781,0.024729772,0.023332469,0.023688323,0.02134744,0.024007282,0.027532647,0.017946928,2.420542464,2.445553198,1.748529831,1.679354187,2.321316449,-2.038955033,-2.223566075,-0.531011785,0.989106092,-0.407812319,0.07528234,0.07188749,0.066900157,0.081665214,0.088146757,-0.815596851,-0.773526456,-0.384884971,-0.352068799,-0.636686328,0.578620581,0.630254579,0.816934948,0.844955682,0.440396985,-0.061400039,-0.055749698,-0.025665834,-0.029180727,-0.05776434,0.043559911,0.04513213,0.054260166,0.068930869,0.039439718,0,0,0,0,0,0,0,0.02
40351.45833,1.571708832,37.3,173,274,0.589949601,3.89,20.5,0.006172,0.02407,0.042657,0.134193,0.280956,0.178836,20.282433,19.989331,18.70549,18.316429,18.533778,18.069489,18.291184,18.116156,1.064124,0.900206,0.855534,0.991113,1.384927,1.122821,11.233605,11.233605,11.054846,0.178759,0.487803,11.399649,13.913875,2.658681,15.144716,2.316099,14.623384,2.051231,15.095759,1.8234,717.75,709,718.375,709,717.2916667,703,720.6458333,703,724.1458333,739,703,732.640625,703,744.3784722,703,774.2083333,703,0,0.088702641,0.085698603,0.079909111,0.104048195,0.140685683,0.140762549,0.111404446,0.118586792,0.057857258,0.053682969,0.045337448,0.062087045,0.061980137,0.058047065,0.055131132,0.061437263,0.058739487,0.05992549,0.064537231,0.079576418,0.082853421,0.0761052,0.066722641,0.077917338,0.026353613,0.027017884,0.02842501,0.031475433,0.029174763,0.025515667,0.025616448,0.028212659,-0.535400994,-0.641202605,-1.384245845,-0.832822304,1.453009488,5.800941937,5.569495588,4.347273851,3.833099936,1.278991958,0.12306443,0.11544242,0.098988099,0.1120317,0.112985003,0.960969094,0.975221282,0.95917977,0.687364779,-0.080650927,0.276655744,0.210685062,0.261401381,0.435175181,0.465345559,0.118261114,0.112473275,0.095012336,0.053235421,-0.021470016,0.034046481,0.024824823,0.025757072,0.058030909,0.05772588,0,0,0,0.06,0.22,0.22,0.22,0.24
40352.4375,2.435047641,272.3,174,292,1.33243846,21.5,19.7,0.368525,0.254789,0.594014,0.297007,0.148826,0.218487,20.443346,19.931509,19.714843,19.571698,20.307519,19.397065,18.864639,18.788274,0.362648,0.50089,1.015327,1.285864,1.510878,1.443715,9.403386,9.403386,9.416686,0.0133,1.016181,10.361847,11.256202,1.174773,12.585038,2.447477,13.848545,2.719625,14.064444,2.242222,775.5,765,770.25,760,750.4166667,719,742,719,734.4583333,786,709,729.5625,703,733.5659722,703,753.1833333,703,52,0.113598799,0.10760659,0.087135565,0.084100786,0.108794316,0.12474,0.130106472,0.112956372,0.058650851,0.054548444,0.049929464,0.046741738,0.065016265,0.063498201,0.060370132,0.061814146,0.069859902,0.065329079,0.055764833,0.05763467,0.065323131,0.074088276,0.072511177,0.071845091,0.030460524,0.028766778,0.025037087,0.025122424,0.028256521,0.028715642,0.026429285,0.027757924,7.537666965,7.267709811,4.968654012,3.901765497,3.608145871,3.353902908,2.611119187,3.163334279,2.524813761,2.928647586,0.44058985,0.392909755,0.26332745,0.20286929,0.200417983,-0.493413666,-0.460582354,-0.218190695,-0.419570299,-0.220360451,0.869794777,0.886845684,0.94447949,0.851299764,0.739200691,-0.217393053,-0.1825327,-0.071441896,-0.080145404,-0.065620356,0.38322275,0.347637331,0.244877146,0.176254139,0.154196211,0,0,0.29,0.29,0.29,0.51,0.51,0.51
40353.36458,3.383743576,2419.6,175,355,1.190331698,15.5,15.4,0.291939,0.173599,0.21119,0.522226,0.533722,0.332387,19.03979,18.815778,18.495936,18.990895,20.033806,20.14683,18.92494,19.567203,0.269997,0.709124,1.346226,1.207728,1.523552,1.350785,9.31222,9.31222,9.368619,0.056399,0.396731,9.751363,9.782025,0.374875,10.633502,1.115629,11.907793,2.480107,13.108355,2.609223,776.5,775,778,770,782.5,760,785.3541667,760,781.2395833,802,760,755.953125,709,745.9583333,703,750.3395833,703,-11,-0.092117358,-0.081321461,-0.06994732,-0.00878017,0.029831269,0.06839996,0.094395271,0.094412743,-0.020115314,-0.015837288,-0.007062901,0.015608034,0.035561748,0.050252945,0.053622821,0.053456146,-0.034571139,-0.032625327,-0.023447852,0.010652771,0.034375653,0.049624242,0.061102919,0.060070525,-0.007825126,-0.006768,-0.003003917,0.008995081,0.018572371,0.023341575,0.025224984,0.024737903,-7.415698618,-6.361772949,-6.38746896,-5.068574886,-1.794341042,4.839085386,4.77719899,4.25808115,4.307530909,4.279011359,0.28598496,0.25772541,0.296611282,0.271565165,0.242644774,0.707871284,0.67397668,0.585043232,0.513588702,0.412397454,-0.706341451,-0.737323994,-0.803652395,-0.267172543,0.141847924,0.202440541,0.174658762,0.1730167,0.132556292,0.067364301,-0.202003032,-0.189151576,-0.238703568,-0.091655088,0.023425134,0,0,0,0.5,0.5,0.79,1.01,1.01
