surveyDatetime,log_beach_EColi,beach_EColiValue,beach_WaterTemp,beach_AirTemp,beach_PeopleInWater,beach_PeopleOnBeach,beach_WaveHeightManual,log.beach_TurbidityBeach
6/9/10 8:55,2.536684673,344.1,16.3,20.1,0,0,0.75,1.627365857
6/10/10 9:00,2.537567257,344.8,15.2,23.3,0,0,0,0.607455023
6/16/10 8:55,3.383743576,2419.6,17.7,19.4,0,0,0,1.409933123
6/17/10 8:55,3.298044843,1986.3,17.4,19,0,0,0,1.02201574
6/21/10 9:00,1.776701184,59.8,18.1,19.4,0,0,0.5,0.562292864
6/22/10 11:00,1.571708832,37.3,20.5,32.8,0,4,0,0.589949601
6/23/10 10:30,2.435047641,272.3,19.7,27.6,0,0,0.6,1.33243846
6/24/10 8:45,3.383743576,2419.6,15.4,23.1,0,0,0.5,1.190331698
6/28/10 9:00,0.301029996,2,14.8,21.5,0,0,0,0.28780173
6/29/10 8:50,2.588047497,387.3,16.8,13.3,0,0,0.75,1.298853076
6/30/10 8:45,1.376576957,23.8,17.9,23.8,0,0,0,1.038222638
7/1/10 9:00,1.117271296,13.1,18.8,23.1,3,4,0,0.840106094
7/6/10 9:10,2.562768543,365.4,13.8,28.6,0,0,0.33,1.712649702
7/7/10 8:30,2.029789471,107.1,12.2,23.7,0,5,0,0.788168371
7/8/10 8:35,1.892094603,78,11.2,17.1,0,0,0,0.57054294
7/13/10 8:15,3.383743576,2419.6,17.3,18.4,0,2,0.5,0.829946696
7/14/10 8:25,2.483444648,304.4,19,19.2,0,0,0,0.84260924
7/15/10 8:20,3.383743576,2419.6,19.4,22.4,0,0,0.5,1.793790385
7/20/10 8:30,2.236789099,172.5,17.6,20,0,5,0,1.06069784
7/21/10 8:35,1.526339277,33.6,16.6,25.3,0,3,0,0.57634135
7/22/10 8:30,2.613418945,410.6,17.2,22,0,2,0,0.666517981
7/26/10 8:30,2.200029267,158.5,21,26.5,0,0,0,0.645422269
7/27/10 8:30,2.166430114,146.7,22.7,22.9,0,0,0,1.136720567
7/28/10 8:30,2.812110841,648.8,22.7,25.9,0,0,0,1.822821645
7/29/10 8:30,2.180412633,151.5,21.1,23,0,0,0,1.562292864
8/3/10 8:30,1.164352856,14.6,18.8,25.5,0,0,0.25,1.155336037
8/4/10 8:30,0.799340549,6.3,15.9,25.7,0,0,0,0.829946696
8/5/10 8:30,1.653212514,45,18.5,23.1,0,0,0,0.613841822
8/9/10 6:30,1.870988814,74.3,19.6,23.3,0,0,0,1.827369273
8/10/10 6:15,1.604226053,40.2,22.1,24,0,0,0,1.491361694
8/17/10 6:15,1.1430148,13.9,18.4,19.7,0,0,0,1.003460532
8/18/10 5:55,1.357934847,22.8,17.4,18.5,0,0,0.2,0.822168079
8/19/10 8:30,1.382017043,24.1,16.9,24.2,0,0,0.25,1.361727836
8/23/10 6:00,2.267171728,185,20.4,17.6,0,0,0.25,1.390935107
8/24/10 5:55,2.279666944,190.4,21.3,17.9,0,0,0.025,1.117271296
8/25/10 6:00,1.50242712,31.8,20,18.4,0,0,0,1.269512944
8/26/10 6:00,1.702430536,50.4,18.5,11.2,0,0,0.025,1.315970345
6/1/11 13:00,0.301029996,2,17.5,28.3,0,0,0.125,0.830588669
6/3/11 13:20,2.339848783,218.7,15.5,13.9,0,0,0.5,1.086359831
6/6/11 10:45,1.600972896,39.9,14.2,14.4,0,1,1,1.414973348
6/8/11 9:30,2.031812271,107.6,16.4,27.9,0,0,1.3,1.913813852
6/13/11 9:10,2.463743721,290.9,14.3,20.3,0,3,0,0.283301229
6/14/11 9:15,1.396199347,24.9,14.9,21.6,0,1,0,0.558708571
6/16/11 12:40,2.033825694,108.1,16.9,17.8,0,0,0.125,1.356025857
6/20/11 9:01,2.991403303,980.4,16.7,15.8,0,1,0.5,1.696356389
6/21/11 9:35,2.713658516,517.2,15.9,15.6,0,0,0.25,2.016615548
6/22/11 9:07,2.756788199,571.2,16.7,20.6,0,0,1,1.489958479
6/26/11 15:45,1.846955325,70.3,19.8,23,0,3,0,0.342422681
6/27/11 11:33,3.383743576,2419.6,15.8,16.7,0,1,1.5,2.139879086
6/28/11 9:15,1.459392488,28.8,14.7,21,0,2,0.25,0.399673721
6/29/11 9:33,1.688419822,48.8,16.9,23.8,1,2,0.5,1.08278537
7/5/11 9:25,1.348304863,22.3,13.4,27.2,0,0,0,0.641474111
7/6/11 9:03,2.235528447,172,14.1,25.6,0,0,0,0.442479769
7/7/11 9:05,1.371067862,23.5,17.6,24.1,0,0,0,0.305351369
7/8/11 12:35,1.902002891,79.8,18.6,24.4,0,0,0,0.380211242
7/11/11 9:05,3.383743576,2419.6,13.5,21.9,0,0,0.25,0.864511081
7/12/11 9:05,3.383743576,2419.6,13.4,24,0,0,0.25,0.42975228
7/14/11 9:05,2.35831564,228.2,18.2,19,0,0,0,1.012837225
7/18/11 9:25,2.200029267,158.5,16.9,26.1,0,0,0.5,1.079181246
7/19/11 9:20,2.102776615,126.7,18.8,25.9,0,0,0,0.23299611
7/20/11 9:11,1.935507266,86.2,17.4,21.6,0,2,0.125,0.411619706
7/21/11 9:45,1.471291711,29.6,14.6,27.8,0,0,0,0.190331698
7/25/11 11:37,2.14332713,139.1,19.4,26.6,1,2,1,1.572871602
7/26/11 9:39,2.159867847,144.5,17.8,24.1,0,0,0.25,0.511883361
7/27/11 9:25,2.338057875,217.8,18.1,18.5,0,0,1,1.731588765
7/28/11 9:31,2.619093331,416,18.2,19.2,0,0,0.5,1.565847819
8/1/11 9:38,0.612783857,4.1,19.2,26.1,0,3,0,0.235528447
8/2/11 9:25,1.397940009,25,18.9,21.8,0,0,0.125,0.123851641
8/3/11 9:18,1.686636269,48.6,20.5,28.9,0,0,1,1.015359755
8/8/11 9:42,1.800029359,63.1,23.1,24.2,0,0,0.75,0.758911892
8/9/11 9:15,0.301029996,2,22.8,22.3,0,0,0,-0.036212173
8/10/11 9:35,1.57863921,37.9,21,22.6,0,1,0.5,0.716003344
8/11/11 11:45,0.301029996,2,22.9,23.9,0,4,0,0.238046103
8/15/11 9:05,1.948412966,88.8,21.9,26.3,0,1,0,1.733999287
8/16/11 9:15,1.970346876,93.4,22.5,24.4,0,3,0,1.829303773
8/17/11 9:35,2.04060234,109.8,22.3,28.9,0,0,0.25,1.758154622
8/20/11 12:20,2.688775655,488.4,23,22.1,0,0,0,1.338456494
8/21/11 12:55,1.037426498,10.9,22.5,22.2,0,0,0,0.477121255
8/22/11 8:05,1.164352856,14.6,20.2,16.9,0,0,0,0.961895474
8/27/11 10:50,1.935507266,86.2,16,19.5,0,8,2,2.301029996
8/28/11 13:32,2.516138577,328.2,20.1,23.2,0,8,1,-1
5/28/12 12:09,1.666517981,46.4,15.9,15.4,0,0,2.5,1.829303773
5/29/12 10:10,0.491361694,3.1,14,24.4,0,0,0.5,1.117271296
5/31/12 11:10,1.127104798,13.4,11.9,16.1,0,0,0.5,1.053078443
6/1/12 11:00,2.152594078,142.1,12.3,12.8,0,0,0.75,1.409933123
6/4/12 10:16,1.50242712,31.8,16.7,15.5,0,0,0.5,0.850646235
6/5/12 9:31,1.692846919,49.3,16.5,15.1,0,0,0.5,0.643452676
6/6/12 9:31,1.526339277,33.6,16.3,18.1,0,0,0.5,0.459392488
6/7/12 9:42,0,1,17.2,23.9,0,1,0.25,0.290034611
6/11/12 10:07,1.515873844,32.8,16.3,16,0,0,2,1.59439255
6/12/12 8:06,1.798650645,62.9,14.4,17.1,0,0,0.25,1.220108088
6/13/12 9:36,1.957607287,90.7,14.9,14.7,1,4,2,1.271841607
6/18/12 9:36,2.317436497,207.7,13.5,15.4,0,0,2,1.736396502
6/19/12 8:14,3.383743576,2419.6,14.2,25.1,0,0,1,2.155336037
6/20/12 9:39,2.263162465,183.3,14,17.8,0,2,1,2.022840611
6/21/12 9:43,1.887054378,77.1,14.2,22.8,0,0,0.75,1.862131379
6/25/12 9:35,2.238798563,173.3,14.9,14.6,0,2,1,1.725094521
6/26/12 9:57,1.567026366,36.9,16.2,17.6,0,3,0.25,1.051923916
6/27/12 10:09,3.383743576,2419.6,17.1,18.8,0,0,1,1.178976947
6/28/12 10:23,2.727134424,533.5,17.2,22.3,0,1,0.25,1.6599162
6/29/12 12:59,2.173477643,149.1,18,29.8,0,0,0.25,0.784617293
7/2/12 8:25,1.294466226,19.7,17.1,26.7,0,0,0,1.903089987
7/3/12 11:40,3.298044843,1986.3,21.8,25.1,0,2,0,0.681241237
7/4/12 9:30,3.383743576,2419.6,17.2,29.4,0,4,0.125,1.584331224
7/6/12 12:26,1.385606274,24.3,23.4,38.5,0,5,0,0.807535028
7/9/12 10:27,1.475671188,29.9,21.7,22.3,0,0,1,0.747411808
7/10/12 9:51,1.338456494,21.8,22.5,21.4,0,2,1.5,0.755874856
7/11/12 8:48,1.338456494,21.8,21.9,23.4,0,3,1,0.46834733
7/16/12 9:54,1.389166084,24.5,23.7,31.3,0,0,0.25,0.912753304
7/17/12 8:49,1.686636269,48.6,19.2,34.1,0,0,0.25,0.698100546
7/18/12 10:53,2.238798563,173.3,18.8,21.5,0,2,1.5,0.980003372
7/19/12 8:49,2.420120848,263.1,21.5,20.6,0,0,0.25,1.11058971
7/23/12 9:44,1.588831726,38.8,23.5,31.3,0,3,0.5,1.230448921
7/24/12 11:27,2.230959556,170.2,23.8,24.8,0,26,0.75,1.10720997
7/25/12 12:24,2.982542582,960.6,26.4,27.6,0,4,3,1.555094449
7/26/12 11:16,3.383743576,2419.6,24.6,26.2,0,15,0.25,1.57634135
7/27/12 19:08,3.004837061,1011.2,23.9,22.8,0,35,3.5,1.408239965
7/28/12 17:14,1.809559715,64.5,26.2,27.3,0,0,0,1.139879086
7/31/12 10:54,3.383743576,2419.6,23.9,25.1,0,0,1,1.285557309
8/1/12 10:55,1.753583059,56.7,24.7,26.1,0,0,0.5,0.999130541
8/2/12 11:11,1.334453751,21.6,23.2,26.1,0,0,0.5,1.401400541
8/7/12 11:06,0.903089987,8,22.8,30,1,3,0.25,0.902546779
8/8/12 11:04,1.704150517,50.6,22.4,22.8,0,0,1,1.230448921
8/9/12 9:36,1.928395852,84.8,20.9,19.1,0,0,2,1.260071388
8/10/12 13:00,3.383743576,2419.6,20.4,20.4,0,0,2,1.563481085
8/11/12 14:34,3.383743576,2419.6,22.5,23.9,0,2,2.5,1.565847819
8/14/12 9:48,1.411619706,25.8,21.3,23.8,0,0,0.25,0.968015714
8/15/12 9:47,0.612783857,4.1,22.6,23.9,0,0,0,0.488550717
8/17/12 10:32,1.326335861,21.2,21.6,19.1,0,0,0.5,1.187520721
8/20/12 10:16,1.424881637,26.6,20.6,21.5,0,0,0.25,1.1430148
8/21/12 11:24,0.851258349,7.1,21.8,25.7,0,2,0,0.320146286
8/22/12 11:52,0.301029996,2,22.2,26.8,0,2,0.25,0.874481818
8/27/12 11:21,1.553883027,35.8,17.1,28.1,0,0,0.25,0.823474229
8/28/12 10:13,1.631443769,42.8,17.9,20.6,0,0,0.5,1.225309282
8/29/12 12:43,2.762978491,579.4,22.3,24.5,0,0,1.5,1.431363764
5/28/13 19:23,2.321805484,209.8,12.6,10.4,0,0,1,1.243038049
6/3/13 13:18,2.331022171,214.3,15.6,17.2,0,0,0.5,0.359835482
6/5/13 8:20,2.435047641,272.3,15.5,14.7,3,0,0.25,0.23299611
6/6/13 8:25,1.785329835,61,15.7,19,0,3,1,0.460897843
6/11/13 8:20,1.913813852,82,15.6,18.2,0,1,0.5,0.346352974
6/12/13 8:05,2.033825694,108.1,15.9,14.8,2,2,1,1.267171728
6/13/13 8:50,1.204119983,16,15.9,14.1,0,0,0.25,0.743509765
6/19/13 8:10,1.6599162,45.7,13,17.9,0,1,0.25,0.158362492
6/24/13 8:45,1.797267541,62.7,13.4,11.4,0,0,1,1.281033367
6/25/13 8:00,1.584331224,38.4,17.1,20.1,0,5,0.75,0.572871602
6/27/13 9:45,2.577951128,378.4,11.3,10.6,0,0,2,1.214843848
7/2/13 9:10,2.087426457,122.3,14,21.2,0,3,0.1,0.206825876
7/9/13 9:05,0.491361694,3.1,18.5,21.7,0,0,0.1,0.220108088
7/11/13 8:10,1.812913357,65,16.6,31.4,0,0,0.1,0.656098202
7/16/13 8:15,0.301029996,2,18.6,17.3,0,0,0.75,0.436162647
7/17/13 8:20,2.144885418,139.6,17,19.7,0,0,0.2,0.869818208
7/18/13 9:00,1.418301291,26.2,18.6,22.3,0,0,0.3,0.704150517
7/22/13 8:10,1.544068044,35,16.6,20.1,0,0,0.1,1.227886705
7/24/13 8:15,1.465382851,29.2,15,14.9,0,0,0.3,0.88536122
7/29/13 8:30,1.298853076,19.9,17.7,18.5,0,0,0,1.346352974
7/30/13 8:10,3.19119942,1553.1,16.6,22.6,0,0,0.1,0.809559715
8/5/13 10:04,1.474216264,29.8,16.8,20.3,0,0,0,0.328379603
8/6/13 10:37,2.886547123,770.1,15.7,15.2,0,1,0.5,1.792391689
8/7/13 8:40,2.376941757,238.2,16,15.5,0,0,0.2,1.592176757
8/9/13 1:15,1.079181246,12,18.3,21.6,0,0,0,0.854306042
8/13/13 8:05,1.994317153,98.7,18.5,20.1,0,0,0.1,1.63748973
8/15/13 10:40,2.138618434,137.6,16.6,16.8,0,6,0.2,1.698970004
8/20/13 8:55,1.629409599,42.6,15.2,21.1,0,0,0.2,1.423245874
8/21/13 8:20,1.631443769,42.8,18.3,20.1,0,1,1,1.040997692
8/22/13 9:30,3.238773502,1732.9,19.9,23.4,0,0,0.5,2.11058971
8/25/13 8:40,1.839478047,69.1,17,22.4,0,0,0.2,1.451786436
8/26/13 8:20,1.737192643,54.6,18.5,22.8,0,0,0.3,1.469822016
