logEcoli,turbidity,Previous24hrrainfall,windspeed,airtemp,dewpoint,clouds,atmpressure,cuyahogariverflow,rockyriverflow,ucomp,vcomp
1.230448921,2.95,0,8,81,63,4,29.29,1310,226,-2.74,-7.52
2.939519253,2.6,0,6,78,66,4,29.26,1150,167,-2.05,-5.64
1.897627091,43.65,0.05,11,70,47,2,29.18,1020,236,-8.43,7.07
1.204119983,9.95,0,3,70,51,3,29.18,955,151,-2.82,1.03
0.903089987,3.7,0,3,73,53,4,29.06,747,109,-2.6,-1.5
2.416640507,13.25,0,6,72,54,2,29.06,587,83,-5.2,3
1.707570176,40.78,0,13,60,49,4,29.21,366,49,-4.45,12.22
1.681241237,27.53,0,7,63,52,3,29.31,343,47,-1.22,6.89
1.447158031,6.68,0,9,68,51,3,29.24,333,53,-1.56,8.86
1.73239376,22.05,0,8,68,54,1,29.31,329,50,-4,6.93
2.62324929,11.85,0.79,8,73,66,4,29.09,278,30,-6.13,-5.14
1.986771734,7.28,0.54,9,71,62,3,29.17,612,201,-8.86,1.56
1.079181246,3.83,0,4,63,54,5,29.28,587,303,0,-4
2.748188027,17.18,1.46,10,77,71,4,29.2,419,170,-6.43,-7.66
1.531478917,5.58,0.68,3,68,64,5,29.28,5710,4200,-3,0
2.612783857,34.98,0.04,6,64,50,1,29.32,11500,4260,0,6
2.127104798,9.83,0,0,65,56,3,29.24,3810,987,0,0
2.068185862,11.23,0,0,71,64,5,29.13,2250,387,0,0
2.447158031,14.48,0.32,7,73,66,5,29.11,1750,267,-4.5,-5.36
1.544068044,5.48,0,6,73,62,4,29.21,1760,288,-1.04,-5.91
2.056904851,7.95,0.01,9,67,58,3,29.25,2010,338,-8.86,-1.56
1.414973348,8.05,0,6,71,59,3,29.28,1470,262,-5.91,1.04
0.77815125,5.03,0,10,73,60,2,29.28,1030,182,-5,-8.66
1.491361694,5,0,16,81,63,4,29.18,783,140,-10.28,-12.26
1.176091259,5.88,0.06,4,76,66,3,29.26,645,115,0,-4
1.973127854,9.13,0.35,10,70,67,4,29.09,670,108,-1.74,-9.85
3.117271296,57.53,0.09,11,66,55,4,29.24,1910,332,-3.76,10.34
2.269512944,39.83,0,10,68,50,3,29.37,2330,498,-1.74,9.85
1.447158031,16.13,0,0,65,57,3,29.51,1600,223,0,0
1.176091259,10.48,0,6,73,58,1,29.42,1100,140,-3.86,-4.6
1.397940009,7.63,0,6,70,58,5,29.2,833,108,0,-6
2.252853031,17.68,0,13,77,63,4,29.08,688,87,-9.96,-8.36
2.396199347,7.63,0.1,6,75,66,4,29.22,1110,182,3.86,-4.6
3.007320953,4.68,0.6,14,75,70,5,29.12,2280,370,-4.79,-13.16
2.957128198,16.7,0.03,7,73,67,5,29.21,4730,1110,1.22,6.89
1.991226076,4.23,0,8,80,68,4,29.15,3010,1040,-4,-6.93
2.403120521,19.38,0.09,8,74,70,4,29.18,1820,389,-8,0
0.954242509,3.98,0,6,81,69,2,29.26,3320,1280,-3.86,-4.6
1.146128036,1.88,0,9,82,68,2,29.24,1870,457,-5.79,-6.89
2.372912003,5.8,0,8,76,66,4,29.2,1370,211,1.39,7.88
2.274157849,19.98,0,8,76,61,4,29.31,1170,150,7.88,-1.39
1.380211242,8.9,0,7,82,70,4,29.23,944,121,-3.5,-6.06
2.450249108,13.73,0,8,75,70,4,29.14,670,106,0,8
2.411619706,23.13,0.17,8,67,61,5,28.97,589,150,-5.14,-6.13
1.62324929,14.6,0.12,8,71,57,3,29.13,1100,178,-6.93,4
0.954242509,5.08,0,8,74,60,3,29.17,1200,367,-4,-6.93
1.556302501,3.75,0,9,76,63,4,29.17,852,177,-5.79,-6.89
1.414973348,2.93,0.32,11,78,64,3,29.11,681,120,-1.91,-10.83
2.08278537,4.38,0.37,10,79,71,4,29.05,618,100,-5,-8.66
2.753583059,9.85,1.12,9,72,68,5,29.13,1540,362,-7.79,-4.5
1.838849091,2.53,0,7,78,72,1,29.16,2660,994,-4.5,-5.36
1.812913357,2.73,0.46,8,78,73,4,29.1,1130,196,-4,-6.93
1.322219295,1.98,0.01,10,84,74,2,29.15,1880,275,-7.66,-6.43
1.230448921,3.2,0,10,84,74,1,29.12,2490,445,-5,-8.66
2.665580991,7.78,0,19,81,71,4,29.06,1550,144,-18.71,-3.3
2.5132176,40.63,0.09,11,73,64,3,29.2,838,96,-3.76,10.34
2.130333768,40.1,0,9,76,54,1,29.34,1350,85,7.79,4.5
1.748188027,13.3,0,9,73,59,3,29.26,844,79,4.5,-7.79
1.924279286,4.53,0.05,8,78,70,5,29.24,391,66,-7.52,-2.74
2.45331834,35.58,0,15,74,57,3,29.34,451,53,0,15
1.755874856,26.48,0,0,72,50,3,29.31,460,47,0,0
2.587710965,107.93,0,13,72,52,3,29.16,354,32,11.26,6.5
1.505149978,33.8,0,9,64,49,1,29.28,318,28,9,0
1.113943352,6.75,0,13,75,60,2,29.09,276,22,-9.96,-8.36
2.489958479,28.78,0.12,6,70,60,3,29.15,279,21,-5.2,-3
0.477121255,6.88,0,0,76,55,1,29.35,420,95,0,0
1.505149978,5.28,0,6,76,55,3,29.37,301,66,4.6,-3.86
1.698970004,6.8,0,6,73,63,5,29.28,269,49,5.2,-3
1.431363764,3.53,0.01,7,72,70,5,29.1,258,39,3.5,-6.06
2.582063363,29.8,0.31,11,68,61,5,29.14,484,143,-5.5,9.53
1.968482949,32.93,0,6,67,58,3,29.32,429,182,-3.86,-4.6
1.041392685,9.03,0,4,71,60,2,29.31,291,104,-2,-3.46
1.653212514,5.88,0,7,67,57,5,29.15,260,49,-5.36,-4.5
