dates,Observation,beachEColiValue,jday,beachSc,LOGbeachTurbidityBeach,beachTurbidityBeach,beachWaterTemp,tribNorthFishCreekAtHwy2TribSc,tribNorthFishCreekAtHwy2WaterElevation,tribSouthFishCreekAtHwy137TribSc,tribSouthFishCreekAtHwy137WaterElevation,tribWhittleseyCreekAtHwy1304026321TribSc,MeairTemperatureCover1hrX3Y12,MeairTemperatureCover2hrX3Y12,MeairTemperatureCover6hrX3Y12,MeairTemperatureCover12hrX3Y12,MeairTemperatureCover24hrX3Y12,MeairTemperatureCover48hrX3Y12,MeairTemperatureCover72hrX3Y12,MeairTemperatureCover120hrX3Y12,StDevAirTemperatureCover6hrX3Y12,StDevAirTemperatureCover12hrX3Y12,StDevAirTemperatureCover24hrX3Y12,StDevAirTemperatureCover48hrX3Y12,StDevAirTemperatureCover72hrX3Y12,StDevAirTemperatureCover120hrX3Y12,MeanCloudCoverover1hrX3Y12,MeanCloudCoverover2hrX3Y12,MeanCloudCoverover6hrX3Y12,MeanCloudCoverover12hrX3Y12,MeanCloudCoverover24hrX3Y12,MeanCloudCoverover48hrX3Y12,MeanHeightAboveModelSeaLevelmover1hrX3Y12,MeanHeightAboveModelSeaLevelmover24hrX3Y12,MaxHeightAboveModelSeaLevelmover1hrX3Y12,MaxHeightAboveModelSeaLevelmover24hrX3Y12,MinHeightAboveModelSeaLevelmover1hrX3Y12,MinHeightAboveModelSeaLevelmover24hrX3Y12,DiffHeightAboveModelSeaLevelmover24hrX3Y12,Maslowski_sum1,Maslowski_sum2,Maslowski_sum6,Maslowski_sum12,Maslowski_sum24,Maslowski_sum48,Maslowski_sum72,Maslowski_sum120,Maslowski_sum1sqrt,Maslowski_sum2sqrt,Maslowski_sum6sqrt,Maslowski_sum12sqrt,Maslowski_sum24sqrt,Maslowski_sum48sqrt,Maslowski_sum72sqrt,Maslowski_sum120sqrt,WCrainsum1,WCrainsum2,WCrainsum6,WCrainsum12,WCrainsum24,WCrainsum48,WCrainsum72,WCrainsum120,WCrainsum1sqrt,WCrainsum2sqrt,WCrainsum6sqrt,WCrainsum12sqrt,WCrainsum24sqrt,WCrainsum48sqrt,WCrainsum72sqrt,WCrainsum120sqrt,WCQdifference6,WCQmax24,WCQmean1,WCQmean12,WCQmean120,WCQmean2,WCQmean24,WCQmean48,WCQmean6,WCQmean72,WCQmean1log,WCQmean12log,WCQmean120log,WCQmean2log,WCQmean24log,WCQmean48log,WCQmean6log,WCQmean72log,WCQmin1,WCQmin12,WCQmin120,WCQmin2,WCQmin24,WCQmin48,WCQmin6,WCQmin72,parv_airAngleMean1hr,perpv_airAngleMean1hr,parv_airAngleMean2hr,perpv_airAngleMean2hr,parv_airAngleMean6hr,perpv_airAngleMean6hr,parv_airAngleMean12hr,perpv_airAngleMean12hr,parv_airAngleMean24hr,perpv_airAngleMean24hr
40338.44792,1.075546961,11.9,160,97.3,0.158362492,1.44,18,145.7,15.6,244.7,2.5,98,11.377149,11.576059,11.076495,10.698459,10.41818,11.854513,11.175995,11.062667,0.550012,0.563876,0.557988,2.767367,2.768767,2.463538,0.774863,0.679034,0.416842,0.574542,0.73915,0.405229,-0.004283,0.00121,-0.004283,0.048669,-0.004283,-0.038224,0.031236,0,0,0,0.017259,24.784601,25.448811,25.448811,28.101252,0,0,0,0.131373513,4.978413502,5.044681457,5.044681457,5.301061403,0.01,0.01,0.01,0.01,1.03,1.1,1.1,1.25,0.1,0.1,0.1,0.1,1.014889157,1.048808848,1.048808848,1.118033989,-2,27,24,24.44444444,18.98819444,24.33333333,23.42708333,20.21354167,25.20833333,19.2025463,1.380211242,1.388180171,1.27848367,1.386201605,1.369718222,1.305642414,1.401544133,1.283358821,24,23,17,24,17,17,24,17,-6.177679,2.565017,-6.092129,3.091147,-4.07651592,4.57011887,-3.12508783,4.21663562,-0.21508145,3.95782772
40339.43056,1.385606274,24.3,161,114.7,0.672097858,4.7,17.9,134.6,15.3,267.7,2.33,99.3,12.932144,12.774819,10.877538,10.247004,11.825014,11.121597,11.84468,11.083799,1.853251,1.507537,2.093873,1.686008,2.56265,2.456797,0.198105,0.318066,0.354016,0.220435,0.456197,0.597674,0.063869,0.00072,0.063869,0.063869,0.063869,-0.048607,-0.025143,0,0,0,0,1.24639,26.030991,26.695201,28.877853,0,0,0,0,1.11641838,5.102057526,5.166739881,5.373811776,0,0,0,0,0,1.06,1.1,1.21,0,0,0,0,0,1.029563014,1.048808848,1.1,0,24,19,19.29166667,19.2125,19,20.55902778,21.93229167,19,20.28819444,1.278753601,1.285369749,1.283583881,1.278753601,1.313002573,1.341084013,1.278753601,1.307243399,19,19,17,19,19,17,19,17,0.3026268,-2.306752,-0.0681783,-1.9682657,-0.493026588,1.0607918,-2.026336744,1.80220243,-3.913965105,0.940139972
40340.43542,1.877371346,75.4,162,140,0.712649702,5.16,15.9,122.3,17.1,158.8,3.67,88.3,11.320089,10.724909,10.845321,10.308287,11.125222,11.475118,11.122805,11.295644,0.886709,0.829595,1.222549,1.749827,1.547028,2.417824,0.970542,0.985271,0.956144,0.94469,0.770027,0.613112,0.035941,0.005231,0.035941,0.065574,0.035941,-0.057125,-0.0155,7.175096,13.224407,14.900402,14.900402,14.900402,16.146791,40.931392,41.595603,2.678636967,3.636537777,3.860103885,3.860103885,3.860103885,4.018306982,6.39776461,6.449465327,0.31,0.72,0.89,0.89,0.89,0.89,1.93,1.99,0.556776436,0.848528137,0.943398113,0.943398113,0.943398113,0.943398113,1.389244399,1.410673598,10,28,24.25,18.625,19.28472222,21.75,18.35416667,19.43923611,19.25,20.74421296,1.384711743,1.270096281,1.285213388,1.337459261,1.263734671,1.288679195,1.284430734,1.316896962,21,18,17,18,18,18,18,17,4.108212,-2.639321,4.01518,-0.72771885,3.35854657,-1.4922164,3.17319316,-0.84999094,3.06150363,-1.963343812
40341.59028,2.991403303,980.4,163,166.7,1.346352974,22.2,16.3,163.8,16.3,188.5,4.5,125.7,10.858103,10.940256,10.469335,10.022975,10.063843,10.493901,10.925264,11.189337,0.509981,0.583021,0.69532,1.003437,1.557881,2.014139,0.883943,0.918898,0.963733,0.981866,0.987645,0.93567,-0.050746,0.007614,-0.050746,0.069658,-0.050746,-0.055131,0.020545,0,0,0,0.047442,0.468596,25.199969,26.34539,51.89517,0,0,0,0.217811845,0.684540722,5.019957072,5.132776052,7.203830231,0,0,0,0.01,0.15,1.54,1.54,2.64,0,0,0,0.1,0.387298335,1.240967365,1.240967365,1.624807681,-5,123,33.08333333,38.81944444,29.28194444,33.54166667,63.30555556,42.66840278,35.08333333,35.04050926,1.519609261,1.589049316,1.466599912,1.525584639,1.801441824,1.630106386,1.54510085,1.544570409,33,33,17,33,33,18,33,18,1.5795587,-3.3849291,1.3016598,-2.82925,1.07272245,-2.76221032,1.501540838,-3.0469024,2.640150998,-4.15288353
40350.41458,0.934498451,8.6,172,121.5,0.630427875,4.27,21.7,132.6,15.7,242.7,2.6,104.3,15.924534,15.848657,13.765913,13.032974,15.313614,14.238897,14.796276,14.675918,1.907473,1.568737,3.022394,2.670815,2.52295,2.223985,0,0,0.053021,0.10098,0.133265,0.34054,0.003158,-0.000205,0.003158,0.031685,0.003158,-0.047876,-0.019393,0,0,0,0,0,0,0,2.136524,0,0,0,0,0,0,0,1.461685329,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.244948974,0,19,19,18.58333333,19.05902778,18.91666667,18.43402778,18.59027778,18.875,18.72569444,1.278753601,1.269123617,1.280100743,1.276844611,1.265620238,1.269285879,1.27588696,1.272437933,19,18,18,18,18,18,18,18,0.6949145,-0.7690186,0.4607533,-0.82857975,0.516516072,1.00503028,0.41600628,1.969284791,0.92993891,0.561853581
40351.40139,2.314709693,206.4,173,130.4,0.85308953,7.13,20.8,121.3,15.9,136.5,5.1,92.6,15.598572,15.635179,13.207607,12.706126,13.933709,14.623661,14.137168,14.742591,1.723083,1.334341,1.868248,2.605502,2.437139,2.203447,0.989014,0.689748,0.716346,0.72509,0.702875,0.41807,-0.032907,0.002227,-0.032907,0.043222,-0.032907,-0.043447,-0.01054,0,0,0.046806,0.046806,30.711911,30.711911,30.711911,32.848435,0,0,0.216346944,0.216346944,5.54183282,5.54183282,5.54183282,5.731355424,0,0,0,0,1.25,1.25,1.25,1.3,0,0,0,0,1.118033989,1.118033989,1.118033989,1.140175425,-7,57,29.83333333,37.58333333,21.54166667,30.25,32.38888889,25.41145833,32.09722222,23.18981481,1.474701781,1.574995296,1.333279301,1.480725379,1.51039605,1.405029589,1.506467449,1.365297281,29,29,18,29,18,18,29,18,-0.8596857,-0.9728082,-0.51474735,-1.0750891,-0.617213803,1.0696745,-0.291709861,1.75967269,-0.020868451,0.03269138
40352.40278,2.031812271,107.6,174,136.8,0.851258349,7.1,22.4,122.4,15.5,140.6,3.35,100.9,14.023369,14.182596,13.916374,14.031672,15.060406,14.497057,14.769243,14.676589,0.310798,0.451351,1.442725,1.761609,2.293898,2.25432,0.775333,0.836912,0.75477,0.485101,0.361002,0.531939,0.007341,0.001434,0.007341,0.031129,0.007341,-0.033497,-0.009312,0,0,0.273165,2.584335,4.54159,35.253501,35.253501,35.253501,0,0,0.522651892,1.607586701,2.131100655,5.937465874,5.937465874,5.937465874,0,0,0,0,0,1.25,1.25,1.25,0,0,0,0,0,1.118033989,1.118033989,1.118033989,-1,30,21,22.26388889,22.56597222,21.125,24.26388889,28.32638889,21.69444444,25.02893519,1.322219295,1.347601026,1.353454049,1.324796718,1.384960409,1.452191213,1.336348533,1.398442374,21,21,18,21,21,18,21,18,-0.91017977,4.5939989,-1.11838758,4.3497878,-0.428394305,2.97653357,-0.694247977,2.48722372,-0.141835188,0.354099105
40353.42569,1.709269961,51.2,175,125.2,0.63447727,4.31,21.1,130.3,15.5,156.6,4.4,98.6,16.760523,16.605264,14.59245,14.104014,14.570184,14.865207,14.53614,14.443367,1.466869,1.173577,1.258461,1.430186,1.634557,2.122337,0,0,0.073487,0.150617,0.390759,0.361457,-0.019081,-0.001534,-0.019081,0.032555,-0.019081,-0.033455,0.005292,0,0,0,0,8.796783,13.338373,44.050284,44.050284,0,0,0,0,2.96593712,3.652173736,6.637038798,6.637038798,0,0,0,0,0.15,0.15,1.4,1.4,0,0,0,0,0.387298335,0.387298335,1.183215957,1.183215957,2,24,23,22.09027778,23.10416667,23,21.63888889,22.85243056,23.18055556,26.11342593,1.361727836,1.344201177,1.363690309,1.361727836,1.335234957,1.358932398,1.36512384,1.416863852,23,21,18,23,21,21,21,18,-2.0737338,-2.3406586,-2.7553885,-1.4199021,-2.82623892,0.697486315,-2.92733416,1.595904949,-2.9135026,1.639632195
40364.41597,0.716003344,5.2,186,98.2,0.201397124,1.59,19.8,137.1,15.3,258.8,2.2,106.1,19.99012,19.584275,18.053048,17.971155,18.374299,18.617133,18.20579,16.994905,1.127717,0.878792,0.842315,1.046088,1.308188,2.150815,0.514985,0.429498,0.409451,0.373174,0.408907,0.286105,-0.00044,0.000123,-0.00044,0.02144,-0.00044,-0.027866,0.001845,0,0,0,0,0.814945,0.814945,0.814945,0.904067,0,0,0,0,0.902743042,0.902743042,0.902743042,0.950824379,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0.141421356,0.141421356,0.141421356,0.141421356,1,19,18.66666667,18.3125,18.44375,18.58333333,18.31944444,18.20833333,18.59722222,18.27083333,1.271066772,1.262747638,1.265849227,1.269123617,1.262912299,1.260270195,1.269448081,1.261758356,18,18,18,18,18,18,18,18,0.3135354,-1.404645,-0.4470592,-1.3738003,-0.326094515,1.2332972,-0.529350412,2.19849782,-1.29125367,2.795278724
40365.40972,1.561101384,36.4,187,103.6,-1.15490196,0.07,21.2,134.7,15.3,253.4,2.35,103.7,17.100407,16.914389,16.959954,16.906133,18.491434,18.432866,18.575233,17.821834,0.669918,0.508355,1.901056,1.471456,1.392019,1.727595,0.714733,0.674996,0.70939,0.700548,0.455669,0.432288,0.009317,0.002781,0.009317,0.032944,0.009317,-0.020129,0.023627,0,0,2.219693,5.896341,15.170677,15.985622,15.985622,15.985622,0,0,1.489863417,2.42823825,3.894955327,3.998202346,3.998202346,3.998202346,0,0,0.07,0.2,0.4,0.42,0.42,0.42,0,0,0.264575131,0.447213595,0.632455532,0.64807407,0.64807407,0.64807407,0,20,19,19.05555556,18.43819444,19,18.73611111,18.52777778,19.26388889,18.38310185,1.278753601,1.280021615,1.265718391,1.278753601,1.272679453,1.267823333,1.284743965,1.264418793,19,18,18,19,18,18,19,18,2.4856775,1.7683451,1.0456485,-0.54444885,-1.21845358,0.26618032,-0.498217096,0.974012058,0.137433625,-0.865235421
