surveyDatetime,beach_Sc,Whittlesey_Discharge_Diff_6,HeightAboveSeaLevel_Mean_1,HeightAboveSeaLevel_Mean_2,HeightAboveSeaLevel_Mean_6,HeightAboveSeaLevel_Mean_12,HeightAboveSeaLevel_Mean_24,HeightAboveSeaLevel_Diff_24,AirTemperature_Mean_1,AirTemperature_Mean_2,AirTemperature_Mean_6,AirTemperature_Mean_12,AirTemperature_Mean_24,AirTemperature_Mean_48,AirTemperature_Mean_72,AirTemperature_Mean_120,CloudCover_Mean_1,CloudCover_Mean_2,CloudCover_Mean_6,CloudCover_Mean_12,CloudCover_Mean_24,Wind_Mean_1_perp,Wind_Mean_2_perp,Wind_Mean_6_perp,Wind_Mean_12_perp,Wind_Mean_24_perp,Wind_Mean_1_par,Wind_Mean_2_par,Wind_Mean_6_par,Wind_Mean_12_par,Wind_Mean_24_par,AirTemperature_StDev_2,AirTemperature_StDev_6,AirTemperature_StDev_12,AirTemperature_StDev_24,AirTemperature_StDev_48,AirTemperature_StDev_72,AirTemperature_StDev_120,Sqrt.Precipitation.over.upload.kreher.Sum..1hr,Sqrt.Precipitation.over.upload.kreher.Sum..2hr,Sqrt.Precipitation.over.upload.kreher.Sum..6hr,Sqrt.Precipitation.over.upload.kreher.Sum..12hr,Sqrt.Precipitation.over.upload.kreher.Sum..24hr,Sqrt.Precipitation.over.upload.kreher.Sum..48hr,Sqrt.Precipitation.over.upload.kreher.Sum..72hr,Sqrt.Precipitation.over.upload.kreher.Sum..120hr,Sqrt.Precipitation.over.upload.maslowski.Sum..1hr,Sqrt.Precipitation.over.upload.maslowski.Sum..2hr,Sqrt.Precipitation.over.upload.maslowski.Sum..6hr,Sqrt.Precipitation.over.upload.maslowski.Sum..12hr,Sqrt.Precipitation.over.upload.maslowski.Sum..24hr,Sqrt.Precipitation.over.upload.maslowski.Sum..48hr,Sqrt.Precipitation.over.upload.maslowski.Sum..72hr,Sqrt.Precipitation.over.upload.maslowski.Sum..120hr,log.Whittlesey_Discharge_Mean_1,log.Whittlesey_Discharge_Mean_2,log.Whittlesey_Discharge_Mean_6,log.Whittlesey_Discharge_Mean_12,log.Whittlesey_Discharge_Mean_24,log.Whittlesey_Discharge_Mean_48,log.Whittlesey_Discharge_Mean_72,log.Whittlesey_Discharge_Mean_120,log.Whittlesey_Discharge_Min_1,log.Whittlesey_Discharge_Min_2,log.Whittlesey_Discharge_Min_6,log.Whittlesey_Discharge_Min_12,log.Whittlesey_Discharge_Min_24,log.Whittlesey_Discharge_Min_48,log.Whittlesey_Discharge_Min_72,log.Whittlesey_Discharge_Min_120,log.Whittlesey_Discharge_Max_24,yday,log.beach_TurbidityBeach
6/9/2010 12:03,97.7,-3,0.010261926,0.024493977,0.000187115,0.004306237,0.001356161,0.017542037,14.061243,12.752728,11.867312,11.06228879,10.58062365,11.73659453,11.21104188,11.06825111,0.75383043,0.806409835,0.600527185,0.568443312,0.753347174,1.817968,1.635832,3.392162,3.79078274,3.69337676,-6.610949,-6.8482285,-5.6957187,-4.02250273,-0.980275321,1.3085145,1.002815468,1.081551612,0.928647292,2.675394366,2.788997599,2.468331625,0,0,0,0,4.592693769,5.194297663,5.194297663,5.526027295,0,0,0,0,4.562681397,5.044681495,5.044681495,5.257144366,1.365487985,1.372912003,1.391288049,1.388811413,1.375846436,1.309459822,1.285624811,1.278113116,1.361727836,1.361727836,1.361727836,1.361727836,1.255272505,1.230448921,1.230448921,1.230448921,1.431363764,160,0.912753304
6/10/2010 11:04,102.6,0,0.020441175,0.042155132,0.000926001,0.006366373,-4.20E-05,0.010179249,12.903536,12.91784,11.577908,10.4520287,11.88581898,11.15928125,11.81506842,11.08741938,0.22959696,0.21385088,0.366945168,0.220418544,0.429972457,-2.8703011,-2.5885266,-0.0696782,1.39185646,0.759973426,1.1743238,0.7384753,-0.11642086,-1.591647152,-3.569805447,0.014304,1.684875595,1.677951236,2.103101004,1.70509254,2.537805664,2.459155187,0,0,0,0,0.634939147,4.830909126,5.232960532,5.562384865,0,0,0,0,1.116418161,4.83091735,5.166739872,5.373811813,1.278753601,1.278753601,1.278753601,1.283979284,1.309630167,1.341711435,1.30768854,1.283730787,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.230448921,1.230448921,1.230448921,1.380211242,161,0.100370545
6/11/2010 11:16,89.2,16,0.03690978,0.036425629,0.009522094,0.012542107,0.005916993,0.01408358,11.5376625,11.4288758,11.1733689,10.44821154,11.06831048,11.47706473,11.12895766,11.29673619,1,0.985271125,0.975458222,0.959462216,0.80212723,-2.9406473,-2.7899842,-1.6648141,-0.948356007,-1.966274904,3.9563972,4.0323046,3.3955601,3.26482292,3.17742335,0.10878675,0.697988432,0.881896707,1.169063422,1.749843306,1.547784174,2.41790376,2.216884413,3.691436238,4.657388684,4.657388684,4.657388684,4.700469878,6.710361565,7.005365464,1.947344217,3.311683122,4.323488314,4.323488314,4.323488314,4.465304101,6.483079025,6.737043276,1.488550717,1.428134794,1.324282455,1.291146762,1.273695588,1.29154644,1.320354033,1.287286539,1.447158031,1.301029996,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.531478917,162,1.130333768
6/12/2010 14:57,87.2,-3,-0.05074597,-0.02938526,0.0016384,-0.002992668,0.007613847,-0.020545224,10.858103,10.9402558,10.4693352,10.02297546,10.06384331,10.49390065,10.92526423,11.18933728,0.8839429,0.91889835,0.963732765,0.981866383,0.98764536,-3.3849291,-2.82925,-2.76221032,-3.0469024,-4.15288353,1.5795587,1.3016598,1.07272245,1.501540838,2.640150998,0.08215275,0.509980799,0.583021226,0.695320335,1.0034369,1.557881093,2.01413913,0,0,0,0,0.881194438,5.751566629,5.786507272,7.775885456,0,0,0,0.217810872,0.684540415,5.019957032,5.132776043,7.203830196,1.51851394,1.519827994,1.537944959,1.576571684,1.787644639,1.632750772,1.546147671,1.468243915,1.51851394,1.51851394,1.51851394,1.51851394,1.51851394,1.255272505,1.255272505,1.230448921,2.089905111,163,0.012837225
6/22/2010 10:08,108.2,-6,-0.001970925,-0.017439005,0.007372048,0.001771875,0.003954816,0.008760116,15.172716,15.385644,13.746528,12.91865946,13.87800673,14.64989194,14.16214012,14.74198914,0.9993576,0.9941856,0.740256233,0.734191897,0.744515025,-1.568323,-1.2705656,0.46620027,1.42212782,0.02345333,0.475964,-0.1918608,-0.458989382,-0.255206618,-0.002995622,0.212928,1.74758115,1.497235893,1.80962808,2.604559917,2.438410342,2.203319569,0,0,0.408220075,0.408220075,5.406647763,5.406647763,5.406647763,5.524697238,0,0,0.216346858,0.216346858,5.541832821,5.541832821,5.541832821,5.731355423,1.46834733,1.474216264,1.499274582,1.563243701,1.5132176,1.406829614,1.36660971,1.334071565,1.462397998,1.462397998,1.462397998,1.462397998,1.255272505,1.255272505,1.255272505,1.255272505,1.755874856,173,0.788168371
6/23/2010 10:05,110.7,-1,-0.041306213,-0.016982527,-0.000278022,-0.002405548,-0.000204698,-0.009457976,17.568483,15.795926,14.563231,14.30380671,15.16022952,14.51911812,14.82000447,14.68733448,0.3070116,0.54117235,0.682089342,0.483830862,0.332154714,0.94103,2.7675144,3.47750743,2.27443008,0.45865548,-1.86861,-1.38939488,-1.09887822,-0.894483153,-0.239525771,1.772557,1.375649629,1.079792276,1.527437784,1.79302365,2.314746965,2.264981312,0,0,0.047008957,0.047008957,1.299510836,5.560626623,5.560626623,5.560626623,0,0,0.249487146,0.522651582,2.131100555,5.93746584,5.93746584,5.93746584,1.322219295,1.324282455,1.334654767,1.345177617,1.3818368,1.452507104,1.398686354,1.353608521,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,1.255272505,1.255272505,1.255272505,1.462397998,174,0.357934847
7/5/2010 10:28,87.2,0,0.032944024,0.01625209,0.002535986,0.002588272,0.001437419,0.011897914,21.029877,20.509998,18.6562748,18.1881262,18.4831429,18.6938664,18.25728321,17.04256548,0.41927907,0.46713188,0.390573518,0.403155299,0.38555985,-1.391812,-1.398228,0.54925932,1.85276014,2.45654777,-0.1153818,0.0990768,-0.1519493,-0.457271859,-1.274728476,0.5198785,1.521832241,1.219667903,0.995693778,1.084464986,1.344855097,2.176182408,0,0,0,0,0.81364187,0.81364187,0.81364187,0.952676972,0,0,0,0,0.851689785,0.902743097,0.902743097,0.950824624,1.269512944,1.269512944,1.269512944,1.263162465,1.263162465,1.260262245,1.261667229,1.265808018,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.278753601,186,-1
7/6/2010 10:25,95.7,0,0.016449543,0.012883479,0.000428606,0.002964317,0.002093979,0.00681236,17.447847,17.274127,17.0820792,16.9541718,18.3421825,18.4126627,18.57663839,17.8455103,0.5423971,0.62856517,0.640913463,0.706455028,0.460798973,-2.4580674,-0.3448612,-0.05343327,0.71787334,-0.909662729,-0.67699001,0.904343745,-0.951151417,-0.73945763,0.114033283,0.17372,0.680849954,0.529595557,1.835382498,1.478169465,1.390828519,1.70265996,0,0,1.143521884,2.160407774,3.435091438,3.530136864,3.530136864,3.530136864,0,0,1.006300899,2.382397234,3.894955371,3.986985431,3.998202401,3.998202401,1.278753601,1.278753601,1.284656283,1.28057837,1.273001272,1.26810973,1.264558113,1.265713811,1.278753601,1.278753601,1.278753601,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.301029996,187,-1
7/7/2010 10:11,102.7,0,0.015491958,0.00318924,0.00135974,0.001532236,-4.85E-05,0.022301688,21.139736,20.977721,18.058523,17.5355612,19.8576471,19.0999148,18.89432414,18.59433583,0,0,0.085181529,0.115936681,0.181035276,-2.0287695,-1.5583922,0.85178985,2.18078733,1.018926217,1.1732168,1.1071309,-0.15550196,-0.770744246,-0.938685109,0.162015,2.130409858,1.639369661,3.081436697,2.64690362,2.255157695,2.014454605,0,0,0,0,0,3.435091438,3.530136864,3.530136864,0,0,0,0,0,3.894955371,3.986985431,3.998202401,1.260071388,1.257678575,1.255995727,1.255513713,1.257438567,1.265242469,1.264534495,1.263138771,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.278753601,188,-0.744727495
7/12/2010 10:07,102.8,-1,0.00239338,0.001630465,0.0065881,0.004594509,0.002842959,0.007347734,19.34051,18.84371,16.75881708,16.47317921,17.99850415,18.87542349,18.99281304,18.7714548,0.003530101,0.001765051,0.054804544,0.097067517,0.246938829,-2.5829136,-1.9107574,1.4327189,0.836087578,0.787158579,1.2314199,-0.0466961,-1.35430058,-2.576324488,-2.862703575,0.4968005,1.776226894,1.386377701,2.096157324,1.953901706,2.217684554,2.331384474,0,0,0,0,1.901062547,1.908684248,1.908684248,1.908684248,0,0,0,0,1.82207755,1.849244083,1.849244083,1.849244083,1.257678575,1.260071388,1.266936911,1.272305844,1.288696261,1.269115827,1.263659735,1.259641653,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.230448921,1.462397998,193,-0.602059991
