SURVEY_DATETIME,log_beach_EColi,E_COLI_VALUE,WATER_TEMP,WAVE_HEIGHT_MANUAL,PEOPLE_IN_WATER,PEOPLE_ON_BEACH,AIR_TEMP,NO_GEESE,NO_GULLS,Manitowoc_Discharge_Diff_6,Manitowoc_SpCond_Mean_1,Manitowoc_SpCond_Mean_2,Manitowoc_SpCond_Mean_6,Manitowoc_SpCond_Mean_12,Manitowoc_SpCond_Mean_24,Manitowoc_SpCond_Mean_48,Manitowoc_SpCond_Mean_72,Manitowoc_SpCond_Mean_120,Manitowoc_SpCond_Min_1,Manitowoc_SpCond_Min_2,Manitowoc_SpCond_Min_6,Manitowoc_SpCond_Min_12,Manitowoc_SpCond_Min_24,Manitowoc_SpCond_Diff_6,CloudCover_Mean_1,CloudCover_Mean_2,CloudCover_Mean_6,CloudCover_Mean_12,CloudCover_Mean_24,CloudCover_Mean_48,HeightAboveSeaLevel_Mean_1,HeightAboveSeaLevel_Mean_24,HeightAboveSeaLevel_Max_1,HeightAboveSeaLevel_Max_24,HeightAboveSeaLevel_Min_1,HeightAboveSeaLevel_Min_24,HeightAboveSeaLevel_Diff_24,CurrentDepthAveraged_Mean_1_perp,CurrentDepthAveraged_Mean_2_perp,CurrentDepthAveraged_Mean_6_perp,CurrentDepthAveraged_Mean_12_perp,CurrentDepthAveraged_Mean_24_perp,CurrentDepthAveraged_Mean_48_perp,CurrentDepthAveraged_Mean_72_perp,CurrentDepthAveraged_Mean_120_perp,CurrentDepthAveraged_Mean_1_par,CurrentDepthAveraged_Mean_2_par,CurrentDepthAveraged_Mean_6_par,CurrentDepthAveraged_Mean_12_par,CurrentDepthAveraged_Mean_24_par,CurrentDepthAveraged_Mean_48_par,CurrentDepthAveraged_Mean_72_par,CurrentDepthAveraged_Mean_120_par,CurrentSurface_Mean_1_perp,CurrentSurface_Mean_2_perp,CurrentSurface_Mean_6_perp,CurrentSurface_Mean_12_perp,CurrentSurface_Mean_24_perp,CurrentSurface_Mean_48_perp,CurrentSurface_Mean_72_perp,CurrentSurface_Mean_120_perp,CurrentSurface_Mean_1_par,CurrentSurface_Mean_2_par,CurrentSurface_Mean_6_par,CurrentSurface_Mean_12_par,CurrentSurface_Mean_24_par,CurrentSurface_Mean_48_par,CurrentSurface_Mean_72_par,CurrentSurface_Mean_120_par,WaveHeight_Mean_1,WaveHeight_Mean_2,WaveHeight_Mean_6,WaveHeight_Mean_12,WaveHeight_Mean_24,WaveHeightDirection_Mean_1_perp,WaveHeightDirection_Mean_2_perp,WaveHeightDirection_Mean_6_perp,WaveHeightDirection_Mean_12_perp,WaveHeightDirection_Mean_24_perp,WaveHeightDirection_Mean_1_par,WaveHeightDirection_Mean_2_par,WaveHeightDirection_Mean_6_par,WaveHeightDirection_Mean_12_par,WaveHeightDirection_Mean_24_par,WaveDirection_Mean_1_perp,WaveDirection_Mean_2_perp,WaveDirection_Mean_6_perp,WaveDirection_Mean_12_perp,WaveDirection_Mean_24_perp,WaveDirection_Mean_1_par,WaveDirection_Mean_2_par,WaveDirection_Mean_6_par,WaveDirection_Mean_12_par,WaveDirection_Mean_24_par,Wind_Mean_1_perp,Wind_Mean_2_perp,Wind_Mean_6_perp,Wind_Mean_12_perp,Wind_Mean_24_perp,Wind_Mean_1_par,Wind_Mean_2_par,Wind_Mean_6_par,Wind_Mean_12_par,Wind_Mean_24_par,AirTemperature_Mean_1,AirTemperature_Mean_2,AirTemperature_Mean_6,AirTemperature_Mean_12,AirTemperature_Mean_24,AirTemperature_Mean_48,AirTemperature_Mean_72,AirTemperature_Mean_120,AirTemperature_StDev_2,AirTemperature_StDev_6,AirTemperature_StDev_12,AirTemperature_StDev_24,AirTemperature_StDev_48,AirTemperature_StDev_72,AirTemperature_StDev_120,Sea.water.temp....16.139.0..Mean..1hr.,Sea.water.temp....16.139.0..Mean..2hr.,Sea.water.temp....16.139.0..Mean..6hr.,Sea.water.temp....16.139.0..Mean..12hr.,Sea.water.temp....16.139.0..Mean..24hr.,Sea.water.temp....16.139.0..Mean..48hr.,Sea.water.temp....16.139.0..Mean..72hr.,Sea.water.temp....16.139.0..Mean..120hr.,Sea.water.temp....16.139.0..StDev..6hr.,Sea.water.temp....16.139.0..StDev..12hr.,Sea.water.temp....16.139.0..StDev..24hr.,Sea.water.temp....16.139.0..StDev..48hr.,Sea.water.temp....16.139.0..StDev..72hr.,Sea.water.temp....16.139.0..StDev..120hr.,Sqrt.Precip_MR_Sum_1,Sqrt.Precip_MR_Sum_2,Sqrt.Precip_MR_Sum_6,Sqrt.Precip_MR_Sum_12,Sqrt.Precip_MR_Sum_24,Sqrt.Precip_MR_Sum_48,Sqrt.Precip_MR_Sum_72,Sqrt.Precip_MR_Sum_120,log.Manitowoc_Discharge_Mean_1,log.Manitowoc_Discharge_Mean_2,log.Manitowoc_Discharge_Mean_6,log.Manitowoc_Discharge_Mean_12,log.Manitowoc_Discharge_Mean_24,log.Manitowoc_Discharge_Mean_48,log.Manitowoc_Discharge_Mean_72,log.Manitowoc_Discharge_Mean_120,log.Manitowoc_Discharge_Min_1,log.Manitowoc_Discharge_Min_2,log.Manitowoc_Discharge_Min_6,log.Manitowoc_Discharge_Min_12,log.Manitowoc_Discharge_Min_24,log.Manitowoc_Discharge_Min_48,log.Manitowoc_Discharge_Min_72,log.Manitowoc_Discharge_Min_120,log.Manitowoc_Discharge_Max_24,ALGAE_NEARSHORE2,ALGAE_NEARSHORE3,ALGAE_NEARSHORE4,ALGAE_ON_BEACH2,ALGAE_ON_BEACH3,ALGAE_ON_BEACH4,log.beach_TurbidityBeach,beach_WindVector_perp,beach_WindVector_parl
5/31/2011 10:15,0.698970004,5,15,1,0,2,19,0,12,-8,668.4,668.04,667.35,665.81,663.138,660.014,659.343,657.965,668,667,666,663,658,3,0.22777177,0.126443491,0.089418295,0.044709148,0.022663786,0.34539451,0.000839634,0.000149796,0.000839634,0.007143867,0.000839634,-0.011994375,0.004067935,0.01186524,0.01114506,0.009957019,0.008343471,0.003721369,0.000654751,0.005660134,0.001648132,0.02618393,0.02399667,0.021661057,0.018118053,0.008077176,0.001448423,0.012303615,0.003589653,0.004978814,0.000844598,0.002228689,0.003025901,-0.012504392,-0.015248612,-0.003629257,-0.008393465,0.04334713,0.03816695,0.030290103,0.026015135,0.015768267,0.005201391,0.018641776,0.004545822,0.69125557,0.627762765,0.488316638,0.387105027,0.31021078,-0.42629162,-0.40568172,-0.348441772,-0.289239041,-0.252442212,0.54415965,0.47830802,0.339079228,0.254398776,0.148555404,-0.61669176,-0.649558295,-0.728004298,-0.766433318,-0.849588907,0.78720472,0.75908025,0.679671402,0.636488264,0.381847644,-2.1235,-3.444633,-3.54647237,-2.8601015,-3.59139673,9.673119,7.116444,4.87037013,4.52747218,3.469822857,15.111575,14.212424,12.064192,11.2445869,10.7066958,9.97773454,9.548884004,8.731405177,0.8991515,1.724255249,1.531986517,1.285246823,1.281331849,1.387972895,1.681947814,12.355719,12.355719,12.247654,12.227564,12.204141,11.80140178,11.37080894,10.84396139,0.1080655,0.080500811,0.261814527,0.586992325,0.795553391,0.932102987,0,0,0,0,0,0.347020492,0.868502485,1.274858897,2.62324929,2.624282096,2.627191694,2.63228516,2.641057464,2.655676166,2.663887415,2.666246462,2.62324929,2.62324929,2.62324929,2.62324929,2.62324929,2.62324929,2.62324929,2.62324929,2.658964843,0,0,0,0,0,0,0.77815125,0.520944533,-2.954423259
6/1/2011 9:10,0.698970004,5,12,0,0,0,22,0,120,-3,675.3,675.17,674.81,674.03,672.533,667.606,664.013,660.741,675,675,674,672,668,2,0,0,0,0,0.132991691,0.082482204,-0.017235609,-0.01615295,-0.017235609,0.008822665,-0.017235609,-0.039825596,-0.018075243,0.01642101,0.01523378,0.015641034,0.015315766,0.020738407,0.011832345,0.007273263,0.007274992,0.03566888,0.03355207,0.034076298,0.033252516,0.045129117,0.025727429,0.015824879,0.01582779,0.04226012,0.041054483,0.037393723,0.032712389,0.037214958,0.011557951,0.001998282,0.002660135,0.04765783,0.045101416,0.043659636,0.042874409,0.059434591,0.03637726,0.022886696,0.021260701,0.35642213,0.3502319,0.304543283,0.405714932,0.626881989,0.21178842,0.19208156,0.14747465,0.016906945,-0.127160682,0.28667473,0.29220949,0.26485795,0.371293954,0.581158322,0.5942067,0.547617635,0.479842343,0.145506015,-0.093017129,0.80431238,0.83487156,0.872224028,0.9095703,0.918812555,9.294053,9.37990445,8.37899937,7.12582175,4.831016004,3.297574,4.2978879,3.71631767,4.34043862,6.226541975,12.354464,12.189807,11.858877,12.5156484,13.786054,12.1293931,11.1645925,10.06554516,0.164657,0.293670128,0.733475191,1.423537461,2.045140923,2.199756043,2.279332036,10.479538,10.479538,10.639767,10.972808,11.669201,11.8480048,11.67273885,11.16209969,0.160229,0.370815224,0.763624397,0.664070015,0.700943524,0.861642703,0,0,0,0,0.183347528,0.183347528,0.39247871,1.287975746,2.593286067,2.594282029,2.596377144,2.603328448,2.611595868,2.627468272,2.642399223,2.656892244,2.589949601,2.589949601,2.589949601,2.589949601,2.589949601,2.589949601,2.589949601,2.589949601,2.627365857,1,0,0,1,0,0,1.653212514,-5.162187927,-7.372368399
6/3/2011 16:40,0,1,13,1,0,0,15,0,6,-18,692.1,691.92,691.4,690.23,687.038,683.199,679.026,670.776,692,691,691,687,682,1,0.29450575,0.2195852,0.088778465,0.044389233,0.103041439,0.05152072,-0.002108509,-0.003081445,-0.002108509,0.019935565,-0.002108509,-0.01824083,0.016132321,-0.000102361,-0.000127639,-0.000619047,-0.001595416,-0.005043828,0.003766808,0.009020162,0.005643723,0.000650921,-0.000149956,-0.001256297,-0.003485935,-0.010977547,0.008294181,0.019656905,0.012310953,-0.003828566,-0.001627403,-0.002652053,-0.009361157,-0.019151908,0.005245533,0.013430723,0.002094712,0.000616723,-0.000662048,-0.000950148,-0.000356243,-0.00944217,0.01230682,0.026883071,0.017920043,0.029208533,0.023872579,0.062052376,0.115946215,0.165485759,-0.029190304,-0.02381841,-0.060235827,-0.111664148,-0.153407,0.001031769,0.001428636,-0.013095513,-0.030168159,-0.05521295,-0.9993759,-0.99725742,-0.979791668,-0.970085217,-0.93394413,0.035324222,0.066902556,-0.131398132,-0.204610555,-0.295376923,-3.095708,-2.184258,-1.3112076,-2.46989391,-3.43494706,0.06581915,0.043054899,-0.277595297,-0.132765754,-0.755197298,8.684803,8.533271,8.5063507,8.97626858,9.213434583,10.76919499,11.74878005,10.84512688,0.151532,0.150933814,0.645070243,0.676521039,2.107921903,2.39846398,2.252771476,10.672128,10.672128,10.725912,10.8627179,10.649555,10.57706394,11.01027838,11.22371109,0.0537835,0.163286593,0.387114033,0.314233136,0.755941472,0.801977055,0,0,0,0,0,0,0.183347528,0.39247871,2.459693976,2.460897843,2.469085299,2.482330376,2.510612026,2.546752357,2.571648283,2.609932536,2.456366033,2.456366033,2.456366033,2.456366033,2.456366033,2.456366033,2.456366033,2.456366033,2.559906625,1,0,0,0,0,0,0.602059991,1.041889066,-5.908846518
6/6/2011 9:33,0.77815125,6,13,0,0,0,18,0,0,-9,730.9,730.83,730.67,728.145,724.834,712.566,704.924,697.197,729,729,729,721,718,0,0.38991344,0.208582674,0.069527558,0.034763779,0.022138459,0.014893856,-0.005114119,-0.004328469,-0.005114119,0.009639031,-0.005114119,-0.013095391,-0.004961601,0.009708034,0.00799753,0.004634835,0.002149019,-0.000486867,-0.000646203,0.006145409,0.004639612,0.021365003,0.017581806,0.01014948,0.004721077,-0.001088532,-0.001406529,0.013377736,0.010111832,-0.003744424,-7.52E-05,0.004174551,0.000213938,-0.016652609,-0.004852571,0.002759808,0.001927888,0.043943546,0.036952623,0.020487899,0.011055774,-0.003094754,-0.005551036,0.014632876,0.012243344,0.38209173,0.32820288,0.166468751,0.112032565,0.100132887,-0.12511635,-0.101538118,-0.038712849,-0.03622844,-0.051120475,0.3610263,0.31201452,0.160096877,0.090702698,0.02095638,-0.32745109,-0.30582526,-0.119216521,-0.356358436,-0.532067274,0.94486813,0.95181666,0.973413605,0.670865545,0.040124243,-5.53819,-4.4093443,-2.17002417,-1.083991993,-1.753555554,5.988273,6.4598854,4.52993042,3.227885142,0.396157114,13.803715,13.644784,12.160126,11.5261529,12.7303724,13.2520273,12.69611026,11.81866568,0.1589315,1.25752847,1.11779695,1.571372989,1.744604101,1.802023747,2.21261483,12.103982,12.103982,12.182488,12.439249,12.7559734,12.4667375,11.8818751,11.36294095,0.0785055,0.291082004,0.639548992,0.793984663,1.069877862,1.063001055,0.035606334,0.035606334,0.035606334,0.035606334,0.035606334,0.035606334,0.127700258,1.764910504,2.294466226,2.29578694,2.301897717,2.310055738,2.325741372,2.345452151,2.369494162,2.441833334,2.290034611,2.290034611,2.290034611,2.290034611,2.290034611,2.290034611,2.290034611,2.290034611,2.354108439,1,0,0,1,0,0,0.698970004,0.868240888,-4.924038765
6/7/2011 9:00,1.447158031,28,14,1,0,3,14,0,0,-3,736.7,736.54,733.28,726.386,725.19,724.851,716.512,705.865,736,736,727,715,714,10,0.13849798,0.072536671,0.024288624,0.078737069,0.14073114,0.0814348,0.001533373,-0.003003613,0.001533373,0.007556654,0.001533373,-0.009796075,0.010382786,2.80E-05,0.000598329,0.001656303,0.00353237,0.008448183,0.003980658,0.002385259,0.004893343,0.00085377,0.001490145,0.003736448,0.007736549,0.01839102,0.008651244,0.005192654,0.010641432,-0.008900545,-0.004378206,0.000860218,0.003590627,0.001303827,-0.007674391,-0.002800438,-0.00118832,-0.003860321,-0.00330641,0.002283327,0.006937639,0.023601013,0.01025313,0.004166313,0.013279247,0.09338509,0.077601083,0.052101718,0.057470757,0.222227015,-0.08790514,-0.062508412,-0.030432518,-0.026967723,-0.110636669,0.03151921,0.040478392,0.037706449,0.044644991,0.187076332,-0.94131883,-0.77083282,-0.511205313,-0.347453721,-0.430439163,0.33751867,0.568629225,0.800498598,0.835896948,0.83948382,-4.265357,-4.302248,-1.56913445,-0.826220918,-2.665351426,-1.170153,-1.542193,1.250044,1.0370401,1.87053802,13.813677,14.31686,13.706738,13.3293543,13.00320585,12.86678911,13.1690868,12.0805496,0.50318351,0.567042872,0.621594286,0.67337783,1.216525755,1.481215647,2.012618193,11.967207,11.967207,12.052407,12.272548,12.4814079,12.61869066,12.47162765,11.77050689,0.0852,0.246329976,0.333710496,0.528241753,0.67634544,1.026664057,0,0,0,0,0.779783064,0.780595566,0.780595566,1.92950012,2.257678575,2.258158193,2.259593879,2.263399331,2.273140224,2.300899688,2.3232521,2.380641704,2.252853031,2.252853031,2.252853031,2.252853031,2.252853031,2.252853031,2.252853031,2.252853031,2.29666519,1,1,0,1,0,0,0.698970004,0.984807753,0.173648178
6/8/2011 8:49,0.602059991,4,11,0,0,0,26,0,100,-5,728.3,728.54,728.46,723.724,725.048,725.1,724.872,712.7426,728,728,725,713,712,4,0.21021494,0.26477527,0.12895575,0.064477875,0.066498269,0.108852527,0.004276823,-0.005354934,0.004276823,0.010990274,0.004276823,-0.020804534,0.00274345,0.017909581,0.019740806,0.021279202,0.013888303,0.007913306,0.008382411,0.005255979,0.006993861,0.041056118,0.043832904,0.046367859,0.030305817,0.017274035,0.018259845,0.011443647,0.015227967,0.02888315,0.0336774,0.038920831,0.025900729,0.005318464,0.003418565,-0.003251856,0.00299045,0.05196769,0.05637803,0.061125853,0.042229634,0.027826122,0.026709481,0.015805538,0.019253544,0.65791297,0.653163635,0.681815835,0.552543969,0.429513644,-0.081607786,-0.073926208,-0.067957268,-0.137459643,-0.19426868,0.65283202,0.64892676,0.67829396,0.514089365,0.342275266,-0.1240404,-0.11310222,-0.099968296,-0.314252837,-0.584896922,0.99227717,0.993522365,0.99480463,0.901420294,0.695778165,3.537402,3.504522,4.3056902,2.242730506,-1.411692897,8.003411,8.0717855,8.1255287,6.99344349,4.856838251,16.554092,16.861654,17.3629492,16.538926,15.6031971,14.30299393,13.77631077,13.30317178,0.307562,0.434859885,1.804189092,1.725999261,1.8456569,1.908909491,2.012228739,10.04583,10.04583,10.733337,11.640096,12.21852,12.34996403,12.48530048,12.06911069,0.687507,1.036305041,0.955595436,0.727695107,0.725258339,0.975287129,0.214644753,0.412918479,0.676528771,0.676528771,0.676528771,1.0329669,1.0329669,1.478761462,2.225309282,2.22685757,2.230704314,2.236789099,2.243434937,2.258780907,2.282939166,2.329542281,2.220108088,2.220108088,2.220108088,2.220108088,2.220108088,2.220108088,2.220108088,2.220108088,2.252853031,1,1,0,1,0,0,1.146128036,-7.456493673,-10.64897658
6/13/2011 8:32,1.204119983,16,12,0,0,6,21,25,8,-3,652,651.54,651.5,652.86,653.446,656.476,663.385,677.954,652,651,651,651,651,0,0,0,0.000440109,0.000220054,0.027727072,0.366641468,0.003771262,0.006784762,0.003771262,0.025788322,0.003771262,-0.005238936,-0.011431784,-0.001423418,-0.001866635,-0.001170777,-0.000578047,-0.001925918,0.001286583,-0.000776564,-0.00116574,-0.003997282,-0.003893025,-0.002524288,-0.001254249,-0.004159297,0.002763518,-0.00169511,-0.002531283,0.01105158,0.014195698,0.013795952,0.019898903,-0.002080702,-0.002423815,-0.009686951,-0.009778266,-0.009769222,-0.0107518,-0.008772455,-0.006102854,-0.01200219,-0.002508344,-0.008349184,-0.00862308,0.06635427,0.072594562,0.093012221,0.09099869,0.159465137,0.04918748,0.056359364,0.078349885,0.079033043,-0.050852222,-0.04453629,-0.045606498,-0.048508354,-0.025028947,-0.059091598,0.74128578,0.773581715,0.829803513,0.825165445,0.036077667,-0.67118953,-0.631635815,-0.542509592,-0.217150993,-0.254453002,1.570931,2.4007994,3.01827005,3.37641777,0.985702903,-3.70296,-3.2318783,-2.63306748,-1.698969654,-1.815930015,12.145482,11.526728,10.372344,10.57941296,11.92695431,11.49849123,11.30965912,12.10782952,0.6187545,0.945114744,1.009002124,1.564472462,1.244642993,1.063771297,2.365031445,12.077626,12.077626,12.178081,12.56944,12.62396369,11.91928772,11.18078333,9.92688319,0.100455,0.417711848,0.652403968,0.885785198,1.324896055,1.870367979,0,0,0,0,0,0,3.920275605,5.261837125,2.501059262,2.501059262,2.502973059,2.504729052,2.50801769,2.495780152,2.43917474,2.375617896,2.501059262,2.501059262,2.501059262,2.501059262,2.501059262,2.408239965,2.260071388,2.220108088,2.517195898,1,0,0,1,0,0,0.477121255,2.294305745,3.276608177
6/14/2011 8:22,1.633468456,43,12,0,0,0,15,2,10,-3,669.8,669.83,666.65,664.43,660.616,657.052,657.925,668.538,667,666,663,660,652,5,0,0,0,0,0,0.013863536,0.006769864,0.005548737,0.006769864,0.019996604,0.006769864,-0.010640527,0.008083427,-0.003031287,-0.003451172,-0.003139849,-0.002014904,-0.001222942,-0.00157443,0.000450074,-0.002736273,-0.006308757,-0.006661462,-0.006632151,-0.004318929,-0.002629232,-0.003394264,0.000965935,-0.005931437,-0.01751912,-0.01604258,-0.01174604,-0.001008578,-0.012044083,-0.007062392,-0.005630571,-0.015022212,-0.004302613,-0.00655566,-0.011501007,-0.009178966,-0.002278372,-0.007140281,-0.002431687,-0.012426669,0.10164274,0.091792205,0.096401099,0.079587265,0.072565977,-0.098778487,-0.084059504,-0.066940954,-0.007697394,-0.031420306,-0.023959489,-0.033810514,-0.063909571,-0.048654484,-0.029702809,-0.97182039,-0.909019195,-0.689905542,0.047722919,-0.331757521,-0.23572258,-0.38427971,-0.666005935,-0.62021924,-0.42748976,-2.9197507,-3.1446076,-1.91716755,0.17392542,-1.23182554,2.6865143,1.65164532,-1.43773349,-1.718002372,-1.226581366,13.857702,13.257998,11.9498905,12.22120858,13.17914352,12.55304892,12.05870866,11.61515818,0.5997035,1.034615211,0.857856106,1.208303452,1.531593978,1.465302132,1.289355604,13.409422,13.409422,13.564236,13.842842,13.81075419,13.21735894,12.54977654,11.07430348,0.1548135,0.310678525,0.59067231,0.859872247,1.197667392,2.122278818,0,0,0,0,0,0,0,4.205050399,2.469822016,2.47099817,2.473924693,2.478479917,2.486118638,2.497275286,2.492271358,2.418715497,2.469822016,2.469822016,2.469822016,2.469822016,2.469822016,2.469822016,2.403120521,2.252853031,2.501059262,1,0,0,0,0,0,0,3.276608177,-2.294305745
6/15/2011 8:52,2.45484486,285,13,1,0,0,13,0,0,-6,683.3,683.46,682.61,677.74,668.73,664.818,661,663.869,683,683,680,663,654,3,0.029766006,0.014883003,0.009869926,0.005029269,0.002576912,0.001288456,0.016704598,0.008183412,0.016704598,0.020110592,0.016704598,-0.003764494,0.009269171,0.001792509,0.002392699,0.000806732,-0.001117295,-0.000920225,-0.001071583,-0.001356362,-0.000894572,0.005548313,0.005185942,0.001748915,-0.002350733,-0.00197599,-0.002302611,-0.002921506,-0.00193811,-0.00977623,-0.01053924,-0.013397352,-0.015901868,-0.022013316,-0.0170287,-0.012046034,-0.012623651,0.0034157,0.005977749,0.004625498,-0.001165047,0.003715292,0.00071846,-0.003521757,-0.004722127,0.65884393,0.651144815,0.643243302,0.460442362,0.348286595,-0.64466265,-0.634120675,-0.627740988,-0.452269261,-0.338833093,0.13596102,0.14730901,0.137918899,0.063603022,0.060698304,-0.9784755,-0.973799735,-0.976320937,-0.986175008,-0.97246406,0.20636301,0.2264685,0.212221577,0.073986831,0.148713588,-7.9585363,-7.28026965,-7.02215905,-6.27938804,-5.304212858,0.23279111,1.06954756,2.884275685,1.540884073,1.052614729,12.132424,11.998842,12.00992,12.0805082,13.10033727,13.1397404,12.73547837,12.04169163,0.1335825,0.135139195,0.300573917,1.08793608,1.150371105,1.423007164,1.418490216,13.889865,13.889865,13.97176,14.169713,14.2105948,14.01067447,13.54843754,12.31273979,0.0818955,0.216684362,0.39292541,0.540009441,0.873847659,1.758363425,0,0,0.18369583,0.18369583,0.18369583,0.18369583,0.18369583,3.924577043,2.424554977,2.425697213,2.42894429,2.435971706,2.448613578,2.467430504,2.481342285,2.451130662,2.423245874,2.423245874,2.423245874,2.423245874,2.423245874,2.423245874,2.423245874,2.264817823,2.469822016,1,0,0,1,0,0,1.176091259,3.276608177,-2.294305745
6/28/2011 8:48,1.146128036,14,15,0,0,0,20,16,5,-10,534.1,534.04,533.78,533.56,533.799,532.689,527.512,509.345,534,534,533,532,532,1,0.08547339,0.069470056,0.055985295,0.050633119,0.349879963,0.175315267,-0.008318733,-0.006491812,-0.008318733,0.013228972,-0.008318733,-0.022546858,-0.01044413,0.00712632,0.007490089,0.007229433,0.008602172,0.012524216,0.009694657,0.00756999,0.003982931,0.01614078,0.016567076,0.015763312,0.018684769,0.027178267,0.021073129,0.016449441,0.008644183,0.03041502,0.02820276,0.029714024,0.029039138,0.018138004,0.00434346,0.0125117,0.012482455,0.01492974,0.01759703,0.017710763,0.020493041,0.033382599,0.030309824,0.025745575,0.011063087,0.26604417,0.26974376,0.235946245,0.240062777,0.482831049,0.25902649,0.26551498,0.23361634,0.126262249,-0.227567004,-0.060702367,-0.044363412,-0.030099408,0.063938839,0.244058066,0.97362213,0.984178225,0.990618153,0.702231646,-0.051058787,-0.2281665,-0.16532688,-0.123438809,0.211978333,0.396203382,8.5889066,8.5839393,7.96738185,6.98248543,1.88059759,-1.8543604,-1.5175017,-0.838828763,-0.265895323,3.237476342,16.510149,16.176026,16.064293,16.5191992,16.3514938,16.2271191,16.02903481,15.29478976,0.33412351,0.274335496,0.556662353,0.478428016,0.663558894,1.145726029,1.401000751,13.739928,13.739928,13.868896,14.142407,14.7492079,15.3807039,15.3602123,15.2623266,0.128968,0.307974121,0.66496705,0.891278072,0.874254012,0.75628485,0,0,0,0.753258621,1.543896353,1.543896353,1.543896353,4.360213983,3.051152522,3.051538391,3.053232149,3.058350092,3.067256889,3.086342031,3.105213742,3.155524292,3.049218023,3.049218023,3.045322979,3.045322979,3.045322979,3.045322979,3.045322979,2.957128198,3.086359831,1,0,0,0,0,0,0.477121255,-0.868240888,4.924038765
