surveyDatetime,log_beach_EColi,beach_EColiValue,beach_Sc,beach_WaterTemp,beach_AirTemp,trib_ThompsonCreek040263165_TribSc,trib_ThompsonCreek040263165_TribWaterLevel,trib_ThompsonCreek040263165_WaterElevation,beach_LakeshoreCurrVel,beach_PeopleInWater,beach_PeopleOnBeach,beach_WaveHeightManual,beach_WindDirDegrees,beach_WindSpeed,Whittlesey_Discharge_Diff_6,HeightAboveSeaLevel_Mean_1,HeightAboveSeaLevel_Mean_2,HeightAboveSeaLevel_Mean_6,HeightAboveSeaLevel_Mean_12,HeightAboveSeaLevel_Mean_24,HeightAboveSeaLevel_Diff_24,AirTemperature_Mean_1,AirTemperature_Mean_2,AirTemperature_Mean_6,AirTemperature_Mean_12,AirTemperature_Mean_24,AirTemperature_Mean_48,AirTemperature_Mean_72,AirTemperature_Mean_120,CloudCover_Mean_1,CloudCover_Mean_2,CloudCover_Mean_6,CloudCover_Mean_12,CloudCover_Mean_24,Wind_Mean_1_perp,Wind_Mean_2_perp,Wind_Mean_6_perp,Wind_Mean_12_perp,Wind_Mean_24_perp,Wind_Mean_1_par,Wind_Mean_2_par,Wind_Mean_6_par,Wind_Mean_12_par,Wind_Mean_24_par,AirTemperature_StDev_2,AirTemperature_StDev_6,AirTemperature_StDev_12,AirTemperature_StDev_24,AirTemperature_StDev_48,AirTemperature_StDev_72,AirTemperature_StDev_120,Sqrt.Precipitation.over.upload.Thompson.Sum..1hr,Sqrt.Precipitation.over.upload.Thompson.Sum..2hr,Sqrt.Precipitation.over.upload.Thompson.Sum..6hr,Sqrt.Precipitation.over.upload.Thompson.Sum..12hr,Sqrt.Precipitation.over.upload.Thompson.Sum..24hr,Sqrt.Precipitation.over.upload.Thompson.Sum..48hr,Sqrt.Precipitation.over.upload.Thompson.Sum..72hr,Sqrt.Precipitation.over.upload.Thompson.Sum..120hr,Sqrt.Precipitation.over.upload.maslowski.Sum..1hr,Sqrt.Precipitation.over.upload.maslowski.Sum..2hr,Sqrt.Precipitation.over.upload.maslowski.Sum..6hr,Sqrt.Precipitation.over.upload.maslowski.Sum..12hr,Sqrt.Precipitation.over.upload.maslowski.Sum..24hr,Sqrt.Precipitation.over.upload.maslowski.Sum..48hr,Sqrt.Precipitation.over.upload.maslowski.Sum..72hr,Sqrt.Precipitation.over.upload.maslowski.Sum..120hr,Sqrt.Whittlesey_ARF_Sum_1,Sqrt.Whittlesey_ARF_Sum_2,Sqrt.Whittlesey_ARF_Sum_6,Sqrt.Whittlesey_ARF_Sum_12,Sqrt.Whittlesey_ARF_Sum_24,Sqrt.Whittlesey_ARF_Sum_48,log.Whittlesey_Discharge_Mean_1,log.Whittlesey_Discharge_Mean_2,log.Whittlesey_Discharge_Mean_6,log.Whittlesey_Discharge_Mean_12,log.Whittlesey_Discharge_Mean_24,log.Whittlesey_Discharge_Mean_48,log.Whittlesey_Discharge_Mean_72,log.Whittlesey_Discharge_Mean_120,log.Whittlesey_Discharge_Min_1,log.Whittlesey_Discharge_Min_2,log.Whittlesey_Discharge_Min_6,log.Whittlesey_Discharge_Min_12,log.Whittlesey_Discharge_Min_24,log.Whittlesey_Discharge_Min_48,log.Whittlesey_Discharge_Min_72,log.Whittlesey_Discharge_Min_120,log.Whittlesey_Discharge_Max_24,beach_AlgaeNearshore2,beach_AlgaeNearshore3,beach_AlgaeOnBeach2,beach_AlgaeOnBeach3,yday,log.beach_TurbidityBeach
6/9/2010 9:40,1.544068044,35,86.2,14.3,17.1,92.7,18.75,1.25,4.572,0,0,0.08,350,6.5,-1,0.006329812,-0.008361172,-0.007898539,-0.001984463,0.002660187,-0.024187721,11.77497,11.628126,10.883747,10.61558921,10.44122519,11.90648926,11.16552138,11.07778625,0.5832039,0.3430352,0.380010823,0.593303703,0.711322418,3.617277,4.62121,4.713995,4.4036547,4.03811892,-6.006579,-5.484728,-3.50199155,-2.68031442,0.14444455,0.146844,0.610222228,0.53010601,0.606435901,2.781307126,2.769412737,2.470978211,0,0,0,0.353553391,5.429507756,5.429507756,5.429507756,5.953278829,0,0,0,0.419480072,5.044681495,5.044681495,5.049318504,5.435581971,0,0,0,0.10000115,1.044030773,1.044030773,1.392696953,1.394451681,1.40790054,1.388633969,1.364363355,1.302504092,1.281465173,1.278913575,1.380211242,1.380211242,1.380211242,1.361727836,1.230448921,1.230448921,1.230448921,1.230448921,1.431363764,0,0,0,0,160,0.561101384
6/10/2010 9:39,0.301029996,2,86.7,16.2,16.1,120.8,18.25,1.75,2.8,0,0,0.17,90,2,0,-0.007486841,-0.006911057,-0.011170492,-0.005415682,-0.002119789,-0.003204108,12.617494,12.579124,10.186447,10.0781625,11.76022244,11.10072381,11.85773365,11.07747302,0.4380274,0.44530484,0.320998912,0.231434121,0.480228737,-1.6297794,-1.1624466,1.86838747,2.08080835,1.143130347,-0.4389834,-0.5090213,-1.03002087,-2.437702478,-4.183977847,0.03837,1.727058431,1.295964461,2.082640955,1.669585985,2.570537859,2.453004405,0,0,0,0,0,5.429507756,5.429507756,5.687054504,0,0,0,0,1.116418161,5.166739872,5.166739872,5.373811813,0,0,0,0,0.09999161,1.048808169,1.278753601,1.278753601,1.278753601,1.286680969,1.315970345,1.340543258,1.306853749,1.283459536,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.230448921,1.230448921,1.230448921,1.397940009,0,0,0,0,161,-1.22184875
6/11/2010 9:50,2.588495801,387.7,89.7,15.5,14.1,56.6,16.67,3.33,5.33,0,0,0.25,90,5,5,0.033937313,0.012572226,-0.001387672,0.001258981,0.006394452,-0.029931777,10.12973,10.231148,10.56095,10.1843927,11.1923908,11.47630664,11.13127949,11.28983548,1,0.98539302,0.951054447,0.946237187,0.73784221,1.1838833,-0.1384944,-1.10749851,-0.633350175,-1.949486771,3.922148,3.8943365,3.33579832,3.09120391,2.90293758,0.1014185,0.95946232,0.778692759,1.274587593,1.749740444,1.54975376,2.41859583,2.372094222,2.489913573,2.489913573,2.489913573,2.489913573,2.489913573,5.973208859,5.973208859,2.459534712,2.779443487,2.779443487,2.779443487,2.779443487,2.995278887,5.866899266,5.870886897,0.591608327,0.800000845,0.806226756,0.806226756,0.806226756,0.812403781,1.311753861,1.28780173,1.266466895,1.261024834,1.259593879,1.288137395,1.315361487,1.284340481,1.278753601,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.361727836,0,0,0,0,162,0.698970004
6/21/2010 9:10,0.716003344,5.2,106.9,17.8,19.1,194.2,19.2,0.8,3.87,0,1,0,90,0,1,0.003157733,0.010735709,0.012753152,0.003998491,-0.000204677,0.019392983,15.924534,15.848657,13.7659129,13.03297404,15.31361381,14.23889744,14.79627594,14.67591814,0,0,0.05302146,0.100980172,0.133265351,-0.7690186,-0.82857975,1.00503028,1.969284791,0.561853581,0.6949145,0.4607533,0.516516072,0.41600628,0.92993891,0.075877,1.90747294,1.568737358,3.022393739,2.67081456,2.522950281,2.223985088,0,0,0,0,0,0,0,1.190472133,0,0,0,0,0,0,0,1.461685318,0,0,0,0,0,0,1.276461804,1.276461804,1.274388796,1.267640982,1.265525335,1.26927939,1.272445019,1.280259589,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.278753601,0,0,0,0,172,0
6/22/2010 9:03,2.588047497,387.3,94.1,18.1,17.9,114.6,18.8,1.2,2.79,0,0,0.08,135,3.5,-7,-0.032907084,-0.008552554,0.004776036,0.005537934,0.002226656,0.010539696,15.598572,15.635179,13.207608,12.70612588,13.93370877,14.62366129,14.13716788,14.74259132,0.9890136,0.689747535,0.71634555,0.72508978,0.702875125,-0.9728082,-1.0750891,1.0696745,1.75967269,0.03269138,-0.8596857,-0.51474735,-0.617213803,-0.291709861,-0.020868451,0.036606999,1.723082782,1.334340907,1.868248428,2.605502357,2.437139473,2.203447077,0,0,0,0,4.590080198,4.590080198,4.590080198,4.74194687,0,0,0.216346858,0.216346858,5.541832821,5.541832821,5.541832821,5.731355423,0,0,0,0,1.118033946,1.118033946,1.480006943,1.485721426,1.514813295,1.589391023,1.506910726,1.402794249,1.363668378,1.332317245,1.477121255,1.477121255,1.477121255,1.477121255,1.255272505,1.255272505,1.255272505,1.255272505,1.755874856,0,0,0,0,173,0.390935107
6/23/2010 9:05,2.033825694,108.1,99.3,19.7,21.9,145.6,19.1,0.9,0,0,0,0.04,0,0,-1,0.007341159,-0.00527324,0.009441068,0.002500064,0.001434272,0.009312084,14.023369,14.182596,13.916374,14.03167196,15.0604059,14.49705733,14.76924283,14.6765885,0.7753331,0.8369124,0.754769567,0.485101356,0.361002464,4.5939989,4.3497878,2.97653357,2.48722372,0.354099105,-0.91017977,-1.11838758,-0.428394305,-0.694247977,-0.141835188,0.159227,0.310798146,0.451351493,1.442724642,1.76160861,2.293897946,2.254320398,0,0,0.871697998,1.01058864,1.01058864,4.700013364,4.700013364,4.700013364,0,0,0.522651582,1.607586849,2.131100555,5.93746584,5.93746584,5.93746584,0,0,0,0,0,1.118033946,1.326335861,1.328379603,1.338057875,1.350054094,1.388101202,1.451878502,1.398200507,1.353300592,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,1.255272505,1.255272505,1.255272505,1.477121255,0,0,0,0,174,-1
6/28/2010 12:25,1.025305865,10.6,107.2,19.2,17.1,153.6,19.2,0.8,3.75,1,4,0.33,170,2.8,0,0.00212892,0.015253135,-0.001145176,0.004337239,0.001929343,-0.014480978,15.822611,15.31966,14.2770878,14.62655971,16.0573209,15.18684943,14.76123568,14.95762427,0.34242803,0.546531065,0.74164972,0.654182033,0.447504025,-0.6571685,-2.2614902,-4.1489938,-2.86135565,-0.15745094,-1.270994,-0.830914735,0.860789805,0.558238819,-1.548778857,0.50295049,0.811130644,0.891126959,2.087181766,1.933005523,1.929067067,1.954120979,0,0,0.022337502,0.022337502,0.022337502,0.022337502,1.921113079,5.283975842,0,0,0.35298703,0.35298703,0.35298703,0.426175003,2.535309411,6.554699137,0,0,0.2000023,0.2000023,0.2000023,0.2000023,1.278753601,1.278753601,1.281487888,1.29136885,1.2999429,1.336219505,1.382233235,1.37036503,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.322219295,0,0,0,0,179,-1
7/20/2010 10:02,2.055760465,113.7,94.8,20.7,19.9,194.8,19.05,0.95,1.35,0,0,0.08,0,0,0,-0.002202081,-0.001797729,-0.000180124,-0.000585638,0.000818975,-0.004944069,17.061443,16.916898,16.1855331,16.36862679,18.4001031,18.54455603,18.54431058,18.62391638,0.7594843,0.59379626,0.252147836,0.353797068,0.307360931,3.871056,3.5731198,3.9702056,3.84578747,1.9267517,-0.413738,-0.4870311,-0.459253464,-0.371464264,-0.279685689,0.1445455,0.647947312,0.552057872,2.493293176,2.341987918,2.170972766,1.990156037,0.490798187,0.708741744,0.708741744,0.708741744,0.708741744,0.733096958,2.871966574,2.895130079,0.164716975,0.331263155,0.339732847,0.339732847,0.406287264,0.976149677,3.754402052,3.80497223,0,0,0,0,0,0,1.255272505,1.255272505,1.255272505,1.255272505,1.25358029,1.256453145,1.255272505,1.25319257,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.230448921,1.230448921,1.255272505,0,0,0,0,201,-1
7/22/2010 9:09,1.631443769,42.8,92.2,20.3,18.8,194.6,19.2,0.8,0.7,0,0,0,0,0,0,0.007508813,0.00027961,-0.001898401,1.57E-05,-0.000530875,0.01643247,17.987188,17.911229,17.6156163,17.6202017,19.7695224,19.0958796,18.89819055,18.7922742,0.3883997,0.1941998,0.10987133,0.087715241,0.05695777,2.774677,2.868019,3.63641138,3.89452656,2.328487424,-0.07348939,-0.07921586,-0.266046887,-0.340674309,-1.594983378,0.075959,0.398872328,0.430075657,2.62447827,2.241037142,2.342586719,2.214853857,0,0,0,0,0,0.862678584,1.002819196,2.958297396,0.32711014,0.32711014,0.32711014,0.32711014,0.32711014,0.860100541,0.936862103,3.848139295,0,0,0,0,0,0,1.255272505,1.255272505,1.255272505,1.255272505,1.248953615,1.252124553,1.252610341,1.254016061,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.230448921,1.230448921,1.255272505,0,0,0,0,203,-1
8/2/2010 9:00,3.383743576,2419.6,98.7,21.4,21.3,120.7,18.6,1.4,1.21,0,0,0.17,135,3.1,21,0.002878256,0.000514782,0.002403348,0.000116501,-0.001197974,0.020833356,20.213444,20.329228,19.4149795,19.6008842,20.6756458,20.1930589,19.99004451,19.95511313,0.7246261,0.46948927,0.489280918,0.72142934,0.527064993,-2.2040584,-2.1030447,1.69046633,1.32593149,2.83777203,1.1694218,0.8753182,0.714636558,0.785907196,-0.57969304,0.1157845,0.65838853,0.656802689,1.270856911,1.441704018,1.560289588,1.843051695,0,0,1.503017897,6.257382716,6.259523735,6.260129841,7.110563501,7.110563501,0,0,1.811479785,6.901618019,6.901618019,6.907411333,7.256508914,7.256508914,1.260952101,1.260952101,1.26491048,1.26491048,1.26491048,1.280624631,1.792391689,1.814580516,1.744840397,1.606058749,1.465085288,1.372930405,1.342560843,1.309459822,1.770852012,1.770852012,1.579783597,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.84509804,0,0,0,0,214,0.380211242
