dates,logEC,beachEColiValue,jday,beachSc,LOGbeachTurbidityBeach,beachTurbidityBeach,tribNeshotaNorthStormWaterOutfallWaterElevation,tribNeshotaSouthStormWaterOutfallWaterElevation,DiffHeightabovesealevelmover24hr14120,MaxHeightabovesealevelmover1hr14120,MaxHeightabovesealevelmover24hr14120,MeairtempCover120hr14120,MeairtempCover12hr14120,MeairtempCover1hr14120,MeairtempCover24hr14120,MeairtempCover2hr14120,MeairtempCover48hr14120,MeairtempCover6hr14120,MeairtempCover72hr14120,MeanCloudcoverover12hr14120,MeanCloudcoverover1hr14120,MeanCloudcoverover24hr14120,MeanCloudcoverover2hr14120,MeanCloudcoverover48hr14120,MeanCloudcoverover6hr14120,MeanHeightabovesealevelmover1hr14120,MeanHeightabovesealevelmover24hr14120,MinHeightabovesealevelmover1hr14120,MinHeightabovesealevelmover24hr14120,StDewindtempCover120hr14120,StDewindtempCover12hr14120,StDewindtempCover24hr14120,StDewindtempCover2hr14120,StDewindtempCover48hr14120,StDewindtempCover6hr14120,StDewindtempCover72hr14120,MeanSeaWaterTemperatureCover1hrX141Y20Sigma0,MeanSeaWaterTemperatureCover2hrX141Y20Sigma0,MeanSeaWaterTemperatureCover6hrX141Y20Sigma0,StDevSeaWaterTemperatureCover6hrX141Y20Sigma0,StDevSeaWaterTemperatureCover12hrX141Y20Sigma0,MeanSeaWaterTemperatureCover12hrX141Y20Sigma0,MeanSeaWaterTemperatureCover24hrX141Y20Sigma0,StDevSeaWaterTemperatureCover24hrX141Y20Sigma0,MeanSeaWaterTemperatureCover48hrX141Y20Sigma0,StDevSeaWaterTemperatureCover48hrX141Y20Sigma0,MeanSeaWaterTemperatureCover72hrX141Y20Sigma0,StDevSeaWaterTemperatureCover72hrX141Y20Sigma0,MeanSeaWaterTemperatureCover120hrX141Y20Sigma0,StDevSeaWaterTemperatureCover120hrX141Y20Sigma0,sqrtradarprecipneshtahSum1hr,sqrtradarprecipneshtahSum2hr,sqrtradarprecipneshtahSum6hr,sqrtradarprecipneshtahSum12hr,sqrtradarprecipneshtahSum24hr,sqrtradarprecipneshtahSum48hr,sqrtradarprecipneshtahSum72hr,sqrtradarprecipneshtahSum120hr,sqrtradarprecipPointBeachesSum1hr,sqrtradarprecipPointBeachesSum2hr,sqrtradarprecipPointBeachesSum6hr,sqrtradarprecipPointBeachesSum12hr,sqrtradarprecipPointBeachesSum24hr,sqrtradarprecipPointBeachesSum48hr,sqrtradarprecipPointBeachesSum72hr,sqrtradarprecipPointBeachesSum120hr,sqrtradarprecipManitowocRSum1hr,sqrtradarprecipManitowocRSum2hr,sqrtradarprecipManitowocRSum6hr,sqrtradarprecipManitowocRSum12hr,sqrtradarprecipManitowocRSum24hr,sqrtradarprecipManitowocRSum48hr,sqrtradarprecipManitowocRSum72hr,sqrtradarprecipManitowocRSum120hr,logMRQmean1,logMRQmean2,logMRQmean6,logMRQmean12,logMRQmean24,logMRQmean48,logMRQmean72,logMRQmean120,MRQmax24,MRQmin1,MRQmin2,MRQmin6,MRQmin12,MRQmin24,MRQmin48,MRQmin72,MRQmin120,MRQdifference6,logKRQmean1,logKRQmean2,logKRQmean6,logKRQmean12,logKRQmean24,logKRQmean48,logKRQmean72,logKRQmean120,KRQmax24,KRQmin1,KRQmin2,KRQmin6,KRQmin12,KRQmin24,KRQmin48,KRQmin72,KRQmin120,KRQdifference6,parvwater(surface)Mean1hr,parvwater(surface)Mean2hr,parvwater(surface)Mean6hr,parvwater(surface)Mean12hr,parvwater(surface)Mean24hr,parvwater(surface)Mean48hr,parvwater(surface)Mean72hr,parvwater(surface)Mean120hr,perpvwater(surface)Mean1hr,perpvwater(surface)Mean2hr,perpvwater(surface)Mean6hr,perpvwater(surface)Mean12hr,perpvwater(surface)Mean24hr,perpvwater(surface)Mean48hr,perpvwater(surface)Mean72hr,perpvwater(surface)Mean120hr,parvwater(depth-ave)Mean1hr,parvwater(depth-ave)Mean2hr,parvwater(depth-ave)Mean6hr,parvwater(depth-ave)Mean12hr,parvwater(depth-ave)Mean24hr,parvwater(depth-ave)Mean48hr,parvwater(depth-ave)Mean72hr,parvwater(depth-ave)Mean120hr,perpvwater(depth-ave)Mean1hr,perpvwater(depth-ave)Mean2hr,perpvwater(depth-ave)Mean6hr,perpvwater(depth-ave)Mean12hr,perpvwater(depth-ave)Mean24hr,perpvwater(depth-ave)Mean48hr,perpvwater(depth-ave)Mean72hr,perpvwater(depth-ave)Mean120hr,parwindMean1hr,parwindMean2hr,parwindMean6hr,parwindMean12hr,parwindMean24hr,perpwindMean1hr,perpwindMean2hr,perpwindMean6hr,perpwindMean12hr,perpwindMean24hr,parwaveheightMean1hr,parwavedirMean1hr,perpwaveheightMean1hr,perpwavedirMean1hr,parwaveheightMean2hr,parwavedirMean2hr,perpwaveheightMean2hr,perpwavedirMean2hr,parwaveheightMean6hr,parwavedirMean6hr,perpwaveheightMean6hr,perpwavedirMean6hr,parwaveheightMean12hr,parwavedirMean12hr,perpwaveheightMean12hr,perpwavedirMean12hr,parwaveheightMean24hr,parwavedirMean24hr,perpwaveheightMean24hr,perpwavedirMean24hr
40338.44444,1.617000341,41.4,160,305,0.687528961,4.87,16.67,18.67,0.03039,-0.015848,0.015367,13.944875,14.867063,16.807066,14.14493,16.606361,13.842922,15.543848,13.728729,0.681703,0.244122,0.830398,0.154078,0.469767,0.363469,-0.015848,0.000508,-0.015848,-0.023037,1.027803,0.930542,0.991024,0.200705,1.12668,0.778671,1.12882,15.871162,15.871162,15.844649,0.026513,0.114392,15.769505,15.183627,0.806138,14.98279,0.752622,14.914094,0.654083,14.965297,0.619713,0,0,0,1.573538687,4.076594412,4.076594412,4.076594412,5.810866459,0,0,0,1.843945227,4.379267519,4.379267519,4.379267519,6.117248565,0,0,0,0.824987879,3.461119039,3.483740231,3.519948863,5.464093154,2.241172787,2.240549248,2.243451466,2.25047083,2.230986415,2.218158667,2.217630656,2.19316528,184,171,171,171,171,149,149,149,128,0,2.241380434,2.224939827,2.170134113,2.105618881,1.934923501,1.830296369,1.82342424,1.751446259,177,172,159,130,68,41,41,41,29,47,0.08241448,0.07938086,0.09351322,0.133699799,0.123309943,0.04812332,-0.005764501,0.000969757,0.02656666,0.02620902,0.023915054,0.009133358,-0.016786113,-0.016978916,-0.013189325,-0.012441743,0.04474762,0.04490528,0.063163256,0.103072401,0.102097614,0.038353683,0.004847229,0.01035147,-0.001343827,-0.002574048,-0.003182675,-0.003041185,-0.002270243,0.000983259,-0.001021632,-0.003322078,6.2688525,5.61466025,4.62222828,4.69150418,1.985245067,-0.14585958,0.83563771,2.705923787,-0.745578632,-5.134332691,0.22652006,0.94275058,-0.080131623,-0.33349864,0.2299129,0.95913306,-0.066365268,-0.27671458,0.22986422,0.806552065,-0.177080963,-0.488382332,0.181071814,0.453523593,-0.773893405,-0.741436242,-0.005671404,0.124340108,-0.928205497,-0.857123955
40352.5,1.214843848,16.4,174,278,0.737987326,5.47,16.37,18.18,-0.008145,0.005223,0.005858,18.466718,19.319167,19.602674,19.684117,19.438592,19.091455,19.272224,18.482158,0.457578,0.789148,0.231029,0.849501,0.30213,0.679021,0.005223,-0.001731,0.005223,-0.00966,1.27482,0.480674,1.053252,0.164082,1.15645,0.318245,1.373077,12.627415,12.627415,12.480531,0.146884,0.232918,12.676563,13.518245,0.887615,14.814095,1.863144,14.960416,1.585631,15.054217,1.49226,0,0,1.615392212,2.107333386,2.107333386,3.611841359,3.611841359,3.611841359,0.44610761,0.44610761,1.645270191,2.161342638,2.161342638,3.789427133,3.789427133,3.789427133,0.071358251,0.157442053,1.605487465,3.488662064,3.488662064,4.994446916,4.994923022,4.994923022,2.891676811,2.892442456,2.882453383,2.873611197,2.86826473,2.863849297,2.865716604,2.876649562,786,775,775,719,719,709,703,703,703,62,1.785329835,1.782651752,1.779957051,1.778754019,1.782353165,1.796567106,1.832131757,2.009716406,63,61,60,58,58,58,58,58,58,1,0.10309567,0.096984485,0.092794185,0.069161825,0.085757019,0.084387929,0.07131761,0.073039408,0.034827814,0.022806452,0.021818485,0.019210454,0.019951423,0.019223138,0.009585682,0.016857585,0.0410582,0.0425129,0.0399558,0.029255319,0.026622318,0.026130495,0.027795001,0.030049306,-0.000274101,-7.36E-05,-0.000597334,-0.00285924,-0.003173481,-0.003045328,-0.002556692,0.000174495,3.90478,2.5230058,2.55098953,3.008043994,3.231905698,4.10514,0.62548025,-2.84159675,-2.59535902,-2.808964339,0.25679574,0.59527477,-0.34663166,-0.80352222,0.2542741,0.58870137,-0.3491356,-0.8083097,0.247770235,0.643216523,-0.296351777,-0.759030142,0.173714923,0.542825297,-0.244591007,-0.823728054,0.177626667,0.621426844,-0.214919578,-0.709119718
40353.45833,1.267171728,18.5,175,263,0.630427875,4.27,16.32,18.18,0.005939,-0.000716,0.015265,18.608342,18.809183,20.184048,19.582544,19.927359,19.653658,19.106122,19.253201,0.406763,0.056227,0.522755,0.139712,0.360568,0.192255,-0.000716,-0.000563,-0.000716,-0.011998,1.405866,0.633617,1.082954,0.256689,1.077877,0.695024,1.155431,10.904996,10.904996,10.873647,0.031349,0.874742,11.563673,12.417128,1.06265,12.967687,1.123235,14.015106,1.991828,14.280578,1.660238,0,0,0,0.377184305,0.377184305,2.140822739,3.63148248,3.63148248,0,0,0,0.753108226,0.87531937,2.288793132,3.863538663,3.863538663,0,0,0,0.027694765,2.50589066,4.294782765,5.587387135,5.58781281,2.89181612,2.893206753,2.893091037,2.894569881,2.893270384,2.880214954,2.873524442,2.875181884,802,770,770,770,760,760,709,703,703,-11,2.01494035,1.998912904,1.950608225,1.905008402,1.854938295,1.820434094,1.817689294,1.895905747,105,101,93,77,64,61,58,58,58,28,-0.045469368,-0.037828684,-0.024389096,-0.0018924,0.028823421,0.056738534,0.064914833,0.05271798,0.028810076,0.032672038,0.038226418,0.044070321,0.034894577,0.027399384,0.02318554,0.017555312,-0.03100184,-0.0269884,-0.01619318,-0.008502895,0.007719148,0.016736482,0.01980682,0.019334626,-0.007458055,-0.00711512,-0.007306393,-0.006436326,-0.003359465,-0.003319911,-0.00314689,-0.001892584,1.3439861,1.732467,2.30266615,1.806098071,2.778680019,5.7980134,6.1187337,6.2230778,6.60736644,3.531295782,-0.24641212,-0.92397829,0.10199273,0.38244493,-0.23401381,-0.8680084,0.13063276,0.4830244,-0.180471222,-0.682452925,0.169217555,0.683199557,-0.027971773,-0.063624972,0.169069648,0.701213627,0.08223313,0.305972451,-0.02153087,-0.006493776
40357.45764,1.139879086,13.8,179,318.9,0.6599162,4.57,16.29,18.12,-0.001587,0.000829,0.003038,18.870668,19.192369,19.84772,19.555238,19.644523,18.559058,19.167421,18.66685,0.106421,0.034065,0.271796,0.017032,0.364923,0.104719,0.000829,-0.003757,0.000829,-0.016757,1.161356,0.311465,0.835182,0.203197,1.25618,0.394354,1.10091,13.671127,13.671127,14.402474,0.731347,0.938918,15.148563,16.069968,1.187437,16.221067,0.997115,15.699095,1.149927,14.614761,1.743705,0,0,0,0.5,0.693760045,3.040147529,3.040147529,3.063456218,0,0,0,0.239799917,1.072180955,3.269523207,3.269523207,3.384666453,0,0,0,0,0.188005319,3.595390104,3.686975997,4.460154145,2.860487737,2.859363495,2.861982214,2.864647024,2.867547278,2.857134531,2.857966636,2.869537281,755,724,719,719,719,714,679,679,679,-10,2.136720567,2.137512353,2.136984656,2.131337918,2.096221835,2.058825241,2.070730337,2.042665735,139,137,137,137,130,97,97,97,61,0,0.056154466,0.055104748,0.040384301,0.034330804,0.074574377,0.034377359,0.065724467,0.050584817,0.068820684,0.069569282,0.046716785,0.031975943,0.037090113,-0.005194166,0.006384478,0.012445695,-0.018829718,-0.019968448,-0.018027124,-0.004201252,0.019733805,0.018706323,0.030039637,0.018805391,-0.003401151,-0.003771915,-0.003480842,-0.001561426,-0.001912418,-0.007653525,-0.005042712,-0.003520317,4.8969907,5.0723338,4.47589133,4.08801062,4.474759833,5.9997393,5.80998705,4.62539217,3.50442383,1.98517073,0.29176745,0.92243993,0.12213616,0.38614063,0.27857204,0.934902175,0.10590946,0.35314894,0.2318373,0.974486677,0.04225459,0.14754137,0.184923015,0.922720745,-0.011434868,-0.129782889,0.182348837,0.738203588,-0.140906239,-0.431685166
40358.40556,2.075911761,119.1,180,318.9,2.26245109,183,16.29,18.12,-0.006009,0.006838,0.014973,18.406457,16.450859,16.948563,17.230969,16.701611,18.353497,16.455688,18.107205,0.602485,0.250071,0.633797,0.206582,0.463378,0.695699,0.006838,0.001834,0.006838,-0.008943,1.274423,0.298992,1.180449,0.246951,1.534456,0.361869,1.37211,13.340354,13.340354,14.366649,1.026295,1.048178,15.118717,14.398639,1.133842,15.411478,1.401103,15.633349,1.327265,14.94191,1.526426,0,0,0,0,0,0.693760045,3.040147529,3.040147529,0,0,0,0,0,1.072180955,3.269523207,3.269523207,0,0,0,0,0,0.188005319,3.595390104,3.686975997,2.828659897,2.831069526,2.831656519,2.836113037,2.843784123,2.855749391,2.852568938,2.859898498,729,669,669,669,669,669,669,669,669,-5,2.017033339,2.017033339,2.026669428,2.041392685,2.077140704,2.083065687,2.063716372,2.077481461,137,103,103,103,103,103,97,97,97,-6,-0.1480763,-0.12145046,-0.063192298,-0.019880855,-0.037600686,0.019351583,0.009916138,0.035444286,0.016597797,0.027109248,0.065130848,0.033128717,0.01051319,0.020633252,-0.000103998,0.007450571,-0.035661247,-0.027231304,-0.008644802,-0.008822593,-0.015988981,0.003009032,0.007792428,0.013404477,-0.012579369,-0.010888847,-0.008123013,-0.011752067,-0.009789323,-0.00594375,-0.008455867,-0.004897588,-5.307383,-5.01916165,-4.11186622,-1.697469421,-2.082159173,6.217312,5.81111545,5.15579515,3.992278332,3.337234761,-0.5871632,-0.99298149,0.06993452,0.11826983,-0.55087028,-0.992062175,0.069440515,0.12553488,-0.403845215,-0.985255935,0.065746142,0.167710468,-0.383591523,-0.975621634,0.040417967,0.141382339,-0.254925971,-0.617263929,0.054280052,0.225100509
40359.40556,1.537819095,34.5,181,328.1,0.958085849,9.08,16.29,18.15,0.006567,0.004279,0.019749,17.962152,15.945331,16.801746,16.619692,16.686896,16.92533,15.866079,17.775562,0.025359,0.094901,0.114845,0.047451,0.374321,0.015817,0.004279,0.006188,0.004279,-0.017159,1.373667,0.635053,0.831859,0.11485,1.065899,0.675374,1.571109,13.353458,13.353458,14.011234,0.657776,0.716155,14.549809,14.54234,0.963627,14.470489,1.054633,15.121765,1.336458,15.205967,1.267227,0,0,0,0,0,0,0.693760045,3.040147529,0,0,0,0,0,0,1.072180955,3.269523207,0,0,0,0,0,0,0.188005319,3.686975997,2.806519134,2.806264789,2.806462626,2.808787511,2.81449731,2.829387541,2.842429373,2.846830465,674,625,625,625,625,625,625,625,625,9,1.860338007,1.86332286,1.876987184,1.897512547,1.939051011,2.013561323,2.040157138,2.04875731,103,72,72,72,72,72,72,72,72,-5,-0.08867865,-0.087765635,-0.077334036,0.001586964,-0.027657543,-0.032629114,0.003681875,0.02691581,-0.009114091,-0.003654284,0.033014406,0.060794652,0.018140615,0.014326902,0.019802373,0.009164334,-0.05444984,-0.054531485,-0.041475937,1.65E-05,-0.022210864,-0.019099922,-0.0053976,0.010848855,-0.002698471,-0.002780996,-0.003029454,0.008367406,0.003915399,-0.002936962,-0.002657367,-0.004114191,-1.587517,-1.6711659,-0.78099136,0.186142878,0.126110043,0.9674312,1.0077573,3.80084892,3.94890366,1.56093938,-0.026855799,-0.56648247,0.039067687,0.82407379,-0.020654581,-0.370838,0.060145584,0.904303905,-0.021432519,-0.21078781,0.131262868,0.956634368,0.054582254,0.148267437,0.03034204,0.495462558,-0.231592081,-0.288918605,-0.048641743,0.106138292
40360.42014,1.903632516,80.1,182,350.3,0.687528961,4.87,16.29,18.15,0.012251,0.003207,0.015457,17.642717,16.752922,18.059479,17.338739,17.910406,16.994476,17.045308,17.031823,0.010249,0.122988,0.010766,0.061494,0.045119,0.020498,0.003207,0.00462,0.003207,-0.005327,1.31852,0.695995,0.815875,0.149073,0.903001,0.818409,0.955259,16.416712,16.416712,16.169941,0.246771,0.28894,15.990973,15.68937,0.426419,15.181273,0.803489,14.884185,1.056253,15.418938,1.223126,0,0,0,0,0,0,0,3.040147529,0,0,0,0,0,0,0,3.269523207,0,0,0,0.188456892,0.188456892,0.188456892,0.188456892,3.600325819,2.783367523,2.784260583,2.786780989,2.788698537,2.793331934,2.803837497,2.817312821,2.833607893,640,606,602,602,602,602,602,602,602,-10,1.740362689,1.744292983,1.75076545,1.763115888,1.795735228,1.87145739,1.95018562,1.996402209,72,54,54,54,54,54,54,54,54,-3,0.02874117,0.025803928,0.023826809,0.03800613,0.004715376,-0.009486946,-0.022119391,0.000479309,-0.02886482,-0.021338672,-0.004407649,0.010604436,-0.014076369,0.001666697,0.003654039,0.000114757,0.04014195,0.03796839,0.030302118,0.031835777,0.003910208,-0.009074423,-0.011912226,0.000335194,0.005062499,0.005192665,0.005254778,0.008593622,0.007147686,0.005794636,0.000442731,-0.002795771,0.1635236,-0.35942826,0.47296671,-0.411009353,-0.028375928,-6.021676,-4.9560865,-3.86002613,-3.70866438,-3.7083306,-0.1157657,-0.20826882,-0.5436586,-0.97807162,-0.1332841,-0.23669556,-0.54605375,-0.971143205,-0.012523807,0.021758127,-0.391514638,-0.982664385,0.016067784,0.05601557,-0.439841259,-0.988562205,-0.059201412,-0.262035305,-0.330217339,-0.734140474
40365.47222,1.037426498,10.9,187,313,0.57634135,3.77,16.42,18.5,0.003303,-0.011989,0.002858,19.104887,18.801063,19.85534,19.038238,19.797406,20.004767,18.902757,19.574992,0.772041,0.857209,0.754594,0.794732,0.751408,0.826229,-0.011989,-0.007103,-0.011989,-0.014812,1.178065,0.636245,0.579444,0.057934,1.286152,0.724871,1.251409,11.364358,11.364358,11.161124,0.203233,0.341556,11.346388,12.275567,1.003654,11.995702,0.803138,12.010174,0.704436,13.111286,1.741929,0,0,0,0.464182076,1.125082664,1.125082664,1.125082664,1.125082664,0,0,0,0.390141,1.270408989,1.270408989,1.270408989,1.270408989,0,0,1.028417717,1.897484387,2.605260831,2.692959153,2.692959153,2.692959153,2.630427875,2.632457292,2.636487896,2.642217129,2.652699502,2.67179937,2.689564737,2.718422102,481,420,420,420,420,420,420,420,420,-16,1.612783857,1.610127613,1.595220567,1.574754489,1.549718318,1.534990662,1.547244671,1.593286067,41,41,40,37,34,33,32,32,32,4,0.14963162,0.13615956,0.098521553,0.091687847,0.068053821,0.102963241,0.123277766,0.142372587,0.012460375,0.00852259,0.003048149,0.012065827,0.002892213,0.012210911,0.013174409,0.011860019,0.0480205,0.04434476,0.034963174,0.030585999,0.021288431,0.05866654,0.07491831,0.085782629,0.00167459,0.001255146,0.000527424,0.00180201,0.004214455,0.007665179,0.00983296,0.008421189,6.467808,6.257037,3.93599963,3.026231571,2.307096956,-3.410611,-3.878156,-5.05633518,-5.14627978,-5.073147408,0.2635402,0.32188103,-0.7751765,-0.94678012,0.2387156,0.29282544,-0.77867935,-0.95568288,0.201970662,0.248522257,-0.786260553,-0.967915335,0.175840128,0.23347579,-0.727986837,-0.971868636,0.156662583,0.253713188,-0.597417836,-0.966183143
40366.47569,0.799340549,6.3,188,383,0.531478917,3.4,16.33,18.33,-0.011185,0.00194,0.00194,19.421559,19.03504,19.376232,19.704181,19.180644,19.37121,18.794287,19.904572,0.355756,0.389775,0.320075,0.320485,0.537334,0.37981,0.00194,-0.005088,0.00194,-0.013446,1.13573,0.533829,0.900855,0.195588,0.827356,0.410302,1.180416,12.471179,12.471179,12.018481,0.452698,0.37539,11.887402,12.479739,0.753049,12.377653,0.893098,12.157047,0.819215,12.4031,0.938711,0,0,0,0,0,1.125082664,1.125082664,1.125082664,0,0,0,0,0,1.270408989,1.270408989,1.270408989,1.475791652,1.533481986,1.533481986,1.533481986,1.533481986,3.023069632,3.098966925,3.098966925,2.571126277,2.57054294,2.574947145,2.582631439,2.59439255,2.624523805,2.64749843,2.684783668,424,370,366,366,366,366,366,366,366,-7,1.653212514,1.653212514,1.659599312,1.663740177,1.659202877,1.607901599,1.58045769,1.586188643,47,45,45,45,45,42,33,32,32,-1,0.008516579,0.007240217,0.012255956,0.033256828,0.079462411,0.073758116,0.095129631,0.123416276,-0.061140307,-0.058768934,-0.04570458,-0.024831027,-0.00333901,-0.000223399,0.007027604,0.010264677,0.024513631,0.023453766,0.022283875,0.028679361,0.038882175,0.030085303,0.052071752,0.073106358,-0.011799711,-0.01200111,-0.012002483,-0.010558395,-0.006864077,-0.001324811,0.002822094,0.006057607,-0.3581597,-1.4450611,-2.16858872,-1.2117441,1.241379822,-4.121296,-3.7203988,-0.91712365,-0.1680075,-1.781824455,-0.21465102,-0.96962743,-0.054145316,-0.24458669,-0.1898368,-0.97474171,-0.04388936,-0.22214602,-0.124987269,-0.924817205,0.009355215,0.173324668,-0.058854472,-0.578537324,-0.030578291,0.015496167,0.06403488,-0.148614826,-0.325574905,-0.471461921
40367.42708,0.612783857,4.1,189,312,0.432969291,2.71,16.33,18.5,0.007202,-0.005262,0.006052,19.531973,19.248735,18.89582,19.251683,19.315532,19.487914,19.528611,19.340679,0.807381,0.987738,0.611466,0.987162,0.475508,0.798697,-0.005262,-0.002428,-0.005262,-0.00796,1.08275,0.42544,0.470383,0.419712,0.755143,0.363282,0.735027,13.118794,13.118794,13.032577,0.086216,0.465824,13.394798,14.092228,0.911907,13.285984,1.161619,12.949178,1.209224,12.520498,1.108209,0,0,0.656220999,1.380287651,2.448244065,2.448244065,2.694384902,2.694384902,0,0,0.784318813,1.737443812,2.439829912,2.439829912,2.750765166,2.750765166,0,0,0.322423634,1.76629386,2.962641727,2.991797453,3.967144439,4.025280239,2.536242707,2.535452362,2.540694362,2.546465545,2.556591432,2.577563602,2.604893247,2.64936123,381,343,333,333,333,333,333,333,333,-16,1.655618584,1.649578229,1.63388908,1.629027129,1.633047424,1.645299431,1.614252558,1.588948305,46,45,44,42,42,42,41,33,32,4,0.10581419,0.10677571,0.10850309,0.10955648,0.080512139,0.082927172,0.076393029,0.107034864,0.043081744,0.041032778,0.03500991,0.021917413,-0.007926333,-0.004099324,-0.001479609,0.006302561,0.06056243,0.0595361,0.05928379,0.05889707,0.048927078,0.044394353,0.036206503,0.062833284,0.001783061,0.001163546,0.000139515,-0.001524531,-0.005040998,-0.005671823,-0.002284337,0.003756046,2.1299043,2.9602675,3.11291505,2.977465682,1.117826909,-1.4507165,-1.584815,-1.5307622,-2.14722063,-2.389153522,0.11185219,0.51252772,-0.18739317,-0.85867068,0.11630252,0.51448852,-0.19380593,-0.85749422,0.13340598,0.551698103,-0.200445693,-0.83304695,0.143256859,0.572537459,-0.201706918,-0.817636638,0.03111104,0.035946221,-0.146400141,-0.664372599
