Dates,logEC,beachEColiValue,LOGbeachTurbidityBeach,HeightabovesealevelMax24hr,Sig.waveheightMean2hr,scperp_mean120,MRQdifference6,Seawatertemp0Mean6hr,wvperp_mean24,PointBeachesSumGDP48hr_sqrt
40343.42778,0.934498451,8.6,0.807535028,0.015833378,0.11212029,-0.004668493,-2,13.832042,-0.396408562,1.196040969
40344.42014,1.298853076,19.9,0.089905111,0.016297372,0.47165071,-0.015364386,0,15.108574,-0.674877091,1.239471662
40345.40069,3.080373917,1203.3,0.934498451,0.01598132,0.3778254,-0.020153003,-140,15.102582,-0.709889741,6.349223732
40351.45208,1.781036939,60.4,0.950851459,0.00343012,0.16568491,0.022558998,0,13.508238,-0.137182575,3.112612568
40358.47222,1.826074803,67,0.920123326,0.017750718,1.0168925,0.009680124,-19,14.131795,-0.504276384,1.072180955
40359.45347,0.301029996,2,0.788168371,0.017888945,0.21423267,0.005876295,-5,13.8898592,-0.161912366,0
40365.40556,1.161368002,14.5,0.903632516,0.00200468,0.84094155,0.038491425,-16,6.6527715,-0.220529427,1.270408989
40366.44097,0.477121255,3,0.598790507,0.004525829,0.19718875,0.034809661,-8,8.57065,-0.224424415,1.270408989
40367.45139,1.161368002,14.5,0.722633923,0.001638694,0.24073778,0.033458939,-19,11.977644,-0.406513238,2.439829912
40371.4375,1.629409599,42.6,0.346352974,0.000801495,0.128310617,0.022112983,0,9.87495938,0.329477952,2.008148401
40372.42708,3.383743576,2419.6,1.498310554,0.005788702,0.68384317,0.013958811,-5,14.389246,-0.499674581,2.005387494
40373.44097,2.112605002,129.6,0.889301703,0.007693348,0.31111366,0.005959168,-5,16.534854,-0.706062813,0
40379.43958,1.970346876,93.4,0.399673721,0.007339502,0.062126599,0.019766828,0,15.227952,-0.087474553,4.754056899
40380.46042,1.498310554,31.5,0.995196292,0.007966532,0.24567204,0.014581223,40,12.69866,-0.024535113,3.70945926
40381.39583,0.944482672,8.8,0.44870632,0.005674184,0.07671642,0.011191083,-10,15.436114,0.193302256,0.501060875
40385.46181,1.079181246,12,0.42975228,0.008079604,0.20488186,0.004202145,0,15.651298,0.114498795,0
40386.44097,1.804820679,63.8,0.611723308,0.004376596,0.39448756,0.009078817,10,10.070026,0.124723206,0
40387.45833,1.834420704,68.3,0.881384657,0.001317278,0.25793306,0.008699193,30,9.808099,0.148692196,1.038814228
40392.46389,1.771587481,59.1,1.294466226,0.005289922,0.50360574,0.015726925,-10,13.787874,0.012117477,0
40399.38889,1.736396502,54.5,0.783903579,0.009748439,0.46715162,0.0110464,-10,12.301254,-0.111670966,5.187658142
40400.37847,0.301029996,2,0.309630167,0.003838879,0.21755248,0.015538821,-20,11.267994,-0.08340212,0
40402.34722,2.021189299,105,0.558708571,0.008342129,0.11596262,0.01446222,10,18.976528,-0.408085779,2.003116322
40406.38542,1.23299611,17.1,0.33243846,0.00230341,0.56795435,0.021556721,-37,11.412418,0.774156696,0.782311319
40408.39931,1.170261715,14.8,0.303196057,0.003245571,0.28404848,0.02095934,-21,13.696475,0.690748759,0.526135914
40413.36806,1.722633923,52.8,1.012837225,0.007816508,0.5133273,0.003724416,18,15.790363,-0.638878197,0.965195317
40414.35625,2.487986331,307.6,0.624282096,0.005046001,0.26024089,0.000612341,-17,15.664979,-0.220422482,0
40415.36111,1.238046103,17.3,0.584331224,0.000872277,0.35377983,0.009232792,-36,12.153013,0.346273381,0.543972426
40416.31944,1.396199347,24.9,0.586587305,0.012010003,0.581642,0.001067314,-28,13.033547,-0.219603727,1.063511166
40695.47222,1.130333768,13.5,0.481442629,0.001886091,0.4740229,0.018013228,-11,7.6752179,0.091469625,0.157699081
40697.49653,1.354108439,22.6,0.526339277,0.013470593,0.629654345,0.019684022,-9,9.5699955,-0.68748054,0
40701.40278,1.50242712,31.8,0.390935107,0.006374564,0.08080074,0.012403697,-3,8.328623,-0.34918214,0.771551683
40702.42014,1.36361198,23.1,0.836956737,0.008015757,0.7450915,0.02805671,-5,8.2111925,-0.255531307,0.774696715
40707.42361,0,0,0.096910013,0.016211044,0.127444228,-0.007853527,-7,10.172296,0.001168843,0
40708.42014,0,1,-0.657577319,0.010903531,0.065431515,-0.016120966,-6,11.55274,-0.279925122,0
40709.38194,2.021189299,105,0.136720567,0.009833644,0.5705555,-0.011638147,-9,12.9904168,-0.942371163,0
40710.37153,1.792391689,62,0.340444115,0.00862383,0.09048275,-0.006531487,9,12.502998,-0.747847336,5.609609434
40714.41319,3.383743576,2419.6,1.695481676,0.012655538,0.36254296,-0.009242877,8,13.845888,-0.788288258,6.873561668
40715.40972,3.383743576,2419.6,1.557507202,0.015101562,0.26391026,-0.01724791,12,13.671534,-0.56463715,6.812279648
40717.42917,2.991403303,980.4,1.790988475,0.024365306,0.34142002,-0.014661383,-35,13.1142508,-0.598323344,5.772722321
40720.56944,0,1,0.235528447,0.01298561,0.111203393,-0.00369098,-20,14.72136,0.372024323,0
40721.4375,3.238773502,1732.9,0.877371346,0.006052548,0.653766415,0.001198148,-10,13.918037,-0.632858762,0
40722.41319,2.031812271,107.6,1.014520539,0.002476684,0.29883768,0.008294683,-30,11.470244,0.029146209,0.559250391
40723.40625,1.371067862,23.5,0.563481085,0.014980151,0.29192578,0.012300613,-10,13.1908478,-0.159112913,0.559250391
40729.40625,0.612783857,4.1,0.184691431,0.003782625,0.16215106,0.018437867,-24,11.4733288,-0.000505466,0
40730.43056,0.491361694,3.1,0.096910013,0.006293007,0.17726963,0.013234986,-14,11.992687,0.446922654,3.406651729
40731.39931,0,1,-0.259637311,0.006870227,0.05912055,0.008319765,-18,13.320224,-0.256453447,3.406651729
40732.57639,0.924279286,8.4,-0.468521083,0.004833152,0.032540383,0.016281639,-20,14.118719,0.160395719,0
40735.45486,1.198657087,15.8,0.372912003,-0.001371974,0.37717,0.025055256,11,15.355063,-0.156412404,2.509307673
40736.4375,0,1,0.204119983,0.005933158,0.23696266,0.024627756,-3,16.373042,0.448566743,2.502134289
40737.41667,2.064457989,116,0.88422877,0.010883727,0.88670447,0.011563738,-6,16.569778,-0.349329261,0
40738.44444,1.922206277,83.6,0.924279286,0.016946902,0.4223544,0.006704457,-5,17.121523,-0.734047276,0
40742.44444,0.799340549,6.3,0.465382851,0.003040026,0.26126337,0.018177808,7,15.617478,-0.159165567,3.67385016
40743.46875,0,1,0.340444115,0.005748494,0.073282587,0.02139253,3,17.918576,0.090741136,3.936648321
40744.40625,0.612783857,4.1,0.354108439,0.00828343,0.36256217,0.021177291,0,15.105646,-0.360688188,1.55010161
40745.47569,1.392696953,24.7,0.717670503,0.001446827,0.15104446,0.023657229,-2,10.966446,0.160315923,1.55010161
40749.42708,1.981818607,95.9,0.660865478,0.007908888,0.26909475,0.010289615,8,16.192862,-0.144866831,2.008964659
40750.44097,1.294466226,19.7,0.193124598,0.014574125,0.50182046,0.006069506,-5,15.2896,0.069423132,0
40751.51042,1.257678575,18.1,0.843855423,0.011249092,0.767141,0.006936569,-3,16.03431,-0.531610478,1.493848386
40752.43403,1.565847819,36.8,-0.013228266,0.007448843,0.089015775,0.002370219,-3,15.425505,-0.037006727,1.886085629
40756.44444,0.707570176,5.1,-0.30980392,0.003923023,0.108928978,0.014526156,-6,14.9918892,0.401059895,1.247589275
40757.41667,1.274157849,18.8,-0.397940009,0.004223463,0.2012287,0.014395249,-7,15.92512,-0.273615365,0.785347694
40758.38194,1.958563883,90.9,0.629409599,0.008143873,0.602061,0.01352701,-3,17.123448,-0.28799598,2.667869187
40763.66667,1.519827994,33.1,0.28780173,0.012702584,0.27846276,-0.000971342,2,21.833204,-0.571716144,2.144343489
40764.42708,1.037426498,10.9,0.064457989,0.008085378,0.33657168,0.00610659,-5,17.728981,0.114741967,0
40765.42014,2.137986733,137.4,0.146128036,0.012408314,0.839379775,0.003534726,2,17.739248,0.319011414,0
40766.4375,0.799340549,6.3,0.173186268,0.015977433,0.23154684,0.003284202,-2,18.127488,-0.070344396,0
40770.61111,0.301029996,2,1.127104798,0.035407305,0.051608592,-0.003674298,1,19.77634,-0.380098347,0
40771.43056,0.799340549,6.3,0.608526034,0.024395531,0.05818244,-0.003071303,0,17.294656,-0.081300146,0
40772.42014,1.792391689,62,1.173186268,0.015108732,0.47015878,-0.000493413,-2,11.8445152,-0.068862843,1.423766835
41058.32292,0.3,2,0.910624405,0.004452082,0.16381318,0.028773889,-16,7.8293996,-0.168940916,1.72921193
41059.31458,0.72,5.2,0.561101384,0.004443263,0.1939789,0.023055366,-9,6.94141265,0.522504715,1.72921193
41060.31458,1.54,34.5,0.857332496,0.009101182,0.42031572,0.013806515,-20,9.199135,-0.565525159,0
