Dates,logEC,beachEColiValue,jday,beachSc,LOGbeachTurbidityBeach,beachTurbidityBeach,tribMolashCreekTribSc,LOGtribMolashCreekTribTurbidity,tribMolashCreekTribTurbidity,PointBeachesSumGDP1hrsqrt,PointBeachesSumGDP2hrsqrt,PointBeachesSumGDP6hrsqrt,PointBeachesSumGDP12hrsqrt,PointBeachesSumGDP24hrsqrt,PointBeachesSumGDP48hrsqrt,PointBeachesSumGDP72hrsqrt,PointBeachesSumGDP120hrsqrt,ManitowocRSumGDP1hrsqrt,ManitowocRSumGDP2hrsqrt,ManitowocRSumGDP6hrsqrt,ManitowocRSumGDP12hrsqrt,ManitowocRSumGDP24hrsqrt,ManitowocRSumGDP48hrsqrt,ManitowocRSumGDP72hrsqrt,ManitowocRSumGDP120hrsqrt,HeightabovesealevelMean1hr,HeightabovesealevelMax1hr,HeightabovesealevelMin1hr,HeightabovesealevelMean24hr,HeightabovesealevelMax24hr,HeightabovesealevelMin24hr,HeightabovesealevelDiff24hr,Sig.waveheightMean1hr,Sig.waveheightMean2hr,Sig.waveheightMean6hr,Sig.waveheightMean12hr,Sig.waveheightMean24hr,CloudcoverMean1hr,CloudcoverMean2hr,CloudcoverMean6hr,CloudcoverMean12hr,CloudcoverMean24hr,CloudcoverMean48hr,AirtempMean1hr,AirtempMean2hr,AirtempMean6hr,AirtempMean12hr,AirtempMean24hr,AirtempMean48hr,AirtempMean72hr,AirtempMean120hr,AirtempStDev6hr,AirtempStDev12hr,AirtempStDev24hr,AirtempStDev48hr,AirtempStDev72hr,AirtempStDev120hr,Seawatertemp0Mean1hr,Seawatertemp0Mean2hr,Seawatertemp0Mean6hr,Seawatertemp0Mean12hr,Seawatertemp0Mean24hr,Seawatertemp0Mean48hr,Seawatertemp0Mean72hr,Seawatertemp0Mean120hr,Seawatertemp0StDev6hr,Seawatertemp0StDev12hr,Seawatertemp0StDev24hr,Seawatertemp0StDev48hr,Seawatertemp0StDev72hr,Seawatertemp0StDev120hr,scperpmean1,scperpmean2,scperpmean6,scperpmean12,scperpmean24,scperpmean48,scperpmean72,scperpmean120,scparlmean1,scparlmean2,scparlmean6,scparlmean12,scparlmean24,scparlmean48,scparlmean72,scparlmean120,dcperpmean1,dcperpmean2,dcperpmean6,dcperpmean12,dcperpmean24,dcperpmean48,dcperpmean72,dcperpmean120,dcparlmean1,dcparlmean2,dcparlmean6,dcparlmean12,dcparlmean24,dcparlmean48,dcparlmean72,dcparlmean120,wndperpmean1,wndperpmean2,wndperpmean6,wndperpmean12,wndperpmean24,wndparlmean1,wndparlmean2,wndparlmean6,wndparlmean12,wndparlmean24,wvperpmean1,wvperpmean2,wvperpmean6,wvperpmean12,wvperpmean24,wvparlmean1,wvparlmean2,wvparlmean6,wvparlmean12,wvparlmean24,dirwvhperpmean1,dirwvhperpmean2,dirwvhperpmean6,dirwvhperpmean12,dirwvhperpmean24,dirwvhparlmean1,dirwvhparlmean2,dirwvhparlmean6,dirwvhparlmean12,dirwvhparlmean24,KRQdifference6,KRQmax24,logKRQmean1,logKRQmean12,logKRQmean120,logKRQmean2,logKRQmean24,logKRQmean48,logKRQmean6,logKRQmean72,KRQmin1,KRQmin12,KRQmin120,KRQmin2,KRQmin24,KRQmin48,KRQmin6,KRQmin72,MRQdifference6,MRQmax24,logMRQmean1,logMRQmean12,logMRQmean120,logMRQmean2,logMRQmean24,logMRQmean48,logMRQmean6,logMRQmean72,MRQmin1,MRQmin12,MRQmin120,MRQmin2,MRQmin24,MRQmin48,MRQmin6,MRQmin72
40343.42778,0.934498451,8.6,165,271,0.807535028,6.42,559,0.071882007,1.18,0,0,0,0,1.196040969,1.196040969,3.012701612,4.222857563,0,0,0,0,0.999829485,1.035649072,2.638308549,4.040954838,0.003006178,0.003006178,0.003006178,0.004084753,0.015833378,-0.005077513,-0.005050066,0.11345731,0.11212029,0.083628524,0.058832684,0.065569136,0.9141811,0.89546345,0.889705323,0.932903837,0.89416955,0.938542463,15.27049,15.363172,15.235741,15.39614004,15.93948198,15.43510853,15.30444901,15.18414006,0.172803512,0.422738262,0.84586327,0.845729985,0.812879754,1.186476941,14.127741,14.127741,13.832042,14.309997,14.9478062,14.5135464,14.54932781,14.14420151,0.295699001,0.599749001,0.864880489,0.7709898,0.74948524,1.073166796,-0.0813173,-0.079859203,-0.051105633,-0.006539711,-0.014252091,-0.022118494,-0.018049695,-0.004668493,-0.115583196,-0.126820931,-0.149908828,-0.098433305,-0.094488399,-0.132244371,-0.102802654,-0.04702791,-0.001079955,-0.001134058,-0.001446619,-0.001462206,-0.001541342,-0.002838408,-0.002532858,0.001391615,-0.064863487,-0.065237368,-0.06553253,-0.063331876,-0.078050294,-0.100452654,-0.086541915,-0.04190576,-2.185525806,-1.726605545,-1.785665864,-0.246715061,-0.811368264,-3.179794183,-2.71861508,-2.717663513,-1.55142858,-0.116246657,-0.120016763,-0.138266124,-0.076761692,0.090078305,-0.396408562,-0.992771865,-0.990223685,-0.964896801,-0.27791876,-0.210063313,-0.013616779,-0.015478038,-0.013079663,-0.005199343,-0.032969844,-0.112637225,-0.111027574,-0.081668573,-0.030964384,-0.027747044,-7,169,2.136720567,2.160118233,2.203253924,2.139879086,2.18133733,2.224082327,2.148191196,2.192699066,137,137,113,137,137,137,137,113,-2,223,2.336959785,2.339948062,2.298061241,2.333950804,2.340691929,2.333468267,2.337542452,2.317925566,215,212,164,212,212,192,212,182
40344.42014,1.298853076,19.9,166,274,0.089905111,1.23,559,0.071882007,1.18,0,0,0.229436266,0.229436266,0.325230687,1.239471662,1.239471662,4.235363149,1.468306167,1.468306167,1.468306167,1.469114359,1.471059142,1.778671977,1.799051139,4.300387308,0.003847931,0.003847931,0.003847931,0.005700883,0.016297372,-0.008080843,-0.007547185,0.5202284,0.47165071,0.383098417,0.367312682,0.354676187,1,1,1,0.989918227,0.942938628,0.918554089,15.185442,15.344984,15.679193,15.58733238,15.41697731,15.67822965,15.42906479,15.0586142,0.275972809,0.280298863,0.322022859,0.691262959,0.715177437,0.892257078,15.240494,15.240494,15.108574,14.920518,14.8401642,14.8939852,14.622419,14.59728121,0.1319205,0.212868007,0.233285482,0.635701887,0.661914427,0.628845883,0.02635043,0.026518627,-0.001836933,-0.025555513,-0.024998984,-0.019625537,-0.023078657,-0.015364386,-0.043092561,-0.029502069,-0.007786013,-0.063472676,-0.081125449,-0.087806924,-0.115204731,-0.068380593,0.001957695,0.002280009,0.002064712,0.001193462,0.000964284,-0.000288529,-0.001570844,-0.000707686,-0.05003763,-0.048512525,-0.050052243,-0.060951913,-0.059965994,-0.069008144,-0.086957101,-0.064564861,-3.752433888,-3.837875228,-3.190255128,-2.842524257,-2.704537531,-2.05941376,-1.662312237,-0.326370288,-1.444712293,-2.822166689,-0.901746387,-0.887687179,-0.817087278,-0.754843822,-0.674877091,-0.43226549,-0.459429975,-0.567291062,-0.64385366,-0.720558232,-0.46911408,-0.419361252,-0.316388704,-0.279767602,-0.244096059,-0.224876784,-0.215370886,-0.212085649,-0.232820762,-0.251246763,-8,137,2.004321374,2.03576317,2.159504531,2.008600172,2.072801149,2.13098673,2.01911629,2.179745231,101,101,101,101,101,101,101,101,0,218,2.320146286,2.320665467,2.31140505,2.317279645,2.326719796,2.333814489,2.317976328,2.331089718,209,204,174,204,204,204,204,192
40345.40069,3.080373917,1203.3,167,280,0.934498451,8.6,271,1.741939078,55.2,0,0,0,2.097610307,6.340888502,6.349223732,6.460894443,7.027731711,0,0,0,0.71090576,6.521844448,6.522464795,6.598651832,7.036636199,0.013947892,0.013947892,0.013947892,0.005636058,0.01598132,-0.005434535,0.010099961,0.40131256,0.3778254,0.350665217,0.393494888,0.494661129,1,1,0.999730657,0.997153923,0.983082543,0.961222692,15.270092,15.144932,14.816045,14.96633712,15.06717602,15.2438485,15.48436979,15.27255914,0.247638455,0.237635502,0.35316452,0.38045899,0.666547348,0.679968639,15.204606,15.204606,15.102582,15.140786,15.1884824,14.9447762,14.9444546,14.71539101,0.1020245,0.099851536,0.13951617,0.329192516,0.569039644,0.641246844,-0.004934417,-0.001176747,0.006854186,-0.000436578,-0.017839626,-0.023662383,-0.019435797,-0.020153003,-0.214939354,-0.208617045,-0.194909055,-0.161236741,-0.145531207,-0.11483855,-0.109282524,-0.106587674,-0.003854288,-0.004382284,-0.005259597,-0.00495767,-0.002537554,-0.000849919,-0.001130425,-0.001892059,-0.106599132,-0.105488323,-0.102774776,-0.100624965,-0.092196892,-0.076390315,-0.077554869,-0.082058523,4.377946009,3.952776044,3.438681989,2.059275566,-0.121435137,-3.981160257,-3.326264352,-3.038889112,-3.52548155,-3.181215683,-0.351795413,-0.357702343,-0.386924076,-0.55849885,-0.709889741,-0.936076913,-0.933814233,-0.920039026,-0.796269709,-0.651141298,-0.141179918,-0.135010292,-0.135432453,-0.229330159,-0.371212669,-0.375659422,-0.352871875,-0.322736485,-0.305759267,-0.30372195,46,343,2.530839779,2.447158031,2.192189813,2.523746467,2.284407232,2.192413532,2.494792112,2.189689121,336,137,99,321,99,99,293,99,-140,1370,3.078275522,3.105786853,2.520098524,3.086804577,2.914249473,2.713153526,3.107351319,2.620620359,1190,969,182,1190,206,204,1190,204
40351.45208,1.781036939,60.4,173,434.5,0.950851459,8.93,433.5,0.161368002,1.45,0,0,0,3.097157245,3.112612568,3.112612568,3.112612568,3.43964693,0,0,0,3.297361673,3.574036514,3.574701806,3.574701806,3.705454898,0.00342084,0.00342084,0.00342084,-0.002536431,0.00343012,-0.009593697,0.005327047,0.16503829,0.16568491,0.13050605,0.134838411,0.127154,0.2310169,0.229352,0.239163413,0.392176997,0.414423552,0.24294953,19.510668,19.252976,18.109317,17.9316149,18.4414006,17.7460624,17.86706861,17.65458618,0.893872872,0.673883196,0.83484648,1.006933367,1.160265432,1.201323403,13.956743,13.956743,13.508238,13.703455,15.8675972,15.2863886,14.63151448,14.38953939,0.4485055,0.50683224,2.422389102,1.834415419,1.779583941,1.566832633,-0.006439084,-0.010303601,-0.003548424,0.019410616,0.011602467,0.020119291,0.013643024,0.022558998,-0.005893185,-0.00816978,-0.001653914,0.048871237,0.113739277,0.120341169,0.09968115,0.135802068,0.00362673,0.003598354,0.00318212,0.002560158,0.001508925,-0.000889839,-0.000651491,-0.001675288,0.032729595,0.034488882,0.04189958,0.054209635,0.061901724,0.067584439,0.065874708,0.079487129,5.854319414,5.590720975,4.131387956,3.807362691,0.974860279,0.088138394,-0.296433685,-1.614181926,-0.88236876,0.386298146,0.454874817,0.433164602,0.59568771,0.488349723,-0.137182575,-0.890555389,-0.900992871,-0.742801226,-0.021298581,0.306013595,0.075071762,0.0717548,0.071992042,0.051862414,-0.019488409,-0.146975739,-0.149287672,-0.103020859,0.002474445,0.039067871,-1,71,1.806179974,1.803912113,2.195155597,1.803627795,1.812147098,1.858743919,1.802773725,1.939796491,63,61,61,63,61,61,63,61,0,739,2.855973201,2.85772188,2.888857842,2.85635121,2.859826036,2.864890997,2.855695785,2.871793805,709,703,703,709,703,703,703,703
40358.47222,1.826074803,67,180,277.9,0.920123326,8.32,427.5,0.523746467,3.34,0,0,0,0,0,1.072180955,3.269523207,3.269523207,0,0,0,0,0,0.184295958,3.595390104,3.686975997,0.012585148,0.012585148,0.012585148,0.00407832,0.017750718,-0.005992138,0.015552047,1.0737743,1.0168925,0.805442728,0.618190216,0.556823825,0.3481752,0.555159885,0.541135648,0.68446114,0.677773742,0.477514879,17.064114,17.046582,16.7355815,16.5505852,16.9123992,18.253458,17.9399831,18.1679817,0.310169408,0.444737966,0.776264277,1.563374922,1.380689875,1.226388277,13.885062,13.885062,14.131795,14.939981,15.4185898,15.915438,15.9413201,14.84125376,0.246732999,0.827377822,0.760119185,0.831912211,0.783364369,1.766338832,-0.099201705,-0.100190206,-0.076105333,-0.008281504,-0.023224768,-0.003012981,-0.003939701,0.009680124,-0.22830398,-0.253292478,-0.265298996,-0.151686356,-0.08962909,-0.013267534,0.016716418,0.04939429,-0.005348065,-0.004783641,-0.000558097,0.00278853,0.001982218,0.000723694,0.000950475,-0.000507121,-0.202075354,-0.195531006,-0.142841721,-0.08013975,-0.048463097,-0.001904285,0.021933588,0.03014447,-1.305110634,-0.516113072,-1.049481104,0.043404576,-1.043413464,-4.519075398,-6.020371747,-6.56557829,-5.038805629,-3.964798942,-0.578394509,-0.564780748,-0.563954933,-0.587173369,-0.504276384,-0.815757189,-0.825076076,-0.82562792,-0.80639947,-0.82637772,-0.621065159,-0.575095682,-0.453731946,-0.359260059,-0.303644886,-0.875939105,-0.838483598,-0.665352554,-0.501586548,-0.453503302,-6,135,2.006466042,2.03275303,2.077360334,2.009663317,2.067799031,2.083737709,2.018423083,2.062359976,101,101,97,101,101,99,101,97,-19,729,2.825426118,2.833492412,2.858912982,2.825831659,2.841313838,2.854644412,2.829678927,2.852003198,669,664,664,664,664,664,664,664
40359.45347,0.301029996,2,181,290.5,0.788168371,6.14,496.2,1.631443769,42.8,0,0,0,0,0,0,1.072180955,3.269523207,0,0,0,0,0,0,0.188005319,3.686975997,0.011300906,0.011300906,0.011300906,0.006304642,0.017888945,-0.007491653,-0.001284242,0.20101969,0.21423267,0.291319297,0.247022982,0.528728265,0,0.045448862,0.015149621,0.029034461,0.081769366,0.374330638,17.561361,17.163256,16.1246434,15.85665683,16.61012021,16.82125129,17.71378608,17.78582353,0.880772966,0.757467506,0.945519817,0.988245959,1.588023369,1.319528006,14.7073345,14.7073345,13.8898592,12.7900519,13.76145044,14.59002009,15.19744215,14.7450311,0.81747525,1.242480356,1.566451733,1.484016098,1.519981926,1.892244486,-0.023773328,-0.034226706,-0.053096139,-0.027786094,-0.009731915,-0.01371197,-0.003497288,0.005876295,-0.066999416,-0.077818796,-0.142373004,-0.139020391,-0.102744075,-0.092992823,-0.036941447,0.030844265,-0.002322281,-0.002726402,-0.003488399,-0.005862766,-0.006454007,-0.00205543,-0.001612472,-0.001295348,-0.093571211,-0.100441815,-0.106483489,-0.083084905,-0.100636369,-0.07004693,-0.031071725,0.01824208,-1.830371874,-1.469704841,0.797359135,1.762111816,0.909382644,-1.958125426,-1.57082073,-3.003455905,-3.53449773,-0.896988459,-0.295124449,-0.303997925,-0.003830245,0.244693724,-0.161912366,-0.955458822,-0.952627159,-0.973259483,-0.670160642,-0.386999426,-0.059325825,-0.065243532,0.010939629,0.046920104,-0.213747282,-0.192066036,-0.204046445,-0.28430966,-0.176723216,-0.22900515,-5,101,1.860338007,1.889651799,2.046137332,1.860338007,1.931118711,2.006421469,1.870452678,2.038462853,72,72,72,72,72,72,72,72,-5,674,2.804480189,2.808056162,2.846205628,2.804735581,2.813455886,2.827944478,2.805699043,2.84155064,635,625,625,625,625,625,625,625
40365.40556,1.161368002,14.5,187,274,0.903632516,8.01,526,0.498310554,3.15,0,0,0,0.390141,1.270408989,1.270408989,1.270408989,1.270408989,0,0,1.033357634,2.093033683,2.605260831,2.692959153,2.692959153,2.692959153,-0.002329779,-0.002329779,-0.002329779,-0.004166685,0.00200468,-0.012267469,-0.000179295,0.847575,0.84094155,0.823637512,0.755233203,0.592921005,0.8475074,0.861870725,0.781387458,0.803654711,0.767710067,0.735009037,18.149958,17.867196,17.6867822,18.0974396,18.4871603,19.3308585,18.97008429,18.68354661,0.215328786,0.516499518,0.645282592,1.406917336,1.287555315,1.089942453,6.930252,6.930252,6.6527715,6.4001768,8.42991459,8.853277419,9.762790258,11.03832756,0.2774805,0.320258159,2.485381284,2.001460989,2.096771445,2.480200708,-0.012435428,-0.013762466,-0.01029391,-0.001714574,0.006230066,0.024105748,0.039998539,0.038491425,0.09158076,0.082624191,0.071931727,0.066080857,0.083830945,0.163556783,0.213404232,0.239024138,-0.010299985,-0.010590625,-0.00968477,-0.006467806,0.002308087,0.005602427,0.004883192,0.002445141,0.033178094,0.030060543,0.027126674,0.022985782,0.022955947,0.082541282,0.113724086,0.12948915,1.491023494,1.180048174,0.71843078,0.79729258,0.064410477,7.791612948,7.185605233,6.609004729,5.657688368,4.720312836,-0.248526244,-0.26200714,-0.262677431,-0.252277147,-0.220529427,0.968625163,0.964964832,0.964846152,0.967394312,0.972919489,-0.210644631,-0.220243265,-0.216266766,-0.190735216,-0.133805735,0.820982472,0.811503302,0.79470583,0.730559783,0.576546084,4,40,1.602059991,1.563035883,1.595404356,1.597969275,1.542643915,1.532608422,1.581209852,1.546731118,40,34,32,39,33,32,36,32,-16,481,2.63748973,2.645094624,2.720593381,2.63748973,2.655698557,2.674607614,2.64064704,2.69208462,428,428,428,428,428,428,428,428
40366.44097,0.477121255,3,188,298,0.598790507,3.97,503,0.217483944,1.65,0,0,0,0,0,1.270408989,1.270408989,1.270408989,0.416660533,0.416660533,0.416660533,0.416660533,0.416660533,2.638368814,2.725001835,2.725001835,-0.004195378,-0.004195378,-0.004195378,-0.005958149,0.004525829,-0.012871305,0.002314099,0.22796606,0.19718875,0.13209311,0.148958497,0.447130591,0.23716752,0.25475872,0.387036845,0.324376025,0.344515301,0.556241061,17.618126,17.060272,17.3061055,18.1457113,18.7664375,18.6008534,19.14823304,18.83948618,0.614380597,1.056990397,1.188022454,0.952445352,1.360707856,1.156780586,9.479245,9.479245,8.57065,8.2966898,8.680864,8.371489594,8.642011833,9.848874975,0.90859501,0.76078161,0.690504281,1.743980483,1.596126376,2.057256623,-0.008453632,-0.004897859,0.008807606,0.018971916,0.012641581,0.008569612,0.019617907,0.034809661,0.098288094,0.095352053,0.100620043,0.111248169,0.113664526,0.098818496,0.144626986,0.210658635,0.006849427,0.00684107,0.007100661,0.006295878,1.71E-05,0.000575203,0.003517511,0.003471038,0.064919146,0.065424593,0.070328194,0.076363158,0.06876603,0.045760613,0.076660064,0.115402533,-3.27306767,-3.375565072,-2.128836487,-0.854456642,0.461841441,-1.650593801,-1.757209965,-1.939341607,-1.213981295,2.371715447,-0.675256602,-0.59514689,-0.355383954,-0.261227823,-0.224424415,-0.737582891,-0.797375366,-0.913089166,-0.29983783,0.340929944,-0.153935587,-0.119821833,-0.055850125,-0.043891469,-0.09077784,-0.168143866,-0.1553932,-0.116172449,0.007772625,0.369946703,-1,47,1.653212514,1.664916065,1.586188643,1.656816638,1.658011397,1.605888383,1.660786451,1.579307135,45,45,32,45,41,33,45,32,-8,432,2.571999816,2.584048388,2.685913333,2.573161809,2.596264834,2.626121069,2.576581279,2.648881556,370,366,366,366,366,366,366,366
40367.45139,1.161368002,14.5,189,233,0.722633923,5.28,527,0.164352856,1.46,0,0,0.784318813,1.737443812,2.439829912,2.439829912,2.750765166,2.750765166,0,0,0.322423634,1.76629386,2.962641727,2.991797453,3.967144439,4.025280239,-0.001256494,-0.001256494,-0.001256494,-0.00245655,0.001638694,-0.010210162,0.002577739,0.2329151,0.24073778,0.239298427,0.226191433,0.200466912,0.99179155,0.990688675,0.835271662,0.819710807,0.6273576,0.48593645,17.944645,18.463578,18.9846958,18.721712,18.6268448,18.6966411,18.60951719,18.86164319,0.600879065,0.560936391,0.544031722,0.926582684,0.838793812,1.164155966,12.110649,12.110649,11.977644,12.272386,13.4176024,11.0492332,10.05352719,10.19090176,0.133005,0.646023165,1.505738021,2.642194958,2.905493971,2.438743747,0.027364581,0.025460668,0.030707546,0.040205554,0.037530019,0.0250858,0.018223081,0.033458939,0.045956577,0.050518969,0.049264457,0.068462597,0.118697816,0.116181171,0.105444936,0.17303217,0.003228769,0.003254769,0.003258761,0.003225135,0.004374587,0.002195844,0.001841664,0.003652329,0.022397187,0.022328006,0.023311538,0.026735956,0.040802802,0.054784416,0.044108009,0.089315819,0.377039232,0.941865769,1.913697918,1.437918809,-0.140043026,1.907115405,2.955283678,2.237347116,2.693105953,1.59016149,0.032205895,0.03929688,0.074723359,-0.0073046,-0.406513238,0.999481256,0.99920238,0.995222344,0.863869291,0.504941844,0.007501239,0.009515714,0.016969422,0.01292628,-0.063544839,0.232794277,0.240543581,0.238259309,0.215683684,0.114056176,4,46,1.660391098,1.631359202,1.589391023,1.655618584,1.633257991,1.646015498,1.638489257,1.615643238,45,42,32,44,42,41,42,33,-19,381,2.529558673,2.544920286,2.64806306,2.531319221,2.555182649,2.575903139,2.53797642,2.603362428,333,333,333,333,333,333,333,333
40371.4375,1.629409599,42.6,193,238.7,0.346352974,2.22,516,0.267171728,1.85,0,0,0,0.24019159,2.005387494,2.008148401,2.008148401,3.159973101,0,0,0,0,2.665169601,3.134605398,3.135944834,4.314269231,-0.000290288,-0.000290288,-0.000290288,-0.00287648,0.000801495,-0.007238655,0.13941394,0.1363306,0.128310617,0.143273365,0.263657776,0.60334235,0.4356324,0.537808222,0.669129467,0.582348332,0.3602681,19.894833,20.33154,19.8902752,19.2000097,20.0309092,20.3724439,20.617887,20.05675807,0.622308643,1.08241618,1.597191026,1.456184283,1.367528425,1.381466981,10.935846,10.935846,10.607187,9.87495938,9.07279869,10.80019479,12.01618148,12.56495278,0.328659,0.86943208,1.015153701,3.603339054,3.436077356,2.850196406,2.850196406,0.031596899,0.031424237,0.018732099,0.002008233,0.012723747,0.021544132,0.019310735,0.022112983,0.007263973,0.016594919,0.049169902,0.048061149,0.055511788,0.034475803,0.011929198,0.038103689,0.007570377,0.0075341,0.007180801,0.00653624,0.003440196,0.005197477,0.006558949,0.005257586,0.065047178,0.064865264,0.062310588,0.062147047,0.051878876,0.019614676,0.012513662,0.019923383,-0.754381482,-0.672750144,0.921376601,1.150999794,2.149855596,-3.039228661,-2.92624454,-2.503776282,-0.42412732,1.045372407,0.149568132,0.23341165,0.451520154,0.389012247,0.329477952,-0.988751422,-0.968545817,-0.194938071,0.092275204,0.461186197,0.020851883,0.031562634,0.049716152,0.047989307,0.057347927,-0.137845731,-0.132104738,-0.014416112,0.037126267,0.195438632,2,64,1.77815125,1.777245526,1.796473148,1.77815125,1.764207277,1.788543972,1.774516966,1.835073738,60,58,42,60,51,51,58,51,0,201,2.249809609,2.259922223,2.430669545,2.24674471,2.268928822,2.309874035,2.24746179,2.35128351,171,171,171,171,171,171,171,171
