Dates,logEC,beachEColiValue,jday,beachSc,LOGbeachTurbidityBeach,beachTurbidityBeach,tribMolashCreekTribSc,LOGtribMolashCreekTribTurbidity,tribMolashCreekTribTurbidity,PointBeachesSumGDP1hrsqrt,PointBeachesSumGDP2hrsqrt,PointBeachesSumGDP6hrsqrt,PointBeachesSumGDP12hrsqrt,PointBeachesSumGDP24hrsqrt,PointBeachesSumGDP48hrsqrt,PointBeachesSumGDP72hrsqrt,PointBeachesSumGDP120hrsqrt,ManitowocRSumGDP1hrsqrt,ManitowocRSumGDP2hrsqrt,ManitowocRSumGDP6hrsqrt,ManitowocRSumGDP12hrsqrt,ManitowocRSumGDP24hrsqrt,ManitowocRSumGDP48hrsqrt,ManitowocRSumGDP72hrsqrt,ManitowocRSumGDP120hrsqrt,HeightabovesealevelMean1hr,HeightabovesealevelMax1hr,HeightabovesealevelMin1hr,HeightabovesealevelMean24hr,HeightabovesealevelMax24hr,HeightabovesealevelMin24hr,HeightabovesealevelDiff24hr,Sig.waveheightMean1hr,Sig.waveheightMean2hr,Sig.waveheightMean6hr,Sig.waveheightMean12hr,Sig.waveheightMean24hr,CloudcoverMean1hr,CloudcoverMean2hr,CloudcoverMean6hr,CloudcoverMean12hr,CloudcoverMean24hr,CloudcoverMean48hr,AirtempMean1hr,AirtempMean2hr,AirtempMean6hr,AirtempMean12hr,AirtempMean24hr,AirtempMean48hr,AirtempMean72hr,AirtempMean120hr,AirtempStDev6hr,AirtempStDev12hr,AirtempStDev24hr,AirtempStDev48hr,AirtempStDev72hr,AirtempStDev120hr,Seawatertemp0Mean1hr,Seawatertemp0Mean2hr,Seawatertemp0Mean6hr,Seawatertemp0Mean12hr,Seawatertemp0Mean24hr,Seawatertemp0Mean48hr,Seawatertemp0Mean72hr,Seawatertemp0Mean120hr,Seawatertemp0StDev6hr,Seawatertemp0StDev12hr,Seawatertemp0StDev24hr,Seawatertemp0StDev48hr,Seawatertemp0StDev72hr,Seawatertemp0StDev120hr,scperpmean1,scperpmean2,scperpmean6,scperpmean12,scperpmean24,scperpmean48,scperpmean72,scperpmean120,scparlmean1,scparlmean2,scparlmean6,scparlmean12,scparlmean24,scparlmean48,scparlmean72,scparlmean120,dcperpmean1,dcperpmean2,dcperpmean6,dcperpmean12,dcperpmean24,dcperpmean48,dcperpmean72,dcperpmean120,dcparlmean1,dcparlmean2,dcparlmean6,dcparlmean12,dcparlmean24,dcparlmean48,dcparlmean72,dcparlmean120,wndperpmean1,wndperpmean2,wndperpmean6,wndperpmean12,wndperpmean24,wndparlmean1,wndparlmean2,wndparlmean6,wndparlmean12,wndparlmean24,wvperpmean1,wvperpmean2,wvperpmean6,wvperpmean12,wvperpmean24,wvparlmean1,wvparlmean2,wvparlmean6,wvparlmean12,wvparlmean24,dirwvhperpmean1,dirwvhperpmean2,dirwvhperpmean6,dirwvhperpmean12,dirwvhperpmean24,dirwvhparlmean1,dirwvhparlmean2,dirwvhparlmean6,dirwvhparlmean12,dirwvhparlmean24,KRQdifference6,KRQmax24,logKRQmean1,logKRQmean12,logKRQmean120,logKRQmean2,logKRQmean24,logKRQmean48,logKRQmean6,logKRQmean72,KRQmin1,KRQmin12,KRQmin120,KRQmin2,KRQmin24,KRQmin48,KRQmin6,KRQmin72,MRQdifference6,MRQmax24,logMRQmean1,logMRQmean12,logMRQmean120,logMRQmean2,logMRQmean24,logMRQmean48,logMRQmean6,logMRQmean72,MRQmin1,MRQmin12,MRQmin120,MRQmin2,MRQmin24,MRQmin48,MRQmin6,MRQmin72
40343.42083,0.477121255,3,165,282,0.338456494,2.18,559,0.071882007,1.18,0,0,0,0,1.196040969,1.196040969,3.012701612,4.222857563,0,0,0,0,0.999829485,1.035649072,2.638308549,4.040954838,0.003006178,0.003006178,0.003006178,0.004084753,0.015833378,-0.005077513,-0.005050066,0.11345731,0.11212029,0.083628524,0.058832684,0.065569136,0.9141811,0.89546345,0.889705323,0.932903837,0.89416955,0.938542463,15.27049,15.363172,15.235741,15.39614004,15.93948198,15.43510853,15.30444901,15.18414006,0.172803512,0.422738262,0.84586327,0.845729985,0.812879754,1.186476941,14.127741,14.127741,13.832042,14.309997,14.9478062,14.5135464,14.54932781,14.14420151,0.295699001,0.599749001,0.864880489,0.7709898,0.74948524,1.073166796,-0.0813173,-0.079859203,-0.051105633,-0.006539711,-0.014252091,-0.022118494,-0.018049695,-0.004668493,-0.115583196,-0.126820931,-0.149908828,-0.098433305,-0.094488399,-0.132244371,-0.102802654,-0.04702791,-0.001079955,-0.001134058,-0.001446619,-0.001462206,-0.001541342,-0.002838408,-0.002532858,0.001391615,-0.064863487,-0.065237368,-0.06553253,-0.063331876,-0.078050294,-0.100452654,-0.086541915,-0.04190576,-2.185525806,-1.726605545,-1.785665864,-0.246715061,-0.811368264,-3.179794183,-2.71861508,-2.717663513,-1.55142858,-0.116246657,-0.120016763,-0.138266124,-0.076761692,0.090078305,-0.396408562,-0.992771865,-0.990223685,-0.964896801,-0.27791876,-0.210063313,-0.013616779,-0.015478038,-0.013079663,-0.005199343,-0.032969844,-0.112637225,-0.111027574,-0.081668573,-0.030964384,-0.027747044,-10,169,2.138302698,2.160993449,2.203463521,2.141841559,2.182289796,2.224729944,2.149475712,2.192486143,137,137,113,137,137,137,137,113,3,223,2.335457901,2.340030777,2.297860777,2.333950804,2.340795143,2.3332583,2.337292833,2.317678923,215,212,164,212,212,192,212,182
40344.42778,1.294466226,19.7,166,286,0.51054501,3.24,562,0.089905111,1.23,0,0,0.229436266,0.229436266,0.325230687,1.239471662,1.239471662,4.235363149,1.468306167,1.468306167,1.468306167,1.469114359,1.471059142,1.778671977,1.799051139,4.300387308,0.003847931,0.003847931,0.003847931,0.005700883,0.016297372,-0.008080843,-0.007547185,0.5202284,0.47165071,0.383098417,0.367312682,0.354676187,1,1,1,0.989918227,0.942938628,0.918554089,15.185442,15.344984,15.679193,15.58733238,15.41697731,15.67822965,15.42906479,15.0586142,0.275972809,0.280298863,0.322022859,0.691262959,0.715177437,0.892257078,15.240494,15.240494,15.108574,14.920518,14.8401642,14.8939852,14.622419,14.59728121,0.1319205,0.212868007,0.233285482,0.635701887,0.661914427,0.628845883,0.02635043,0.026518627,-0.001836933,-0.025555513,-0.024998984,-0.019625537,-0.023078657,-0.015364386,-0.043092561,-0.029502069,-0.007786013,-0.063472676,-0.081125449,-0.087806924,-0.115204731,-0.068380593,0.001957695,0.002280009,0.002064712,0.001193462,0.000964284,-0.000288529,-0.001570844,-0.000707686,-0.05003763,-0.048512525,-0.050052243,-0.060951913,-0.059965994,-0.069008144,-0.086957101,-0.064564861,-3.752433888,-3.837875228,-3.190255128,-2.842524257,-2.704537531,-2.05941376,-1.662312237,-0.326370288,-1.444712293,-2.822166689,-0.901746387,-0.887687179,-0.817087278,-0.754843822,-0.674877091,-0.43226549,-0.459429975,-0.567291062,-0.64385366,-0.720558232,-0.46911408,-0.419361252,-0.316388704,-0.279767602,-0.244096059,-0.224876784,-0.215370886,-0.212085649,-0.232820762,-0.251246763,-6,137,2.004321374,2.034427905,2.159028001,2.007534418,2.071421706,2.129847596,2.017728767,2.178907036,101,101,101,101,101,101,101,101,0,218,2.320146286,2.32053573,2.311440385,2.317279645,2.326527871,2.333667641,2.317976328,2.331167103,209,204,174,204,204,204,204,192
40345.40833,2.886547123,770.1,167,274,0.716003344,5.2,271,1.741939078,55.2,0,0,0,2.097610307,6.340888502,6.349223732,6.460894443,7.027731711,0,0,0,0.71090576,6.521844448,6.522464795,6.598651832,7.036636199,0.013947892,0.013947892,0.013947892,0.005636058,0.01598132,-0.005434535,0.010099961,0.40131256,0.3778254,0.350665217,0.393494888,0.494661129,1,1,0.999730657,0.997153923,0.983082543,0.961222692,15.270092,15.144932,14.816045,14.96633712,15.06717602,15.2438485,15.48436979,15.27255914,0.247638455,0.237635502,0.35316452,0.38045899,0.666547348,0.679968639,15.204606,15.204606,15.102582,15.140786,15.1884824,14.9447762,14.9444546,14.71539101,0.1020245,0.099851536,0.13951617,0.329192516,0.569039644,0.641246844,-0.004934417,-0.001176747,0.006854186,-0.000436578,-0.017839626,-0.023662383,-0.019435797,-0.020153003,-0.214939354,-0.208617045,-0.194909055,-0.161236741,-0.145531207,-0.11483855,-0.109282524,-0.106587674,-0.003854288,-0.004382284,-0.005259597,-0.00495767,-0.002537554,-0.000849919,-0.001130425,-0.001892059,-0.106599132,-0.105488323,-0.102774776,-0.100624965,-0.092196892,-0.076390315,-0.077554869,-0.082058523,4.377946009,3.952776044,3.438681989,2.059275566,-0.121435137,-3.981160257,-3.326264352,-3.038889112,-3.52548155,-3.181215683,-0.351795413,-0.357702343,-0.386924076,-0.55849885,-0.709889741,-0.936076913,-0.933814233,-0.920039026,-0.796269709,-0.651141298,-0.141179918,-0.135010292,-0.135432453,-0.229330159,-0.371212669,-0.375659422,-0.352871875,-0.322736485,-0.305759267,-0.30372195,50,347,2.534343457,2.453891414,2.193536194,2.527951958,2.290150593,2.195452796,2.497678184,2.191419961,336,142,99,329,99,99,293,99,-120,1370,3.076458388,3.107351319,2.52282174,3.083681747,2.919622799,2.717388751,3.105368235,2.624117299,1190,1040,182,1190,206,204,1190,204
40351.47708,1.907411361,80.8,173,263,0.757396029,5.72,433.5,0.161368002,1.45,0,0,0,2.755224129,3.112612568,3.112612568,3.112612568,3.43964693,0,0,0,2.934236868,3.574036514,3.574701806,3.574701806,3.705454898,0.001322566,0.001322566,0.001322566,-0.002401899,0.00343012,-0.009593697,0.004814582,0.14142606,0.15323218,0.13978946,0.132843616,0.126827213,0.20555927,0.21828808,0.232437057,0.334036752,0.421290274,0.245240975,20.04283,19.776749,18.5836143,18.1331794,18.4709906,17.7973122,17.87297501,17.69486298,1.028796924,0.881500634,0.877412124,1.058599071,1.170201295,1.199696136,13.956743,13.956743,13.508238,13.703455,15.8675972,15.2863886,14.63151448,14.38953939,0.4485055,0.50683224,2.422389102,1.834415419,1.779583941,1.566832633,0.0031435,-0.001647792,-0.006926694,0.017599187,0.013259841,0.019353107,0.01355822,0.022673764,-0.005896019,-0.005894602,-0.004635249,0.033358716,0.107857872,0.117965883,0.097765576,0.135266222,0.003674065,0.003650398,0.00337783,0.002734623,0.001719006,-0.000796322,-0.000604838,-0.001648608,0.028682482,0.030706038,0.037793787,0.050779022,0.060275607,0.067059119,0.064963033,0.080083007,5.75094426,5.802631837,4.643375957,4.317598515,1.260485198,-0.985409266,-0.448635436,-1.435997699,-1.444111673,0.22797227,0.550626003,0.50275041,0.52640468,0.57500597,-0.094424555,-0.834752062,-0.862653726,-0.839038609,-0.163539934,0.234578935,0.077872866,0.076472314,0.071164394,0.065093817,-0.013285901,-0.118055695,-0.132515717,-0.11902021,-0.019381938,0.028677681,-1,71,1.799340549,1.804196244,2.191445192,1.803627795,1.811309634,1.856861001,1.802203411,1.936806859,63,63,61,63,61,61,63,61,-10,739,2.855973201,2.857596311,2.888446281,2.857106242,2.859638579,2.864640846,2.855973201,2.871554694,709,703,703,709,703,703,709,703
40352.41944,1.227886705,16.9,174,266,1.586587305,38.6,436,0.755112266,5.69,0,0,2.114802591,2.114802591,2.114802591,3.763076667,3.763076667,3.763076667,0,0,3.485107602,3.485107602,3.485107602,4.991964743,4.992441186,4.992441186,-0.000323646,-0.000323646,-0.000323646,-0.002569793,0.004923512,-0.010470066,-0.001646211,0.35809278,0.35009849,0.302026405,0.27789302,0.259674005,0.79099005,0.556400475,0.631612363,0.315806182,0.171712769,0.29306816,18.88627,18.738238,18.9790063,18.8487721,19.5219619,18.9816812,18.3380289,18.29616019,0.529066081,0.774819082,1.220036548,1.176703918,1.368559445,1.250059363,11.303199,11.303199,10.976999,10.677332,12.355098,14.1113476,14.3092918,13.91291796,0.3262,0.378395308,2.0259666,2.840892032,2.349681561,1.920396154,0.014483772,0.014162843,0.01395634,0.015705846,0.026720738,0.019161602,0.022319773,0.021102325,0.096455847,0.091005776,0.080260948,0.072237261,0.071204934,0.092472105,0.103962424,0.114450066,5.38E-05,-4.51E-05,-0.000388914,-0.000645061,0.000923795,0.00121636,-0.000285295,-0.000715319,0.04711251,0.046532285,0.043844281,0.042076604,0.036434881,0.049168303,0.057201253,0.072899872,1.03003982,0.59615496,1.659145864,1.625730093,1.988883602,5.497480266,4.91101746,4.676881883,4.000227873,3.894560549,0.058112704,0.057926329,0.122391518,0.057052796,0.214615884,0.998310029,0.998320843,0.982894931,0.991267309,0.723328889,0.02080974,0.02028141,0.037821423,0.018098632,0.033570945,0.357487614,0.349510533,0.297043402,0.275359297,0.224793499,0,66,1.77815125,1.778000428,2.021903918,1.77815125,1.783769627,1.798801656,1.777849552,1.837075251,60,58,58,60,58,58,58,58,47,786,2.888039014,2.8699525,2.876931933,2.88514911,2.865523452,2.862947772,2.874288497,2.865385727,765,719,703,760,709,703,719,703
40353.43333,1.774516966,59.5,175,270,1.92992956,85.1,445,0.348304863,2.23,0,0,0,0.753108226,0.87531937,2.288793132,3.863538663,3.863538663,0,0,0,0.027694765,2.509817324,4.294782765,5.587387135,5.58781281,0.003194448,0.003194448,0.003194448,0.00118412,0.019296827,-0.012024415,-0.000985323,0.5526112,0.55133937,0.542209678,0.423082444,0.352412959,0.24944012,0.29868596,0.260609472,0.457314248,0.563151303,0.367432036,19.605524,19.376908,18.7156348,18.6505114,19.3290178,19.4254899,19.0974601,18.49043711,0.598570699,0.483926253,1.059538386,1.146674428,1.150697508,1.384397647,13.100565,13.100565,12.708864,12.642122,12.9940001,12.6745491,13.7388985,13.84872831,0.3917005,0.378335261,0.57657096,1.52333067,2.40181039,1.935845347,-0.038056861,-0.039583002,-0.032525216,-0.001047378,0.004915354,0.015818046,0.014412853,0.014513033,-0.124878063,-0.130194088,-0.119756875,-0.061701,0.001289376,0.036247155,0.062077862,0.074307552,0.002743148,0.0031436,0.002931164,0.002066321,0.001740447,0.001332121,0.001391056,0.000141954,-0.056929101,-0.051030531,-0.023521808,-0.002751808,0.012837658,0.02463627,0.037058088,0.049379333,4.542556811,4.776289652,4.673346434,4.105776978,3.19086519,-4.238874353,-4.579952951,-4.508451468,-4.888887329,-1.509762203,-0.276355174,-0.236871007,-0.234073328,0.066246469,0.056011043,-0.961055575,-0.970690626,-0.970809829,-0.736157875,0.125625372,-0.152716965,-0.130646529,-0.126409596,-0.030732503,-0.012107971,-0.531090074,-0.535167704,-0.526501292,-0.373030383,-0.046908485,26,103,2,1.895675719,1.896916429,1.984527313,1.849278619,1.817551598,1.939103062,1.816080113,97,64,58,91,60,58,77,58,11,802,2.895422546,2.894927282,2.87520118,2.893900404,2.893328222,2.879863129,2.893206753,2.873387214,781,760,703,775,760,709,770,703
40358.44722,1.769377326,58.8,180,275.6,0.979092901,9.53,427.5,0.523746467,3.34,0,0,0,0,0,1.072180955,3.269523207,3.269523207,0,0,0,0,0,0.188005319,3.595390104,3.686975997,0.010315369,0.010315369,0.010315369,0.003296695,0.017750718,-0.006173859,0.016489228,0.9600107,0.90565415,0.698941538,0.578425499,0.52152036,0.76214457,0.49258243,0.644550577,0.668553433,0.666891909,0.479802954,17.029049,17.015658,16.666069,16.4883858,17.0323824,18.265619,17.96121861,18.19394829,0.273296097,0.420078426,0.984936423,1.556330523,1.378812065,1.235693426,13.885062,13.885062,14.131795,14.939981,15.4185898,15.915438,15.9413201,14.84125376,0.246732999,0.827377822,0.760119185,0.831912211,0.783364369,1.766338832,-0.101178707,-0.098464174,-0.057747179,0.003110543,-0.017692025,-0.000379975,-0.002494631,0.01025045,-0.278280975,-0.286418215,-0.252230518,-0.124828223,-0.083241571,-0.004040133,0.02086389,0.050293157,-0.004219217,-0.002863014,0.001220057,0.003403437,0.002343147,0.000808296,0.001052454,-0.000451439,-0.188986659,-0.176747076,-0.116418033,-0.06220535,-0.039457491,0.003710597,0.026181965,0.03128912,0.27288449,-0.239986227,-1.147171519,0.375782728,-0.800519946,-7.521668095,-7.576631295,-6.699372467,-4.761028031,-3.936214025,-0.551166986,-0.552782344,-0.57099725,-0.599563122,-0.459019451,-0.834394962,-0.83332342,-0.820349888,-0.795633179,-0.828283319,-0.529126204,-0.500541819,-0.39519401,-0.343652063,-0.272975261,-0.801028092,-0.754761059,-0.576178728,-0.46272505,-0.425135849,-8,137,2.010723865,2.036429266,2.0774966,2.01389006,2.071882007,2.083476491,2.022222105,2.062960443,101,101,97,101,101,97,101,97,-10,729,2.824613897,2.83457964,2.859319716,2.826641608,2.842355671,2.855118318,2.8302143,2.852232125,664,664,664,664,664,664,664,664
40359.44097,0.301029996,2,181,300.3,0.892651034,7.81,496.2,1.631443769,42.8,0,0,0,0,0,0,1.072180955,3.269523207,0,0,0,0,0,0,0.188005319,3.686975997,0.011300906,0.011300906,0.011300906,0.006304642,0.017888945,-0.007491653,-0.001284242,0.20101969,0.21423267,0.291319297,0.247022982,0.528728265,0,0.045448862,0.015149621,0.029034461,0.081769366,0.374330638,17.561361,17.163256,16.1246434,15.85665683,16.61012021,16.82125129,17.71378608,17.78582353,0.880772966,0.757467506,0.945519817,0.988245959,1.588023369,1.319528006,14.7073345,14.7073345,13.8898592,12.7900519,13.76145044,14.59002009,15.19744215,14.7450311,0.81747525,1.242480356,1.566451733,1.484016098,1.519981926,1.892244486,-0.023773328,-0.034226706,-0.053096139,-0.027786094,-0.009731915,-0.01371197,-0.003497288,0.005876295,-0.066999416,-0.077818796,-0.142373004,-0.139020391,-0.102744075,-0.092992823,-0.036941447,0.030844265,-0.002322281,-0.002726402,-0.003488399,-0.005862766,-0.006454007,-0.00205543,-0.001612472,-0.001295348,-0.093571211,-0.100441815,-0.106483489,-0.083084905,-0.100636369,-0.07004693,-0.031071725,0.01824208,-1.830371874,-1.469704841,0.797359135,1.762111816,0.909382644,-1.958125426,-1.57082073,-3.003455905,-3.53449773,-0.896988459,-0.295124449,-0.303997925,-0.003830245,0.244693724,-0.161912366,-0.955458822,-0.952627159,-0.973259483,-0.670160642,-0.386999426,-0.059325825,-0.065243532,0.010939629,0.046920104,-0.213747282,-0.192066036,-0.204046445,-0.28430966,-0.176723216,-0.22900515,-5,103,1.860338007,1.89128186,2.046665844,1.860338007,1.932759057,2.007867747,1.871670213,2.038807755,72,72,72,72,72,72,72,72,0,674,2.805330913,2.808126537,2.846333246,2.80592543,2.813692161,2.828260348,2.805840549,2.841743897,635,625,625,625,625,625,625,625
40365.5,0.875061263,7.5,187,300,0.94792362,8.87,526,0.498310554,3.15,0,0,0,0.229492919,1.270408989,1.270408989,1.270408989,1.270408989,0,0,0,1.398094417,2.603815278,2.692959153,2.692959153,2.692959153,-0.004509645,-0.004509645,-0.004509645,-0.004290551,0.00200468,-0.012267469,0.003119705,0.84868264,0.85929957,0.85452914,0.792061795,0.66510521,0.48470715,0.657543405,0.785710538,0.741437778,0.757946612,0.775985998,22.082222,20.28951,18.717006,18.4133918,18.5146562,19.4051414,19.02416375,18.72417852,1.556011186,1.2065624,0.908888484,1.452753455,1.334821432,1.128456637,7.8112593,7.8112593,7.37075565,6.81035732,8.06211519,8.62258575,9.618680812,10.85843529,0.44050365,0.647241894,2.326953939,1.892590529,2.107066746,2.446555632,-0.001722533,-0.004909234,-0.01016728,-0.004636732,0.003322128,0.022160329,0.038046093,0.03871314,0.113295033,0.111655056,0.086797677,0.073848535,0.084899244,0.156758067,0.208114589,0.238267471,-0.009628494,-0.009768126,-0.01023672,-0.008080588,3.28E-06,0.004913886,0.004379234,0.002389908,0.048368523,0.045174927,0.033904395,0.028519757,0.023025165,0.078656707,0.110871838,0.12914568,2.853918673,2.304689779,1.299290445,0.976250671,0.290907398,6.402726915,6.959477845,6.818988193,5.623682004,5.359127622,-0.194659787,-0.207123422,-0.243094505,-0.251347086,-0.229229652,0.980870821,0.978231865,0.969587883,0.967589014,0.972197425,-0.169337761,-0.180906421,-0.20722208,-0.194849676,-0.146789054,0.853275711,0.854207058,0.828052061,0.753203729,0.623799251,5,42,1.618048097,1.578591462,1.592731766,1.615423953,1.552008772,1.535913571,1.59979213,1.54750122,41,34,32,41,33,32,37,32,-12,481,2.62838893,2.641226155,2.717805679,2.630936119,2.651883471,2.670955757,2.635483747,2.688805912,420,420,420,420,420,420,420,420
40366.44792,0.612783857,4.1,188,299,0.639486489,4.36,503,0.217483944,1.65,0,0,0,0,0,1.270408989,1.270408989,1.270408989,0.416660533,0.416660533,0.416660533,0.416660533,0.416660533,2.638368814,2.725001835,2.725001835,-0.004195378,-0.004195378,-0.004195378,-0.005958149,0.004525829,-0.012871305,0.002314099,0.22796606,0.19718875,0.13209311,0.148958497,0.447130591,0.23716752,0.25475872,0.387036845,0.324376025,0.344515301,0.556241061,17.618126,17.060272,17.3061055,18.1457113,18.7664375,18.6008534,19.14823304,18.83948618,0.614380597,1.056990397,1.188022454,0.952445352,1.360707856,1.156780586,9.479245,9.479245,8.57065,8.2966898,8.680864,8.371489594,8.642011833,9.848874975,0.90859501,0.76078161,0.690504281,1.743980483,1.596126376,2.057256623,-0.008453632,-0.004897859,0.008807606,0.018971916,0.012641581,0.008569612,0.019617907,0.034809661,0.098288094,0.095352053,0.100620043,0.111248169,0.113664526,0.098818496,0.144626986,0.210658635,0.006849427,0.00684107,0.007100661,0.006295878,1.71E-05,0.000575203,0.003517511,0.003471038,0.064919146,0.065424593,0.070328194,0.076363158,0.06876603,0.045760613,0.076660064,0.115402533,-3.27306767,-3.375565072,-2.128836487,-0.854456642,0.461841441,-1.650593801,-1.757209965,-1.939341607,-1.213981295,2.371715447,-0.675256602,-0.59514689,-0.355383954,-0.261227823,-0.224424415,-0.737582891,-0.797375366,-0.913089166,-0.29983783,0.340929944,-0.153935587,-0.119821833,-0.055850125,-0.043891469,-0.09077784,-0.168143866,-0.1553932,-0.116172449,0.007772625,0.369946703,-1,47,1.653212514,1.664916065,1.586188643,1.656816638,1.658011397,1.605888383,1.660786451,1.579307135,45,45,32,45,41,33,45,32,-8,432,2.571999816,2.584048388,2.685913333,2.573161809,2.596264834,2.626121069,2.576581279,2.648881556,370,366,366,366,366,366,366,366
