Dates,logEC,beachEColiValue,jday,beachSc,LOGbeachTurbidityBeach,beachTurbidityBeach,tribMolashCreekTribSc,LOGtribMolashCreekTribTurbidity,tribMolashCreekTribTurbidity,PointBeachesSumGDP1hrsqrt,PointBeachesSumGDP2hrsqrt,PointBeachesSumGDP6hrsqrt,PointBeachesSumGDP12hrsqrt,PointBeachesSumGDP24hrsqrt,PointBeachesSumGDP48hrsqrt,PointBeachesSumGDP72hrsqrt,PointBeachesSumGDP120hrsqrt,ManitowocRSumGDP1hrsqrt,ManitowocRSumGDP2hrsqrt,ManitowocRSumGDP6hrsqrt,ManitowocRSumGDP12hrsqrt,ManitowocRSumGDP24hrsqrt,ManitowocRSumGDP48hrsqrt,ManitowocRSumGDP72hrsqrt,ManitowocRSumGDP120hrsqrt,HeightabovesealevelMean1hr,HeightabovesealevelMax1hr,HeightabovesealevelMin1hr,HeightabovesealevelMean24hr,HeightabovesealevelMax24hr,HeightabovesealevelMin24hr,HeightabovesealevelDiff24hr,Sig.waveheightMean1hr,Sig.waveheightMean2hr,Sig.waveheightMean6hr,Sig.waveheightMean12hr,Sig.waveheightMean24hr,CloudcoverMean1hr,CloudcoverMean2hr,CloudcoverMean6hr,CloudcoverMean12hr,CloudcoverMean24hr,CloudcoverMean48hr,AirtempMean1hr,AirtempMean2hr,AirtempMean6hr,AirtempMean12hr,AirtempMean24hr,AirtempMean48hr,AirtempMean72hr,AirtempMean120hr,AirtempStDev6hr,AirtempStDev12hr,AirtempStDev24hr,AirtempStDev48hr,AirtempStDev72hr,AirtempStDev120hr,Seawatertemp0Mean1hr,Seawatertemp0Mean2hr,Seawatertemp0Mean6hr,Seawatertemp0Mean12hr,Seawatertemp0Mean24hr,Seawatertemp0Mean48hr,Seawatertemp0Mean72hr,Seawatertemp0Mean120hr,Seawatertemp0StDev6hr,Seawatertemp0StDev12hr,Seawatertemp0StDev24hr,Seawatertemp0StDev48hr,Seawatertemp0StDev72hr,Seawatertemp0StDev120hr,scperpmean1,scperpmean2,scperpmean6,scperpmean12,scperpmean24,scperpmean48,scperpmean72,scperpmean120,scparlmean1,scparlmean2,scparlmean6,scparlmean12,scparlmean24,scparlmean48,scparlmean72,scparlmean120,dcperpmean1,dcperpmean2,dcperpmean6,dcperpmean12,dcperpmean24,dcperpmean48,dcperpmean72,dcperpmean120,dcparlmean1,dcparlmean2,dcparlmean6,dcparlmean12,dcparlmean24,dcparlmean48,dcparlmean72,dcparlmean120,wndperpmean1,wndperpmean2,wndperpmean6,wndperpmean12,wndperpmean24,wndparlmean1,wndparlmean2,wndparlmean6,wndparlmean12,wndparlmean24,wvperpmean1,wvperpmean2,wvperpmean6,wvperpmean12,wvperpmean24,wvparlmean1,wvparlmean2,wvparlmean6,wvparlmean12,wvparlmean24,dirwvhperpmean1,dirwvhperpmean2,dirwvhperpmean6,dirwvhperpmean12,dirwvhperpmean24,dirwvhparlmean1,dirwvhparlmean2,dirwvhparlmean6,dirwvhparlmean12,dirwvhparlmean24,KRQdifference6,KRQmax24,logKRQmean1,logKRQmean12,logKRQmean120,logKRQmean2,logKRQmean24,logKRQmean48,logKRQmean6,logKRQmean72,KRQmin1,KRQmin12,KRQmin120,KRQmin2,KRQmin24,KRQmin48,KRQmin6,KRQmin72,MRQdifference6,MRQmax24,logMRQmean1,logMRQmean12,logMRQmean120,logMRQmean2,logMRQmean24,logMRQmean48,logMRQmean6,logMRQmean72,MRQmin1,MRQmin12,MRQmin120,MRQmin2,MRQmin24,MRQmin48,MRQmin6,MRQmin72
40339.41528,1.550228353,35.5,161,270,0.487138375,3.07,589,0.305351369,2.02,0,0,0,0,0,4.379267519,4.379267519,5.836870137,0,0,0,0,0,3.47304175,3.483740231,5.074131256,-0.004303204,-0.004303204,-0.004303204,-0.006926506,0.003618593,-0.019673193,0.008678788,0.21611032,0.2191055,0.244989472,0.185020167,0.210980879,0.044607244,0.027762242,0.017583447,0.064456639,0.182725006,0.516351642,15.561967,15.1592822,14.2683078,14.68188471,16.08938052,15.03359326,14.50699307,14.22158885,0.700897307,0.769243085,1.553978074,1.631808387,1.652214227,1.472958349,11.816522,11.816522,11.866814,11.988498,12.793018,12.4884748,12.8186346,13.2332708,0.050292,0.126777551,1.02128251,1.093524243,1.120511148,1.099137589,0.022880924,0.022207841,0.010536817,0.005113416,0.028843054,0.028768963,0.017899563,0.005138912,-0.039028887,-0.031913338,-0.026792993,-0.02373672,0.033566261,0.135551044,0.063310651,0.002287036,0.013908775,0.013817345,0.013329417,0.013468241,0.010944606,0.00260299,0.001136578,4.52E-05,0.000931884,0.00292234,-0.001560019,0.016761469,0.058496091,0.096096031,0.033435962,0.002204236,-0.146924352,0.445220473,2.39576614,2.54197379,4.93217266,-2.93310871,-3.732005634,-3.21969114,-3.027368832,-1.589044977,-0.187302622,-0.121054515,-0.065163541,0.138408285,0.385425738,-0.982302259,-0.990399629,-0.996218488,-0.82497476,-0.038692167,-0.04047803,-0.026325285,-0.015289265,0.006766074,0.078658954,-0.212285655,-0.217026259,-0.244143561,-0.170094713,0.003248706,-20,207,2.256477206,2.293362555,1.942893096,2.260965305,2.290243357,2.142409124,2.277131495,2.03769019,179,179,38,179,172,41,179,41,13,198,2.293362555,2.27324248,2.215942623,2.290868991,2.256502269,2.243116,2.282829733,2.231284839,195,179,128,192,164,149,182,149
40343.45139,0.875061263,7.5,165,270,0.487138375,3.07,559,0.071882007,1.18,0,0,0,0,1.196040969,1.196040969,3.012701612,4.222857563,0,0,0,0,0.999829485,1.035649072,2.638308549,4.040954838,0.003006178,0.003006178,0.003006178,0.004084753,0.015833378,-0.005077513,-0.005050066,0.11345731,0.11212029,0.083628524,0.058832684,0.065569136,0.9141811,0.89546345,0.889705323,0.932903837,0.89416955,0.938542463,15.27049,15.363172,15.235741,15.39614004,15.93948198,15.43510853,15.30444901,15.18414006,0.172803512,0.422738262,0.84586327,0.845729985,0.812879754,1.186476941,14.127741,14.127741,13.832042,14.309997,14.9478062,14.5135464,14.54932781,14.14420151,0.295699001,0.599749001,0.864880489,0.7709898,0.74948524,1.073166796,-0.0813173,-0.079859203,-0.051105633,-0.006539711,-0.014252091,-0.022118494,-0.018049695,-0.004668493,-0.115583196,-0.126820931,-0.149908828,-0.098433305,-0.094488399,-0.132244371,-0.102802654,-0.04702791,-0.001079955,-0.001134058,-0.001446619,-0.001462206,-0.001541342,-0.002838408,-0.002532858,0.001391615,-0.064863487,-0.065237368,-0.06553253,-0.063331876,-0.078050294,-0.100452654,-0.086541915,-0.04190576,-2.185525806,-1.726605545,-1.785665864,-0.246715061,-0.811368264,-3.179794183,-2.71861508,-2.717663513,-1.55142858,-0.116246657,-0.120016763,-0.138266124,-0.076761692,0.090078305,-0.396408562,-0.992771865,-0.990223685,-0.964896801,-0.27791876,-0.210063313,-0.013616779,-0.015478038,-0.013079663,-0.005199343,-0.032969844,-0.112637225,-0.111027574,-0.081668573,-0.030964384,-0.027747044,-7,166,2.136720567,2.158362492,2.202800394,2.138302698,2.179426109,2.222784189,2.146386467,2.193143931,137,137,113,137,137,137,137,113,0,223,2.336959785,2.339658436,2.298439136,2.335457901,2.340547388,2.333950804,2.336959785,2.318389455,215,212,164,215,212,192,212,182
40344.43472,1.198657087,15.8,166,275,-0.017728767,0.96,562,0.089905111,1.23,0,0,0.229436266,0.229436266,0.325230687,1.239471662,1.239471662,4.235363149,1.468306167,1.468306167,1.468306167,1.469114359,1.471059142,1.778671977,1.799051139,4.300387308,0.003847931,0.003847931,0.003847931,0.005700883,0.016297372,-0.008080843,-0.007547185,0.5202284,0.47165071,0.383098417,0.367312682,0.354676187,1,1,1,0.989918227,0.942938628,0.918554089,15.185442,15.344984,15.679193,15.58733238,15.41697731,15.67822965,15.42906479,15.0586142,0.275972809,0.280298863,0.322022859,0.691262959,0.715177437,0.892257078,15.240494,15.240494,15.108574,14.920518,14.8401642,14.8939852,14.622419,14.59728121,0.1319205,0.212868007,0.233285482,0.635701887,0.661914427,0.628845883,0.02635043,0.026518627,-0.001836933,-0.025555513,-0.024998984,-0.019625537,-0.023078657,-0.015364386,-0.043092561,-0.029502069,-0.007786013,-0.063472676,-0.081125449,-0.087806924,-0.115204731,-0.068380593,0.001957695,0.002280009,0.002064712,0.001193462,0.000964284,-0.000288529,-0.001570844,-0.000707686,-0.05003763,-0.048512525,-0.050052243,-0.060951913,-0.059965994,-0.069008144,-0.086957101,-0.064564861,-3.752433888,-3.837875228,-3.190255128,-2.842524257,-2.704537531,-2.05941376,-1.662312237,-0.326370288,-1.444712293,-2.822166689,-0.901746387,-0.887687179,-0.817087278,-0.754843822,-0.674877091,-0.43226549,-0.459429975,-0.567291062,-0.64385366,-0.720558232,-0.46911408,-0.419361252,-0.316388704,-0.279767602,-0.244096059,-0.224876784,-0.215370886,-0.212085649,-0.232820762,-0.251246763,-6,137,2.004321374,2.034427905,2.159028001,2.007534418,2.071421706,2.129847596,2.017728767,2.178907036,101,101,101,101,101,101,101,101,0,218,2.320146286,2.32053573,2.311440385,2.317279645,2.326527871,2.333667641,2.317976328,2.331167103,209,204,174,204,204,204,204,192
40345.39375,2.613418945,410.6,167,275,0.549003262,3.54,271,1.741939078,55.2,0,0,0,2.097610307,6.340888502,6.349223732,6.460894443,7.027731711,0,0,0,0.71090576,6.521844448,6.522464795,6.598651832,7.036636199,0.013947892,0.013947892,0.013947892,0.005636058,0.01598132,-0.005434535,0.010099961,0.40131256,0.3778254,0.350665217,0.393494888,0.494661129,1,1,0.999730657,0.997153923,0.983082543,0.961222692,15.270092,15.144932,14.816045,14.96633712,15.06717602,15.2438485,15.48436979,15.27255914,0.247638455,0.237635502,0.35316452,0.38045899,0.666547348,0.679968639,15.204606,15.204606,15.102582,15.140786,15.1884824,14.9447762,14.9444546,14.71539101,0.1020245,0.099851536,0.13951617,0.329192516,0.569039644,0.641246844,-0.004934417,-0.001176747,0.006854186,-0.000436578,-0.017839626,-0.023662383,-0.019435797,-0.020153003,-0.214939354,-0.208617045,-0.194909055,-0.161236741,-0.145531207,-0.11483855,-0.109282524,-0.106587674,-0.003854288,-0.004382284,-0.005259597,-0.00495767,-0.002537554,-0.000849919,-0.001130425,-0.001892059,-0.106599132,-0.105488323,-0.102774776,-0.100624965,-0.092196892,-0.076390315,-0.077554869,-0.082058523,4.377946009,3.952776044,3.438681989,2.059275566,-0.121435137,-3.981160257,-3.326264352,-3.038889112,-3.52548155,-3.181215683,-0.351795413,-0.357702343,-0.386924076,-0.55849885,-0.709889741,-0.936076913,-0.933814233,-0.920039026,-0.796269709,-0.651141298,-0.141179918,-0.135010292,-0.135432453,-0.229330159,-0.371212669,-0.375659422,-0.352871875,-0.322736485,-0.305759267,-0.30372195,43,343,2.527307604,2.440220116,2.190862567,2.520155887,2.278682165,2.18941135,2.492294658,2.187990482,332,130,99,321,99,99,293,99,-120,1370,3.081887139,3.103846464,2.517358123,3.090786928,2.908808832,2.708863326,3.109043927,2.617113242,1190,917,182,1190,206,204,1190,204
40351.49931,1.604226053,40.2,173,245.9,0.73239376,5.4,433.5,0.161368002,1.45,0,0,0,2.755224129,3.112612568,3.112612568,3.112612568,3.43964693,0,0,0,2.934236868,3.574036514,3.574701806,3.574701806,3.705454898,0.013947892,0.013947892,0.013947892,0.005636058,0.01598132,-0.005434535,0.010099961,0.14142606,0.15323218,0.13978946,0.132843616,0.126827213,0.20555927,0.21828808,0.232437057,0.334036752,0.421290274,0.245240975,20.04283,19.776749,18.5836143,18.1331794,18.4709906,17.7973122,17.87297501,17.69486298,1.028796924,0.881500634,0.877412124,1.058599071,1.170201295,1.199696136,13.956743,13.956743,13.508238,13.703455,15.8675972,15.2863886,14.63151448,14.38953939,0.4485055,0.50683224,2.422389102,1.834415419,1.779583941,1.566832633,0.0031435,-0.001647792,-0.006926694,0.017599187,0.013259841,0.019353107,0.01355822,0.022673764,-0.005896019,-0.005894602,-0.004635249,0.033358716,0.107857872,0.117965883,0.097765576,0.135266222,0.003674065,0.003650398,0.00337783,0.002734623,0.001719006,-0.000796322,-0.000604838,-0.001648608,0.028682482,0.030706038,0.037793787,0.050779022,0.060275607,0.067059119,0.064963033,0.080083007,5.75094426,5.802631837,4.643375957,4.317598515,1.260485198,-0.985409266,-0.448635436,-1.435997699,-1.444111673,0.22797227,0.550626003,0.50275041,0.52640468,0.57500597,-0.094424555,-0.834752062,-0.862653726,-0.839038609,-0.163539934,0.234578935,0.077872866,0.076472314,0.071164394,0.065093817,-0.013285901,-0.118055695,-0.132515717,-0.11902021,-0.019381938,0.028677681,0,69,1.799340549,1.804196244,2.187749793,1.802773725,1.810330548,1.855033053,1.801632346,1.93386675,63,63,61,63,61,61,63,61,5,739,2.855973201,2.857345063,2.888048381,2.855973201,2.85938851,2.864436912,2.855721012,2.871283001,714,703,703,709,703,703,709,703
40352.41875,1.80685803,64.1,174,276,2.176091259,150,436,0.755112266,5.69,0,0,2.114802591,2.114802591,2.114802591,3.763076667,3.763076667,3.763076667,0,0,3.485107602,3.485107602,3.485107602,4.991964743,4.992441186,4.992441186,-0.000323646,-0.000323646,-0.000323646,-0.002569793,0.004923512,-0.010470066,-0.001646211,0.35809278,0.35009849,0.302026405,0.27789302,0.259674005,0.79099005,0.556400475,0.631612363,0.315806182,0.171712769,0.29306816,18.88627,18.738238,18.9790063,18.8487721,19.5219619,18.9816812,18.3380289,18.29616019,0.529066081,0.774819082,1.220036548,1.176703918,1.368559445,1.250059363,11.303199,11.303199,10.976999,10.677332,12.355098,14.1113476,14.3092918,13.91291796,0.3262,0.378395308,2.0259666,2.840892032,2.349681561,1.920396154,0.014483772,0.014162843,0.01395634,0.015705846,0.026720738,0.019161602,0.022319773,0.021102325,0.096455847,0.091005776,0.080260948,0.072237261,0.071204934,0.092472105,0.103962424,0.114450066,5.38E-05,-4.51E-05,-0.000388914,-0.000645061,0.000923795,0.00121636,-0.000285295,-0.000715319,0.04711251,0.046532285,0.043844281,0.042076604,0.036434881,0.049168303,0.057201253,0.072899872,1.03003982,0.59615496,1.659145864,1.625730093,1.988883602,5.497480266,4.91101746,4.676881883,4.000227873,3.894560549,0.058112704,0.057926329,0.122391518,0.057052796,0.214615884,0.998310029,0.998320843,0.982894931,0.991267309,0.723328889,0.02080974,0.02028141,0.037821423,0.018098632,0.033570945,0.357487614,0.349510533,0.297043402,0.275359297,0.224793499,0,66,1.77815125,1.778000428,2.021903918,1.77815125,1.783769627,1.798801656,1.777849552,1.837075251,60,58,58,60,58,58,58,58,47,786,2.888039014,2.8699525,2.876931933,2.88514911,2.865523452,2.862947772,2.874288497,2.865385727,765,719,703,760,709,703,719,703
40353.39583,1.164352856,14.6,175,269,1.699837726,50.1,445,0.348304863,2.23,0,0,0,0.753108226,0.87531937,2.288793132,3.863538663,3.863538663,0,0,0,0.520423866,2.509817324,4.294782765,5.587387135,5.58781281,0.005556671,0.005556671,0.005556671,0.001037533,0.019296827,-0.012024415,0.005880316,0.55006754,0.53713825,0.529365752,0.410327892,0.344308025,0.3479318,0.3899268,0.242309122,0.51605421,0.585715883,0.367048219,19.148293,19.080564,18.4639573,18.6120108,19.2990489,19.4235137,19.06727768,18.48863612,0.476512896,0.420657556,1.061463865,1.14644417,1.16538192,1.383085797,12.317164,12.317164,12.270248,12.705109,12.7693294,12.7280602,13.8341042,13.84976924,0.046915501,0.461293699,0.798679331,1.55212149,2.419839323,1.935453927,-0.041109144,-0.041013729,-0.026290113,0.004326917,0.007104547,0.016476749,0.01454445,0.014885861,-0.135510112,-0.133071906,-0.112793161,-0.038716303,0.010511622,0.038726006,0.065404135,0.07643361,0.003544052,0.003424495,0.002702033,0.00188239,0.00162839,0.001350529,0.001330562,0.000118549,-0.045131962,-0.034835846,-0.013274276,0.005133775,0.017172725,0.026504159,0.038820571,0.050699926,5.010022493,5.146435506,4.616234474,4.051507801,3.044510316,-4.921031548,-5.47273404,-4.69936907,-4.550681142,-1.10408076,-0.19738684,-0.228312314,-0.204477547,0.083240945,0.069947204,-0.980325678,-0.973069603,-0.976485441,-0.572955401,0.207265606,-0.108576094,-0.122235432,-0.108785907,-0.020417462,-0.004877692,-0.539245334,-0.522766719,-0.516856589,-0.295563928,-0.009884415,19,95,1.968482949,1.879263178,1.899341639,1.956648579,1.83891465,1.812600051,1.918641835,1.813353923,91,64,58,86,60,58,76,58,-16,802,2.892372907,2.894869657,2.87521927,2.891676811,2.89308525,2.879092891,2.893576838,2.873017692,775,760,703,775,760,709,770,703
40358.43681,1.826074803,67,180,282.2,0.921686475,8.35,427.5,0.523746467,3.34,0,0,0,0,0,1.072180955,3.269523207,3.269523207,0,0,0,0,0,0.188005319,3.595390104,3.686975997,0.010315369,0.010315369,0.010315369,0.003296695,0.017750718,-0.006173859,0.016489228,0.9600107,0.90565415,0.698941538,0.578425499,0.52152036,0.76214457,0.49258243,0.644550577,0.668553433,0.666891909,0.479802954,17.029049,17.015658,16.666069,16.4883858,17.0323824,18.265619,17.96121861,18.19394829,0.273296097,0.420078426,0.984936423,1.556330523,1.378812065,1.235693426,13.885062,13.885062,14.131795,14.939981,15.4185898,15.915438,15.9413201,14.84125376,0.246732999,0.827377822,0.760119185,0.831912211,0.783364369,1.766338832,-0.101178707,-0.098464174,-0.057747179,0.003110543,-0.017692025,-0.000379975,-0.002494631,0.01025045,-0.278280975,-0.286418215,-0.252230518,-0.124828223,-0.083241571,-0.004040133,0.02086389,0.050293157,-0.004219217,-0.002863014,0.001220057,0.003403437,0.002343147,0.000808296,0.001052454,-0.000451439,-0.188986659,-0.176747076,-0.116418033,-0.06220535,-0.039457491,0.003710597,0.026181965,0.03128912,0.27288449,-0.239986227,-1.147171519,0.375782728,-0.800519946,-7.521668095,-7.576631295,-6.699372467,-4.761028031,-3.936214025,-0.551166986,-0.552782344,-0.57099725,-0.599563122,-0.459019451,-0.834394962,-0.83332342,-0.820349888,-0.795633179,-0.828283319,-0.529126204,-0.500541819,-0.39519401,-0.343652063,-0.272975261,-0.801028092,-0.754761059,-0.576178728,-0.46272505,-0.425135849,-6,137,2.012837225,2.0377584,2.077526875,2.01494035,2.073259992,2.083401828,2.023595369,2.063169107,103,103,97,103,103,97,103,97,-19,729,2.826236823,2.834897339,2.859459794,2.827853706,2.842713225,2.855276173,2.830722294,2.852293576,664,664,664,664,664,664,664,664
40359.43472,1.257678575,18.1,181,292.5,0.880813592,7.6,496.2,1.631443769,42.8,0,0,0,0,0,0,1.072180955,3.269523207,0,0,0,0,0,0,0.188005319,3.686975997,0.011300906,0.011300906,0.011300906,0.006304642,0.017888945,-0.007491653,-0.001284242,0.20101969,0.21423267,0.291319297,0.247022982,0.528728265,0,0.045448862,0.015149621,0.029034461,0.081769366,0.374330638,17.561361,17.163256,16.1246434,15.85665683,16.61012021,16.82125129,17.71378608,17.78582353,0.880772966,0.757467506,0.945519817,0.988245959,1.588023369,1.319528006,14.7073345,14.7073345,13.8898592,12.7900519,13.76145044,14.59002009,15.19744215,14.7450311,0.81747525,1.242480356,1.566451733,1.484016098,1.519981926,1.892244486,-0.023773328,-0.034226706,-0.053096139,-0.027786094,-0.009731915,-0.01371197,-0.003497288,0.005876295,-0.066999416,-0.077818796,-0.142373004,-0.139020391,-0.102744075,-0.092992823,-0.036941447,0.030844265,-0.002322281,-0.002726402,-0.003488399,-0.005862766,-0.006454007,-0.00205543,-0.001612472,-0.001295348,-0.093571211,-0.100441815,-0.106483489,-0.083084905,-0.100636369,-0.07004693,-0.031071725,0.01824208,-1.830371874,-1.469704841,0.797359135,1.762111816,0.909382644,-1.958125426,-1.57082073,-3.003455905,-3.53449773,-0.896988459,-0.295124449,-0.303997925,-0.003830245,0.244693724,-0.161912366,-0.955458822,-0.952627159,-0.973259483,-0.670160642,-0.386999426,-0.059325825,-0.065243532,0.010939629,0.046920104,-0.213747282,-0.192066036,-0.204046445,-0.28430966,-0.176723216,-0.22900515,-5,103,1.86332286,1.892905827,2.047193714,1.861832998,1.934287986,2.009309224,1.872884344,2.039152384,72,72,72,72,72,72,72,72,-9,674,2.806010295,2.808253185,2.84647371,2.80592543,2.813893588,2.82854242,2.806095143,2.841915367,635,625,625,625,625,625,625,625
40365.49306,1.6599162,45.7,187,312,0.685741739,4.85,526,0.498310554,3.15,0,0,0,0.390141,1.270408989,1.270408989,1.270408989,1.270408989,0,0,1.028417717,1.897484387,2.605260831,2.692959153,2.692959153,2.692959153,-0.006509476,-0.006509476,-0.006509476,-0.004376187,0.00200468,-0.012267469,5.54E-05,0.8699165,0.87322425,0.853932945,0.778241917,0.641482791,0.83037966,0.794036565,0.83735618,0.784252141,0.768662673,0.767205492,18.496798,18.496806,17.9833768,18.1308302,18.3933658,19.3395923,18.97248379,18.69182236,0.417837678,0.510591308,0.546824039,1.400527149,1.286582953,1.08659616,7.8112593,7.8112593,7.37075565,6.81035732,8.06211519,8.62258575,9.618680812,10.85843529,0.44050365,0.647241894,2.326953939,1.892590529,2.107066746,2.446555632,-0.001722533,-0.004909234,-0.01016728,-0.004636732,0.003322128,0.022160329,0.038046093,0.03871314,0.113295033,0.111655056,0.086797677,0.073848535,0.084899244,0.156758067,0.208114589,0.238267471,-0.009628494,-0.009768126,-0.01023672,-0.008080588,3.28E-06,0.004913886,0.004379234,0.002389908,0.048368523,0.045174927,0.033904395,0.028519757,0.023025165,0.078656707,0.110871838,0.12914568,2.853918673,2.304689779,1.299290445,0.976250671,0.290907398,6.402726915,6.959477845,6.818988193,5.623682004,5.359127622,-0.194659787,-0.207123422,-0.243094505,-0.251347086,-0.229229652,0.980870821,0.978231865,0.969587883,0.967589014,0.972197425,-0.169337761,-0.180906421,-0.20722208,-0.194849676,-0.146789054,0.853275711,0.854207058,0.828052061,0.753203729,0.623799251,5,42,1.618048097,1.578591462,1.592731766,1.615423953,1.552008772,1.535913571,1.59979213,1.54750122,41,34,32,41,33,32,37,32,-12,481,2.62838893,2.641226155,2.717805679,2.630936119,2.651883471,2.670955757,2.635483747,2.688805912,420,420,420,420,420,420,420,420
