CDTTime,logEC,beachEColiValue,jday,beachSc,LOGbeachTurbidityBeach,beachTurbidityBeach,beachWaterTemp,tribSouthStormWaterOutfallTribSc,tribSouthStormWaterOutfallTribTurbidity,MeanAirtempCover120hr13816,MeanAirtempCover12hr13816,MeanAirtempCover1hr13816,MeanAirtempCover24hr13816,MeanAirtempCover2hr13816,MeanAirtempCover48hr13816,MeanAirtempCover6hr13816,MeanAirtempCover72hr13816,MeanCloudcoverover12hr13816,MeanCloudcoverover1hr13816,MeanCloudcoverover24hr13816,MeanCloudcoverover2hr13816,MeanCloudcoverover48hr13816,MeanCloudcoverover6hr13816,StDevAirtempCover120hr13816,StDevAirtempCover24hr13816,StDevAirtempCover48hr13816,StDevAirtempCover72hr13816,MeanSeaWaterTemperatureCover1hrX138Y16Sigma0,MeanSeaWaterTemperatureCover2hrX138Y16Sigma0,MeanSeaWaterTemperatureCover6hrX138Y16Sigma0,StDevSeaWaterTemperatureCover6hrX138Y16Sigma0,StDevSeaWaterTemperatureCover12hrX138Y16Sigma0,MeanSeaWaterTemperatureCover12hrX138Y16Sigma0,MeanSeaWaterTemperatureCover24hrX138Y16Sigma0,StDevSeaWaterTemperatureCover24hrX138Y16Sigma0,MeanSeaWaterTemperatureCover48hrX138Y16Sigma0,StDevSeaWaterTemperatureCover48hrX138Y16Sigma0,MeanSeaWaterTemperatureCover72hrX138Y16Sigma0,StDevSeaWaterTemperatureCover72hrX138Y16Sigma0,MeanSeaWaterTemperatureCover120hrX138Y16Sigma0,StDevSeaWaterTemperatureCover120hrX138Y16Sigma0,uploadRedarrowAREA76899400Sumover1hrGeographicalMeankgm2,uploadRedarrowAREA76899400Sumover2hrGeographicalMeankgm2,uploadRedarrowAREA76899400Sumover6hrGeographicalMeankgm2,uploadRedarrowAREA76899400Sumover12hrGeographicalMeankgm2,uploadRedarrowAREA76899400Sumover24hrGeographicalMeankgm2,uploadRedarrowAREA76899400Sumover48hrGeographicalMeankgm2,uploadRedarrowAREA76899400Sumover72hrGeographicalMeankgm2,uploadRedarrowAREA76899400Sumover120hrGeographicalMeankgm2,uploadManitowocRId0Sumover1hrGeographicalMeankgm2,uploadManitowocRId0Sumover2hrGeographicalMeankgm2,uploadManitowocRId0Sumover6hrGeographicalMeankgm2,uploadManitowocRId0Sumover12hrGeographicalMeankgm2,uploadManitowocRId0Sumover24hrGeographicalMeankgm2,uploadManitowocRId0Sumover48hrGeographicalMeankgm2,uploadManitowocRId0Sumover72hrGeographicalMeankgm2,uploadManitowocRId0Sumover120hrGeographicalMeankgm2,ManitowocR_sum1_sqrt,ManitowocR_sum2_sqrt,ManitowocR_sum6_sqrt,ManitowocR_sum12_sqrt,ManitowocR_sum24_sqrt,ManitowocR_sum48_sqrt,ManitowocR_sum72_sqrt,ManitowocR_sum120_sqrt,RedA_sum1_sqrt,RedA_sum2_sqrt,RedA_sum6_sqrt,RedA_sum12_sqrt,RedA_sum24_sqrt,RedA_sum48_sqrt,RedA_sum72_sqrt,RedA_sum120_sqrt,Qmin1,Qmin2,Qmin6,Qmin12,Qmax24,Qmin24,Qmin48,Qmin72,Qmin120,Qdifference6,Qmean1,Qmean2,Qmean6,Qmean12,Qmean24,Qmean48,Qmean72,Qmean120,Qmean1_Log,Qmean2_Log,Qmean6_Log,Qmean12_Log,Qmean24_Log,Qmean48_Log,Qmean72_Log,Qmean120_Log,scperp_mean1,scperp_mean2,scperp_mean6,scperp_mean12,scperp_mean24,scperp_mean48,scperp_mean72,scperp_mean120,scparl_mean1,scparl_mean2,scparl_mean6,scparl_mean12,scparl_mean24,scparl_mean48,scparl_mean72,scparl_mean120,dcperp_mean1,dcperp_mean2,dcperp_mean6,dcperp_mean12,dcperp_mean24,dcperp_mean48,dcperp_mean72,dcperp_mean120,dcparl_mean1,dcparl_mean2,dcparl_mean6,dcparl_mean12,dcparl_mean24,dcparl_mean48,dcparl_mean72,dcparl_mean120,wndperp_mean1,wndperp_mean2,wndperp_mean6,wndperp_mean12,wndperp_mean24,wndparl_mean1,wndparl_mean2,wndparl_mean6,wndparl_mean12,wndparl_mean24,wvh_mean1,wvh_mean2,wvh_mean6,wvh_mean12,wvh_mean24,wvperp_mean1,wvperp_mean2,wvperp_mean6,wvperp_mean12,wvperp_mean24,wvparl_mean1,wvparl_mean2,wvparl_mean6,wvparl_mean12,wvparl_mean24,dirwvhperp_mean1,dirwvhperp_mean2,dirwvhperp_mean6,dirwvhperp_mean12,dirwvhperp_mean24,dirwvhparl_mean1,dirwvhparl_mean2,dirwvhparl_mean6,dirwvhparl_mean12,dirwvhparl_mean24
40339.47569,1.0374,10.9,161,386,0.636487896,4.33,16.7,944,2.46,14.493931,14.586332,15.599887,16.008259,15.606103,15.189672,14.773549,14.654671,0.031106,0.223017,0.146259,0.122139,0.467807,0.04092,1.555679,1.646888,1.673283,1.72673,13.910374,13.910374,13.790821,0.119553,0.114323,13.846322,14.057613,0.480182,14.54932,0.654043,14.918732,0.790925,14.847308,0.661231,0,0,0,0,0,12.123689,12.123689,24.442406,0,0,0,0,0,11.580532,12.136446,25.746808,0,0,0,0,0,3.403018072,3.483740231,5.074131256,0,0,0,0,0,3.481908816,3.481908816,4.943926173,195,195,187,182,201,164,149,149,128,8,196.5,197.25,194.375,189.4791667,182,176.4502618,170.8850174,165.2317328,2.293362555,2.295017012,2.288640406,2.277561466,2.260071388,2.246622307,2.232703987,2.218093457,-0.092264657,-0.093780058,-0.093620501,-0.068784681,-0.014086665,0.081062434,0.062580991,0.008078386,-0.059816754,-0.051863181,-0.035902851,-0.023271344,0.014237064,0.035556685,0.023972699,-0.000248029,-0.025066864,-0.024774981,-0.01453767,-0.00440791,0.02376582,0.07539807,0.052872819,0.011970114,-0.010373115,-0.009655614,-0.004786712,-0.001369602,0.00840523,0.023886516,0.015490555,0.001507691,-0.976700332,-1.863066889,-3.613110441,-3.108805373,-2.517860077,-4.672793871,-0.74888654,0.414003909,2.061532999,4.967866944,0.04045818,0.05531024,0.118434267,0.117488932,0.185785365,0.563549694,0.575334707,0.644559982,0.792219867,0.819206217,-0.826082164,-0.817791139,-0.750560781,-0.53139249,-0.155676027,0.022800195,0.031996932,0.079686867,0.094212971,0.151700074,-0.033421781,-0.045109085,-0.085741507,-0.062136631,0.011451262
40343.45833,1.3541,22.6,165,341,0.603144373,4.01,19,973,2.96,15.164202,15.148241,15.194486,15.628554,15.054519,15.246392,15.060583,15.270559,0.962596,0.958118,0.911334,0.962438,0.950356,0.949571,1.159198,0.756964,0.714423,0.715828,15.214874,15.214874,15.119906,0.094968,0.202144,15.231122,15.489187,0.36935,14.934061,0.702191,14.987155,0.59539,14.764109,0.632441,0,0,0,0,1.388743,1.388743,8.558904,16.241498,0,0,0,0,0.999659,1.072569,6.957903,16.329316,0,0,0,0,0.999829485,1.035649072,2.637783729,4.040954838,0,0,0,0,1.178449405,1.178449405,2.925560459,4.030074193,215,215,212,212,223,212,192,182,164,0,217.25,216.5,217.25,218.6041667,219.0520833,215.75,208.15625,198.8104167,2.336959785,2.335457901,2.336959785,2.339658435,2.340547388,2.333950804,2.318389455,2.298439136,-0.06792838,-0.065162916,-0.052281945,-0.014778077,0.013384295,-0.046430199,-0.027760853,-0.015995315,-0.061262636,-0.058594109,-0.037424247,-0.003444276,-0.013867421,-0.042222713,-0.027129802,-0.014368415,-0.026015375,-0.023139504,-0.009534066,0.002854351,-0.003085148,-0.039859645,-0.021168144,-0.008548417,-0.011932347,-0.010671198,-0.007179673,-0.004432325,-0.008571348,-0.021003877,-0.011472572,-0.004775484,-3.945727112,-3.704399385,-3.405157323,-2.143060228,-0.01506348,-2.959829788,-2.602380408,-2.388464557,-0.94079693,-1.601706988,0.1495321,0.14792339,0.107250356,0.074272579,0.087992808,-0.437910992,-0.383843165,-0.062503547,-0.046595744,-0.493881174,-0.899018333,-0.921538887,-0.945792243,-0.48722134,-0.385728258,-0.06548175,-0.056866362,-0.01947495,-0.013096984,-0.053805226,-0.134432099,-0.136280927,-0.10169623,-0.049809337,-0.04205479
40344.41319,3.0492,1119.9,166,233,0.754348336,5.68,17,212,1.62,14.987565,15.196902,15.48225,15.079108,15.518567,15.389008,15.376666,15.183401,0.986151,1,0.967114,1,0.940265,1,0.800742,0.216867,0.626895,0.604879,15.529763,15.529763,15.544442,0.014678,0.033691,15.575597,15.486141,0.150467,15.450095,0.348138,15.100985,0.638287,15.017202,0.558497,0,0,0,0,0.138743,1.527487,1.527487,16.380242,0,0,0,0.002374,0.008093,1.007752,1.080662,16.337409,0,0,0,0.048723711,0.089961103,1.003868517,1.039548941,4.041956086,0,0,0,0,0.372482214,1.23591545,1.23591545,4.047251166,206,204,204,204,218,204,204,192,174,3,208.25,207.625,207.8333333,209.25,212.28125,215.7395833,214.2847222,204.8125,2.31858501,2.317279645,2.317715203,2.320665467,2.326911636,2.333929836,2.330991208,2.311356459,-0.001594563,-0.008860264,-0.024653634,-0.056589439,-0.07585643,-0.031353581,-0.056838401,-0.029895823,-0.027027901,-0.027315151,-0.029301147,-0.0373598,-0.046951615,-0.030759684,-0.043797654,-0.027628121,-0.023165677,-0.024984473,-0.033844516,-0.051643972,-0.058032759,-0.031056618,-0.046676603,-0.025433163,-0.013367825,-0.01417434,-0.017001099,-0.022396033,-0.024643285,-0.016938423,-0.022489066,-0.011588782,2.225766306,1.957429342,1.725214262,-0.77266904,-2.782689302,-3.664676609,-3.638018843,-3.387907058,-2.862101414,-3.305897276,0.27810854,0.266794235,0.259014748,0.287692228,0.29391971,-0.922342444,-0.920771201,-0.914550167,-0.89661342,-0.800726155,-0.386373414,-0.390082262,-0.403883589,-0.43889616,-0.566325548,-0.256511311,-0.245674226,-0.236942292,-0.257064876,-0.237665207,-0.107453746,-0.104029736,-0.104478222,-0.127956309,-0.165265704
40346.40625,3.1138,1299.7,168,594,0.950364854,8.92,18.2,828,9.34,15.25086,14.981424,16.015665,15.560423,15.919971,15.35205,15.089579,15.261069,0.558847,0,0.758654,0.000984,0.870202,0.522555,0.607073,0.755046,0.596205,0.51885,15.718009,15.718009,15.744929,0.026919,0.090636,15.827353,15.916226,0.128664,15.911036,0.135963,15.769404,0.244928,15.425006,0.639785,0,0,0,0,0,79.276847,79.41559,80.804333,0,0,0,0,0,42.534455,42.542547,43.615117,0,0,0,0,0,6.521844448,6.522464795,6.60417421,0,0,0,0,0,8.903754657,8.911542515,8.989123038,878,878,878,878,1190,878,206,204,192,-28,885,892,901.3333333,917.6041667,979.8958333,900.359375,671.03125,488.6854167,2.946943271,2.950364854,2.954885433,2.962655377,2.991179911,2.954415891,2.826742746,2.689029379,0.05728636,0.052197524,0.033128263,0.027342373,-0.011955132,-0.033343261,-0.047514317,-0.047440345,-0.000394338,0.00217803,0.01020233,0.009136786,-0.00283726,-0.015848504,-0.026216207,-0.032617994,0.021276292,0.019441505,0.017421027,0.008914194,-0.013809835,-0.025166467,-0.036121898,-0.038072549,0.005749366,0.005285841,0.004342698,0.00084636,-0.006654479,-0.011896178,-0.016145214,-0.018251911,3.066384668,3.042725962,2.312569447,2.561129767,0.585052722,-3.433629437,-3.226382075,-1.503249563,-0.856467995,-0.265129799,0.1461354,0.13581331,0.117001872,0.097423984,0.14390106,-0.743447224,-0.679529386,-0.41879482,-0.581791732,-0.318396875,0.668794607,0.728422182,0.874038533,0.636083258,0.0502955,-0.108643957,-0.092948901,-0.051829321,-0.053260526,-0.035905502,0.097734567,0.098313946,0.100637067,0.067788714,-0.015708593
40350.46528,1.6599,45.7,172,162,0.752048448,5.65,17.9,885,8.82,17.437863,16.832009,18.953373,17.234164,18.546442,17.65686,17.434033,18.203956,0.016531,0.045413,0.055487,0.023638,0.117559,0.008088,1.59456,0.869808,1.225959,1.388784,13.192306,13.192306,12.846077,0.346229,0.359886,12.993721,13.778744,0.860734,12.622797,1.398927,12.954766,1.390289,14.102017,1.782772,0,0,0,0,0,0,0,0.846203,0,0,0.004757,0.004757,0.004757,0.004757,0.004757,0.956659,0,0,0.068971008,0.068971008,0.068971008,0.068971008,0.068971008,0.978089464,0,0,0,0,0,0,0,0.919892929,729,729,719,719,770,719,719,719,719,-5,739,739,732.9583333,735.4166667,740.7083333,754.2552083,768.1076389,821.5395833,2.868644438,2.868644438,2.865079287,2.866533468,2.869647231,2.877518318,2.885422084,2.914628493,0.123845421,0.114156831,0.084316782,0.075037519,0.085309779,0.043609354,0.059001821,0.060963473,0.024141509,0.021428784,0.02358797,0.037010384,0.035972516,0.029478818,0.039922797,0.032814804,0.030969658,0.03118471,0.033368735,0.036463818,0.027470682,0.024355721,0.037440104,0.038647656,0.008515361,0.008511543,0.008883487,0.010468216,0.008655148,0.009552135,0.014571828,0.013825281,3.956135532,3.948455487,2.985747491,1.924588393,3.082294756,-1.800893899,-1.815048566,-2.216336403,-0.074959452,-0.572296719,0.12623458,0.125730045,0.105997885,0.109036669,0.146311452,-0.575534897,-0.593212562,-0.457497718,-0.215513475,-0.488499201,0.81777722,0.804746265,0.857048969,0.92053565,0.751068637,-0.072652406,-0.074575723,-0.053040055,-0.026503195,-0.08304674,0.103231764,0.101187359,0.088905689,0.099517257,0.104219992
40351.48264,2.6888,488.4,173,199,0.777426822,5.99,19.2,389,5.99,17.996294,18.195259,20.316885,18.334706,19.974738,17.784435,18.603754,17.882809,0.179148,0.018167,0.337383,0.025778,0.196435,0.036185,1.299739,0.79839,0.999897,1.147417,12.018715,12.018715,11.63929,0.379425,0.330759,11.445897,13.237314,1.949077,13.508029,1.530741,12.827636,1.629381,13.563,1.767393,0,0,0,1.91623,6.262433,6.262433,6.262433,7.108636,0,0,0,8.609746,12.773737,12.778493,12.778493,13.730396,0,0,0,2.934236868,3.574036514,3.574701806,3.574701806,3.705454898,0,0,0,1.384279596,2.502485365,2.502485365,2.502485365,2.666202543,714,709,709,703,739,703,703,703,703,-5,719,719,717.3333333,720.125,723.625,732.0052083,743.7361111,773.1104167,2.85672889,2.85672889,2.855721012,2.857407888,2.859513563,2.864514171,2.871418869,2.888241525,0.030851364,0.030922343,0.0330234,0.050302396,0.092591137,0.088950458,0.059936615,0.079254869,0.033378626,0.031374222,0.020163666,0.029892217,0.04416159,0.040067053,0.034373075,0.042031915,0.035276955,0.036384364,0.040982288,0.052057865,0.044914982,0.036192832,0.031208808,0.049273261,0.010188925,0.010407548,0.011835422,0.014922066,0.013148399,0.010901773,0.01075089,0.017386993,-1.730349808,-0.73358731,-1.387937172,-1.792766729,1.130016091,4.967935614,5.26064116,4.493485887,4.191267589,1.249135667,0.10458554,0.111628453,0.101204623,0.115993799,0.139553922,0.991345501,0.993724523,0.986596322,0.86798894,0.064502514,0.131278705,0.109735068,-0.071805867,0.157597009,0.395804415,0.103680405,0.110944686,0.09989344,0.083233443,-0.016481844,0.013729854,0.012097826,-0.006394502,0.033411395,0.070274004
40357.40972,0,1,179,414,0.58546073,3.85,17.5,922,3.75,19.079321,19.182852,19.44746,19.530045,19.297275,18.663244,19.043863,18.882805,0.088283,0,0.258335,0.014875,0.359168,0.099656,1.242609,0.822584,1.231378,1.181867,10.028782,10.028782,10.194005,0.165223,0.771427,10.871252,13.008097,2.325019,13.218042,1.825144,12.56307,1.890311,13.06901,1.748876,0,0,0,0,0,8.056284,8.16754,8.612567,0,0,0,0.028532,0.035346,12.92683,13.593792,19.892975,0,0,0,0.168914179,0.188005319,3.595390104,3.686975997,4.460154145,0,0,0,0,0,2.838359385,2.857890831,2.934717533,719,719,719,719,755,714,679,679,679,-10,721.5,723.375,729.2083333,733.2708333,736.875,719.3020833,721.2256944,740.99375,2.858236335,2.859363495,2.862851623,2.865264411,2.867393822,2.856911318,2.858071191,2.869814545,-0.021954184,-0.016971441,0.004100122,0.030635052,0.071223169,0.026468982,0.042639704,0.033948206,0.024824201,0.024228388,0.020016657,0.022124361,0.048566469,0.025546908,0.030088325,0.026748932,0.005294702,0.006532501,0.012753715,0.02248381,0.042335822,0.018882732,0.02852747,0.021321805,0.004592254,0.004669061,0.00699181,0.010942936,0.017860808,0.012376642,0.014866083,0.01085078,-3.179055806,-3.245483524,-2.034588167,-1.223889933,0.387933159,7.335782167,6.860248998,5.939026429,5.218677337,5.059353263,0.22534558,0.204786965,0.165849542,0.137231742,0.215004436,0.988837143,0.993627218,0.938271171,0.664901469,0.287434757,-0.149000353,-0.102620039,0.216476955,0.522936071,0.708427206,0.222830079,0.203383425,0.157227935,0.099015023,0.019883862,-0.033576571,-0.021968761,0.027725925,0.059004647,0.158554443
40358.40625,2.6888,488.4,180,379,1.006466042,10.15,17.5,1129,2.97,18.589893,16.473543,16.979723,17.350419,16.720025,18.440232,16.55995,18.225636,0.589127,0.311612,0.63973,0.201871,0.449033,0.717244,1.359043,1.26884,1.526759,1.38943,13.391515,13.391515,13.36377,0.027745,0.026637,13.381681,12.493831,1.183622,12.750964,1.862647,12.976638,1.674606,12.928626,1.794198,0,0,0,0,0,0,8.056284,8.16754,0,0,0,0,0,0.035346,12.92683,13.593792,0,0,0,0,0,0.188005319,3.595390104,3.686975997,0,0,0,0,0,0,2.838359385,2.857890831,669,669,669,669,729,669,669,669,669,-5,674,677.75,678.6666667,685.6666667,697.8854167,717.3802083,712.1458333,724.2666667,2.828659897,2.831069526,2.831656519,2.836113037,2.843784123,2.855749391,2.852568938,2.859898498,-0.16736539,-0.168249429,-0.143284693,-0.094003786,-0.074247217,-0.001512024,-0.007103084,0.012664915,-0.088860285,-0.081892584,-0.042383622,-0.022479921,-0.021771491,0.013397489,0.009774108,0.015865791,-0.099566115,-0.090787169,-0.059037364,-0.047546026,-0.034666341,0.00383474,0.001033041,0.008503449,-0.032954209,-0.028382345,-0.01541284,-0.011409254,-0.007818859,0.005020975,0.005644809,0.006606783,-7.29892305,-6.854563354,-6.269826844,-4.162416378,-3.694349323,-3.707039141,-3.586537296,-1.813102128,0.098794055,-0.473224617,0.53325987,0.495109335,0.333032852,0.314443613,0.303300326,-0.737055975,-0.7019195,-0.112758779,-0.290690514,-0.1724782,-0.675831702,-0.710541802,-0.790136112,-0.68537505,-0.611745804,-0.393042373,-0.348867372,-0.116525882,-0.16550869,-0.113784965,-0.360393926,-0.35047167,-0.264073804,-0.209177955,-0.18073913
40359.39583,1.933,85.7,181,381,0.811575006,6.48,18.7,773,13.1,18.143307,16.020473,16.931063,16.717701,16.860388,17.03406,15.974686,17.866055,0.01611,0.080545,0.117148,0.040273,0.378439,0.013424,1.471469,0.850952,1.125664,1.566757,14.402296,14.402296,14.390099,0.012198,0.048952,14.423013,14.460807,0.5887,13.477319,1.356839,13.320912,1.754472,12.928769,1.75527,0,0,0,0,0,0,0,8.16754,0,0,0,0,0,0,0.035346,13.593792,0,0,0,0,0,0,0.188005319,3.686975997,0,0,0,0,0,0,0,2.857890831,625,625,625,625,679,625,625,625,625,0,639.5,638.375,640.4166667,644.0625,652.7395833,675.546875,695.9722222,703.00625,2.805840549,2.805075871,2.806462626,2.808928013,2.81473995,2.829655489,2.842591906,2.846959186,-0.053131027,-0.060627547,-0.081307273,-0.049969884,-0.058897965,-0.066572591,-0.020640671,-0.001045214,-0.051460369,-0.050726421,-0.046441927,-0.011781228,-0.032500012,-0.027135752,-0.001901678,0.007198694,-0.020900646,-0.023505208,-0.026895149,-0.004328047,-0.037284296,-0.035975319,-0.009871605,0.002726355,-0.01189009,-0.012072052,-0.010882002,-0.003102569,-0.015540125,-0.011679492,-0.001832725,0.004247853,-2.451371743,-1.960449758,-4.022414411,-3.762386078,-1.568680483,-0.837526221,-1.370872603,0.08455534,1.27238059,0.509341327,0.07542498,0.092321238,0.161701223,0.201490073,0.394613689,0.126360159,0.2169024,0.363746518,0.365738341,-0.22851024,-0.99198443,-0.9717752,-0.923400839,-0.378207867,-0.270426732,0.009530712,0.021554523,0.064345752,0.05222268,-0.218449813,-0.074820406,-0.089374029,-0.14756007,-0.026801602,-0.085102769
40366.49653,2.4366,273.3,188,338,0.733197265,5.41,15.5,960,3.42,20.017011,19.941196,20.548304,20.660325,20.434864,20.161401,20.084541,20.671842,0.376283,0.334868,0.320052,0.312132,0.529534,0.387976,1.324805,0.917394,0.988632,1.205698,10.98113,10.98113,10.266711,0.714419,0.726778,9.744374,9.893806,0.568417,9.911847,0.6835,9.798656,0.646651,10.389346,0.908385,0,0,0,0,0,2.068717,2.068717,2.068717,2.177961,2.351567,2.351567,2.351567,2.351567,9.13895,9.603596,9.603596,1.475791652,1.533481986,1.533481986,1.533481986,1.533481986,3.023069632,3.098966925,3.098966925,0,0,0,0,0,1.438303515,1.438303515,1.438303515,366,366,366,366,424,366,366,366,366,-15,369,371.125,375.3333333,381.5416667,391.8333333,420.2291667,443.1215278,483.0354167,2.567026366,2.569520211,2.574417136,2.581541972,2.593101379,2.623486192,2.646522849,2.683978975,0.02083924,0.003280672,-0.033145798,-0.0152023,0.017047451,0.037247884,0.058588457,0.080965219,-0.027808069,-0.032923127,-0.026864808,-0.004176705,0.016802996,0.021835695,0.030858618,0.039219217,-0.024851469,-0.024673791,-0.020852559,-0.010626573,0.006157442,0.012629147,0.033107552,0.050068401,-0.008043071,-0.00779977,-0.005370897,-0.000790124,0.004797746,0.006649743,0.012464931,0.017728324,5.370495541,4.750261442,0.778498712,-0.092602621,1.543848899,-0.554364275,-1.400949325,-1.351981178,-0.081399283,1.129457511,0.17963454,0.14940573,0.105946778,0.103617657,0.335865701,-0.988805914,-0.992042475,-0.403233226,-0.200107521,-0.356710407,0.149207451,0.026076306,-0.590726567,-0.295078238,0.279597654,-0.177623696,-0.148118993,-0.057125555,-0.039634576,-0.163165591,0.026802812,0.007618058,-0.047962729,-0.002905759,0.242710361
