year,month,julian,LogEC,lturb,wvrod,Hop24,Hop48,radar24,radar48
2005,5,143,0.90309,0.8633229,0,0.115,0,0.1,0
2005,5,144,2.50515,1.3222193,1,0.005,0.115,0,0.1
2005,5,145,1.7520484,1,1,0.015,0.005,0.01,0
2005,5,146,0.90309,0.9444827,0.5,0,0.015,0,0.01
2005,5,147,1.607455,0.7075702,0.08,0,0,0,0
2005,5,151,0.39794,0.146128,0.5,0,0.085,0,0.03
2005,6,152,1.7032914,0.20412,1,0,0,0,0
2005,6,153,0.9542425,0.5682017,0,0,0,0,0
2005,6,154,1.3617278,0.4149733,0,0.035,0,0.03,0
2005,6,157,0.8750613,0.4313638,0.5,0.065,0,0.16,0
2005,6,158,1.1139434,0.20412,0.5,0,0.065,0.01,0.16
2005,6,159,1.2787536,0.146128,0.5,0,0,0,0.01
2005,6,160,1.5965971,0.1760913,0,0,0,0.01,0
2005,6,161,2.0043214,0.2304489,0,0.005,0,0.16,0.01
2005,6,162,1.8260748,0.3617278,0,0.035,0.005,0.74,0.16
2005,6,163,2.5502284,0.5185139,1,0.02,0.035,0,0.74
2005,6,164,1.5185139,0.544068,0,0.015,0.02,0.01,0
2005,6,165,1.462398,0.2552725,1,0.165,0.015,0.19,0.01
2005,6,166,2.4313638,1.0791812,2,0.325,0.165,0.21,0.19
2005,6,167,2.6434527,1.4393327,1.2,0.42,0.325,0.39,0.21
2005,6,168,2.5314789,1.50515,1.5,0.04,0.42,0.21,0.39
2005,6,171,1.469822,0.7075702,0.5,0,0,0,0
2005,6,172,1.447158,0.8260748,0,0,0,0,0
2005,6,173,2.1189258,0.845098,1.5,0.07,0,0.08,0
2005,6,174,2.0021661,1.2552725,1.5,0,0.07,0,0.08
2005,6,175,1.3324385,0.6627578,0.08,0,0,0,0
2005,6,178,1.6812412,0.462398,0,0,0,0,0
2005,6,179,1.5797836,0.4771213,0,0,0,0,0
2005,6,180,2.5965971,0.845098,0.25,0.15,0,0,0
2005,6,181,1.9542425,0.20412,0.42,0,0.15,0,0
2005,7,182,1.9956352,0.7323938,1.17,0.28,0,0.02,0
2005,7,183,1.9822712,1.4149733,1.5,0,0.28,0,0.02
2005,7,186,1.2304489,0.544068,0.42,0,0,0,0
2005,7,187,1.8325089,0.8129134,0.92,0.015,0,0,0
2005,7,188,1.2900346,0.4771213,0.5,0,0.015,0.01,0
2005,7,189,1.462398,0.845098,0.5,0.005,0,0,0.01
2005,7,192,1.4771213,0.2787536,0.17,0,0,0,0
2005,7,193,1.9867717,0.30103,0.25,0,0,0,0
2005,7,194,1.5502284,0.3222193,0.17,0.01,0,0,0
2005,7,195,1.8356906,0.0791812,0.08,0.02,0.01,0.33,0
2005,7,196,2.3710679,0.146128,0.08,0.095,0.02,0.48,0.33
2005,7,199,1.9190781,0.4913617,0.75,0.015,0.16,0.43,0.19
2005,7,200,1.8893017,0.6627578,1.42,0.19,0.015,0.49,0.43
2005,7,201,0.90309,0.2552725,0.42,0,0.19,0,0.49
2005,7,202,2.4821587,0.60206,1,0.765,0,0.98,0
2005,7,204,2.0791812,0.9731279,2,0,0.085,0,0.19
2005,7,205,1.4393327,0.462398,1,0.015,0,0,0
2005,7,206,1.8162413,0.7323938,0.75,0.265,0.015,0.23,0
2005,7,207,1.39794,-0.0457575,0.25,0,0.265,0.03,0.23
2005,7,208,2.5682017,1.2304489,3,1.455,0,2.09,0.03
2005,7,209,2.5118834,0.7558749,0.58,0.23,1.455,0.25,2.09
2005,7,210,1.0211893,0.4313638,0.17,0,0.23,0,0.25
2005,8,213,1.3802112,0.5563025,0.17,0,0,0,0
2005,8,214,1.7671559,0.2552725,0.42,0,0,0,0
2005,8,215,1.50515,0.0791812,0.17,0,0,0,0
2005,8,216,1.5250448,0.2304489,0.6,0.01,0,0,0
2005,8,217,2.30103,0.908485,1.67,0.005,0.01,0,0
2005,8,220,1.6434527,0.6232493,0,0,0,0,0
2005,8,221,1.5682017,0.39794,0.1,0.005,0,0.61,0
2005,8,222,1.6627578,0.462398,0.33,0,0.005,0,0.61
2005,8,223,2.3710679,0.9190781,2.17,0.15,0,0.33,0
2005,8,224,1.50515,0.4149733,0.25,0,0.15,0,0.33
2005,8,227,2.0845763,0.7923917,0.75,0.015,0.31,0.01,0.38
2005,8,228,1.6857417,0.4149733,0.5,0.01,0.015,0,0.01
2005,8,229,0.9294189,0.2304489,0.08,0,0.01,0,0
2005,8,230,1.607455,0.3222193,0,0,0,0,0
2005,8,234,2.2787536,1.3424227,0.75,0,3.565,0,0.95
2005,8,235,1.7671559,0.7075702,0.67,0.045,0,0,0
2005,8,236,2.243038,0.7075702,0.33,0.025,0.045,0.04,0
2005,8,237,1.6232493,0.3802112,0.5,0,0.025,0,0.04
2005,8,238,1.2304489,0.3802112,0.08,0,0,0,0
2005,8,241,1.6434527,0.1139434,0.08,0.005,1.145,0,1.2
2005,8,242,2.854306,0.2787536,0.25,0,0.005,0,0
2005,8,243,2.8095597,1.6127839,1.5,2.39,0,2.71,0
2005,9,244,3.1303338,1.3521825,0.5,0.04,2.39,0.07,2.71
2005,9,245,2.69897,1.3617278,0.67,0,0.04,0,0.07
2005,9,249,1.79588,0.8573325,0.42,0,0,0,0
2005,9,250,2.1139434,0.7403627,0,0,0,0,0
2005,9,251,2.7781513,0.7923917,0.67,0.01,0,0,0
2005,9,252,2.8388491,0.9731279,1,0.015,0.01,1.28,0
2005,9,255,1.5910646,0.6434527,0.08,0,0,0,0
2005,9,256,1.7032914,0.60206,0.42,0,0,0,0
2005,9,257,2.243038,0.5682017,0.42,0,0,0,0
2005,9,258,3.2787536,1.5854607,1.5,0.115,0,0.39,0
2006,5,143,1.4232459,1.2552725,0.3,0,0,0,0
2006,5,144,1.2108534,0.6857417,1.4,0,0,0,0
2006,5,145,1.2900346,0.7853298,0.2,0.1,0,0.12,0
2006,5,146,1.951823,0.69897,0,0.83,0.1,0.89,0.12
2006,5,150,1.3424227,0.5797836,0,0,0,0,0
2006,5,151,1.2174839,0.5378191,0.1,0,0,0,0
2006,6,152,1.667453,0.6580114,0.2,0.33,0,0,0
2006,6,153,2.4727564,1.071882,0.6,0,0.33,0,0
2006,6,156,2.2900346,1.243038,1,0.03,0.13,0.02,0.15
2006,6,157,1.3802112,0.8228216,0.2,0,0.03,0,0.02
2006,6,158,0.9542425,0.4149733,0.3,0,0,0,0
2006,6,159,1.6434527,0.8027737,0.6,0,0,0,0
2006,6,160,1.9590414,1.1335389,2.4,0,0,0.02,0
2006,6,163,2.0128372,1.1673173,1,0,0,0,0
2006,6,164,1.7888751,0.9469433,0.9,0,0,0,0
2006,6,165,1.4983106,0.7531999,0.8,0,0,0,0
2006,6,166,1.5563025,0.9474337,1,0,0,0,0
2006,6,167,0.60206,0.5365584,0.2,0,0,0,0
2006,6,170,1.8260748,0.9831751,0.3,0.79,0,0.72,0
2006,6,171,1.8692317,0.8959747,1.2,0.54,0.79,0.38,0.72
2006,6,172,1.7817554,0.5211381,0,0,0.54,0,0.38
2006,6,173,1.2304489,0.6384893,0.3,1.73,0,1.34,0
2006,6,174,1.6857417,0.564074,0.7,0.68,1.73,0.31,1.34
2006,6,177,1.5910646,0.2304489,0.5,0,0,0,0
2006,6,178,1.4842998,1.2540645,0.1,0.32,0,0.06,0
2006,6,179,1.9344985,1.1658376,0.7,0,0.32,0,0.06
2006,6,180,1.748188,1.2516382,1.5,0.01,0,0.32,0
2006,6,181,1.5682017,0.9590414,0.7,0,0.01,0,0.32
2006,7,182,1.3424227,0.6857417,0.2,0,0,0,0
2006,7,183,1.4065402,1.0588055,0.7,0,0,0,0
2006,7,184,1.0606978,0.854306,0.3,0.06,0,0.19,0
2006,7,185,2.1746412,0.7656686,0.3,0.46,0.06,0.99,0.19
2006,7,187,1.9542425,1.1492191,1.5,0,0.09,0,0.4
2006,7,188,1.60206,0.9722028,0.8,0,0,0,0
2006,7,191,2.2683439,0.7719547,0.4,0.01,0,0,0
2006,7,192,2.1398791,0.7446841,0.5,0.1,0.01,1.11,0
2006,7,193,2.0986437,0.8770833,0.5,0.59,0.1,0.53,1.11
2006,7,194,2.2977605,0.8721563,1,0.03,0.59,0.05,0.53
2006,7,195,1.8864907,1.1430148,0,0,0.03,0,0.05
2006,7,198,1.4842998,0.5993371,0.5,0,0,0,0
2006,7,199,2.5237465,1.2552725,1,0,0,0,0
2006,7,200,2.2900346,1.0860037,1,0,0,0,0
2006,7,201,1.4548449,0.7781513,0.1,0,0,0,0
2006,7,202,1.951823,1,0.2,0.16,0,0.09,0
2006,7,205,1.1760913,0.5250448,0.3,0,0.07,0,0.52
2006,7,206,1.8512583,0.5477747,0.8,0,0,0,0
2006,7,207,1.9542425,0.5711263,0.5,0.32,0,0.26,0
2006,7,208,2.6170003,0.673942,0.4,0.37,0.32,0.12,0.26
2006,7,212,1.4983106,0.4031205,0.3,0.46,0,0.09,0
2006,8,213,1.5965971,0.4124605,0.3,0.01,0.46,0,0.09
2006,8,214,1.6434527,0.619615,0.4,0,0.01,0,0
2006,8,215,2.5340261,0.8573325,0.5,0,0,0,0
2006,8,216,2.5403295,1.3453737,3,0.09,0,0.12,0
2006,8,219,2.2355284,1.0413927,0.5,0.05,0,0.04,0
2006,8,220,2.2540645,1.3783979,1,0,0.05,,0.04
2006,8,221,1.3424227,0.820858,0.2,0,0,,
2006,8,222,1.3424227,0.6468936,0.1,0,0,0,
2006,8,223,3.075547,1.4771213,2.4,0,0,0,0
2006,8,226,2.0700379,0.5477747,0.3,0,0,0,0
2006,8,227,2.770852,1.4593925,1,0.12,0,0.33,0
2006,8,228,1.6434527,0.7623034,0.3,0,0.12,0,0.33
2006,8,229,1.6434527,0.4690853,0.4,0,0,0,0
2006,8,230,2.3053514,0.5556989,0.1,0,0,0,0
2006,8,233,1.9370161,1.0413927,0.5,0,0.31,0,0.14
2006,8,234,1.6532125,0.4502491,0.5,0,0,0,0
2006,8,235,1.7520484,0.5230958,0.3,0,0,0,0
2006,8,236,1.9216865,0.5622929,0.8,0,0,0,0
2006,8,237,1.7201593,0.469822,0.1,0.02,0,0,0
2006,8,240,2.2540645,0.9420081,0.8,0.15,0.28,0.27,0.03
2006,8,242,2.7242759,1.3521825,1.7,0.02,1.25,0.12,1.05
2006,8,243,2.2764618,1.4771213,2,0,0.02,0.1,0.12
2006,9,244,2.0374265,1.4913617,1.9,0.01,0,0.11,0.1
2006,9,248,1.6946052,0.9912261,0.3,0,0,0,0.04
2006,9,249,2.3673559,0.9400182,0.9,0,0,0,0
2006,9,250,2.3053514,0.8671728,0.3,0,0,0.06,0
2006,9,251,2.8808136,0.9020029,0.2,0.01,0,0.03,0.06
2006,9,254,1.9867717,1,2.2,0,0,0.13,0.14
2006,9,256,2.6959193,0.9777236,0.2,0.32,0.07,0.38,0.07
2006,9,257,2.8654001,1.2671717,2,0.27,0.32,0.31,0.38
2006,9,258,2.7130703,1.0413927,1.8,0,0.27,0.1,0.31
2007,5,141,1.30103,1.2695129,0.375,0,,0.01,0.33
2007,5,142,2.3085644,1.1846914,0.083,0,0,0.05,0.01
2007,5,143,1,1.1931246,0.083,0,0,0.04,0.05
2007,5,144,1,1.1139434,0,0,0,0.13,0.04
2007,5,145,1.4149733,0.7160033,0.375,0,0,0.01,0.13
2007,5,149,1.20412,0.6334685,0,0,0,0,0.07
2007,5,150,1.1139434,0.763428,0,0,0,0.01,0
2007,5,151,1.39794,0.4771213,0,0,0,0,0.01
2007,6,152,1.5910646,0.4149733,0,0,0,0.03,0
2007,6,155,1.2552725,0.544068,0.46,0.05,0.21,0.08,0.03
2007,6,156,2.7759743,1.1903317,1.5,0.66,0.05,0.5,0.08
2007,6,157,2.2810334,0.90309,1.25,0,0.66,0.02,0.5
2007,6,158,1.5563025,0.5563025,0.167,0,0,0,0.02
2007,6,159,1.146128,0.462398,0.5,0,0,0,0
2007,6,162,1.3802112,0.6532125,0.167,0,0,0,
2007,6,163,2.071882,0.5682017,0.58,0,0,0,0
2007,6,164,2.5352941,0.6901961,0.83,0,0,0,0
2007,6,165,1.6127839,0.770852,0.5,0,0,0,0
2007,6,166,1.146128,0.6627578,0.29,0,0,0,0
2007,6,169,1.845098,0.60206,0.083,0,0,0.02,0.03
2007,6,170,1.667453,0.5682017,0.21,0,0,0,0.02
2007,6,171,2.6910815,1.3031961,2.5,0.35,0,0.79,0
2007,6,172,2.6683859,1.1583625,1.25,0,0.35,0,0.79
2007,6,173,2.3453737,1.5415792,2.75,0,0,0,0
2007,6,176,1.5314789,0.5563025,0.167,0,0,0,0
2007,6,177,1.4913617,0.69897,0.083,0,0,0,0
2007,6,178,1.8512583,0.6127839,0.5,0,0,0.04,0
2007,6,179,2.8948697,1.0934217,1.75,0.18,0,0.57,0.04
2007,7,183,1.1903317,0.9344985,1,0,0,0,0
2007,7,184,1.20412,0.447158,0.083,0,0,0,0
2007,7,185,1.951823,0.447158,0.29,0,0,0.04,0
2007,7,186,1.774517,0.20412,0.25,0,0,0.05,0.04
2007,7,187,2.5792118,0.4149733,0.375,0,0,0,0.05
