# threshold = 1.8372613414156
# Area under ROC curve = 0.852799227799228
# aggregate.tpos = 5
# aggregate.tneg = 134
# aggregate.fpos = 14
# aggregate.fneg = 9
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
63  0.9787662 1.7737864 0.06363636    2   14    1  147    0
66  1.0886122 1.4440448 0.10000000    2   14    2  146    0
67  1.1278254 1.1335389 0.10909091    2   14    3  145    0
77  1.1282638 1.0334238 0.12903226    3   14    4  144    0
41  1.1468331 1.1643529 0.13636364    2   14    6  142    0
62  1.1514681 1.7355989 0.13636364    2   14    6  142    0
57  1.1551446 0.7075702 0.14545455    2   14    7  141    0
46  1.1860077 0.7993405 0.16363636    2   14    8  140    0
75  1.2199546 0.9242793 0.17204301    3   14    9  139    0
126 1.1591533 0.6127839 0.18644068    4   14   10  138    0
70  1.2383765 1.5145478 0.19354839    3   14   11  137    0
42  1.2325353 0.7923917 0.20000000    2   14   12  136    0
23  1.1773617 0.0000000 0.20325203    1   14   13  135    0
29  1.2529410 0.6127839 0.21818182    2   14   17  131    0
30  1.2521929 0.7075702 0.21818182    2   14   17  131    0
43  1.2665223 0.7993405 0.21818182    2   14   17  131    0
45  1.2643680 1.6384893 0.21818182    2   14   17  131    0
31  1.2759817 0.0000000 0.22727273    2   14   18  130    0
71  1.2615351 1.6063814 0.23655914    3   14   22  126    0
90  1.2704255 1.4756712 0.23655914    3   14   22  126    0
109 1.2739285 0.0000000 0.23655914    3   14   22  126    0
122 1.2626937 0.0000000 0.23655914    3   14   22  126    0
50  1.3004186 1.0755470 0.25454545    2   14   23  125    0
74  1.3109111 1.2900346 0.25806452    3   14   26  122    0
88  1.2991528 0.9542425 0.25806452    3   14   26  122    0
124 1.3080508 1.2329961 0.25806452    3   14   26  122    0
127 1.2490674 1.0334238 0.27966102    4   14   27  121    0
132 1.2707485 2.2195845 0.28813559    4   14   28  120    0
118 1.3410762 0.8633229 0.29032258    3   14   29  119    0
28  1.3169096 1.4456042 0.29090909    2   14   31  117    0
54  1.3069649 0.4913617 0.29090909    2   14   31  117    0
72  1.3491782 0.7160033 0.30107527    3   14   32  116    0
131 1.2784645 1.2041200 0.30508475    4   14   33  115    0
83  1.3564394 0.9777236 0.32258065    3   14   34  114    0
15  1.2505186 1.3820170 0.33333333    1   14   36  112    0
85  1.3776890 0.7993405 0.33333333    3   14   36  112    0
44  1.3404974 0.7160033 0.33636364    2   14   38  110    0
65  1.3407365 1.3483049 0.33636364    2   14   38  110    0
138 1.2965668 0.4771213 0.33898305    4   14   40  108    0
145 1.3080873 1.2278867 0.33898305    4   14   40  108    0
73  1.3958445 1.4593925 0.34408602    3   14   41  107    0
37  1.3529626 2.0437551 0.36363636    2   14   42  106    0
56  1.3568135 1.8175654 0.37272727    2   14   44  104    0
61  1.3567076 1.7795965 0.37272727    2   14   44  104    0
92  1.4143665 0.9822712 0.37634409    3   14   45  103    0
39  1.3741409 1.2041200 0.38181818    2   14   46  102    0
2   1.2934720 1.2671717 0.38211382    1   14   48  100    0
17  1.2949349 1.6730209 0.38211382    1   14   48  100    0
96  1.4374787 1.5809250 0.39784946    3   14   50   98    0
115 1.4360849 1.0863598 0.39784946    3   14   50   98    0
9   1.3027222 1.7846173 0.40650407    1   14   51   97    0
151 1.3364940 0.3010300 0.40677966    4   14   52   96    0
110 1.4400512 1.4593925 0.40860215    3   14   53   95    0
26  1.3972385 1.1271048 0.41818182    2   14   54   94    0
98  1.4605895 1.9355073 0.41935484    3   14   56   92    0
123 1.4483070 1.5550944 0.41935484    3   14   56   92    0
3   1.3128893 1.1398791 0.42276423    1   14   57   91    0
58  1.4002107 1.0791812 0.42727273    2   14   58   90    0
82  1.4740393 1.5378191 0.43010753    3   14   59   89    0
134 1.3546365 1.6106602 0.44067797    4   14   60   88    0
137 1.3636441 1.7092700 0.44915254    4   14   61   87    0
52  1.4063518 0.4771213 0.45454545    2   14   62   86    0
22  1.3517657 1.8088859 0.46341463    1   14   63   85    0
40  1.4273539 1.5105450 0.47272727    2   14   67   81    0
51  1.4145758 2.1711412 0.47272727    2   14   67   81    0
59  1.4223419 1.6444386 0.47272727    2   14   67   81    0
60  1.4212272 1.4593925 0.47272727    2   14   67   81    0
87  1.4858711 1.2430380 0.47311828    3   14   71   77    0
95  1.5009943 1.5550944 0.47311828    3   14   71   77    0
97  1.5073454 1.4297523 0.47311828    3   14   71   77    0
108 1.4940784 1.1702617 0.47311828    3   14   71   77    0
144 1.3743846 0.8750613 0.50000000    4   14   72   76    0
76  1.5131586 0.8692317 0.50537634    3   14   74   74    0
91  1.5133355 0.9344985 0.50537634    3   14   74   74    0
160 1.3948716 2.9377184 0.53389831    4   13   74   74    1
16  1.3971208 1.6201361 0.54471545    1   13   75   73    1
11  1.4122829 1.8680564 0.55284553    1   13   76   72    1
49  1.4968461 1.7226339 0.59090909    2   13   77   71    1
89  1.5602622 2.2159018 0.59139785    3   13   82   66    1
100 1.5520290 1.2944662 0.59139785    3   13   82   66    1
114 1.5555178 1.5440680 0.59139785    3   13   82   66    1
117 1.5469282 1.0791812 0.59139785    3   13   82   66    1
119 1.5616592 0.8512583 0.59139785    3   13   82   66    1
135 1.4273455 0.6127839 0.59322034    4   13   85   63    1
143 1.4411686 1.0863598 0.59322034    4   13   85   63    1
158 1.4437301 1.5211381 0.59322034    4   13   85   63    1
157 1.4503793 1.8773713 0.60169492    4   13   86   62    1
18  1.4396012 2.1126050 0.60975610    1   13   87   61    1
78  1.5712259 0.3010300 0.61290323    3   13   88   60    1
101 1.5794804 1.3820170 0.63440860    3   13   89   59    1
133 1.5023155 3.2980448 0.66949153    4   12   90   58    2
153 1.5006672 1.2329961 0.66949153    4   12   90   58    2
53  1.5775789 1.4785665 0.67272727    2   12   91   57    2
25  1.4930822 1.2329961 0.68292683    1   12   92   56    2
68  1.5972183 1.7505084 0.69090909    2   12   93   55    2
81  1.6332081 1.5145478 0.69892473    3   12   94   54    2
5   1.5116780 1.5378191 0.69918699    1   12   95   53    2
125 1.5163170 1.3909351 0.70338983    4   12   96   52    2
24  1.5311733 1.8469553 0.70731707    1   12   97   51    2
33  1.6175675 1.2988531 0.70909091    2   12   98   50    2
7   1.5429906 1.0374265 0.72357724    1   12  101   47    2
8   1.5463827 0.6127839 0.72357724    1   12  101   47    2
13  1.5467939 1.4232459 0.72357724    1   12  101   47    2
79  1.6481261 0.0000000 0.73118280    3   12  103   45    2
86  1.6460326 1.0791812 0.73118280    3   12  103   45    2
20  1.5581375 2.0413927 0.73983740    1   12  104   44    2
105 1.6750270 1.9169800 0.74193548    3   12  106   42    2
107 1.6782290 0.9867717 0.74193548    3   12  106   42    2
94  1.7099951 1.6599162 0.75268817    3   12  109   39    2
106 1.7168434 0.6127839 0.75268817    3   12  109   39    2
120 1.7148182 1.5211381 0.75268817    3   12  109   39    2
136 1.5432927 1.0334238 0.75423729    4   12  111   37    2
149 1.5420479 0.7923917 0.75423729    4   12  111   37    2
21  1.5905610 1.9484130 0.75609756    1   12  112   36    2
1   1.6220704 1.6170003 0.76422764    1   12  113   35    2
142 1.5474252 1.5092025 0.77118644    4   12  114   34    2
69  1.7465007 1.3891661 0.77419355    3   12  115   33    2
6   1.6369689 1.9036325 0.78048780    1   12  116   32    2
130 1.5753318 2.6637951 0.78813559    4   11  116   32    3
80  1.7527981 2.1139434 0.79569892    3   11  119   29    3
84  1.7778603 1.9319661 0.79569892    3   11  119   29    3
103 1.7785001 1.4345689 0.79569892    3   11  119   29    3
146 1.6266620 1.2278867 0.79661017    4   11  120   28    3
19  1.6822859 1.3856063 0.79674797    1   11  121   27    3
64  1.6848420 0.9867717 0.80000000    2   11  122   26    3
141 1.6411262 3.2980448 0.81355932    4   10  123   25    4
148 1.6417189 2.0195317 0.81355932    4   10  123   25    4
121 1.7927599 1.7693773 0.81720430    3   10  124   24    4
27  1.7050458 1.9057959 0.81818182    2   10  125   23    4
10  1.6999651 2.2652896 0.82113821    1   10  126   22    4
14  1.7167435 1.1613680 0.83739837    1   10  127   21    4
113 1.8169368 2.1126050 0.83870968    3   10  128   20    4
