# Seed = 722
# Site = neshotah
# Method = gbm
# Area under ROC curve = 0.864864864864865
# aggregate.tpos = 7
# aggregate.tneg = 140
# aggregate.fpos = 8
# aggregate.fneg = 7
# variables: beach_WaterTemp, beach_AirTemp, beach_LakeshoreCurrVel, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, Kewaunee_Discharge_Diff_6, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.neshtah.Sum..1hr, Sqrt.Precipitation.over.upload.neshtah.Sum..2hr, Sqrt.Precipitation.over.upload.neshtah.Sum..6hr, Sqrt.Precipitation.over.upload.neshtah.Sum..12hr, Sqrt.Precipitation.over.upload.neshtah.Sum..24hr, Sqrt.Precipitation.over.upload.neshtah.Sum..48hr, Sqrt.Precipitation.over.upload.neshtah.Sum..72hr, Sqrt.Precipitation.over.upload.neshtah.Sum..120hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..1hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..2hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..6hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..12hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..24hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..48hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..72hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, log.Kewaunee_Discharge_Mean_1, log.Kewaunee_Discharge_Mean_2, log.Kewaunee_Discharge_Mean_6, log.Kewaunee_Discharge_Mean_12, log.Kewaunee_Discharge_Mean_24, log.Kewaunee_Discharge_Mean_48, log.Kewaunee_Discharge_Mean_72, log.Kewaunee_Discharge_Mean_120, log.Kewaunee_Discharge_Min_1, log.Kewaunee_Discharge_Min_2, log.Kewaunee_Discharge_Min_6, log.Kewaunee_Discharge_Min_12, log.Kewaunee_Discharge_Min_24, log.Kewaunee_Discharge_Min_48, log.Kewaunee_Discharge_Min_72, log.Kewaunee_Discharge_Min_120, log.Kewaunee_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.952380952380952
# decision threshold: 1.92599050449717
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
77  0.8399395 1.0334238 0.05442177   77   14    1  147    0
57  0.8622678 0.7075702 0.10204082   57   14    2  146    0
118 0.8908600 0.8633229 0.10884354  118   14    3  145    0
37  0.8720378 2.0437551 0.12244898   37   14    4  144    0
42  0.8477783 0.7923917 0.12925170   42   14    6  142    0
63  0.8243157 1.7737864 0.12925170   63   14    6  142    0
30  0.9863541 0.7075702 0.14965986   30   14    7  141    0
41  0.9119141 1.1643529 0.15646259   41   14    8  140    0
46  1.0998064 0.7993405 0.16326531   46   14   10  138    0
122 1.0809893 0.0000000 0.16326531  122   14   10  138    0
50  0.9686115 1.0755470 0.17006803   50   14   12  136    0
66  1.0245161 1.4440448 0.17006803   66   14   12  136    0
43  1.1177206 0.7993405 0.18367347   43   14   14  134    0
75  1.0593346 0.9242793 0.18367347   75   14   14  134    0
82  1.0633136 1.5378191 0.19727891   82   14   15  133    0
90  1.0673537 1.4756712 0.21088435   90   14   18  130    0
124 1.1359194 1.2329961 0.21088435  124   14   18  130    0
126 1.1198761 0.6127839 0.21088435  126   14   18  130    0
110 1.1174510 1.4593925 0.22448980  110   14   19  129    0
74  1.1101944 1.2900346 0.23129252   74   14   20  128    0
67  1.1316374 1.1335389 0.23809524   67   14   21  127    0
65  1.1196207 1.3483049 0.24489796   65   14   22  126    0
56  1.0628770 1.8175654 0.25170068   56   14   23  125    0
109 1.1540669 0.0000000 0.25850340  109   14   24  124    0
85  1.1566198 0.7993405 0.26530612   85   14   26  122    0
87  1.1011010 1.2430380 0.26530612   87   14   26  122    0
70  1.1931750 1.5145478 0.27891156   70   14   28  120    0
137 1.1687246 1.7092700 0.27891156  137   14   28  120    0
45  1.1290365 1.6384893 0.28571429   45   14   30  118    0
78  1.1984079 0.3010300 0.28571429   78   14   30  118    0
29  1.2025343 0.6127839 0.29251701   29   14   32  116    0
132 1.1913110 2.2195845 0.29251701  132   14   32  116    0
23  1.2227761 0.0000000 0.29931973   23   14   37  111    0
73  1.2309313 1.4593925 0.29931973   73   14   37  111    0
98  1.1988919 1.9355073 0.29931973   98   14   37  111    0
117 1.2120015 1.0791812 0.29931973  117   14   37  111    0
123 1.1915174 1.5550944 0.29931973  123   14   37  111    0
28  1.1951620 1.4456042 0.30612245   28   14   38  110    0
22  1.2133887 1.8088859 0.31292517   22   14   41  107    0
62  1.2137199 1.7355989 0.31292517   62   14   41  107    0
96  1.2143027 1.5809250 0.31292517   96   14   41  107    0
72  1.2331664 0.7160033 0.31972789   72   14   42  106    0
83  1.2608551 0.9777236 0.32653061   83   14   43  105    0
21  1.2619102 1.2671717 0.33333333    2   14   44  104    0
71  1.2461328 1.6063814 0.35374150   71   14   46  102    0
100 1.2640207 1.2944662 0.35374150  100   14   46  102    0
15  1.2466129 1.3820170 0.36054422   15   14   48  100    0
31  1.2529391 0.0000000 0.36054422   31   14   48  100    0
3   1.2975735 1.1398791 0.37414966    3   14   50   98    0
151 1.2643123 0.3010300 0.37414966  151   14   50   98    0
92  1.2779604 0.9822712 0.38095238   92   14   53   95    0
108 1.2924727 1.1702617 0.38095238  108   14   53   95    0
114 1.2718322 1.5440680 0.38095238  114   14   53   95    0
9   1.2959044 1.7846173 0.38775510    9   14   55   93    0
26  1.2813624 1.1271048 0.38775510   26   14   55   93    0
44  1.3031464 0.7160033 0.39455782   44   14   57   91    0
54  1.3042817 0.4913617 0.39455782   54   14   57   91    0
52  1.3102520 0.4771213 0.40136054   52   14   59   89    0
94  1.2958854 1.6599162 0.40136054   94   14   59   89    0
115 1.3326086 1.0863598 0.43537415  115   14   60   88    0
88  1.3319765 0.9542425 0.44217687   88   14   62   86    0
127 1.3480541 1.0334238 0.44217687  127   14   62   86    0
40  1.3482873 1.5105450 0.44897959   40   14   67   81    0
76  1.3561103 0.8692317 0.44897959   76   14   67   81    0
131 1.3337090 1.2041200 0.44897959  131   14   67   81    0
138 1.3420424 0.4771213 0.44897959  138   14   67   81    0
145 1.3590834 1.2278867 0.44897959  145   14   67   81    0
79  1.3606751 0.0000000 0.45578231   79   14   68   80    0
95  1.3659851 1.5550944 0.46258503   95   14   70   78    0
97  1.3512069 1.4297523 0.46258503   97   14   70   78    0
17  1.3694305 1.6730209 0.46938776   17   14   72   76    0
101 1.3736980 1.3820170 0.46938776  101   14   72   76    0
134 1.3765735 1.6106602 0.47619048  134   14   73   75    0
81  1.3915541 1.5145478 0.48299320   81   14   76   72    0
91  1.3716590 0.9344985 0.48299320   91   14   76   72    0
105 1.3959488 1.9169800 0.48299320  105   14   76   72    0
120 1.3864831 1.5211381 0.49659864  120   14   77   71    0
16  1.4101515 1.6201361 0.50340136   16   14   79   69    0
86  1.4157058 1.0791812 0.50340136   86   14   79   69    0
119 1.4107675 0.8512583 0.51700680  119   14   80   68    0
60  1.4351140 1.4593925 0.52380952   60   14   82   66    0
144 1.4260828 0.8750613 0.52380952  144   14   82   66    0
13  1.4212157 1.4232459 0.53061224   13   14   83   65    0
142 1.4197978 1.5092025 0.53741497  142   14   84   64    0
59  1.4265142 1.6444386 0.54421769   59   14   85   63    0
61  1.4344826 1.7795965 0.56462585   61   14   87   61    0
135 1.4519315 0.6127839 0.56462585  135   14   87   61    0
11  1.4400223 1.8680564 0.57142857   11   14   88   60    0
39  1.4621628 1.2041200 0.57823129   39   14   90   58    0
68  1.4635913 1.7505084 0.57823129   68   14   90   58    0
8   1.4703926 0.6127839 0.59183673    8   14   91   57    0
58  1.4806321 1.0791812 0.59863946   58   14   93   55    0
125 1.4807200 1.3909351 0.59863946  125   14   93   55    0
143 1.4907859 1.0863598 0.60544218  143   14   94   54    0
160 1.4759363 2.9377184 0.60810811  160   13   94   54    1
107 1.4749587 0.9867717 0.61224490  107   13   95   53    1
5   1.5541494 1.5378191 0.64625850    5   13   98   50    1
7   1.5421854 1.0374265 0.64625850    7   13   98   50    1
89  1.5205663 2.2159018 0.64625850   89   13   98   50    1
149 1.5052221 0.7923917 0.65306122  149   13   99   49    1
25  1.5403997 1.2329961 0.66666667   25   13  100   48    1
106 1.5768200 0.6127839 0.68027211  106   13  101   47    1
133 1.5512736 3.2980448 0.68243243  133   12  101   47    2
51  1.5540253 2.1711412 0.69387755   51   12  102   46    2
136 1.5726720 1.0334238 0.70068027  136   12  103   45    2
53  1.5715276 1.4785665 0.70748299   53   12  105   43    2
153 1.5686755 1.2329961 0.70748299  153   12  105   43    2
80  1.5831884 2.1139434 0.71428571   80   12  106   42    2
