# threshold = 1.90050712212059
# Area under ROC curve = 0.991596638655462
# aggregate.tpos = 55
# aggregate.tneg = 59
# aggregate.fpos = 60
# aggregate.fneg = 0
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
6   0.7500330 0.0000000 0.03846154    1   55    1  118    0
48  0.7032416 0.7075702 0.04494382    2   55    2  117    0
151 0.9029454 0.6127839 0.04545455    4   55    4  115    0
152 0.8972800 0.3010300 0.04545455    4   55    4  115    0
140 0.9103623 0.9242793 0.05681818    4   55    6  113    0
154 0.9116766 0.6127839 0.05681818    4   55    6  113    0
73  0.7425406 0.7708520 0.06578947    3   55    8  111    0
76  0.7560844 0.8692317 0.06578947    3   55    8  111    0
35  0.8066640 0.9344985 0.06741573    2   55    9  110    0
1   0.9890913 1.0374265 0.07692308    1   55   10  109    0
49  0.9059982 1.0374265 0.07865169    2   55   11  108    0
128 0.9891128 1.0791812 0.07954545    4   55   12  107    0
150 1.1007172 1.1522883 0.09090909    4   55   13  106    0
46  1.0653550 1.1172713 0.10112360    2   55   14  105    0
158 1.1447909 1.1643529 0.10227273    4   55   15  104    0
59  1.2305890 1.1903317 0.15730337    2   55   16  103    0
114 1.1619690 1.1522883 0.15789474    3   55   17  102    0
153 1.2859969 1.2329961 0.17045455    4   55   18  101    0
72  1.2140494 1.1903317 0.17105263    3   55   19  100    0
45  1.2592186 1.2068259 0.17977528    2   55   20   99    0
144 1.3423233 1.3031961 0.18181818    4   55   21   98    0
57  1.3023699 1.3201463 0.19101124    2   55   22   97    0
81  1.2466807 1.1986571 0.19736842    3   55   23   96    0
75  1.2880040 1.2380461 0.21052632    3   55   26   93    0
77  1.2610102 1.2253093 0.21052632    3   55   26   93    0
103 1.3219759 1.3031961 0.21052632    3   55   26   93    0
131 1.4205670 1.4082400 0.22727273    4   55   31   88    0
145 1.4267209 1.4031205 0.22727273    4   55   31   88    0
146 1.4145507 1.3909351 0.22727273    4   55   31   88    0
149 1.4215587 1.3926970 0.22727273    4   55   31   88    0
155 1.4522289 1.4345689 0.22727273    4   55   31   88    0
137 1.4788996 1.4593925 0.23863636    4   55   32   87    0
2   1.3699914 1.3541084 0.24038462    1   55   33   86    0
95  1.3911115 1.3856063 0.25000000    3   55   34   85    0
98  1.4028270 1.4393327 0.26315789    3   55   35   84    0
79  1.4108296 1.3636120 0.27631579    3   55   36   83    0
135 1.5573735 1.5502284 0.28409091    4   55   37   82    0
118 1.4678242 1.4785665 0.31578947    3   55   38   81    0
143 1.5932639 1.5943926 0.31818182    4   55   39   80    0
47  1.4824970 1.4927604 0.32584270    2   55   40   79    0
78  1.5307804 1.5263393 0.34210526    3   55   44   75    0
92  1.5248273 1.5276299 0.34210526    3   55   44   75    0
97  1.5436844 1.5611014 0.34210526    3   55   44   75    0
99  1.5321607 1.5658478 0.34210526    3   55   44   75    0
36  1.5423028 1.5440680 0.35955056    2   55   45   74    0
127 1.5979037 1.5831988 0.38157895    3   55   46   73    0
42  1.5806609 1.5843312 0.39325843    2   55   47   72    0
82  1.6206130 1.6020600 0.40789474    3   55   48   71    0
136 1.7016763 1.6954817 0.42045455    4   55   50   69    0
157 1.7002583 1.6954817 0.42045455    4   55   50   69    0
9   1.6194230 1.6170003 0.43269231    1   55   52   67    0
23  1.6240757 1.6464037 0.43269231    1   55   52   67    0
90  1.6674828 1.6720979 0.43421053    3   55   54   65    0
94  1.6492659 1.6551384 0.43421053    3   55   54   65    0
52  1.6484913 1.6374897 0.44943820    2   55   55   64    0
5   1.6633870 1.6599162 0.45192308    1   55   56   63    0
26  1.6924964 1.7024305 0.47115385    1   55   57   62    0
156 1.8348867 1.8419848 0.47727273    4   55   58   61    0
126 1.7046571 1.7291648 0.48684211    3   55   59   60    0
110 1.7155717 1.7505084 0.50000000    3   55   60   59    0
88  1.8500846 1.8215135 0.51315789    3   55   62   57    0
96  1.8270417 1.8299467 0.51315789    3   55   62   57    0
31  1.7122667 1.6954817 0.51685393    2   55   63   56    0
51  1.7434415 1.7307823 0.52808989    2   55   64   55    0
44  1.8395181 1.8680564 0.56179775    2   55   65   54    0
125 1.8870405 1.8898617 0.56578947    3   55   66   53    0
32  1.8630899 1.8847954 0.57303371    2   55   69   50    0
37  1.8828667 1.8898617 0.57303371    2   55   69   50    0
67  1.8620555 1.8680564 0.57303371    2   55   69   50    0
124 1.9365615 1.9703469 0.57894737    3   55   70   49    0
34  1.9413597 1.9344985 0.59550562    2   55   72   47    0
63  1.9422769 1.9503649 0.59550562    2   55   72   47    0
8   1.9324858 1.9329808 0.59615385    1   55   73   46    0
113 1.9427226 1.9464523 0.60526316    3   55   74   45    0
74  1.9846190 2.0153598 0.61842105    3   55   79   40    0
86  1.9745872 2.0166155 0.61842105    3   55   79   40    0
93  1.9785937 1.9818186 0.61842105    3   55   79   40    0
111 1.9510668 1.9571282 0.61842105    3   55   79   40    0
115 1.9548065 1.9722028 0.61842105    3   55   79   40    0
142 1.9976888 1.9929951 0.64772727    4   55   80   39    0
53  1.9877644 1.9934362 0.65168539    2   55   81   38    0
123 2.0519609 2.0831441 0.65789474    3   55   82   37    0
