# threshold = 1.73095697431545
# Area under ROC curve = 0.867109634551495
# aggregate.tpos = 9
# aggregate.tneg = 114
# aggregate.fpos = 15
# aggregate.fneg = 5
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
34  0.6173925 0.0000000 0.01204819    2   14    1  128    0
38  0.6473894 0.0000000 0.02409639    2   14    2  127    0
4   0.4702704 0.7160033 0.03418803    1   14    3  126    0
51  0.6679869 0.3010300 0.03614458    2   14    4  125    0
47  0.7444411 1.5327544 0.09638554    2   14    5  124    0
75  0.5892927 0.9344985 0.10000000    3   14    6  123    0
20  0.7659094 0.0000000 0.14457831    2   14    7  122    0
73  0.6943749 0.3010300 0.16250000    3   14    8  121    0
84  0.7682016 0.0000000 0.17500000    3   14    9  120    0
26  0.8182688 0.0000000 0.18072289    2   14   10  119    0
13  0.8120613 1.4132998 0.19658120    1   14   11  118    0
19  0.8312445 0.3010300 0.20481928    2   14   16  113    0
25  0.8520092 0.9242793 0.20481928    2   14   16  113    0
32  0.8436552 0.7160033 0.20481928    2   14   16  113    0
35  0.8380874 1.6138418 0.20481928    2   14   16  113    0
41  0.8461596 1.4955443 0.20481928    2   14   16  113    0
77  0.8127759 1.2041200 0.21250000    3   14   17  112    0
45  0.8667332 3.0196147 0.21686747    2   13   17  112    1
24  0.8889660 0.0000000 0.22891566    2   13   18  111    1
140 0.9759285 1.0863598 0.23364486    4   13   20  109    1
141 0.9758056 0.8633229 0.23364486    4   13   20  109    1
83  0.8218062 0.6127839 0.23750000    3   13   21  108    1
74  0.8265097 0.4913617 0.25000000    3   13   22  107    1
44  0.9286037 1.5717088 0.25301205    2   13   26  103    1
46  0.9167654 2.1433271 0.25301205    2   13   26  103    1
54  0.9261452 1.7656686 0.25301205    2   13   26  103    1
62  0.9313465 1.2430380 0.25301205    2   13   26  103    1
127 1.0129987 0.0000000 0.26168224    4   13   28  101    1
142 1.0210923 1.3074960 0.26168224    4   13   28  101    1
85  0.8771773 1.0827854 0.26250000    3   13   29  100    1
143 1.0392719 1.7505084 0.28971963    4   13   30   99    1
125 1.0703536 0.6127839 0.29906542    4   13   32   97    1
135 1.0680053 0.4771213 0.29906542    4   13   32   97    1
36  0.9731509 1.5263393 0.30120482    2   13   34   95    1
42  0.9727357 1.4456042 0.30120482    2   13   34   95    1
9   0.9732631 1.6314438 0.31623932    1   13   35   94    1
124 1.0811706 0.6127839 0.31775701    4   13   39   90    1
126 1.0987217 0.3010300 0.31775701    4   13   39   90    1
129 1.1011143 0.7993405 0.31775701    4   13   39   90    1
131 1.0837671 0.3010300 0.31775701    4   13   39   90    1
86  0.9537207 1.9818186 0.32500000    3   13   40   89    1
37  0.9866868 0.9294189 0.32530120    2   13   41   88    1
132 1.1139817 0.7160033 0.32710280    4   13   42   87    1
33  1.0060947 0.0000000 0.34939759    2   13   43   86    1
22  1.0167413 1.0374265 0.36144578    2   13   45   84    1
65  1.0183836 1.3856063 0.36144578    2   13   45   84    1
76  1.0401620 1.8920946 0.37500000    3   13   47   82    1
115 1.0423262 0.6127839 0.37500000    3   13   47   82    1
116 1.0523474 1.2380461 0.38750000    3   13   48   81    1
72  1.0688683 0.7160033 0.40000000    3   13   51   78    1
78  1.0847179 1.0413927 0.40000000    3   13   51   78    1
107 1.0637145 1.3483049 0.40000000    3   13   51   78    1
133 1.1718444 1.0863598 0.40186916    4   13   52   77    1
61  1.0554349 0.3010300 0.40963855    2   13   53   76    1
71  1.0969203 0.7993405 0.41250000    3   13   54   75    1
63  1.0796893 0.9822712 0.43373494    2   13   55   74    1
8   1.0976020 2.0557605 0.43589744    1   13   56   73    1
113 1.1639485 1.4132998 0.43750000    3   13   57   72    1
134 1.1897776 1.2380461 0.43925234    4   13   58   71    1
130 1.1990633 0.8750613 0.44859813    4   13   59   70    1
87  1.1692154 0.0000000 0.45000000    3   13   66   63    1
108 1.2255520 0.7993405 0.45000000    3   13   66   63    1
111 1.2410642 0.4771213 0.45000000    3   13   66   63    1
112 1.2154366 1.2068259 0.45000000    3   13   66   63    1
117 1.1883745 1.2718416 0.45000000    3   13   66   63    1
120 1.2039905 0.4913617 0.45000000    3   13   66   63    1
121 1.2347983 0.3010300 0.45000000    3   13   66   63    1
128 1.2504580 1.6875290 0.47663551    4   13   68   61    1
139 1.2550480 0.7160033 0.47663551    4   13   68   61    1
59  1.1277141 0.9867717 0.49397590    2   13   69   60    1
18  1.1390362 1.4248816 0.50602410    2   12   71   58    2
28  1.1349262 2.0652061 0.50602410    2   12   71   58    2
43  1.1350731 2.4637437 0.50602410    2   12   71   58    2
7   1.1718585 1.0253059 0.52136752    1   12   72   57    2
27  1.1721527 0.4771213 0.53012048    2   12   73   56    2
93  1.3211543 1.7489629 0.56250000    3   12   75   54    2
99  1.3235230 1.5378191 0.56250000    3   12   75   54    2
23  1.2068491 1.3483049 0.56626506    2   12   76   53    2
100 1.3388317 0.0000000 0.57500000    3   12   77   52    2
94  1.3851509 0.7993405 0.61250000    3   12   78   51    2
49  1.2897575 1.1205739 0.61445783    2   12   79   50    2
12  1.2565981 1.2671717 0.62393162    1   12   80   49    2
2   1.2859435 0.3010300 0.64102564    1   12   81   48    2
53  1.3484208 1.7737864 0.66265060    2   12   82   47    2
105 1.4268989 2.1760913 0.67500000    3   12   83   46    2
66  1.3725097 0.9084850 0.69879518    2   12   85   44    2
68  1.3675629 2.2105860 0.69879518    2   12   85   44    2
97  1.4688875 1.0791812 0.70000000    3   12   86   43    2
122 1.4505429 1.3961993 0.70093458    4   12   88   41    2
138 1.4245960 0.0000000 0.70093458    4   12   88   41    2
39  1.3782963 1.0827854 0.71084337    2   12   90   39    2
57  1.3769344 2.1316187 0.71084337    2   12   90   39    2
40  1.3992486 1.5502284 0.72289157    2   12   93   36    2
50  1.4007767 1.2068259 0.72289157    2   12   93   36    2
58  1.4067519 2.1251558 0.72289157    2   12   93   36    2
90  1.5402093 1.9344985 0.75000000    3   12   98   31    2
92  1.5217634 1.2329961 0.75000000    3   12   98   31    2
104 1.5378834 1.2718416 0.75000000    3   12   98   31    2
