# Seed = 392
# Site = thompson
# Method = gbm
# Area under ROC curve = 0.911960132890366
# aggregate.tpos = 10
# aggregate.tneg = 119
# aggregate.fpos = 10
# aggregate.fneg = 4
# variables: beach_Sc, beach_WaterTemp, beach_AirTemp, trib_ThompsonCreek040263165_TribSc, beach_LakeshoreCurrVel, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Whittlesey_Discharge_Diff_6, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_2, HeightAboveSeaLevel_Mean_6, HeightAboveSeaLevel_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.Thompson.Sum..1hr, Sqrt.Precipitation.over.upload.Thompson.Sum..2hr, Sqrt.Precipitation.over.upload.Thompson.Sum..6hr, Sqrt.Precipitation.over.upload.Thompson.Sum..12hr, Sqrt.Precipitation.over.upload.Thompson.Sum..24hr, Sqrt.Precipitation.over.upload.Thompson.Sum..48hr, Sqrt.Precipitation.over.upload.Thompson.Sum..72hr, Sqrt.Precipitation.over.upload.Thompson.Sum..120hr, Sqrt.Precipitation.over.upload.maslowski.Sum..1hr, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, Sqrt.Precipitation.over.upload.maslowski.Sum..6hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..48hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..120hr, Sqrt.Whittlesey_ARF_Sum_1, Sqrt.Whittlesey_ARF_Sum_2, Sqrt.Whittlesey_ARF_Sum_6, Sqrt.Whittlesey_ARF_Sum_12, Sqrt.Whittlesey_ARF_Sum_24, Sqrt.Whittlesey_ARF_Sum_48, log.Whittlesey_Discharge_Mean_1, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Mean_6, log.Whittlesey_Discharge_Mean_12, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Mean_48, log.Whittlesey_Discharge_Mean_72, log.Whittlesey_Discharge_Mean_120, log.Whittlesey_Discharge_Min_1, log.Whittlesey_Discharge_Min_2, log.Whittlesey_Discharge_Min_6, log.Whittlesey_Discharge_Min_12, log.Whittlesey_Discharge_Min_24, log.Whittlesey_Discharge_Min_48, log.Whittlesey_Discharge_Min_72, log.Whittlesey_Discharge_Min_120, log.Whittlesey_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.8984375
# decision threshold: 1.80158102236172
# full results: 
    predicted    actual threshold fold tpos tneg fpos fneg
4   0.3149450 0.7160033 0.0468750    4   14    1  128    0
19  0.4576146 0.3010300 0.0625000   19   14    3  126    0
51  0.4016055 0.3010300 0.0625000   51   14    3  126    0
75  0.3773272 0.9344985 0.0859375   75   14    4  125    0
20  0.5059738 0.0000000 0.0937500   20   14    6  123    0
25  0.4660643 0.9242793 0.0937500   25   14    6  123    0
34  0.5571969 0.0000000 0.1093750   34   14    7  122    0
38  0.5678675 0.0000000 0.1250000   38   14    8  121    0
24  0.6227584 0.0000000 0.1406250   24   14    9  120    0
83  0.6857014 0.6127839 0.1796875   83   14   10  119    0
73  0.7157230 0.3010300 0.1875000   73   14   11  118    0
61  0.8125087 0.3010300 0.2031250   61   14   12  117    0
13  0.7297230 1.4132998 0.2109375   13   14   17  112    0
33  0.7782780 0.0000000 0.2109375   33   14   17  112    0
41  0.7493823 1.4955443 0.2109375   41   14   17  112    0
72  0.7413966 0.7160033 0.2109375   72   14   17  112    0
112 0.7038330 1.2068259 0.2109375  112   14   17  112    0
124 0.7690119 0.6127839 0.2187500  124   14   19  110    0
141 0.7430091 0.8633229 0.2187500  141   14   19  110    0
74  0.7746902 0.4913617 0.2421875   74   14   22  107    0
84  0.7719274 0.0000000 0.2421875   84   14   22  107    0
143 0.7740786 1.7505084 0.2421875  143   14   22  107    0
140 0.7807539 1.0863598 0.2500000  140   14   23  106    0
54  0.7230593 1.7656686 0.2578125   54   14   24  105    0
32  0.8334970 0.7160033 0.2656250   32   14   26  103    0
86  0.7873179 1.9818186 0.2656250   86   14   26  103    0
125 0.8197460 0.6127839 0.2734375  125   14   27  102    0
26  0.8779266 0.0000000 0.2890625   26   14   29  100    0
71  0.9133966 0.7993405 0.2890625   71   14   29  100    0
142 0.8637071 1.3074960 0.2968750  142   14   30   99    0
77  0.9026119 1.2041200 0.3125000   77   14   33   96    0
128 0.8979971 1.6875290 0.3125000  128   14   33   96    0
134 0.8478186 1.2380461 0.3125000  134   14   33   96    0
135 0.8820275 0.4771213 0.3203125  135   14   34   95    0
108 0.9322953 0.7993405 0.3281250  108   14   36   93    0
129 0.9015977 0.7993405 0.3281250  129   14   36   93    0
127 0.9665525 0.0000000 0.3359375  127   14   37   92    0
35  0.9488594 1.6138418 0.3437500   35   14   39   90    0
126 0.9681050 0.3010300 0.3437500  126   14   39   90    0
22  0.9736567 1.0374265 0.3515625   22   14   43   86    0
93  0.9838917 1.7489629 0.3515625   93   14   43   86    0
121 1.0091257 0.3010300 0.3515625  121   14   43   86    0
133 0.9680426 1.0863598 0.3515625  133   14   43   86    0
100 1.0264992 0.0000000 0.3593750  100   14   45   84    0
130 1.0241093 0.8750613 0.3593750  130   14   45   84    0
139 1.0366385 0.7160033 0.3671875  139   14   46   83    0
47  1.0414693 1.5327544 0.3750000   47   14   49   80    0
113 1.0546798 1.4132998 0.3750000  113   14   49   80    0
120 1.0546213 0.4913617 0.3750000  120   14   49   80    0
115 1.0730507 0.6127839 0.3906250  115   14   50   79    0
9   1.0769645 1.6314438 0.4140625    9   14   51   78    0
85  1.1005656 1.0827854 0.4375000   85   14   53   76    0
131 1.1214113 0.3010300 0.4375000  131   14   53   76    0
7   1.1191620 1.0253059 0.4453125    7   14   54   75    0
96  1.1451973 0.7993405 0.4531250   96   14   56   73    0
132 1.1211997 0.7160033 0.4531250  132   14   56   73    0
87  1.1811389 0.0000000 0.4687500   87   14   58   71    0
116 1.1406768 1.2380461 0.4687500  116   14   58   71    0
18  1.1511841 1.4248816 0.4765625   18   14   63   66    0
28  1.1500396 2.0652061 0.4765625   28   14   63   66    0
91  1.1971193 0.9912261 0.4765625   91   14   63   66    0
92  1.1456938 1.2329961 0.4765625   92   14   63   66    0
117 1.1632987 1.2718416 0.4765625  117   14   63   66    0
45  1.1701953 3.0196147 0.4806202   45   13   63   66    1
8   1.1901129 2.0557605 0.4843750    8   13   68   61    1
36  1.1732741 1.5263393 0.4843750   36   13   68   61    1
76  1.1765998 1.8920946 0.4843750   76   13   68   61    1
97  1.1856669 1.0791812 0.4843750   97   13   68   61    1
107 1.1804019 1.3483049 0.4843750  107   13   68   61    1
78  1.2133272 1.0413927 0.4921875   78   13   69   60    1
99  1.2156072 1.5378191 0.5078125   99   13   70   59    1
104 1.2364085 1.2718416 0.5312500  104   13   72   57    1
109 1.2527578 1.0827854 0.5312500  109   13   72   57    1
27  1.2590440 0.4771213 0.5390625   27   13   73   56    1
119 1.2505113 1.7092700 0.5468750  119   13   74   55    1
42  1.2692737 1.4456042 0.5546875   42   13   75   54    1
102 1.2749565 1.5327544 0.5703125  102   13   76   53    1
66  1.3014694 0.9084850 0.5937500   66   13   78   51    1
122 1.2925572 1.3961993 0.5937500  122   13   78   51    1
37  1.3345094 0.9294189 0.6015625   37   13   81   48    1
98  1.2971327 1.4393327 0.6015625   98   13   81   48    1
111 1.3266964 0.4771213 0.6015625  111   13   81   48    1
138 1.3268893 0.0000000 0.6093750  138   13   82   47    1
62  1.3425239 1.2430380 0.6171875   62   13   86   43    1
63  1.3392647 0.9822712 0.6171875   63   13   86   43    1
65  1.3328809 1.3856063 0.6171875   65   13   86   43    1
68  1.3536302 2.2105860 0.6171875   68   13   86   43    1
118 1.3636350 0.4913617 0.6328125  118   13   87   42    1
90  1.3562046 1.9344985 0.6796875   90   13   88   41    1
64  1.3862213 1.2624511 0.7109375   64   13   89   40    1
94  1.4206155 0.7993405 0.7187500   94   13   90   39    1
23  1.4440283 1.3483049 0.7265625   23   13   92   37    1
50  1.4094788 1.2068259 0.7265625   50   13   92   37    1
21  1.4372797 0.3010300 0.7343750    2   13   93   36    1
12  1.4539326 1.2671717 0.7578125   12   13   96   33    1
59  1.5988231 0.9867717 0.7578125   59   13   96   33    1
67  1.4354483 1.2201081 0.7578125   67   13   96   33    1
39  1.5969650 1.0827854 0.7656250   39   13  104   25    1
49  1.5119741 1.1205739 0.7656250   49   13  104   25    1
56  1.6281155 1.3031961 0.7656250   56   13  104   25    1
60  1.5474961 0.4913617 0.7656250   60   13  104   25    1
89  1.5616901 0.3010300 0.7656250   89   13  104   25    1
95  1.5775192 1.0827854 0.7656250   95   13  104   25    1
105 1.5070972 2.1760913 0.7656250  105   13  104   25    1
123 1.5538502 1.2380461 0.7656250  123   13  104   25    1
5   1.6135356 2.5880475 0.7674419    5   12  104   25    2
11  1.5864547 1.9818186 0.7734375   11   12  108   21    2
53  1.5855054 1.7737864 0.7734375   53   12  108   21    2
57  1.5578413 2.1316187 0.7734375   57   12  108   21    2
58  1.6163353 2.1251558 0.7734375   58   12  108   21    2
43  1.6260530 2.4637437 0.7829457   43   11  108   21    3
15  1.6627189 1.9947569 0.7890625   15   11  110   19    3
110 1.6691088 1.3283796 0.7890625  110   11  110   19    3
46  1.6815580 2.1433271 0.7968750   46   11  111   18    3
17  1.6932931 2.1316187 0.8203125   17   11  112   17    3
137 1.7211859 2.3040595 0.8281250  137   11  113   16    3
70  1.7321618 1.6812412 0.8437500   70   11  115   14    3
103 1.7297074 2.1844075 0.8437500  103   11  115   14    3
106 1.8257988 1.5611014 0.8515625  106   11  116   13    3
114 1.8034140 2.3040595 0.8593750  114   11  117   12    3
211 1.8578738 2.8121108 0.8682171   21   10  117   12    4
44  1.9209256 1.5717088 0.8750000   44   10  118   11    4
16  1.8783928 1.9329808 0.8984375   16   10  119   10    4
40  1.9280483 1.5502284 0.9062500   40   10  120    9    4
