# threshold = 2.04267433667814
# Area under ROC curve = 0.713142857142857
# aggregate.tpos = 22
# aggregate.tneg = 90
# aggregate.fpos = 35
# aggregate.fneg = 20
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
73  0.9990072 0.3010300 0.06593407    2   42    1  124    0
71  1.0620252 0.3010300 0.08791209    2   42    2  123    0
110 1.2949849 1.6866363 0.10714286    3   42    4  121    0
131 1.2485412 0.8512583 0.10714286    3   42    4  121    0
32  1.0671930 1.3579348 0.10891089    1   42    5  120    0
28  1.1465915 1.6532125 0.12871287    1   42    6  119    0
38  1.3104864 0.3010300 0.13186813    2   42   10  115    0
43  1.2823225 1.3961993 0.13186813    2   42   10  115    0
52  1.3311633 1.3483049 0.13186813    2   42   10  115    0
62  1.2931585 1.4712917 0.13186813    2   42   10  115    0
162 1.3143052 2.1386184 0.15151515    4   42   11  114    0
55  1.3721698 1.9020029 0.15384615    2   42   14  111    0
67  1.3768618 0.6127839 0.15384615    2   42   14  111    0
78  1.3720920 1.0374265 0.15384615    2   42   14  111    0
31  1.3446560 1.1430148 0.15841584    1   42   15  110    0
50  1.4237989 1.4593925 0.16483516    2   42   16  109    0
9   1.3818714 0.3010300 0.17821782    1   42   17  108    0
109 1.4396467 1.3891661 0.17857143    3   42   19  106    0
113 1.4258511 1.5888317 0.17857143    3   42   19  106    0
48  1.4601755 1.8469553 0.18681319    2   41   21  104    1
79  1.4581117 1.1643529 0.18681319    2   41   21  104    1
81  1.4713355 2.5161386 0.18681319    2   41   21  104    1
89  1.4512645 0.0000000 0.20238095    3   41   22  103    1
122 1.4704612 0.9030900 0.21428571    3   41   24  101    1
132 1.4709097 0.3010300 0.21428571    3   41   24  101    1
72  1.5065477 1.5786392 0.21978022    2   41   25  100    1
42  1.5124446 2.4637437 0.23076923    2   40   25  100    2
91  1.5006807 1.7986506 0.23809524    3   40   26   99    2
101 1.5428287 2.1734776 0.27380952    3   40   27   98    2
5   1.4935481 1.7767012 0.28712871    1   40   28   97    2
22  1.5113613 2.2000293 0.29702970    1   40   29   96    2
105 1.5912403 1.3856063 0.29761905    3   40   30   95    2
114 1.6215458 2.2309596 0.30952381    3   40   32   93    2
128 1.6314415 0.6127839 0.30952381    3   40   32   93    2
60  1.5515137 2.1027766 0.31868132    2   40   33   92    2
106 1.6438644 1.4756712 0.33333333    3   40   34   91    2
33  1.5489413 1.3820170 0.34653465    1   40   35   90    2
140 1.5704834 1.9138139 0.37373737    4   40   36   89    2
53  1.6073371 2.2355284 0.38461538    2   40   38   87    2
54  1.6072476 1.3710679 0.38461538    2   40   38   87    2
57  1.6247746 3.3837436 0.41758242    2   39   38   87    3
152 1.5912601 1.4183013 0.42424242    4   39   39   86    3
108 1.7461943 1.3384565 0.44047619    3   39   40   85    3
83  1.7499163 0.4913617 0.45238095    3   39   41   84    3
6   1.6730177 1.5717088 0.46534653    1   39   42   83    3
149 1.6740527 1.8129134 0.48484848    4   39   43   82    3
35  1.7039420 2.2796669 0.50495050    1   39   44   81    3
129 1.8058295 1.3263359 0.51190476    3   39   45   80    3
157 1.6991171 1.4742163 0.51515152    4   39   46   79    3
70  1.6909839 1.8000294 0.52747253    2   39   47   78    3
25  1.7242340 2.1804126 0.53465347    1   39   48   77    3
163 1.7319011 1.6294096 0.53535354    4   39   49   76    3
2   1.7405797 2.5375673 0.54455446    1   38   49   76    4
156 1.7410581 3.1911994 0.54545455    4   37   49   76    5
26  1.7567539 1.1643529 0.55445545    1   37   50   75    5
88  1.8389459 1.5263393 0.55952381    3   36   51   74    6
104 1.8391563 3.3837436 0.55952381    3   36   51   74    6
64  1.7225147 2.1598678 0.56043956    2   36   52   73    6
150 1.7863986 0.3010300 0.56565657    4   36   53   72    6
51  1.7311140 1.6884198 0.57142857    2   36   54   71    6
27  1.7906259 0.7993405 0.58415842    1   36   56   69    6
37  1.7969664 1.7024305 0.58415842    1   36   56   69    6
121 1.8587751 1.3344538 0.60714286    3   36   59   66    6
130 1.8744834 1.4248816 0.60714286    3   36   59   66    6
133 1.8593690 1.5538830 0.60714286    3   36   59   66    6
58  1.7723588 2.3583156 0.61538462    2   36   60   65    6
115 1.8863681 2.9825426 0.61904762    3   35   60   65    7
151 1.8503713 2.1448854 0.62626263    4   35   61   64    7
107 1.8944814 1.3384565 0.63095238    3   35   62   63    7
75  1.8433015 1.9703469 0.63736264    2   35   63   62    7
86  1.9172936 1.5024271 0.64285714    3   34   67   58    8
87  1.9126786 1.6928469 0.64285714    3   34   67   58    8
92  1.9155486 1.9576073 0.64285714    3   34   67   58    8
103 1.9020563 3.2980448 0.64285714    3   34   67   58    8
123 1.9023235 1.7041505 0.64285714    3   34   67   58    8
10  1.8632326 2.5880475 0.65346535    1   33   68   57    9
14  1.8700865 2.0297895 0.65346535    1   33   68   57    9
102 1.9428907 1.2944662 0.65476190    3   32   69   56   10
135 1.9403991 2.7629785 0.65476190    3   32   69   56   10
164 1.8645327 1.6314438 0.65656566    4   32   70   55   10
68  1.8592238 1.3979400 0.65934066    2   32   71   54   10
99  1.9755945 3.3837436 0.66666667    3   30   72   53   12
100 1.9578827 2.7271344 0.66666667    3   30   72   53   12
134 1.9667574 1.6314438 0.66666667    3   30   72   53   12
17  1.8847590 2.4834446 0.67326733    1   29   72   53   13
11  1.9042258 1.3765770 0.68316832    1   29   74   51   13
36  1.8962530 1.5024271 0.68316832    1   29   74   51   13
141 1.9157902 2.0338257 0.68686869    4   28   78   47   14
143 1.9302894 1.6599162 0.68686869    4   28   78   47   14
144 1.9118036 1.7972675 0.68686869    4   28   78   47   14
146 1.9045714 2.5779511 0.68686869    4   28   78   47   14
147 1.9171472 2.0874265 0.68686869    4   28   78   47   14
8   1.9497358 3.3837436 0.72277228    1   27   78   47   15
74  1.8990795 1.9484130 0.74725275    2   26   79   46   16
77  1.9256371 2.6887757 0.74725275    2   26   79   46   16
160 1.9727683 1.0791812 0.74747475    4   26   80   45   16
138 1.9914600 2.4350476 0.75757576    4   25   80   45   17
69  1.9435005 1.6866363 0.75824176    2   25   81   44   17
118 2.0217396 1.8095597 0.76190476    3   25   82   43   17
16  1.9876472 3.3837436 0.78217822    1   24   82   43   18
44  1.9697256 2.0338257 0.80219780    2   24   84   41   18
76  1.9881624 2.0406023 0.80219780    2   24   84   41   18
145 2.0752835 1.5843312 0.80808081    4   24   87   38   18
153 2.0518820 1.5440680 0.80808081    4   24   87   38   18
154 2.0568087 1.4653829 0.80808081    4   24   87   38   18
98  2.0558924 1.5670264 0.80952381    3   24   88   37   18
90  2.0705066 1.5158738 0.82142857    3   24   90   35   18
120 2.0699977 1.7535831 0.82142857    3   24   90   35   18
15  2.0083848 1.8920946 0.82178218    1   24   91   34   18
61  2.0282228 1.9355073 0.83516484    2   24   92   33   18
166 2.0944768 1.8394780 0.83838384    4   24   93   32   18
4   2.0504138 3.2980448 0.84158416    1   22   94   31   20
12  2.0548615 1.1172713 0.84158416    1   22   94   31   20
24  2.0455593 2.8121108 0.84158416    1   22   94   31   20
137 2.0988323 2.3310222 0.84848485    4   21   96   29   21
159 2.1262741 2.3769418 0.84848485    4   21   96   29   21
167 2.1056650 1.7371926 0.84848485    4   21   96   29   21
80  2.0499376 1.9355073 0.86813187    2   21   97   28   21
21  2.1048153 2.6134189 0.87128713    1   20   98   27   22
34  2.1184170 2.2671717 0.87128713    1   20   98   27   22
127 2.1152103 1.4116197 0.88095238    3   20   99   26   22
165 2.1655677 3.2387735 0.88888889    4   19   99   26   23
40  2.1066485 1.6009729 0.89010989    2   19  100   25   23
85  2.1682765 2.1525941 0.89285714    3   19  102   23   23
