# Seed = 882
# Site = hika
# Method = gbmcv
# Area under ROC curve = 0.769142857142857
# aggregate.tpos = 21
# aggregate.tneg = 104
# aggregate.fpos = 21
# aggregate.fneg = 21
# variables: beach_WaterTemp, beach_AirTemp, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, Sheboygan_Discharge_Diff_6, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_1, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_1, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, Sqrt.Precipitation.over.upload.ManitowocR.Sum..1hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..2hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..6hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..12hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..24hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..48hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..72hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..120hr, Sqrt.Precipitation.over.upload.hika.Sum..1hr, Sqrt.Precipitation.over.upload.hika.Sum..2hr, Sqrt.Precipitation.over.upload.hika.Sum..6hr, Sqrt.Precipitation.over.upload.hika.Sum..12hr, Sqrt.Precipitation.over.upload.hika.Sum..24hr, Sqrt.Precipitation.over.upload.hika.Sum..48hr, Sqrt.Precipitation.over.upload.hika.Sum..72hr, Sqrt.Precipitation.over.upload.hika.Sum..120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, log.Sheboygan_Discharge_Mean_1, log.Sheboygan_Discharge_Mean_2, log.Sheboygan_Discharge_Mean_6, log.Sheboygan_Discharge_Mean_12, log.Sheboygan_Discharge_Mean_24, log.Sheboygan_Discharge_Mean_48, log.Sheboygan_Discharge_Mean_72, log.Sheboygan_Discharge_Mean_120, log.Sheboygan_Discharge_Min_1, log.Sheboygan_Discharge_Min_2, log.Sheboygan_Discharge_Min_6, log.Sheboygan_Discharge_Min_12, log.Sheboygan_Discharge_Min_24, log.Sheboygan_Discharge_Min_48, log.Sheboygan_Discharge_Min_72, log.Sheboygan_Discharge_Min_120, log.Sheboygan_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.903225806451613
# decision threshold: 2.18137300417728
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
131 0.7348037 0.8512583 0.03225806  131   42    1  124    0
71  1.0631972 0.3010300 0.08064516   71   42    3  122    0
73  0.7538300 0.3010300 0.08064516   73   42    3  122    0
122 1.0130487 0.9030900 0.10483871  122   42    4  121    0
32  1.0186810 1.3579348 0.11290323   32   42    5  120    0
28  1.0979944 1.6532125 0.12096774   28   42    7  118    0
38  1.2346884 0.3010300 0.12096774   38   42    7  118    0
31  1.2128025 1.1430148 0.13709677   31   42    8  117    0
89  1.4309602 0.0000000 0.14516129   89   42   10  115    0
132 1.2606246 0.3010300 0.14516129  132   42   10  115    0
33  1.3611903 1.3820170 0.16129032   33   42   11  114    0
62  1.3455077 1.4712917 0.17741935   62   42   12  113    0
50  1.3224635 1.4593925 0.18548387   50   42   15  110    0
52  1.3093333 1.3483049 0.18548387   52   42   15  110    0
91  1.3046297 1.7986506 0.18548387   91   42   15  110    0
101 1.3372001 2.1734776 0.19354839  101   42   16  109    0
81  1.5328525 2.5161386 0.20000000   81   41   16  109    1
72  1.3509915 1.5786392 0.20161290   72   41   18  107    1
78  1.3842204 1.0374265 0.20161290   78   41   18  107    1
79  1.5963946 1.1643529 0.20967742   79   41   19  106    1
149 1.5226321 1.8129134 0.21774194  149   41   20  105    1
128 1.3997213 0.6127839 0.23387097  128   41   21  104    1
60  1.5528119 2.1027766 0.25806452   60   41   22  103    1
5   1.4358111 1.7767012 0.26612903    5   41   23  102    1
83  1.4546944 0.4913617 0.28225806   83   41   25  100    1
88  1.4501768 1.5263393 0.28225806   88   41   25  100    1
35  1.4869113 2.2796669 0.33064516   35   41   26   99    1
110 1.5019514 1.6866363 0.33870968  110   41   27   98    1
42  1.5009104 2.4637437 0.34400000   42   40   27   98    2
114 1.5047141 2.2309596 0.35483871  114   40   28   97    2
113 1.5175825 1.5888317 0.36290323  113   40   29   96    2
43  1.5492928 1.3961993 0.37096774   43   40   30   95    2
6   1.5327313 1.5717088 0.37903226    6   40   32   93    2
9   1.5616731 0.3010300 0.37903226    9   40   32   93    2
27  1.5670994 0.7993405 0.38709677   27   40   35   90    2
140 1.5512710 1.9138139 0.38709677  140   40   35   90    2
162 1.5481391 2.1386184 0.38709677  162   40   35   90    2
108 1.5907137 1.3384565 0.41129032  108   40   36   89    2
26  1.6443716 1.1643529 0.41935484   26   40   39   86    2
55  1.5781710 1.9020029 0.41935484   55   40   39   86    2
70  1.6005822 1.8000294 0.41935484   70   40   39   86    2
86  1.6377754 1.5024271 0.43548387   86   40   40   85    2
87  1.6324621 1.6928469 0.44354839   87   40   41   84    2
22  1.6464110 2.2000293 0.45967742   22   40   43   82    2
51  1.7101627 1.6884198 0.45967742   51   40   43   82    2
109 1.6693773 1.3891661 0.47580645  109   40   45   80    2
151 1.6693822 2.1448854 0.47580645  151   40   45   80    2
54  1.6720632 1.3710679 0.48387097   54   40   46   79    2
106 1.6825595 1.4756712 0.50000000  106   40   47   78    2
105 1.7003299 1.3856063 0.50806452  105   40   50   75    2
163 1.7001756 1.6294096 0.50806452  163   40   50   75    2
164 1.6836457 1.6314438 0.50806452  164   40   50   75    2
14  1.6904786 2.0297895 0.51612903   14   40   52   73    2
150 1.6883531 0.3010300 0.51612903  150   40   52   73    2
138 1.7103181 2.4350476 0.52800000  138   39   52   73    3
48  1.7122714 1.8469553 0.54838710   48   39   54   71    3
133 1.7209639 1.5538830 0.54838710  133   39   54   71    3
99  1.7333957 3.3837436 0.56800000   99   38   54   71    4
53  1.7378319 2.2355284 0.57258065   53   38   56   69    4
67  1.7357211 0.6127839 0.57258065   67   38   56   69    4
36  1.8515466 1.5024271 0.58870968   36   38   59   66    4
92  1.7544502 1.9576073 0.58870968   92   38   59   66    4
130 1.7537385 1.4248816 0.58870968  130   38   59   66    4
68  1.8043147 1.3979400 0.59677419   68   38   62   63    4
152 1.7888236 1.4183013 0.59677419  152   38   62   63    4
157 1.8075466 1.4742163 0.59677419  157   38   62   63    4
156 1.7669790 3.1911994 0.60000000  156   37   62   63    5
127 1.8836129 1.4116197 0.62096774  127   37   63   62    5
129 1.8408110 1.3263359 0.62903226  129   37   64   61    5
21  1.8381492 2.5375673 0.63200000    2   36   64   61    6
10  1.8447521 2.5880475 0.64000000   10   34   64   61    8
135 1.8524460 2.7629785 0.64000000  135   34   64   61    8
75  1.8439729 1.9703469 0.64516129   75   34   66   59    8
143 1.8674765 1.6599162 0.64516129  143   34   66   59    8
24  1.8716675 2.8121108 0.64800000   24   33   66   59    9
107 1.8841661 1.3384565 0.65322581  107   33   67   58    9
146 1.8609286 2.5779511 0.65600000  146   32   67   58   10
76  1.8799214 2.0406023 0.66129032   76   32   68   57   10
37  1.8903753 1.7024305 0.66935484   37   32   70   55   10
123 1.8931139 1.7041505 0.66935484  123   32   70   55   10
15  1.8972802 1.8920946 0.67741935   15   32   71   54   10
77  1.9105431 2.6887757 0.68000000   77   31   71   54   11
25  1.9208895 2.1804126 0.69354839   25   31   72   53   11
16  1.9290613 3.3837436 0.69600000   16   30   72   53   12
74  1.9262532 1.9484130 0.70161290   74   30   74   51   12
141 1.9296509 2.0338257 0.70161290  141   30   74   51   12
137 1.9413383 2.3310222 0.70967742  137   30   75   50   12
41  1.9371442 2.0318123 0.71774194   41   30   77   48   12
160 1.9744170 1.0791812 0.71774194  160   30   77   48   12
17  1.9725334 2.4834446 0.72000000   17   29   77   48   13
58  1.9669757 2.3583156 0.75000000   58   29   79   46   13
145 1.9644406 1.5843312 0.75000000  145   29   79   46   13
11  2.0101416 1.3765770 0.77419355   11   29   84   41   13
98  2.0241755 1.5670264 0.77419355   98   29   84   41   13
134 2.0018069 1.6314438 0.77419355  134   29   84   41   13
144 2.0295727 1.7972675 0.77419355  144   29   84   41   13
154 2.0082002 1.4653829 0.77419355  154   29   84   41   13
69  2.0067499 1.6866363 0.79032258   69   29   86   39   13
147 2.0338395 2.0874265 0.79032258  147   29   86   39   13
59  2.0015299 2.2000293 0.79838710   59   29   87   38   13
153 2.0723225 1.5440680 0.80645161  153   29   88   37   13
44  2.0743556 2.0338257 0.81451613   44   29   89   36   13
40  2.0595654 1.6009729 0.82258065   40   29   92   33   13
85  2.0644286 2.1525941 0.82258065   85   29   92   33   13
142 2.1120002 1.2041200 0.82258065  142   29   92   33   13
64  2.0554299 2.1598678 0.83064516   64   29   93   32   13
211 2.1005016 2.6134189 0.83200000   21   27   93   32   15
