# threshold = 2.00355898183058
# Area under ROC curve = 0.843629343629344
# aggregate.tpos = 6
# aggregate.tneg = 132
# aggregate.fpos = 16
# aggregate.fneg = 8
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
63  0.7827911 1.7737864 0.07272727    2   14    1  147    0
66  0.9072406 1.4440448 0.10909091    2   14    2  146    0
77  0.7939638 1.0334238 0.11827957    3   14    3  145    0
67  0.9435687 1.1335389 0.13636364    2   14    4  144    0
57  0.9781342 0.7075702 0.15454545    2   14    6  142    0
62  0.9802263 1.7355989 0.15454545    2   14    6  142    0
41  1.0296097 1.1643529 0.17272727    2   14    8  140    0
46  1.0184951 0.7993405 0.17272727    2   14    8  140    0
70  0.9589060 1.5145478 0.18279570    3   14    9  139    0
71  1.0246226 1.6063814 0.19354839    3   14   10  138    0
29  1.1059254 0.6127839 0.20909091    2   14   11  137    0
75  1.0701435 0.9242793 0.21505376    3   14   12  136    0
28  1.1267175 1.4456042 0.21818182    2   14   16  132    0
30  1.1396849 0.7075702 0.21818182    2   14   16  132    0
42  1.1369795 0.7923917 0.21818182    2   14   16  132    0
43  1.1492488 0.7993405 0.21818182    2   14   16  132    0
83  1.0898096 0.9777236 0.22580645    3   14   17  131    0
54  1.1524756 0.4913617 0.22727273    2   14   18  130    0
109 1.1062824 0.0000000 0.23655914    3   14   19  129    0
126 1.0989930 0.6127839 0.23728814    4   14   20  128    0
90  1.1090534 1.4756712 0.24731183    3   14   22  126    0
124 1.1298029 1.2329961 0.24731183    3   14   22  126    0
122 1.1475157 0.0000000 0.25806452    3   14   23  125    0
45  1.1810697 1.6384893 0.26363636    2   14   25  123    0
50  1.1755022 1.0755470 0.26363636    2   14   25  123    0
127 1.1708788 1.0334238 0.27966102    4   14   26  122    0
132 1.1865575 2.2195845 0.29661017    4   14   28  120    0
138 1.1877011 0.4771213 0.29661017    4   14   28  120    0
2   1.1320779 1.2671717 0.30894309    1   14   30  118    0
23  1.1333797 0.0000000 0.30894309    1   14   30  118    0
31  1.2071005 0.0000000 0.30909091    2   14   32  116    0
56  1.2113021 1.8175654 0.30909091    2   14   32  116    0
131 1.2287489 1.2041200 0.31355932    4   14   33  115    0
145 1.2317317 1.2278867 0.32203390    4   14   34  114    0
72  1.2079198 0.7160033 0.32258065    3   14   39  109    0
74  1.1985758 1.2900346 0.32258065    3   14   39  109    0
82  1.2031471 1.5378191 0.32258065    3   14   39  109    0
85  1.2088753 0.7993405 0.32258065    3   14   39  109    0
88  1.2011709 0.9542425 0.32258065    3   14   39  109    0
15  1.1784108 1.3820170 0.33333333    1   14   40  108    0
61  1.2470772 1.7795965 0.34545455    2   14   42  106    0
65  1.2487052 1.3483049 0.34545455    2   14   42  106    0
17  1.1995613 1.6730209 0.34959350    1   14   43  105    0
26  1.2786502 1.1271048 0.35454545    2   14   46  102    0
37  1.2902179 2.0437551 0.35454545    2   14   46  102    0
39  1.2913325 1.2041200 0.35454545    2   14   46  102    0
73  1.2697088 1.4593925 0.35483871    3   14   47  101    0
59  1.3138937 1.6444386 0.36363636    2   14   48  100    0
92  1.2978668 0.9822712 0.36559140    3   14   50   98    0
