# Seed = 722
# Site = neshotah
# Method = gbmcv
# Area under ROC curve = 0.863416988416989
# aggregate.tpos = 8
# aggregate.tneg = 136
# aggregate.fpos = 12
# aggregate.fneg = 6
# variables: beach_WaterTemp, beach_AirTemp, beach_LakeshoreCurrVel, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, Kewaunee_Discharge_Diff_6, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.neshtah.Sum..1hr, Sqrt.Precipitation.over.upload.neshtah.Sum..2hr, Sqrt.Precipitation.over.upload.neshtah.Sum..6hr, Sqrt.Precipitation.over.upload.neshtah.Sum..12hr, Sqrt.Precipitation.over.upload.neshtah.Sum..24hr, Sqrt.Precipitation.over.upload.neshtah.Sum..48hr, Sqrt.Precipitation.over.upload.neshtah.Sum..72hr, Sqrt.Precipitation.over.upload.neshtah.Sum..120hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..1hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..2hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..6hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..12hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..24hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..48hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..72hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, log.Kewaunee_Discharge_Mean_1, log.Kewaunee_Discharge_Mean_2, log.Kewaunee_Discharge_Mean_6, log.Kewaunee_Discharge_Mean_12, log.Kewaunee_Discharge_Mean_24, log.Kewaunee_Discharge_Mean_48, log.Kewaunee_Discharge_Mean_72, log.Kewaunee_Discharge_Mean_120, log.Kewaunee_Discharge_Min_1, log.Kewaunee_Discharge_Min_2, log.Kewaunee_Discharge_Min_6, log.Kewaunee_Discharge_Min_12, log.Kewaunee_Discharge_Min_24, log.Kewaunee_Discharge_Min_48, log.Kewaunee_Discharge_Min_72, log.Kewaunee_Discharge_Min_120, log.Kewaunee_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.931972789115646
# decision threshold: 2.01305329015785
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
77  0.7807069 1.0334238 0.05442177   77   14    1  147    0
63  0.8543766 1.7737864 0.07482993   63   14    2  146    0
37  0.8858772 2.0437551 0.10884354   37   14    5  143    0
42  0.9303330 0.7923917 0.10884354   42   14    5  143    0
118 0.8380853 0.8633229 0.10884354  118   14    5  143    0
57  0.8197897 0.7075702 0.11564626   57   14    6  142    0
30  0.9673427 0.7075702 0.14285714   30   14    7  141    0
41  0.9766146 1.1643529 0.15646259   41   14    8  140    0
122 1.0755518 0.0000000 0.16326531  122   14    9  139    0
50  1.0516773 1.0755470 0.17006803   50   14   11  137    0
66  1.0362688 1.4440448 0.17006803   66   14   11  137    0
43  1.0586578 0.7993405 0.18367347   43   14   12  136    0
46  1.0302676 0.7993405 0.19727891   46   14   14  134    0
82  1.0668649 1.5378191 0.19727891   82   14   14  134    0
124 1.1217211 1.2329961 0.22448980  124   14   15  133    0
90  1.0822588 1.4756712 0.23129252   90   14   17  131    0
110 1.0787166 1.4593925 0.23129252  110   14   17  131    0
74  1.1044927 1.2900346 0.23809524   74   14   18  130    0
65  1.1383334 1.3483049 0.25170068   65   14   20  128    0
75  1.0662105 0.9242793 0.25170068   75   14   20  128    0
87  1.1492506 1.2430380 0.25850340   87   14   22  126    0
109 1.1763946 0.0000000 0.25850340  109   14   22  126    0
29  1.1411254 0.6127839 0.26530612   29   14   25  123    0
70  1.1428249 1.5145478 0.26530612   70   14   25  123    0
137 1.1825478 1.7092700 0.26530612  137   14   25  123    0
28  1.1558172 1.4456042 0.27210884   28   14   31  117    0
67  1.1745764 1.1335389 0.27210884   67   14   31  117    0
78  1.1693340 0.3010300 0.27210884   78   14   31  117    0
85  1.2063595 0.7993405 0.27210884   85   14   31  117    0
123 1.1317506 1.5550944 0.27210884  123   14   31  117    0
126 1.1505814 0.6127839 0.27210884  126   14   31  117    0
56  1.1591957 1.8175654 0.27891156   56   14   33  115    0
73  1.1732345 1.4593925 0.27891156   73   14   33  115    0
45  1.2033530 1.6384893 0.29251701   45   14   36  112    0
117 1.2088718 1.0791812 0.29251701  117   14   36  112    0
132 1.1894211 2.2195845 0.29251701  132   14   36  112    0
22  1.1870919 1.8088859 0.29931973   22   14   41  107    0
62  1.2027481 1.7355989 0.29931973   62   14   41  107    0
83  1.2141504 0.9777236 0.29931973   83   14   41  107    0
96  1.1894995 1.5809250 0.29931973   96   14   41  107    0
98  1.1886750 1.9355073 0.29931973   98   14   41  107    0
23  1.2207855 0.0000000 0.31292517   23   14   43  105    0
72  1.2288551 0.7160033 0.31292517   72   14   43  105    0
15  1.2347314 1.3820170 0.32653061   15   14   45  103    0
71  1.2398681 1.6063814 0.32653061   71   14   45  103    0
31  1.2501333 0.0000000 0.33333333   31   14   46  102    0
21  1.2504337 1.2671717 0.34013605    2   14   48  100    0
100 1.2282219 1.2944662 0.34013605  100   14   48  100    0
3   1.2435998 1.1398791 0.36054422    3   14   51   97    0
131 1.2968042 1.2041200 0.36054422  131   14   51   97    0
151 1.2615145 0.3010300 0.36054422  151   14   51   97    0
26  1.2894008 1.1271048 0.36734694   26   14   53   95    0
114 1.2593310 1.5440680 0.36734694  114   14   53   95    0
9   1.2588820 1.7846173 0.37414966    9   14   54   94    0
54  1.2917418 0.4913617 0.38095238   54   14   55   93    0
92  1.2902619 0.9822712 0.39455782   92   14   57   91    0
115 1.3053598 1.0863598 0.39455782  115   14   57   91    0
52  1.3146421 0.4771213 0.40136054   52   14   59   89    0
108 1.2998666 1.1702617 0.40136054  108   14   59   89    0
76  1.3211868 0.8692317 0.41496599   76   14   60   88    0
79  1.3307428 0.0000000 0.42176871   79   14   61   87    0
88  1.3344460 0.9542425 0.44217687   88   14   64   84    0
94  1.3322520 1.6599162 0.44217687   94   14   64   84    0
127 1.3600744 1.0334238 0.44217687  127   14   64   84    0
40  1.3321570 1.5105450 0.44897959   40   14   66   82    0
138 1.3500404 0.4771213 0.44897959  138   14   66   82    0
17  1.3558509 1.6730209 0.45578231   17   14   68   80    0
120 1.3615727 1.5211381 0.45578231  120   14   68   80    0
44  1.3760234 0.7160033 0.46258503   44   14   70   78    0
91  1.3764465 0.9344985 0.46258503   91   14   70   78    0
101 1.3722080 1.3820170 0.46938776  101   14   71   77    0
134 1.3783752 1.6106602 0.47619048  134   14   72   76    0
95  1.3863938 1.5550944 0.49659864   95   14   73   75    0
81  1.3948998 1.5145478 0.50340136   81   14   76   72    0
97  1.4017627 1.4297523 0.50340136   97   14   76   72    0
144 1.4175395 0.8750613 0.50340136  144   14   76   72    0
61  1.4068446 1.7795965 0.51020408   61   14   77   71    0
86  1.4191483 1.0791812 0.51700680   86   14   79   69    0
145 1.4088634 1.2278867 0.51700680  145   14   79   69    0
105 1.4153294 1.9169800 0.52380952  105   14   80   68    0
135 1.4226184 0.6127839 0.53061224  135   14   81   67    0
60  1.4213423 1.4593925 0.53741497   60   14   82   66    0
119 1.4282519 0.8512583 0.54421769  119   14   83   65    0
59  1.4337829 1.6444386 0.55782313   59   14   85   63    0
142 1.4380529 1.5092025 0.55782313  142   14   85   63    0
13  1.4477350 1.4232459 0.56462585   13   14   87   61    0
16  1.4548267 1.6201361 0.56462585   16   14   87   61    0
8   1.4673290 0.6127839 0.57823129    8   14   88   60    0
160 1.4429517 2.9377184 0.58108108  160   13   88   60    1
68  1.4601502 1.7505084 0.58503401   68   13   89   59    1
58  1.4819191 1.0791812 0.59863946   58   13   91   57    1
107 1.4808731 0.9867717 0.59863946  107   13   91   57    1
39  1.4985498 1.2041200 0.61224490   39   13   92   56    1
7   1.5103887 1.0374265 0.61904762    7   13   93   55    1
149 1.5088678 0.7923917 0.62585034  149   13   94   54    1
89  1.5141183 2.2159018 0.63265306   89   13   95   53    1
143 1.5334363 1.0863598 0.63945578  143   13   96   52    1
11  1.5066441 1.8680564 0.65306122   11   13   97   51    1
125 1.5203237 1.3909351 0.65986395  125   13   99   49    1
153 1.5520016 1.2329961 0.65986395  153   13   99   49    1
51  1.5257776 2.1711412 0.67346939   51   13  100   48    1
5   1.5298067 1.5378191 0.68027211    5   13  101   47    1
133 1.5525572 3.2980448 0.68243243  133   12  101   47    2
25  1.5659461 1.2329961 0.69387755   25   12  102   46    2
53  1.5706060 1.4785665 0.70068027   53   12  104   44    2
106 1.5622178 0.6127839 0.70068027  106   12  104   44    2
136 1.5932643 1.0334238 0.71428571  136   12  105   43    2
18  1.6074457 2.1126050 0.72789116   18   12  108   40    2
