# threshold = 1.89733210657998
# Area under ROC curve = 0.991596638655462
# aggregate.tpos = 55
# aggregate.tneg = 59
# aggregate.fpos = 60
# aggregate.fneg = 0
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
6   0.7441427 0.0000000 0.03846154    1   55    1  118    0
48  0.6680765 0.7075702 0.04494382    2   55    2  117    0
140 0.8882809 0.9242793 0.04545455    4   55    5  114    0
151 0.8760810 0.6127839 0.04545455    4   55    5  114    0
152 0.8724452 0.3010300 0.04545455    4   55    5  114    0
154 0.8906051 0.6127839 0.05681818    4   55    6  113    0
73  0.7196644 0.7708520 0.06578947    3   55    8  111    0
76  0.7184498 0.8692317 0.06578947    3   55    8  111    0
35  0.7903572 0.9344985 0.06741573    2   55    9  110    0
1   0.9900626 1.0374265 0.07692308    1   55   10  109    0
49  0.8838813 1.0374265 0.07865169    2   55   11  108    0
128 0.9830418 1.0791812 0.07954545    4   55   12  107    0
150 1.1009143 1.1522883 0.09090909    4   55   13  106    0
46  1.0541401 1.1172713 0.10112360    2   55   14  105    0
158 1.1468360 1.1643529 0.10227273    4   55   15  104    0
59  1.2223707 1.1903317 0.15730337    2   55   16  103    0
114 1.1539134 1.1522883 0.15789474    3   55   17  102    0
153 1.2636154 1.2329961 0.17045455    4   55   18  101    0
72  1.1912772 1.1903317 0.17105263    3   55   19  100    0
45  1.2475860 1.2068259 0.17977528    2   55   20   99    0
57  1.2871682 1.3201463 0.19101124    2   55   21   98    0
144 1.3307725 1.3031961 0.19318182    4   55   22   97    0
77  1.2314288 1.2253093 0.19736842    3   55   23   96    0
75  1.2744116 1.2380461 0.21052632    3   55   26   93    0
81  1.2405877 1.1986571 0.21052632    3   55   26   93    0
103 1.3104565 1.3031961 0.21052632    3   55   26   93    0
131 1.4142864 1.4082400 0.22727273    4   55   31   88    0
145 1.4133583 1.4031205 0.22727273    4   55   31   88    0
146 1.3971466 1.3909351 0.22727273    4   55   31   88    0
149 1.4121369 1.3926970 0.22727273    4   55   31   88    0
155 1.4394772 1.4345689 0.22727273    4   55   31   88    0
137 1.4673350 1.4593925 0.23863636    4   55   32   87    0
2   1.3693930 1.3541084 0.24038462    1   55   33   86    0
95  1.3777186 1.3856063 0.25000000    3   55   34   85    0
79  1.4036484 1.3636120 0.27631579    3   55   36   83    0
98  1.3986443 1.4393327 0.27631579    3   55   36   83    0
