# threshold = 2.05520147672557
# Area under ROC curve = 0.618206992038768
# aggregate.tpos = 8
# aggregate.tneg = 83
# aggregate.fpos = 24
# aggregate.fneg = 19
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
31  1.6274348 1.1303338 0.00000000    2   26    8   99    1
33  1.6625551 1.5899496 0.00000000    2   26    8   99    1
43  1.6555950 2.6386889 0.00000000    2   26    8   99    1
44  1.5342490 0.9777236 0.00000000    2   26    8   99    1
50  1.4690158 1.5263393 0.00000000    2   26    8   99    1
62  1.2732241 1.3031961 0.00000000    2   26    8   99    1
64  1.6556771 1.7715875 0.00000000    2   26    8   99    1
94  0.7939744 1.5717088 0.00000000    3   26    8   99    1
96  0.5044338 1.9469433 0.00000000    3   26    8   99    1
30  1.7273234 0.6127839 0.03174603    2   26   12   95    1
32  1.6968370 1.2576786 0.03174603    2   26   12   95    1
42  1.7410375 0.7160033 0.03174603    2   26   12   95    1
57  1.7114062 1.3856063 0.03174603    2   26   12   95    1
89  1.0567953 2.2671717 0.04347826    3   25   13   94    2
93  1.0365961 2.6740340 0.04347826    3   25   13   94    2
27  1.7605542 2.0318123 0.04761905    2   25   14   93    2
76  1.0715734 1.3710679 0.05797101    3   24   15   92    3
95  1.0844910 2.5880475 0.05797101    3   24   15   92    3
34  1.7835352 2.0652061 0.06349206    2   24   21   86    3
48  1.7768655 0.3010300 0.06349206    2   24   21   86    3
49  1.7827464 1.6551384 0.06349206    2   24   21   86    3
56  1.7662760 1.3344538 0.06349206    2   24   21   86    3
65  1.7861057 1.0374265 0.06349206    2   24   21   86    3
69  1.7761553 1.8382192 0.06349206    2   24   21   86    3
75  1.1555227 1.1271048 0.07246377    3   24   23   84    3
97  1.1086254 1.7299743 0.07246377    3   24   23   84    3
45  1.8083909 1.5024271 0.07936508    2   24   26   81    3
54  1.7953829 2.1752218 0.07936508    2   24   26   81    3
61  1.8008639 2.1142773 0.07936508    2   24   26   81    3
102 1.1934081 2.1251558 0.08695652    3   24   27   80    3
46  1.8182675 2.2866810 0.09523810    2   24   29   78    3
60  1.8163078 1.6821451 0.09523810    2   24   29   78    3
134 1.6548498 2.9914033 0.11000000    4   23   29   78    4
66  1.8268609 2.0195317 0.11111111    2   23   30   77    4
77  1.2705121 0.9242793 0.11594203    3   23   31   76    4
117 1.3331146 1.9344985 0.14492754    3   23   32   75    4
80  1.3672380 0.8750613 0.15942029    3   23   34   73    4
116 1.3706415 1.7795965 0.15942029    3   23   34   73    4
133 1.6972742 2.4401216 0.17000000    4   22   34   73    5
26  1.8469366 1.7767012 0.19047619    2   22   39   68    5
40  1.8481561 0.9912261 0.19047619    2   22   39   68    5
47  1.8389963 1.8802418 0.19047619    2   22   39   68    5
53  1.8583539 1.1613680 0.19047619    2   22   39   68    5
63  1.8560061 1.6963564 0.19047619    2   22   39   68    5
74  1.4204323 1.3483049 0.20289855    3   21   40   67    6
84  1.4083811 3.1138431 0.20289855    3   21   40   67    6
28  1.8767417 1.7566361 0.20634921    2   21   41   66    6
103 1.4481537 1.7923917 0.21739130    3   20   42   65    7
123 1.4690970 2.9641653 0.21739130    3   20   42   65    7
128 1.7364206 1.4456042 0.22000000    4   20   44   63    7
129 1.7388682 1.9454686 0.22000000    4   20   44   63    7
127 1.7492839 1.7520484 0.24000000    4   20   46   61    7
132 1.7491188 1.5899496 0.24000000    4   20   46   61    7
114 1.4989512 1.6444386 0.24637681    3   20   47   60    7
29  1.8812419 1.5327544 0.25396825    2   20   48   59    7
25  1.8937407 2.0338257 0.31746032    2   20   49   58    7
108 1.6097123 2.1711412 0.40579710    3   20   50   57    7
90  1.6187882 1.1643529 0.42028986    3   19   51   56    8
113 1.6215036 2.9119030 0.42028986    3   19   51   56    8
41  1.9180950 2.1051694 0.42857143    2   19   52   55    8
126 1.8162502 2.2695129 0.44000000    4   19   53   54    8
35  1.9240167 2.3040595 0.46031746    2   19   55   52    8
55  1.9288428 2.1664301 0.46031746    2   19   55   52    8
15  1.8672832 1.4785665 0.47191011    1   19   56   51    8
130 1.8324380 2.9119030 0.48000000    4   18   56   51    9
11  1.8774391 1.6954817 0.50561798    1   18   57   50    9
99  1.7210403 3.2387735 0.50724638    3   17   58   49   10
115 1.7141132 2.2516382 0.50724638    3   17   58   49   10
131 1.8444366 2.1664301 0.51000000    4   17   59   48   10
92  1.7400591 2.6134189 0.52173913    3   15   59   48   12
124 1.7480664 2.3960249 0.52173913    3   15   59   48   12
36  1.9589851 2.0182843 0.52380952    2   15   64   43   12
38  1.9827754 1.5728716 0.52380952    2   15   64   43   12
39  1.9862475 1.7024305 0.52380952    2   15   64   43   12
52  1.9706009 1.3010300 0.52380952    2   15   64   43   12
67  1.9743643 1.9822712 0.52380952    2   15   64   43   12
2   1.9040608 1.3856063 0.55056180    1   15   66   41   12
10  1.9083943 0.7993405 0.55056180    1   15   66   41   12
101 1.7777475 2.3109056 0.56521739    3   15   67   40   12
8   1.9129806 1.5611014 0.57303371    1   15   68   39   12
81  1.8143376 1.7795965 0.57971014    3   15   71   36   12
109 1.8011338 2.3310222 0.57971014    3   15   71   36   12
118 1.7891147 1.1986571 0.57971014    3   15   71   36   12
1   1.9269824 1.0755470 0.61797753    1   15   73   34   12
9   1.9288258 1.7581546 0.61797753    1   15   73   34   12
121 1.8434956 3.1911994 0.63768116    3   14   73   34   13
5   1.9344340 0.9344985 0.64044944    1   14   74   33   13
24  2.0232986 3.3837436 0.65079365    2   13   75   32   14
59  2.0224728 1.4548449 0.65079365    2   13   75   32   14
12  1.9466369 1.8344207 0.67415730    1   13   76   31   14
78  1.8832613 1.1205739 0.68115942    3   12   77   30   15
106 1.8758496 2.9914033 0.68115942    3   12   77   30   15
79  1.9034333 1.9365137 0.72463768    3   12   79   28   15
111 1.9020334 2.0461048 0.72463768    3   12   79   28   15
58  2.0757220 2.2913689 0.74603175    2   12   82   25   15
68  2.0602399 1.3820170 0.74603175    2   12   82   25   15
70  2.0500356 1.2068259 0.74603175    2   12   82   25   15
13  1.9824248 1.4456042 0.75280899    1   12   84   23   15
14  1.9853750 1.6812412 0.75280899    1   12   84   23   15
91  1.9436819 2.0195317 0.75362319    3   12   85   22   15
119 1.9719174 2.1945143 0.76811594    3   12   86   21   15
37  2.0903298 2.1664301 0.77777778    2   12   87   20   15
105 1.9915138 2.5880475 0.78260870    3   11   87   20   16
23  2.1793567 2.5627685 0.82539683    2   10   87   20   17
107 2.0301864 1.9947569 0.82608696    3   10   88   19   17
98  2.0654264 1.6665180 0.84057971    3    9   89   18   18
122 2.0717974 2.4549972 0.84057971    3    9   89   18   18
4   2.0585291 2.9914033 0.84269663    1    8   89   18   19
86  2.1003412 2.5627685 0.85507246    3    6   89   18   21
120 2.0886504 2.4879863 0.85507246    3    6   89   18   21
110 2.1414239 1.7291648 0.86956522    3    6   90   17   21
51  2.2172253 3.3837436 0.87301587    2    5   90   17   22
72  2.1703864 2.3900515 0.88405797    3    4   92   15   23
87  2.1624565 2.1711412 0.88405797    3    4   92   15   23
112 2.1689934 0.3010300 0.88405797    3    4   92   15   23
88  2.1967989 1.5728716 0.89855072    3    4   93   14   23
100 2.2799103 2.2367891 0.91304348    3    4   95   12   23
