# threshold = 1.88202552120571
# Area under ROC curve = 0.853820598006644
# aggregate.tpos = 9
# aggregate.tneg = 116
# aggregate.fpos = 13
# aggregate.fneg = 5
# rocframe: 
    predicted    actual  threshold fold tpos tneg fpos fneg
34  0.4635402 0.0000000 0.01204819    2   14    1  128    0
38  0.4744412 0.0000000 0.02409639    2   14    2  127    0
4   0.2439646 0.7160033 0.03418803    1   14    3  126    0
51  0.5226069 0.3010300 0.03614458    2   14    4  125    0
47  0.6243739 1.5327544 0.12048193    2   14    5  124    0
75  0.4919794 0.9344985 0.12500000    3   14    6  123    0
20  0.6563472 0.0000000 0.15662651    2   14    7  122    0
26  0.7100967 0.0000000 0.16867470    2   14    8  121    0
73  0.6023543 0.3010300 0.17500000    3   14    9  120    0
19  0.7170771 0.3010300 0.18072289    2   14   11  118    0
32  0.7343629 0.7160033 0.18072289    2   14   11  118    0
35  0.7390571 1.6138418 0.19277108    2   14   13  116    0
41  0.7401985 1.4955443 0.19277108    2   14   13  116    0
13  0.7035110 1.4132998 0.21367521    1   14   14  115    0
25  0.7607676 0.9242793 0.21686747    2   14   15  114    0
84  0.7368590 0.0000000 0.22500000    3   14   16  113    0
24  0.7844679 0.0000000 0.22891566    2   14   18  111    0
54  0.7870531 1.7656686 0.22891566    2   14   18  111    0
74  0.7535694 0.4913617 0.23750000    3   14   20  109    0
77  0.7553702 1.2041200 0.23750000    3   14   20  109    0
45  0.8122594 3.0196147 0.24096386    2   13   20  109    1
83  0.7874445 0.6127839 0.25000000    3   13   21  108    1
141 0.8633325 0.8633229 0.26168224    4   13   22  107    1
37  0.8387875 0.9294189 0.26506024    2   13   23  106    1
140 0.8782518 1.0863598 0.27102804    4   13   24  105    1
44  0.8568429 1.5717088 0.27710843    2   13   25  104    1
127 0.8996548 0.0000000 0.28971963    4   13   26  103    1
135 0.9738780 0.4771213 0.29906542    4   13   29  100    1
142 0.9531077 1.3074960 0.29906542    4   13   29  100    1
143 0.9804074 1.7505084 0.29906542    4   13   29  100    1
85  0.8490096 1.0827854 0.30000000    3   13   30   99    1
46  0.8812092 2.1433271 0.30120482    2   13   32   97    1
62  0.8802847 1.2430380 0.30120482    2   13   32   97    1
124 1.0182214 0.6127839 0.31775701    4   13   33   96    1
125 1.0290162 0.6127839 0.32710280    4   13   34   95    1
9   0.8627099 1.6314438 0.33333333    1   13   35   94    1
86  0.9286025 1.9818186 0.33750000    3   13   36   93    1
132 1.0655902 0.7160033 0.34579439    4   13   37   92    1
33  0.9156479 0.0000000 0.34939759    2   13   40   89    1
36  0.9346316 1.5263393 0.34939759    2   13   40   89    1
42  0.9133345 1.4456042 0.34939759    2   13   40   89    1
107 0.9668106 1.3483049 0.35000000    3   13   42   87    1
115 0.9714707 0.6127839 0.35000000    3   13   42   87    1
126 1.0880064 0.3010300 0.35514019    4   13   44   85    1
131 1.0859201 0.3010300 0.35514019    4   13   44   85    1
65  0.9618797 1.3856063 0.36144578    2   13   45   84    1
22  0.9835430 1.0374265 0.37349398    2   13   46   83    1
129 1.1211774 0.7993405 0.38317757    4   13   47   82    1
61  1.0130576 0.3010300 0.38554217    2   13   48   81    1
8   1.0530389 2.0557605 0.39316239    1   13   49   80    1
116 1.0168547 1.2380461 0.40000000    3   13   50   79    1
43  1.0582820 2.4637437 0.40963855    2   12   50   79    2
134 1.1382770 1.2380461 0.41121495    4   12   51   78    2
71  1.0976998 0.7993405 0.41250000    3   12   57   72    2
72  1.0455130 0.7160033 0.41250000    3   12   57   72    2
76  1.0519924 1.8920946 0.41250000    3   12   57   72    2
78  1.0587721 1.0413927 0.41250000    3   12   57   72    2
113 1.1023737 1.4132998 0.41250000    3   12   57   72    2
117 1.1187021 1.2718416 0.41250000    3   12   57   72    2
87  1.1448420 0.0000000 0.42500000    3   12   60   69    2
111 1.1804603 0.4771213 0.42500000    3   12   60   69    2
112 1.1468775 1.2068259 0.42500000    3   12   60   69    2
133 1.1870296 1.0863598 0.43925234    4   12   61   68    2
28  1.0833731 2.0652061 0.44578313    2   12   63   66    2
63  1.0808155 0.9822712 0.44578313    2   12   63   66    2
108 1.2030721 0.7993405 0.46250000    3   12   65   64    2
120 1.2163358 0.4913617 0.46250000    3   12   65   64    2
59  1.1177933 0.9867717 0.46987952    2   12   66   63    2
121 1.2456290 0.3010300 0.48750000    3   12   67   62    2
139 1.2646957 0.7160033 0.49532710    4   12   68   61    2
7   1.1395898 1.0253059 0.49572650    1   12   69   60    2
128 1.2814695 1.6875290 0.51401869    4   12   71   58    2
130 1.2702158 0.8750613 0.51401869    4   12   71   58    2
18  1.1609771 1.4248816 0.53012048    2   12   73   56    2
27  1.1549685 0.4771213 0.53012048    2   12   73   56    2
93  1.3314808 1.7489629 0.56250000    3   12   75   54    2
99  1.3349658 1.5378191 0.56250000    3   12   75   54    2
23  1.2453380 1.3483049 0.57831325    2   12   76   53    2
12  1.2710692 1.2671717 0.59829060    1   12   77   52    2
40  1.3293518 1.5502284 0.62650602    2   12   79   50    2
49  1.3229883 1.1205739 0.62650602    2   12   79   50    2
94  1.4268552 0.7993405 0.63750000    3   12   81   48    2
100 1.3930261 0.0000000 0.63750000    3   12   81   48    2
2   1.3377338 0.3010300 0.64102564    1   12   82   47    2
53  1.3794843 1.7737864 0.66265060    2   12   83   46    2
105 1.4718329 2.1760913 0.67500000    3   12   84   45    2
66  1.4034050 0.9084850 0.68674699    2   12   85   44    2
39  1.4173212 1.0827854 0.69879518    2   12   87   42    2
68  1.4155944 2.2105860 0.69879518    2   12   87   42    2
122 1.4924647 1.3961993 0.71028037    4   12   89   40    2
138 1.4846593 0.0000000 0.71028037    4   12   89   40    2
50  1.4315542 1.2068259 0.71084337    2   12   90   39    2
97  1.5180395 1.0791812 0.71250000    3   12   91   38    2
57  1.4405264 2.1316187 0.72289157    2   12   93   36    2
58  1.4320877 2.1251558 0.72289157    2   12   93   36    2
109 1.5451077 1.0827854 0.73750000    3   12   94   35    2
90  1.6017389 1.9344985 0.75000000    3   12   98   31    2
92  1.6006147 1.2329961 0.75000000    3   12   98   31    2
106 1.5795145 1.5611014 0.75000000    3   12   98   31    2
119 1.5953153 1.7092700 0.75000000    3   12   98   31    2
123 1.6742480 1.2380461 0.75700935    4   12   99   30    2
98  1.6469430 1.4393327 0.76250000    3   12  103   26    2
103 1.6194211 2.1844075 0.76250000    3   12  103   26    2
