# Seed = 392
# Site = thompson
# Method = gbmcv
# Area under ROC curve = 0.911960132890366
# aggregate.tpos = 10
# aggregate.tneg = 119
# aggregate.fpos = 10
# aggregate.fneg = 4
# variables: beach_Sc, beach_WaterTemp, beach_AirTemp, trib_ThompsonCreek040263165_TribSc, beach_LakeshoreCurrVel, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Whittlesey_Discharge_Diff_6, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_2, HeightAboveSeaLevel_Mean_6, HeightAboveSeaLevel_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.Thompson.Sum..1hr, Sqrt.Precipitation.over.upload.Thompson.Sum..2hr, Sqrt.Precipitation.over.upload.Thompson.Sum..6hr, Sqrt.Precipitation.over.upload.Thompson.Sum..12hr, Sqrt.Precipitation.over.upload.Thompson.Sum..24hr, Sqrt.Precipitation.over.upload.Thompson.Sum..48hr, Sqrt.Precipitation.over.upload.Thompson.Sum..72hr, Sqrt.Precipitation.over.upload.Thompson.Sum..120hr, Sqrt.Precipitation.over.upload.maslowski.Sum..1hr, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, Sqrt.Precipitation.over.upload.maslowski.Sum..6hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..48hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..120hr, Sqrt.Whittlesey_ARF_Sum_1, Sqrt.Whittlesey_ARF_Sum_2, Sqrt.Whittlesey_ARF_Sum_6, Sqrt.Whittlesey_ARF_Sum_12, Sqrt.Whittlesey_ARF_Sum_24, Sqrt.Whittlesey_ARF_Sum_48, log.Whittlesey_Discharge_Mean_1, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Mean_6, log.Whittlesey_Discharge_Mean_12, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Mean_48, log.Whittlesey_Discharge_Mean_72, log.Whittlesey_Discharge_Mean_120, log.Whittlesey_Discharge_Min_1, log.Whittlesey_Discharge_Min_2, log.Whittlesey_Discharge_Min_6, log.Whittlesey_Discharge_Min_12, log.Whittlesey_Discharge_Min_24, log.Whittlesey_Discharge_Min_48, log.Whittlesey_Discharge_Min_72, log.Whittlesey_Discharge_Min_120, log.Whittlesey_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.8984375
# decision threshold: 1.93559061826407
# full results: 
    predicted    actual threshold fold tpos tneg fpos fneg
4   0.3289477 0.7160033 0.0468750    4   14    1  128    0
51  0.3589223 0.3010300 0.0703125   51   14    3  126    0
75  0.4102413 0.9344985 0.0703125   75   14    3  126    0
19  0.3751796 0.3010300 0.0781250   19   14    4  125    0
20  0.4819116 0.0000000 0.1093750   20   14    7  122    0
25  0.5845138 0.9242793 0.1093750   25   14    7  122    0
34  0.5501079 0.0000000 0.1093750   34   14    7  122    0
38  0.5408373 0.0000000 0.1250000   38   14    8  121    0
24  0.6062562 0.0000000 0.1328125   24   14    9  120    0
83  0.7000763 0.6127839 0.1796875   83   14   10  119    0
61  0.6294486 0.3010300 0.1875000   61   14   11  118    0
13  0.7300550 1.4132998 0.2031250   13   14   15  114    0
73  0.7199655 0.3010300 0.2031250   73   14   15  114    0
74  0.7480178 0.4913617 0.2031250   74   14   15  114    0
112 0.7499460 1.2068259 0.2031250  112   14   15  114    0
72  0.7355160 0.7160033 0.2109375   72   14   18  111    0
84  0.7531175 0.0000000 0.2109375   84   14   18  111    0
124 0.7696028 0.6127839 0.2109375  124   14   18  111    0
41  0.6698459 1.4955443 0.2187500   41   14   19  110    0
33  0.7938797 0.0000000 0.2265625   33   14   21  108    0
86  0.7834693 1.9818186 0.2265625   86   14   21  108    0
141 0.6999487 0.8633229 0.2343750  141   14   22  107    0
140 0.7632343 1.0863598 0.2500000  140   14   23  106    0
54  0.7912939 1.7656686 0.2578125   54   14   24  105    0
143 0.7646568 1.7505084 0.2656250  143   14   25  104    0
125 0.7766295 0.6127839 0.2734375  125   14   26  103    0
32  0.8449902 0.7160033 0.2812500   32   14   28  101    0
135 0.8576097 0.4771213 0.2812500  135   14   28  101    0
26  0.8799127 0.0000000 0.2890625   26   14   29  100    0
77  0.8899934 1.2041200 0.2968750   77   14   30   99    0
108 0.9331713 0.7993405 0.3125000  108   14   31   98    0
71  0.9049561 0.7993405 0.3203125   71   14   35   94    0
129 0.9076019 0.7993405 0.3203125  129   14   35   94    0
134 0.8763538 1.2380461 0.3203125  134   14   35   94    0
142 0.8571627 1.3074960 0.3203125  142   14   35   94    0
22  0.9401859 1.0374265 0.3281250   22   14   36   93    0
35  0.8986111 1.6138418 0.3359375   35   14   41   88    0
121 0.9992382 0.3010300 0.3359375  121   14   41   88    0
126 0.9473804 0.3010300 0.3359375  126   14   41   88    0
127 0.9651310 0.0000000 0.3359375  127   14   41   88    0
128 0.9234855 1.6875290 0.3359375  128   14   41   88    0
93  0.9350651 1.7489629 0.3437500   93   14   43   86    0
120 1.0139229 0.4913617 0.3437500  120   14   43   86    0
133 0.9525289 1.0863598 0.3515625  133   14   44   85    0
113 1.0034144 1.4132998 0.3593750  113   14   47   82    0
115 1.0379346 0.6127839 0.3593750  115   14   47   82    0
130 1.0143507 0.8750613 0.3593750  130   14   47   82    0
100 1.0422468 0.0000000 0.3750000  100   14   49   80    0
139 1.0409912 0.7160033 0.3750000  139   14   49   80    0
47  1.0722056 1.5327544 0.3984375   47   14   50   79    0
9   1.0565801 1.6314438 0.4140625    9   14   51   78    0
132 1.1087495 0.7160033 0.4218750  132   14   52   77    0
7   1.1098595 1.0253059 0.4296875    7   14   54   75    0
131 1.1165853 0.3010300 0.4296875  131   14   54   75    0
18  1.1301141 1.4248816 0.4609375   18   14   55   74    0
28  1.1367607 2.0652061 0.4687500   28   14   57   72    0
85  1.1500169 1.0827854 0.4687500   85   14   57   72    0
45  1.1457914 3.0196147 0.4728682   45   13   57   72    1
76  1.1498720 1.8920946 0.4765625   76   13   60   69    1
78  1.2065920 1.0413927 0.4765625   78   13   60   69    1
