# Seed = 248
# Site = maslowski
# Method = galogistic-unweighted
# Area under ROC curve = 0.273451021114572
# aggregate.tpos = 0
# aggregate.tneg = 107
# aggregate.fpos = 0
# aggregate.fneg = 27
# variables: trib_NorthFishCreekAtHwy2_TribSc, trib_SouthFishCreekAtHwy137_WaterElevation, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_12, AirTemperature_Mean_48, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_12_par, AirTemperature_StDev_2, AirTemperature_StDev_12, Sqrt.Whittlesey_ARF_Sum_48, Sqrt.Whittlesey_ARF_Sum_120, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Min_72, yday
# thresholding specificity: 1
# decision threshold: 1
# full results: 
        predicted    actual threshold fold tpos tneg fpos fneg
2   -1.236065e+03 1.0755470         0    1   10   79   28   17
21  -2.257395e+03 1.3856063         0    2   10   79   28   17
3   -3.169451e+02 1.8773713         0    3   10   79   28   17
4   -2.223954e+03 2.9914033         0    4   10   79   28   17
5   -5.804665e+03 0.9344985         0    5   10   79   28   17
6   -1.582725e+03 2.3147097         0    6   10   79   28   17
7   -6.018531e+13 2.0318123         0    7   10   79   28   17
8   -2.130254e+03 1.5611014         0    8   10   79   28   17
10  -1.848481e+03 0.7993405         0   10   10   79   28   17
11  -1.912613e+03 1.6954817         0   11   10   79   28   17
12  -7.798384e+02 1.8344207         0   12   10   79   28   17
13  -2.431807e+03 1.4456042         0   13   10   79   28   17
15  -4.198156e+03 1.4785665         0   15   10   79   28   17
16  -9.057425e+02 3.1503265         0   16   10   79   28   17
19  -5.820161e+02 2.0060380         0   19   10   79   28   17
22  -3.013255e+02 2.0557605         0   22   10   79   28   17
23  -3.038892e+03 2.5627685         0   23   10   79   28   17
24  -3.521045e+02 3.3837436         0   24   10   79   28   17
25  -7.339411e+03 2.0338257         0   25   10   79   28   17
26  -2.891129e+03 1.7767012         0   26   10   79   28   17
27  -1.240666e+03 2.0318123         0   27   10   79   28   17
28  -7.498883e+03 1.7566361         0   28   10   79   28   17
30  -2.596782e+03 0.6127839         0   30   10   79   28   17
31  -1.985789e+02 1.1303338         0   31   10   79   28   17
32  -6.713424e+02 1.2576786         0   32   10   79   28   17
33  -2.125644e+03 1.5899496         0   33   10   79   28   17
34  -4.787722e+03 2.0652061         0   34   10   79   28   17
35  -3.009224e+03 2.3040595         0   35   10   79   28   17
36  -5.197817e+03 2.0182843         0   36   10   79   28   17
39  -1.204202e+03 1.7024305         0   39   10   79   28   17
40  -7.969597e+02 0.9912261         0   40   10   79   28   17
41  -5.600638e+04 2.1051694         0   41   10   79   28   17
42  -6.217103e+02 0.7160033         0   42   10   79   28   17
43  -5.072812e+02 2.6386889         0   43   10   79   28   17
45  -3.235417e+03 1.5024271         0   45   10   79   28   17
46  -5.151041e+02 2.2866810         0   46   10   79   28   17
47  -1.869169e+02 1.8802418         0   47   10   79   28   17
49  -1.089161e+03 1.6551384         0   49   10   79   28   17
50  -8.000109e+02 1.5263393         0   50   10   79   28   17
51  -2.545756e+03 3.3837436         0   51   10   79   28   17
52  -4.831844e+02 1.3010300         0   52   10   79   28   17
53  -4.345844e+02 1.1613680         0   53   10   79   28   17
54  -7.501405e+02 2.1752218         0   54   10   79   28   17
55  -1.691681e+03 2.1664301         0   55   10   79   28   17
56  -4.359119e+03 1.3344538         0   56   10   79   28   17
58  -9.858170e+03 2.2913689         0   58   10   79   28   17
60  -2.026314e+03 1.6821451         0   60   10   79   28   17
61  -3.035640e+03 2.1142773         0   61   10   79   28   17
62  -1.816148e+03 1.3031961         0   62   10   79   28   17
63  -5.009780e+03 1.6963564         0   63   10   79   28   17
64  -2.661144e+03 1.7715875         0   64   10   79   28   17
65  -2.736303e+03 1.0374265         0   65   10   79   28   17
67  -2.195408e+03 1.9822712         0   67   10   79   28   17
69  -6.264496e+03 1.8382192         0   69   10   79   28   17
72  -3.980961e+02 2.3900515         0   72   10   79   28   17
74  -7.558772e+02 1.3483049         0   74   10   79   28   17
75  -1.226684e+03 1.1271048         0   75   10   79   28   17
76  -3.093517e+03 1.3710679         0   76   10   79   28   17
77  -2.951056e+04 0.9242793         0   77   10   79   28   17
79  -2.370605e+02 1.9365137         0   79   10   79   28   17
80  -9.187977e+02 0.8750613         0   80   10   79   28   17
81  -1.029919e+03 1.7795965         0   81   10   79   28   17
84  -7.021978e+03 3.1138431         0   84   10   79   28   17
86  -3.244957e+02 2.5627685         0   86   10   79   28   17
88  -2.142060e+03 1.5728716         0   88   10   79   28   17
89  -1.429794e+03 2.2671717         0   89   10   79   28   17
90  -1.612848e+03 1.1643529         0   90   10   79   28   17
91  -8.222969e+02 2.0195317         0   91   10   79   28   17
92  -2.110356e+03 2.6134189         0   92   10   79   28   17
93  -7.978885e+01 2.6740340         0   93   10   79   28   17
94  -9.131586e+01 1.5717088         0   94   10   79   28   17
95  -4.439852e+02 2.5880475         0   95   10   79   28   17
96  -1.382605e+03 1.9469433         0   96   10   79   28   17
97  -1.743737e+03 1.7299743         0   97   10   79   28   17
98  -1.008786e+04 1.6665180         0   98   10   79   28   17
101 -1.316740e+03 2.3109056         0  101   10   79   28   17
102 -2.095535e+03 2.1251558         0  102   10   79   28   17
103 -6.208266e+02 1.7923917         0  103   10   79   28   17
105 -9.204753e+02 2.5880475         0  105   10   79   28   17
108 -2.611077e+02 2.1711412         0  108   10   79   28   17
109 -7.124252e+02 2.3310222         0  109   10   79   28   17
110 -4.561928e+02 1.7291648         0  110   10   79   28   17
111 -1.318209e+03 2.0461048         0  111   10   79   28   17
113 -2.225408e+03 2.9119030         0  113   10   79   28   17
114 -8.502493e+02 1.6444386         0  114   10   79   28   17
115 -2.368335e+02 2.2516382         0  115   10   79   28   17
117 -7.165384e+02 1.9344985         0  117   10   79   28   17
119 -8.868844e+02 2.1945143         0  119   10   79   28   17
124 -5.845957e+02 2.3960249         0  124   10   79   28   17
126 -4.727055e+01 2.2695129         0  126   10   79   28   17
127 -2.235596e+03 1.7520484         0  127   10   79   28   17
128 -2.708635e+03 1.4456042         0  128   10   79   28   17
129 -2.991528e+03 1.9454686         0  129   10   79   28   17
131 -1.684571e+03 2.1664301         0  131   10   79   28   17
133 -1.274895e+03 2.4401216         0  133   10   79   28   17
134 -4.304505e+03 2.9914033         0  134   10   79   28   17
9    1.264691e+03 1.7581546         1    9    0  107    0   27
14   8.694287e+02 1.6812412         1   14    0  107    0   27
17   6.843321e+02 2.1525941         1   17    0  107    0   27
18   5.348502e+02 2.7629785         1   18    0  107    0   27
20   2.594002e+03 2.1251558         1   20    0  107    0   27
211  1.340344e+03 2.7383841         1   21    0  107    0   27
29   5.022472e+02 1.5327544         1   29    0  107    0   27
37   1.153685e+03 2.1664301         1   37    0  107    0   27
38   1.084788e+03 1.5728716         1   38    0  107    0   27
44   4.717445e+02 0.9777236         1   44    0  107    0   27
48   9.833184e+02 0.3010300         1   48    0  107    0   27
57   9.977441e+02 1.3856063         1   57    0  107    0   27
59   2.778776e+02 1.4548449         1   59    0  107    0   27
