# threshold = 2.22044604925031e-16
# Area under ROC curve = 0.937509549274255
# aggregate.tpos = 52
# aggregate.tneg = 118
# aggregate.fpos = 1
# aggregate.fneg = 3
# rocframe: 
      predicted    actual threshold fold tpos tneg fpos fneg
1   -199.154895 1.0374265         0    1   52  118    1    3
2   -143.553150 1.3541084         0    1   52  118    1    3
5   -141.885060 1.6599162         0    1   52  118    1    3
6   -233.461081 0.0000000         0    1   52  118    1    3
8   -115.129847 1.9329808         0    1   52  118    1    3
9   -137.863492 1.6170003         0    1   52  118    1    3
14    -6.940426 2.3577443         0    1   52  118    1    3
17   -40.465457 2.3829171         0    1   52  118    1    3
20   -96.253799 2.0969100         0    1   52  118    1    3
21   -55.134534 2.2871296         0    1   52  118    1    3
22   -71.591204 2.2866810         0    1   52  118    1    3
23  -182.573223 1.6464037         0    1   52  118    1    3
26  -175.496789 1.7024305         0    1   52  118    1    3
28   -16.399147 2.2362853         0    1   52  118    1    3
29  -128.935597 2.0195317         0    1   52  118    1    3
30   -52.791037 2.1195858         0    1   52  118    1    3
31  -230.359264 1.6954817         0    2   52  118    1    3
32  -262.583806 1.8847954         0    2   52  118    1    3
33  -103.752231 2.2227165         0    2   52  118    1    3
34  -178.302625 1.9344985         0    2   52  118    1    3
35  -277.267649 0.9344985         0    2   52  118    1    3
36  -173.808611 1.5440680         0    2   52  118    1    3
37  -164.664307 1.8898617         0    2   52  118    1    3
40   -36.374350 2.1878026         0    2   52  118    1    3
42  -213.643594 1.5843312         0    2   52  118    1    3
44  -208.154769 1.8680564         0    2   52  118    1    3
45  -228.987844 1.2068259         0    2   52  118    1    3
46  -224.689552 1.1172713         0    2   52  118    1    3
47  -217.201060 1.4927604         0    2   52  118    1    3
48  -227.909287 0.7075702         0    2   52  118    1    3
49  -278.324709 1.0374265         0    2   52  118    1    3
51  -177.373954 1.7307823         0    2   52  118    1    3
52  -140.654141 1.6374897         0    2   52  118    1    3
53  -100.811144 1.9934362         0    2   52  118    1    3
54  -124.925314 2.2227165         0    2   52  118    1    3
57  -249.358692 1.3201463         0    2   52  118    1    3
59  -184.551272 1.1903317         0    2   52  118    1    3
62    -7.537411 2.3398488         0    2   52  118    1    3
63  -150.150743 1.9503649         0    2   52  118    1    3
64   -54.092665 2.2360331         0    2   52  118    1    3
66   -19.067432 2.3040595         0    2   52  118    1    3
67  -142.024475 1.8680564         0    2   52  118    1    3
68   -12.582801 2.3516031         0    2   52  118    1    3
69  -130.950404 2.1760913         0    2   52  118    1    3
70   -60.214251 2.2237555         0    2   52  118    1    3
72  -324.089511 1.1903317         0    3   52  118    1    3
73  -424.741812 0.7708520         0    3   52  118    1    3
74  -175.085228 2.0153598         0    3   52  118    1    3
75  -315.990982 1.2380461         0    3   52  118    1    3
76  -345.938716 0.8692317         0    3   52  118    1    3
77  -275.020488 1.2253093         0    3   52  118    1    3
78  -297.307916 1.5263393         0    3   52  118    1    3
79  -337.302023 1.3636120         0    3   52  118    1    3
80   -92.606370 2.1628630         0    3   52  118    1    3
81  -341.535641 1.1986571         0    3   52  118    1    3
82  -282.520935 1.6020600         0    3   52  118    1    3
83   -51.252484 2.2367891         0    3   52  118    1    3
86  -188.953947 2.0166155         0    3   52  118    1    3
88  -225.341145 1.8215135         0    3   52  118    1    3
89  -110.381959 2.1051694         0    3   52  118    1    3
90  -349.698566 1.6720979         0    3   52  118    1    3
92  -288.932855 1.5276299         0    3   52  118    1    3
93  -178.780207 1.9818186         0    3   52  118    1    3
94  -237.039541 1.6551384         0    3   52  118    1    3
95  -312.420060 1.3856063         0    3   52  118    1    3
96  -193.703969 1.8299467         0    3   52  118    1    3
97  -254.211995 1.5611014         0    3   52  118    1    3
98  -266.810134 1.4393327         0    3   52  118    1    3
99  -285.497729 1.5658478         0    3   52  118    1    3
103 -334.149021 1.3031961         0    3   52  118    1    3
104 -169.414606 2.0870712         0    3   52  118    1    3
105 -141.059208 2.1878026         0    3   52  118    1    3
109 -126.233131 2.0795430         0    3   52  118    1    3
110 -246.869875 1.7505084         0    3   52  118    1    3
111 -222.075265 1.9571282         0    3   52  118    1    3
112 -102.062252 2.2237555         0    3   52  118    1    3
113 -233.701703 1.9464523         0    3   52  118    1    3
114 -351.136307 1.1522883         0    3   52  118    1    3
115 -193.397113 1.9722028         0    3   52  118    1    3
117  -94.844262 2.3147097         0    3   52  118    1    3
118 -357.810426 1.4785665         0    3   52  118    1    3
119 -180.929352 2.1580608         0    3   52  118    1    3
122 -213.644553 2.1000257         0    3   52  118    1    3
123 -215.496197 2.0831441         0    3   52  118    1    3
124 -252.730150 1.9703469         0    3   52  118    1    3
125 -207.159526 1.8898617         0    3   52  118    1    3
126 -310.301348 1.7291648         0    3   52  118    1    3
127 -306.783264 1.5831988         0    3   52  118    1    3
128 -190.764906 1.0791812         0    4   52  118    1    3
129  -12.069141 2.4637437         0    4   52  118    1    3
130  -81.579316 2.1316187         0    4   52  118    1    3
131 -167.178309 1.4082400         0    4   52  118    1    3
132 -109.347688 2.1495270         0    4   52  118    1    3
133  -32.522857 2.3769418         0    4   52  118    1    3
135 -177.974733 1.5502284         0    4   52  118    1    3
136 -157.219355 1.6954817         0    4   52  118    1    3
137 -183.196547 1.4593925         0    4   52  118    1    3
138  -19.575398 2.3398488         0    4   52  118    1    3
139 -142.574843 2.1553360         0    4   52  118    1    3
140 -183.851289 0.9242793         0    4   52  118    1    3
142 -105.778180 1.9929951         0    4   52  118    1    3
143 -140.722095 1.5943926         0    4   52  118    1    3
144 -222.736795 1.3031961         0    4   52  118    1    3
145 -223.375371 1.4031205         0    4   52  118    1    3
146 -217.377226 1.3909351         0    4   52  118    1    3
149 -153.185820 1.3926970         0    4   52  118    1    3
150 -164.798876 1.1522883         0    4   52  118    1    3
151 -154.045502 0.6127839         0    4   52  118    1    3
152 -165.193491 0.3010300         0    4   52  118    1    3
153 -156.276466 1.2329961         0    4   52  118    1    3
154 -156.723253 0.6127839         0    4   52  118    1    3
155 -196.655507 1.4345689         0    4   52  118    1    3
156 -141.925157 1.8419848         0    4   52  118    1    3
157 -178.345136 1.6954817         0    4   52  118    1    3
158 -189.700080 1.1643529         0    4   52  118    1    3
160  -10.407398 2.3516031         0    4   52  118    1    3
165  -73.224615 2.1580608         0    4   52  118    1    3
167 -134.449049 2.1126050         0    4   52  118    1    3
168 -125.753730 2.1251558         0    4   52  118    1    3
170  -16.008933 2.3310222         0    4   52  118    1    3
173  -53.228592 2.1580608         0    4   52  118    1    3
3    666.419034 3.0491792         1    1    0  119    0   55
4   1494.368264 3.3837436         1    1    0  119    0   55
7    197.468125 2.6887757         1    1    0  119    0   55
10    35.003111 2.4366396         1    1    0  119    0   55
11   107.649728 2.6386889         1    1    0  119    0   55
12  1114.731734 3.2387735         1    1    0  119    0   55
13  1524.439604 3.3837436         1    1    0  119    0   55
15  1528.047889 3.3837436         1    1    0  119    0   55
16  1168.014959 3.2980448         1    1    0  119    0   55
18    59.697706 2.5366847         1    1    0  119    0   55
19    59.127111 2.5880475         1    1    0  119    0   55
24     8.820742 2.4549972         1    1    0  119    0   55
25   591.771022 3.0491792         1    1    0  119    0   55
27  1554.064036 3.3837436         1    1    0  119    0   55
38   113.563432 2.5627685         1    2    0  119    0   55
39    19.900711 2.3308195         1    2    0  119    0   55
41   966.788955 3.0803739         1    2    0  119    0   55
43   234.617876 2.7136585         1    2    0  119    0   55
50  2198.775078 3.3837436         1    2    0  119    0   55
55   145.300531 2.5880475         1    2    0  119    0   55
56   485.393290 2.8615344         1    2    0  119    0   55
58   242.150444 2.6637951         1    2    0  119    0   55
60  2162.693106 3.3837436         1    2    0  119    0   55
61  1040.162275 3.1138431         1    2    0  119    0   55
65  2255.534946 3.3837436         1    2    0  119    0   55
71  2210.423336 3.3837436         1    2    0  119    0   55
84  1177.902935 3.0048371         1    3    0  119    0   55
85   926.596171 2.9189211         1    3    0  119    0   55
87   563.369491 2.7595168         1    3    0  119    0   55
91   774.816122 2.8615344         1    3    0  119    0   55
100 3316.799529 3.3837436         1    3    0  119    0   55
101 2684.533291 3.2980448         1    3    0  119    0   55
102  782.974027 2.8615344         1    3    0  119    0   55
106  929.090874 2.9119030         1    3    0  119    0   55
107 3296.484332 3.3837436         1    3    0  119    0   55
108  282.475066 2.6134189         1    3    0  119    0   55
116 3338.644876 3.3837436         1    3    0  119    0   55
120 3304.119665 3.3837436         1    3    0  119    0   55
121   78.910623 2.5125510         1    3    0  119    0   55
134  311.326987 2.8865471         1    4    0  119    0   55
141   41.377223 2.5161386         1    4    0  119    0   55
147 1504.707822 3.3837436         1    4    0  119    0   55
148  549.063777 3.0196147         1    4    0  119    0   55
159  113.786330 2.6386889         1    4    0  119    0   55
161  315.853140 2.8615344         1    4    0  119    0   55
162  105.180786 2.6134189         1    4    0  119    0   55
163 1509.026617 3.3837436         1    4    0  119    0   55
164  238.104692 2.7629785         1    4    0  119    0   55
166    1.156403 2.4401216         1    4    0  119    0   55
169   61.578107 2.5125510         1    4    0  119    0   55
171  138.496109 2.6386889         1    4    0  119    0   55
172   42.489590 2.4879863         1    4    0  119    0   55
174  103.697670 2.5627685         1    4    0  119    0   55
# predperf: 
  tpos tneg fpos fneg
1   14   15    0    1
2   11   29    1    0
3   13   43    0    0
4   14   31    0    2
