# Seed = 469
# Site = redarrow
# Method = galogistic-unweighted
# Area under ROC curve = 0.947440794499618
# aggregate.tpos = 53
# aggregate.tneg = 117
# aggregate.fpos = 2
# aggregate.fneg = 2
# variables: beach_EColiValue, WaterTemperature_Mean_72, CurrentDepthAveraged_Mean_72_par, CurrentSurface_Mean_24_perp
# thresholding specificity: 0
# decision threshold: 2.22044604925031e-16
# full results: 
      predicted    actual threshold fold tpos tneg fpos fneg
2   -417.086461 1.0374265         0    1   53  117    2    2
21  -439.811389 1.3541084         0    2   53  117    2    2
5   -309.426752 1.6599162         0    5   53  117    2    2
6   -493.478867 0.0000000         0    6   53  117    2    2
8   -317.822987 1.9329808         0    8   53  117    2    2
9   -412.761390 1.6170003         0    9   53  117    2    2
17    -7.690873 2.3829171         0   17   53  117    2    2
20  -234.694166 2.0969100         0   20   53  117    2    2
211  -16.187206 2.2871296         0   21   53  117    2    2
22   -81.648934 2.2866810         0   22   53  117    2    2
23  -295.408596 1.6464037         0   23   53  117    2    2
26  -297.171387 1.7024305         0   26   53  117    2    2
28   -84.500103 2.2362853         0   28   53  117    2    2
29  -209.373931 2.0195317         0   29   53  117    2    2
30  -210.516340 2.1195858         0   30   53  117    2    2
31  -411.494677 1.6954817         0   31   53  117    2    2
32  -358.276453 1.8847954         0   32   53  117    2    2
33  -109.693634 2.2227165         0   33   53  117    2    2
34  -270.103403 1.9344985         0   34   53  117    2    2
35  -490.860041 0.9344985         0   35   53  117    2    2
36  -426.270489 1.5440680         0   36   53  117    2    2
37  -284.904689 1.8898617         0   37   53  117    2    2
39   -24.343442 2.3308195         0   39   53  117    2    2
40  -132.947939 2.1878026         0   40   53  117    2    2
42  -335.722717 1.5843312         0   42   53  117    2    2
44  -336.600681 1.8680564         0   44   53  117    2    2
45  -354.979467 1.2068259         0   45   53  117    2    2
46  -372.694492 1.1172713         0   46   53  117    2    2
47  -437.209822 1.4927604         0   47   53  117    2    2
48  -573.914527 0.7075702         0   48   53  117    2    2
49  -478.364720 1.0374265         0   49   53  117    2    2
51  -323.966843 1.7307823         0   51   53  117    2    2
52  -392.993077 1.6374897         0   52   53  117    2    2
53  -246.626755 1.9934362         0   53   53  117    2    2
54  -129.138126 2.2227165         0   54   53  117    2    2
57  -398.638840 1.3201463         0   57   53  117    2    2
59  -407.259643 1.1903317         0   59   53  117    2    2
62   -32.072811 2.3398488         0   62   53  117    2    2
63  -278.612975 1.9503649         0   63   53  117    2    2
64  -131.676166 2.2360331         0   64   53  117    2    2
66   -63.209817 2.3040595         0   66   53  117    2    2
67  -316.983615 1.8680564         0   67   53  117    2    2
68   -38.643370 2.3516031         0   68   53  117    2    2
69  -176.427854 2.1760913         0   69   53  117    2    2
70  -151.092224 2.2237555         0   70   53  117    2    2
72  -384.522324 1.1903317         0   72   53  117    2    2
73  -405.801014 0.7708520         0   73   53  117    2    2
74  -277.263138 2.0153598         0   74   53  117    2    2
75  -459.265952 1.2380461         0   75   53  117    2    2
76  -512.995259 0.8692317         0   76   53  117    2    2
77  -550.380863 1.2253093         0   77   53  117    2    2
78  -381.936257 1.5263393         0   78   53  117    2    2
79  -402.355479 1.3636120         0   79   53  117    2    2
80  -182.598172 2.1628630         0   80   53  117    2    2
81  -456.300107 1.1986571         0   81   53  117    2    2
82  -383.777539 1.6020600         0   82   53  117    2    2
83  -139.372972 2.2367891         0   83   53  117    2    2
86  -272.696686 2.0166155         0   86   53  117    2    2
88  -309.427165 1.8215135         0   88   53  117    2    2
89  -269.476316 2.1051694         0   89   53  117    2    2
90  -354.538018 1.6720979         0   90   53  117    2    2
92  -427.982961 1.5276299         0   92   53  117    2    2
93  -297.471594 1.9818186         0   93   53  117    2    2
94  -407.471091 1.6551384         0   94   53  117    2    2
95  -475.781323 1.3856063         0   95   53  117    2    2
96  -333.763849 1.8299467         0   96   53  117    2    2
97  -505.946541 1.5611014         0   97   53  117    2    2
98  -453.033746 1.4393327         0   98   53  117    2    2
99  -419.148516 1.5658478         0   99   53  117    2    2
103 -460.591061 1.3031961         0  103   53  117    2    2
104 -228.457283 2.0870712         0  104   53  117    2    2
105 -162.653687 2.1878026         0  105   53  117    2    2
109 -237.978423 2.0795430         0  109   53  117    2    2
110 -357.517607 1.7505084         0  110   53  117    2    2
111 -315.919902 1.9571282         0  111   53  117    2    2
112 -130.680182 2.2237555         0  112   53  117    2    2
113 -322.874431 1.9464523         0  113   53  117    2    2
114 -418.243616 1.1522883         0  114   53  117    2    2
115 -271.406424 1.9722028         0  115   53  117    2    2
117  -38.442483 2.3147097         0  117   53  117    2    2
118 -363.627841 1.4785665         0  118   53  117    2    2
119 -183.733629 2.1580608         0  119   53  117    2    2
122 -192.241095 2.1000257         0  122   53  117    2    2
123 -215.428832 2.0831441         0  123   53  117    2    2
124 -302.844402 1.9703469         0  124   53  117    2    2
125 -302.914767 1.8898617         0  125   53  117    2    2
126 -376.692920 1.7291648         0  126   53  117    2    2
127 -408.916958 1.5831988         0  127   53  117    2    2
128 -390.753154 1.0791812         0  128   53  117    2    2
130 -171.383722 2.1316187         0  130   53  117    2    2
131 -530.758586 1.4082400         0  131   53  117    2    2
132 -162.928919 2.1495270         0  132   53  117    2    2
133  -16.989633 2.3769418         0  133   53  117    2    2
135 -422.191587 1.5502284         0  135   53  117    2    2
136 -331.378072 1.6954817         0  136   53  117    2    2
137 -371.358821 1.4593925         0  137   53  117    2    2
138  -37.821606 2.3398488         0  138   53  117    2    2
139 -198.145580 2.1553360         0  139   53  117    2    2
140 -486.981479 0.9242793         0  140   53  117    2    2
142 -235.427813 1.9929951         0  142   53  117    2    2
143 -344.449007 1.5943926         0  143   53  117    2    2
144 -451.035605 1.3031961         0  144   53  117    2    2
145 -455.330593 1.4031205         0  145   53  117    2    2
146 -436.038438 1.3909351         0  146   53  117    2    2
149 -472.290412 1.3926970         0  149   53  117    2    2
150 -456.897806 1.1522883         0  150   53  117    2    2
151 -514.778265 0.6127839         0  151   53  117    2    2
152 -414.895489 0.3010300         0  152   53  117    2    2
153 -478.513926 1.2329961         0  153   53  117    2    2
154 -501.989738 0.6127839         0  154   53  117    2    2
155 -400.816724 1.4345689         0  155   53  117    2    2
156 -323.828336 1.8419848         0  156   53  117    2    2
157 -360.537307 1.6954817         0  157   53  117    2    2
158 -482.439185 1.1643529         0  158   53  117    2    2
165 -200.307226 2.1580608         0  165   53  117    2    2
167 -268.777528 2.1126050         0  167   53  117    2    2
168 -224.730183 2.1251558         0  168   53  117    2    2
170  -53.035672 2.3310222         0  170   53  117    2    2
173 -196.771150 2.1580608         0  173   53  117    2    2
3   1638.158903 3.0491792         1    3    0  119    0   55
4   4043.796461 3.3837436         1    4    0  119    0   55
7    505.163386 2.6887757         1    7    0  119    0   55
10    79.052510 2.4366396         1   10    0  119    0   55
11   521.088506 2.6386889         1   11    0  119    0   55
12  3178.334886 3.2387735         1   12    0  119    0   55
13  5645.304875 3.3837436         1   13    0  119    0   55
14    19.297404 2.3577443         1   14    0  119    0   55
15  4058.117715 3.3837436         1   15    0  119    0   55
16  3812.779121 3.2980448         1   16    0  119    0   55
18   227.543029 2.5366847         1   18    0  119    0   55
19   331.962504 2.5880475         1   19    0  119    0   55
24   144.724020 2.4549972         1   24    0  119    0   55
25  2287.022274 3.0491792         1   25    0  119    0   55
27  4911.116831 3.3837436         1   27    0  119    0   55
38   385.166824 2.5627685         1   38    0  119    0   55
41  2105.946199 3.0803739         1   41    0  119    0   55
43   563.072454 2.7136585         1   43    0  119    0   55
50  4643.598938 3.3837436         1   50    0  119    0   55
55   330.802316 2.5880475         1   55    0  119    0   55
56   904.356856 2.8615344         1   56    0  119    0   55
58   414.667865 2.6637951         1   58    0  119    0   55
60  4734.829145 3.3837436         1   60    0  119    0   55
61  2320.052584 3.1138431         1   61    0  119    0   55
65  4025.932458 3.3837436         1   65    0  119    0   55
71  4009.991182 3.3837436         1   71    0  119    0   55
84  1404.860341 3.0048371         1   84    0  119    0   55
85  1356.655741 2.9189211         1   85    0  119    0   55
87   746.411889 2.7595168         1   87    0  119    0   55
91  1074.384968 2.8615344         1   91    0  119    0   55
100 4006.605407 3.3837436         1  100    0  119    0   55
101 3203.642904 3.2980448         1  101    0  119    0   55
102  876.277872 2.8615344         1  102    0  119    0   55
106 1243.309737 2.9119030         1  106    0  119    0   55
107 4685.767189 3.3837436         1  107    0  119    0   55
108  295.954357 2.6134189         1  108    0  119    0   55
116 4665.995723 3.3837436         1  116    0  119    0   55
120 4053.899185 3.3837436         1  120    0  119    0   55
121  180.965290 2.5125510         1  121    0  119    0   55
129  148.089685 2.4637437         1  129    0  119    0   55
134 1162.751959 2.8865471         1  134    0  119    0   55
141  188.440971 2.5161386         1  141    0  119    0   55
147 4683.791419 3.3837436         1  147    0  119    0   55
148 1887.898304 3.0196147         1  148    0  119    0   55
159  435.417054 2.6386889         1  159    0  119    0   55
160    4.677602 2.3516031         1  160    0  119    0   55
161  883.526376 2.8615344         1  161    0  119    0   55
162  383.628933 2.6134189         1  162    0  119    0   55
163 4011.026285 3.3837436         1  163    0  119    0   55
164  728.028556 2.7629785         1  164    0  119    0   55
166   98.623474 2.4401216         1  166    0  119    0   55
169  190.683516 2.5125510         1  169    0  119    0   55
171  332.128193 2.6386889         1  171    0  119    0   55
172   95.312688 2.4879863         1  172    0  119    0   55
174  201.061042 2.5627685         1  174    0  119    0   55
