# Seed = 392
# Site = thompson
# Method = galogistic-unweighted
# Area under ROC curve = 0.395348837209302
# aggregate.tpos = 0
# aggregate.tneg = 129
# aggregate.fpos = 0
# aggregate.fneg = 14
# variables: beach_WaterTemp, Wind_Mean_12_perp, Wind_Mean_2_par, Sqrt.Precipitation.over.upload.Thompson.Sum..12hr, Sqrt.Precipitation.over.upload.Thompson.Sum..24hr, log.beach_TurbidityBeach
# thresholding specificity: 1
# decision threshold: 1
# full results: 
       predicted    actual threshold fold tpos tneg fpos fneg
2   -4177.904984 1.5440680         0    1    6  119   10    8
21   -744.945831 0.3010300         0    2    6  119   10    8
3    -257.920740 2.5884958         0    3    6  119   10    8
4   -1301.457061 0.7160033         0    4    6  119   10    8
5   -1075.386268 2.5880475         0    5    6  119   10    8
6    -843.371527 2.0338257         0    6    6  119   10    8
7    -489.053054 1.0253059         0    7    6  119   10    8
8    -261.031757 2.0557605         0    8    6  119   10    8
9   -2246.688737 1.6314438         0    9    6  119   10    8
11   -189.667739 1.9818186         0   11    6  119   10    8
12  -1939.647699 1.2671717         0   12    6  119   10    8
13  -3927.617943 1.4132998         0   13    6  119   10    8
15   -261.704562 1.9947569         0   15    6  119   10    8
16   -680.389566 1.9329808         0   16    6  119   10    8
17   -667.548645 2.1316187         0   17    6  119   10    8
18  -1962.268499 1.4248816         0   18    6  119   10    8
19    -18.998123 0.3010300         0   19    6  119   10    8
20   -400.780440 0.0000000         0   20    6  119   10    8
22   -201.197952 1.0374265         0   22    6  119   10    8
23  -4069.736730 1.3483049         0   23    6  119   10    8
24   -506.884174 0.0000000         0   24    6  119   10    8
25  -1338.162144 0.9242793         0   25    6  119   10    8
26   -570.037191 0.0000000         0   26    6  119   10    8
27   -160.041919 0.4771213         0   27    6  119   10    8
28   -403.533868 2.0652061         0   28    6  119   10    8
30  -3217.739876 2.6637951         0   30    6  119   10    8
31  -1792.703868 1.9585639         0   31    6  119   10    8
32   -443.054745 0.7160033         0   32    6  119   10    8
33  -1301.734940 0.0000000         0   33    6  119   10    8
34   -250.280203 0.0000000         0   34    6  119   10    8
35    -29.654355 1.6138418         0   35    6  119   10    8
36   -387.932629 1.5263393         0   36    6  119   10    8
37   -168.166072 0.9294189         0   37    6  119   10    8
38  -1527.561949 0.0000000         0   38    6  119   10    8
39   -160.646492 1.0827854         0   39    6  119   10    8
41   -297.933654 1.4955443         0   41    6  119   10    8
42  -3177.671226 1.4456042         0   42    6  119   10    8
43    -99.413590 2.4637437         0   43    6  119   10    8
44   -176.099939 1.5717088         0   44    6  119   10    8
45   -727.871582 3.0196147         0   45    6  119   10    8
46    -33.829612 2.1433271         0   46    6  119   10    8
47   -315.456600 1.5327544         0   47    6  119   10    8
49  -1589.457591 1.1205739         0   49    6  119   10    8
50   -682.035646 1.2068259         0   50    6  119   10    8
51   -323.476625 0.3010300         0   51    6  119   10    8
52     -7.443935 2.8367670         0   52    6  119   10    8
53   -210.238295 1.7737864         0   53    6  119   10    8
54   -211.749091 1.7656686         0   54    6  119   10    8
57   -187.363729 2.1316187         0   57    6  119   10    8
59   -510.498579 0.9867717         0   59    6  119   10    8
60   -266.970240 0.4913617         0   60    6  119   10    8
61  -3161.244970 0.3010300         0   61    6  119   10    8
62   -184.649633 1.2430380         0   62    6  119   10    8
63  -1214.805863 0.9822712         0   63    6  119   10    8
64   -229.276408 1.2624511         0   64    6  119   10    8
65   -529.819428 1.3856063         0   65    6  119   10    8
66   -222.219463 0.9084850         0   66    6  119   10    8
67   -446.369892 1.2201081         0   67    6  119   10    8
68    -98.407525 2.2105860         0   68    6  119   10    8
70   -149.018210 1.6812412         0   70    6  119   10    8
71   -240.379278 0.7993405         0   71    6  119   10    8
72  -1646.094003 0.7160033         0   72    6  119   10    8
73   -373.623021 0.3010300         0   73    6  119   10    8
74   -321.974100 0.4913617         0   74    6  119   10    8
75  -1317.542962 0.9344985         0   75    6  119   10    8
76   -168.630786 1.8920946         0   76    6  119   10    8
77  -1879.308406 1.2041200         0   77    6  119   10    8
78   -885.596686 1.0413927         0   78    6  119   10    8
79    -95.177614 1.8000294         0   79    6  119   10    8
80   -235.324873 3.2387735         0   80    6  119   10    8
82   -433.240178 2.5375673         0   82    6  119   10    8
83   -524.239066 0.6127839         0   83    6  119   10    8
84   -611.899124 0.0000000         0   84    6  119   10    8
85   -180.862056 1.0827854         0   85    6  119   10    8
86   -376.118496 1.9818186         0   86    6  119   10    8
