# Seed = 985
# Site = kreher
# Method = galogistic-weighted
# Area under ROC curve = 0.424710424710425
# aggregate.tpos = 11
# aggregate.tneg = 90
# aggregate.fpos = 21
# aggregate.fneg = 10
# variables: Whittlesey_Discharge_Diff_6, Wind_Mean_2_perp, Wind_Mean_6_par, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Min_6
# thresholding specificity: 0
# decision threshold: 2.22044604925031e-16
# full results: 
        predicted    actual threshold fold tpos tneg fpos fneg
2   -3.920657e+03 0.6127839 0.0000000    1   11   90   21   10
3   -1.177580e+03 0.4913617 0.0000000    3   11   90   21   10
5   -1.713400e+03 1.2855573 0.0000000    5   11   90   21   10
8   -1.742055e+03 2.6386889 0.0000000    8   11   90   21   10
9   -1.230215e+02 2.0406023 0.0000000    9   11   90   21   10
11  -3.843886e+03 2.7136585 0.0000000   11   11   90   21   10
12  -5.957322e+02 0.9344985 0.0000000   12   11   90   21   10
13  -1.258165e+02 1.1303338 0.0000000   13   11   90   21   10
15  -2.929987e+03 1.1903317 0.0000000   15   11   90   21   10
16  -2.602652e+03 0.9242793 0.0000000   16   11   90   21   10
17  -1.237564e+02 1.7024305 0.0000000   17   11   90   21   10
18  -2.006551e+01 2.3040595 0.0000000   18   11   90   21   10
19  -1.437696e+03 1.9464523 0.0000000   19   11   90   21   10
20  -1.170651e+04 1.9698816 0.0000000   20   11   90   21   10
211 -2.709299e+02 0.7993405 0.0000000   21   11   90   21   10
24  -4.963226e+03 0.0000000 0.0000000   24   11   90   21   10
25  -1.746986e+03 0.0000000 0.0000000   25   11   90   21   10
26  -1.586535e+01 0.3010300 0.0000000   26   11   90   21   10
27  -2.756865e+03 0.7160033 0.0000000   27   11   90   21   10
28  -2.534640e+03 2.8615344 0.0000000   28   11   90   21   10
29  -7.433342e+02 3.3837436 0.0000000   29   11   90   21   10
32  -1.063163e+03 0.8750613 0.0000000   32   11   90   21   10
33  -1.841956e+03 1.2068259 0.0000000   33   11   90   21   10
34  -2.612235e+02 0.0000000 0.0000000   34   11   90   21   10
35  -2.556250e+03 1.0413927 0.0000000   35   11   90   21   10
36  -1.119075e+03 1.2329961 0.0000000   36   11   90   21   10
37  -1.321946e+03 0.6127839 0.0000000   37   11   90   21   10
38  -5.050710e+01 1.4842998 0.0000000   38   11   90   21   10
39  -6.010755e+02 2.1504494 0.0000000   39   11   90   21   10
40  -2.490809e+03 0.3010300 0.0000000   40   11   90   21   10
43  -1.326893e+03 0.7160033 0.0000000   43   11   90   21   10
44  -1.458026e+03 2.4879863 0.0000000   44   11   90   21   10
45  -2.857624e+03 2.2367891 0.0000000   45   11   90   21   10
46  -1.821699e+03 2.3529539 0.0000000   46   11   90   21   10
47  -2.652088e+02 2.5125510 0.0000000   47   11   90   21   10
48  -4.115432e+01 0.7993405 0.0000000   48   11   90   21   10
49  -1.568441e+03 1.6009729 0.0000000   49   11   90   21   10
50  -1.107959e+02 2.2370408 0.0000000   50   11   90   21   10
51  -5.827846e+02 1.5854607 0.0000000   51   11   90   21   10
53  -3.310008e+02 1.3926970 0.0000000   53   11   90   21   10
54  -1.040868e+02 1.4955443 0.0000000   54   11   90   21   10
57  -1.821822e+02 0.8692317 0.0000000   57   11   90   21   10
58  -2.618270e+03 0.7993405 0.0000000   58   11   90   21   10
59  -9.923989e+02 1.5658478 0.0000000   59   11   90   21   10
61  -5.765650e+03 1.0374265 0.0000000   61   11   90   21   10
62  -4.800146e+02 0.9912261 0.0000000   62   11   90   21   10
64  -9.956595e+02 0.6127839 0.0000000   64   11   90   21   10
65  -1.852867e+03 1.4393327 0.0000000   65   11   90   21   10
66  -1.983102e+03 2.8615344 0.0000000   66   11   90   21   10
68  -2.789566e+03 1.6106602 0.0000000   68   11   90   21   10
69  -5.656869e+03 1.9925535 0.0000000   69   11   90   21   10
70  -5.670846e+03 1.9956352 0.0000000   70   11   90   21   10
71  -1.869784e+03 0.8692317 0.0000000   71   11   90   21   10
72  -5.590341e+03 0.3010300 0.0000000   72   11   90   21   10
73  -2.506295e+03 0.0000000 0.0000000   73   11   90   21   10
74  -6.798055e+02 0.0000000 0.0000000   74   11   90   21   10
75  -9.200970e+02 1.1303338 0.0000000   75   11   90   21   10
77  -2.544566e+03 0.4771213 0.0000000   77   11   90   21   10
78  -7.508198e+02 0.3010300 0.0000000   78   11   90   21   10
79  -2.597324e+03 2.9377184 0.0000000   79   11   90   21   10
82  -1.090250e+03 1.9454686 0.0000000   82   11   90   21   10
83  -2.668223e+03 1.9454686 0.0000000   83   11   90   21   10
84  -1.691705e+03 1.5786392 0.0000000   84   11   90   21   10
85  -1.289013e+03 1.2944662 0.0000000   85   11   90   21   10
86  -1.286001e+03 1.1931246 0.0000000   86   11   90   21   10
87  -1.301495e+02 1.3283796 0.0000000   87   11   90   21   10
88  -9.813836e+02 2.2372923 0.0000000   88   11   90   21   10
89  -3.063278e+02 1.6009729 0.0000000   89   11   90   21   10
91  -4.492004e+02 2.2636361 0.0000000   91   11   90   21   10
92  -1.048310e+03 2.0744507 0.0000000   92   11   90   21   10
93  -1.500614e+03 1.9079485 0.0000000   93   11   90   21   10
94  -9.415152e+03 1.8000294 0.0000000   94   11   90   21   10
95  -3.551993e+02 2.0744507 0.0000000   95   11   90   21   10
97  -6.768564e+02 2.4549972 0.0000000   97   11   90   21   10
99  -2.258242e+02 1.8000294 0.0000000   99   11   90   21   10
100 -2.919568e+02 1.2944662 0.0000000  100   11   90   21   10
102 -6.902543e+02 2.1804126 0.0000000  102   11   90   21   10
103 -2.620686e+01 2.0182843 0.0000000  103   11   90   21   10
104 -1.060299e+03 2.1804126 0.0000000  104   11   90   21   10
106 -1.044509e+03 1.3979400 0.0000000  106   11   90   21   10
107 -8.441607e+02 0.4913617 0.0000000  107   11   90   21   10
109 -1.813270e+03 1.5198280 0.0000000  109   11   90   21   10
111 -1.151633e+03 0.7160033 0.0000000  111   11   90   21   10
112 -1.026356e+05 0.7993405 0.0000000  112   11   90   21   10
113 -1.370407e+03 1.5378191 0.0000000  113   11   90   21   10
115 -7.276842e+02 1.5092025 0.0000000  115   11   90   21   10
116 -1.871757e+02 1.2278867 0.0000000  116   11   90   21   10
117 -4.032458e+02 0.7993405 0.0000000  117   11   90   21   10
118 -4.251188e+02 1.4842998 0.0000000  118   11   90   21   10
119 -5.358091e+02 0.3010300 0.0000000  119   11   90   21   10
120 -1.186741e+02 1.3909351 0.0000000  120   11   90   21   10
121 -1.085550e+04 0.9294189 0.0000000  121   11   90   21   10
122 -4.185687e+02 2.5627685 0.0000000  122   11   90   21   10
123 -1.134326e+03 1.6294096 0.0000000  123   11   90   21   10
124 -1.588239e+03 1.4548449 0.0000000  124   11   90   21   10
127 -1.895050e+03 1.8970770 0.0000000  127   11   90   21   10
128 -1.133631e+02 1.8998205 0.0000000  128   11   90   21   10
129 -3.596601e+03 1.3636120 0.0000000  129   11   90   21   10
130 -1.024222e+03 1.2068259 0.0000000  130   11   90   21   10
