# Seed = 722
# Site = neshotah
# Method = pls
# Area under ROC curve = 0.707046332046332
# aggregate.tpos = 7
# aggregate.tneg = 131
# aggregate.fpos = 17
# aggregate.fneg = 7
# variables: beach_WaterTemp, beach_AirTemp, beach_LakeshoreCurrVel, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, Kewaunee_Discharge_Diff_6, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.neshtah.Sum..1hr, Sqrt.Precipitation.over.upload.neshtah.Sum..2hr, Sqrt.Precipitation.over.upload.neshtah.Sum..6hr, Sqrt.Precipitation.over.upload.neshtah.Sum..12hr, Sqrt.Precipitation.over.upload.neshtah.Sum..24hr, Sqrt.Precipitation.over.upload.neshtah.Sum..48hr, Sqrt.Precipitation.over.upload.neshtah.Sum..72hr, Sqrt.Precipitation.over.upload.neshtah.Sum..120hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..1hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..2hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..6hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..12hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..24hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..48hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..72hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, log.Kewaunee_Discharge_Mean_1, log.Kewaunee_Discharge_Mean_2, log.Kewaunee_Discharge_Mean_6, log.Kewaunee_Discharge_Mean_12, log.Kewaunee_Discharge_Mean_24, log.Kewaunee_Discharge_Mean_48, log.Kewaunee_Discharge_Mean_72, log.Kewaunee_Discharge_Mean_120, log.Kewaunee_Discharge_Min_1, log.Kewaunee_Discharge_Min_2, log.Kewaunee_Discharge_Min_6, log.Kewaunee_Discharge_Min_12, log.Kewaunee_Discharge_Min_24, log.Kewaunee_Discharge_Min_48, log.Kewaunee_Discharge_Min_72, log.Kewaunee_Discharge_Min_120, log.Kewaunee_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.897959183673469
# decision threshold: 1.5972979481337
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
50  1.3694236 1.0755470 0.000000000   50   14    1  147    0
44  1.3771110 0.7160033 0.006802721   44   14    2  146    0
37  0.8283847 2.0437551 0.013605442   37   14    3  145    0
91  1.3824224 0.9344985 0.020408163   91   14    5  143    0
100 1.0249248 1.2944662 0.020408163  100   14    5  143    0
57  1.3856137 0.7075702 0.027210884   57   14    6  142    0
39  1.3833627 1.2041200 0.034013605   39   14    7  141    0
66  1.1099013 1.4440448 0.040816327   66   14    8  140    0
62  1.3805146 1.7355989 0.047619048   62   14    9  139    0
64  1.1572933 0.9867717 0.054421769   64   14   11  137    0
144 1.3892499 0.8750613 0.054421769  144   14   11  137    0
83  1.3885195 0.9777236 0.061224490   83   14   12  136    0
131 1.3865290 1.2041200 0.068027211  131   14   13  135    0
130 1.3739124 2.6637951 0.074324324  130   13   13  135    1
125 1.3868318 1.3909351 0.074829932  125   13   14  134    1
110 1.2442819 1.4593925 0.081632653  110   13   15  133    1
52  1.3967785 0.4771213 0.088435374   52   13   16  132    1
2   1.3871174 1.6170003 0.095238095    1   13   17  131    1
26  1.3930251 1.1271048 0.102040816   26   13   19  129    1
107 1.3093295 0.9867717 0.102040816  107   13   19  129    1
12  1.3895240 1.9947569 0.108843537   12   13   20  128    1
78  1.4061832 0.3010300 0.122448980   78   13   21  127    1
82  1.3986974 1.5378191 0.129251701   82   13   23  125    1
89  1.3141183 2.2159018 0.129251701   89   13   23  125    1
75  1.4045772 0.9242793 0.136054422   75   13   24  124    1
17  1.3296677 1.6730209 0.142857143   17   13   25  123    1
122 1.4140026 0.0000000 0.149659864  122   13   26  122    1
36  1.3243998 2.7875313 0.155405405   36   12   26  122    2
140 1.4021758 1.4393327 0.156462585  140   12   27  121    2
73  1.4022206 1.4593925 0.163265306   73   12   28  120    2
69  1.4031329 1.3891661 0.176870748   69   12   30  118    2
71  1.3545088 1.6063814 0.176870748   71   12   30  118    2
77  1.4070177 1.0334238 0.183673469   77   12   31  117    2
76  1.4088471 0.8692317 0.197278912   76   12   33  115    2
98  1.3994581 1.9355073 0.197278912   98   12   33  115    2
79  1.4176479 0.0000000 0.217687075   79   12   35  113    2
106 1.4134496 0.6127839 0.217687075  106   12   35  113    2
70  1.4061857 1.5145478 0.224489796   70   12   36  112    2
74  1.4097526 1.2900346 0.231292517   74   12   37  111    2
85  1.4141334 0.7993405 0.238095238   85   12   38  110    2
84  1.4057880 1.9319661 0.244897959   84   12   39  109    2
68  1.4079629 1.7505084 0.258503401   68   12   40  108    2
96  1.4019212 1.5809250 0.265306122   96   12   41  107    2
21  1.4146228 1.2671717 0.272108844    2   12   43  105    2
80  1.4067563 2.1139434 0.272108844   80   12   43  105    2
94  1.4124088 1.6599162 0.278911565   94   12   44  104    2
120 1.4136616 1.5211381 0.285714286  120   12   45  103    2
56  1.4106797 1.8175654 0.299319728   56   12   47  101    2
87  1.4183818 1.2430380 0.299319728   87   12   47  101    2
8   1.4252513 0.6127839 0.306122449    8   12   48  100    2
86  1.4225956 1.0791812 0.312925170   86   12   49   99    2
92  1.4236651 0.9822712 0.319727891   92   12   50   98    2
24  1.4146065 1.8469553 0.326530612   24   12   52   96    2
136 1.4235739 1.0334238 0.326530612  136   12   52   96    2
135 1.4270370 0.6127839 0.333333333  135   12   53   95    2
99  1.4136299 2.3529539 0.340136054   99   12   54   94    2
93  1.4229012 1.1986571 0.346938776   93   12   55   93    2
101 1.4257849 1.3820170 0.360544218  101   12   56   92    2
95  1.4244752 1.5550944 0.367346939   95   12   57   91    2
161 1.4242779 1.8920946 0.374149660  161   12   58   90    2
133 1.4161437 3.2980448 0.378378378  133   11   58   90    3
97  1.4344142 1.4297523 0.380952381   97   11   60   88    3
112 1.4284227 2.1598678 0.380952381  112   11   60   88    3
118 1.4405995 0.8633229 0.401360544  118   11   62   86    3
139 1.4325925 1.9474337 0.401360544  139   11   62   86    3
72  1.4424654 0.7160033 0.408163265   72   11   63   85    3
90  1.4378268 1.4756712 0.421768707   90   11   64   84    3
121 1.4370249 1.7693773 0.435374150  121   11   65   83    3
5   1.4408859 1.5378191 0.455782313    5   11   67   81    3
126 1.4476905 0.6127839 0.455782313  126   11   67   81    3
22  1.4480857 1.8088859 0.462585034   22   11   69   79    3
143 1.4444584 1.0863598 0.462585034  143   11   69   79    3
16  1.4406354 1.6201361 0.469387755   16   11   70   78    3
10  1.4372125 2.2652896 0.476190476   10   11   71   77    3
152 1.4403798 1.8432328 0.489795918  152   11   72   76    3
19  1.4442262 1.3856063 0.510204082   19   11   74   74    3
151 1.4663006 0.3010300 0.510204082  151   11   74   74    3
117 1.4466214 1.0791812 0.517006803  117   11   75   73    3
105 1.4413781 1.9169800 0.523809524  105   11   76   72    3
42  1.4540071 0.7923917 0.537414966   42   11   78   70    3
162 1.4488375 1.3944517 0.537414966  162   11   78   70    3
103 1.4522891 1.4345689 0.544217687  103   11   79   69    3
6   1.4499577 1.9036325 0.551020408    6   11   80   68    3
9   1.4712770 1.7846173 0.557823129    9   11   82   66    3
137 1.4513116 1.7092700 0.557823129  137   11   82   66    3
102 1.4454237 2.9377184 0.560810811  102   10   82   66    4
3   1.4603851 1.1398791 0.564625850    3   10   83   65    4
108 1.4633398 1.1702617 0.571428571  108   10   85   63    4
115 1.4896326 1.0863598 0.571428571  115   10   85   63    4
41  1.4699417 1.1643529 0.578231293   41   10   86   62    4
31  1.4944380 0.0000000 0.585034014   31   10   88   60    4
81  1.4889932 1.5145478 0.585034014   81   10   88   60    4
4   1.4654975 2.0759118 0.591836735    4   10   89   59    4
129 1.4655700 2.1711412 0.598639456  129   10   90   58    4
67  1.4725688 1.1335389 0.605442177   67   10   91   57    4
7   1.4733167 1.0374265 0.612244898    7   10   92   56    4
134 1.4745490 1.6106602 0.619047619  134   10   93   55    4
111 1.4830239 1.5378191 0.625850340  111   10   94   54    4
104 1.5008028 1.1643529 0.632653061  104   10   96   52    4
149 1.4917313 0.7923917 0.632653061  149   10   96   52    4
160 1.4862759 2.9377184 0.635135135  160    9   96   52    5
25  1.5002539 1.2329961 0.639455782   25    9   98   50    5
116 1.4823629 2.3529539 0.639455782  116    9   98   50    5
28  1.4958359 1.4456042 0.653061224   28    9   99   49    5
46  1.5011395 0.7993405 0.659863946   46    9  100   48    5
59  1.4960307 1.6444386 0.666666667   59    9  101   47    5
29  1.5027517 0.6127839 0.680272109   29    9  103   45    5
157 1.4949012 1.8773713 0.680272109  157    9  103   45    5
11  1.4954145 1.8680564 0.693877551   11    9  104   44    5
43  1.5030394 0.7993405 0.700680272   43    9  105   43    5
88  1.5023427 0.9542425 0.707482993   88    9  106   42    5
158 1.4989957 1.5211381 0.714285714  158    9  107   41    5
128 1.4972810 1.8175654 0.721088435  128    9  108   40    5
156 1.4958363 2.0744507 0.727891156  156    9  109   39    5
155 1.4909455 2.9377184 0.729729730  155    8  109   39    6
109 1.5129951 0.0000000 0.741496599  109    8  110   38    6
114 1.5049713 1.5440680 0.748299320  114    8  111   37    6
124 1.5102322 1.2329961 0.755102041  124    8  112   36    6
138 1.5156758 0.4771213 0.761904762  138    8  113   35    6
30  1.5300606 0.7075702 0.775510204   30    8  114   34    6
23  1.5363783 0.0000000 0.782312925   23    8  115   33    6
145 1.5285391 1.2278867 0.789115646  145    8  116   32    6
13  1.5275350 1.4232459 0.795918367   13    8  117   31    6
123 1.5517768 1.5550944 0.802721088  123    8  118   30    6
45  1.5513345 1.6384893 0.809523810   45    8  119   29    6
153 1.5556096 1.2329961 0.823129252  153    8  120   28    6
40  1.5537621 1.5105450 0.829931973   40    8  121   27    6
60  1.5543622 1.4593925 0.843537415   60    8  123   25    6
127 1.5574387 1.0334238 0.843537415  127    8  123   25    6
132 1.5493952 2.2195845 0.850340136  132    8  124   24    6
49  1.5537040 1.7226339 0.857142857   49    8  125   23    6
150 1.5456730 2.8865471 0.858108108  150    7  125   23    7
18  1.5514494 2.1126050 0.863945578   18    7  126   22    7
20  1.5520162 2.0413927 0.870748299   20    7  127   21    7
159 1.5549689 1.6532125 0.877551020  159    7  128   20    7
211 1.5531456 1.9484130 0.884353741   21    7  129   19    7
15  1.5571969 1.3820170 0.891156463   15    7  130   18    7
27  1.5945234 1.9057959 0.897959184   27    7  131   17    7
154 1.5981243 3.3837436 0.898648649  154    6  131   17    8
148 1.6633398 2.0195317 0.904761905  148    6  132   16    8
32  1.6531637 2.8367670 0.905405405   32    4  132   16   10
38  1.6589428 2.4549972 0.905405405   38    4  132   16   10
54  1.7127916 0.4913617 0.911564626   54    4  133   15   10
35  1.7161089 2.0726175 0.918367347   35    4  134   14   10
33  1.7528970 1.2988531 0.925170068   33    4  136   12   10
146 1.7337611 1.2278867 0.925170068  146    4  136   12   10
14  1.7670832 1.1613680 0.931972789   14    4  138   10   10
142 1.7526743 1.5092025 0.931972789  142    4  138   10   10
51  1.7158265 2.1711412 0.938775510   51    4  139    9   10
34  1.7752379 3.1138431 0.939189189   34    3  139    9   11
141 1.6949930 3.2980448 0.945945946  141    1  139    9   13
147 1.7137057 2.3727279 0.945945946  147    1  139    9   13
65  1.7904861 1.3483049 0.952380952   65    1  140    8   13
61  1.8369906 1.7795965 0.959183673   61    1  141    7   13
53  1.9763982 1.4785665 0.965986395   53    1  143    5   13
119 2.0095624 0.8512583 0.965986395  119    1  143    5   13
48  1.9267440 2.3232521 0.972789116   48    1  144    4   13
55  1.8876077 2.9914033 0.972972973   55    0  144    4   14
47  1.9540536 1.8920946 0.979591837   47    0  145    3   14
58  2.0040465 1.0791812 0.986394558   58    0  146    2   14
63  2.8048238 1.7737864 1.000000000   63    0  148    0   14
113 2.8450274 2.1126050 1.000000000  113    0  148    0   14
