# threshold = 0.999938841393469
# Area under ROC curve = 0.152301834544825
# aggregate.tpos = 5
# aggregate.tneg = 88
# aggregate.fpos = 19
# aggregate.fneg = 22
# rocframe: 
      predicted    actual threshold fold tpos tneg fpos fneg
1    -1.7197569 1.0755470 0.0000000    1    5   85   22   22
2    -5.6155752 1.3856063 0.0000000    1    5   85   22   22
4    -3.8864697 2.9914033 0.0000000    1    5   85   22   22
5    -7.2861470 0.9344985 0.0000000    1    5   85   22   22
7    -1.5101878 2.0318123 0.0000000    1    5   85   22   22
8    -4.4504667 1.5611014 0.0000000    1    5   85   22   22
10   -5.9781274 0.7993405 0.0000000    1    5   85   22   22
11   -5.4514666 1.6954817 0.0000000    1    5   85   22   22
12   -2.2282192 1.8344207 0.0000000    1    5   85   22   22
13   -7.6044455 1.4456042 0.0000000    1    5   85   22   22
14   -2.0602808 1.6812412 0.0000000    1    5   85   22   22
15   -5.4555592 1.4785665 0.0000000    1    5   85   22   22
18   -2.0848716 2.7629785 0.0000000    1    5   85   22   22
20   -0.3167273 2.1251558 0.0000000    1    5   85   22   22
24   -4.5795273 3.3837436 0.0000000    2    5   85   22   22
25   -7.6439772 2.0338257 0.0000000    2    5   85   22   22
26   -1.9983734 1.7767012 0.0000000    2    5   85   22   22
27   -5.6142349 2.0318123 0.0000000    2    5   85   22   22
28   -6.7710372 1.7566361 0.0000000    2    5   85   22   22
30   -9.0710753 0.6127839 0.0000000    2    5   85   22   22
31   -7.3248386 1.1303338 0.0000000    2    5   85   22   22
32   -5.7028416 1.2576786 0.0000000    2    5   85   22   22
33   -5.1615316 1.5899496 0.0000000    2    5   85   22   22
38   -4.8213953 1.5728716 0.0000000    2    5   85   22   22
39   -1.3761476 1.7024305 0.0000000    2    5   85   22   22
40   -5.8289983 0.9912261 0.0000000    2    5   85   22   22
41   -5.2753851 2.1051694 0.0000000    2    5   85   22   22
42   -6.6091856 0.7160033 0.0000000    2    5   85   22   22
43   -7.0731369 2.6386889 0.0000000    2    5   85   22   22
44   -5.2087086 0.9777236 0.0000000    2    5   85   22   22
45   -6.2956945 1.5024271 0.0000000    2    5   85   22   22
46   -6.5894032 2.2866810 0.0000000    2    5   85   22   22
47   -3.3640949 1.8802418 0.0000000    2    5   85   22   22
49   -3.5586761 1.6551384 0.0000000    2    5   85   22   22
50   -4.3418509 1.5263393 0.0000000    2    5   85   22   22
51   -1.0592676 3.3837436 0.0000000    2    5   85   22   22
52   -5.5259969 1.3010300 0.0000000    2    5   85   22   22
53   -5.3948310 1.1613680 0.0000000    2    5   85   22   22
55   -1.6315516 2.1664301 0.0000000    2    5   85   22   22
56   -1.3406989 1.3344538 0.0000000    2    5   85   22   22
57   -4.7675962 1.3856063 0.0000000    2    5   85   22   22
62   -3.7278707 1.3031961 0.0000000    2    5   85   22   22
63   -3.8904286 1.6963564 0.0000000    2    5   85   22   22
64   -1.4223745 1.7715875 0.0000000    2    5   85   22   22
65   -2.7662273 1.0374265 0.0000000    2    5   85   22   22
66   -3.5498034 2.0195317 0.0000000    2    5   85   22   22
67   -0.2019378 1.9822712 0.0000000    2    5   85   22   22
69   -4.4420736 1.8382192 0.0000000    2    5   85   22   22
73   -0.5264165 2.4879863 0.0000000    3    5   85   22   22
74  -17.5548862 1.3483049 0.0000000    3    5   85   22   22
75  -20.7372953 1.1271048 0.0000000    3    5   85   22   22
76  -11.9263319 1.3710679 0.0000000    3    5   85   22   22
77  -11.1054611 0.9242793 0.0000000    3    5   85   22   22
78   -4.4303368 1.1205739 0.0000000    3    5   85   22   22
79  -23.2680503 1.9365137 0.0000000    3    5   85   22   22
80   -5.3864433 0.8750613 0.0000000    3    5   85   22   22
81  -11.8417661 1.7795965 0.0000000    3    5   85   22   22
82   -9.4655248 2.2652896 0.0000000    3    5   85   22   22
86  -21.5234268 2.5627685 0.0000000    3    5   85   22   22
87  -14.5515977 2.1711412 0.0000000    3    5   85   22   22
88  -10.0223150 1.5728716 0.0000000    3    5   85   22   22
89  -35.9571489 2.2671717 0.0000000    3    5   85   22   22
90   -5.0851058 1.1643529 0.0000000    3    5   85   22   22
91  -23.2139989 2.0195317 0.0000000    3    5   85   22   22
92  -22.9294470 2.6134189 0.0000000    3    5   85   22   22
93  -25.8717542 2.6740340 0.0000000    3    5   85   22   22
94  -27.3901298 1.5717088 0.0000000    3    5   85   22   22
95  -22.6745719 2.5880475 0.0000000    3    5   85   22   22
96  -30.1394875 1.9469433 0.0000000    3    5   85   22   22
97   -1.6070815 1.7299743 0.0000000    3    5   85   22   22
98  -19.1083761 1.6665180 0.0000000    3    5   85   22   22
99   -3.9552971 3.2387735 0.0000000    3    5   85   22   22
100 -13.3499104 2.2367891 0.0000000    3    5   85   22   22
101 -31.3544218 2.3109056 0.0000000    3    5   85   22   22
102 -46.2239729 2.1251558 0.0000000    3    5   85   22   22
103  -6.7330085 1.7923917 0.0000000    3    5   85   22   22
104 -20.3037723 2.3040595 0.0000000    3    5   85   22   22
105 -29.9451793 2.5880475 0.0000000    3    5   85   22   22
106 -23.1735093 2.9914033 0.0000000    3    5   85   22   22
107  -6.3742608 1.9947569 0.0000000    3    5   85   22   22
108 -13.1188015 2.1711412 0.0000000    3    5   85   22   22
109 -12.0183457 2.3310222 0.0000000    3    5   85   22   22
110  -7.5439090 1.7291648 0.0000000    3    5   85   22   22
111 -14.5944362 2.0461048 0.0000000    3    5   85   22   22
112 -25.6978916 0.3010300 0.0000000    3    5   85   22   22
113 -31.1061040 2.9119030 0.0000000    3    5   85   22   22
