# threshold = 2.22044604925031e-16
# Area under ROC curve = 0.981818181818182
# aggregate.tpos = 54
# aggregate.tneg = 118
# aggregate.fpos = 1
# aggregate.fneg = 1
# rocframe: 
       predicted    actual threshold fold tpos tneg fpos fneg
1   -370.2785280 1.0374265 0.0000000    1   54  118    1    1
2   -330.2367683 1.3541084 0.0000000    1   54  118    1    1
5   -320.2369810 1.6599162 0.0000000    1   54  118    1    1
6   -378.9549482 0.0000000 0.0000000    1   54  118    1    1
8   -236.5027473 1.9329808 0.0000000    1   54  118    1    1
9   -325.2058644 1.6170003 0.0000000    1   54  118    1    1
14   -28.6147366 2.3577443 0.0000000    1   54  118    1    1
20  -168.4357489 2.0969100 0.0000000    1   54  118    1    1
21   -77.2286046 2.2871296 0.0000000    1   54  118    1    1
22   -69.2450736 2.2866810 0.0000000    1   54  118    1    1
23  -306.6171985 1.6464037 0.0000000    1   54  118    1    1
26  -309.3429841 1.7024305 0.0000000    1   54  118    1    1
28   -96.5849109 2.2362853 0.0000000    1   54  118    1    1
29  -215.9845517 2.0195317 0.0000000    1   54  118    1    1
30  -169.5721618 2.1195858 0.0000000    1   54  118    1    1
31  -285.4894695 1.6954817 0.0000000    2   54  118    1    1
32  -253.2149441 1.8847954 0.0000000    2   54  118    1    1
33   -84.9002949 2.2227165 0.0000000    2   54  118    1    1
34  -232.5388147 1.9344985 0.0000000    2   54  118    1    1
35  -362.9125689 0.9344985 0.0000000    2   54  118    1    1
36  -339.3355286 1.5440680 0.0000000    2   54  118    1    1
37  -258.6307596 1.8898617 0.0000000    2   54  118    1    1
39   -22.6979093 2.3308195 0.0000000    2   54  118    1    1
40  -121.3906190 2.1878026 0.0000000    2   54  118    1    1
42  -354.1864425 1.5843312 0.0000000    2   54  118    1    1
44  -256.1042291 1.8680564 0.0000000    2   54  118    1    1
45  -370.7069546 1.2068259 0.0000000    2   54  118    1    1
46  -354.1888833 1.1172713 0.0000000    2   54  118    1    1
47  -351.4280416 1.4927604 0.0000000    2   54  118    1    1
48  -365.5852321 0.7075702 0.0000000    2   54  118    1    1
49  -361.8522289 1.0374265 0.0000000    2   54  118    1    1
51  -309.3516331 1.7307823 0.0000000    2   54  118    1    1
52  -301.3519320 1.6374897 0.0000000    2   54  118    1    1
53  -192.0461126 1.9934362 0.0000000    2   54  118    1    1
54   -94.5018027 2.2227165 0.0000000    2   54  118    1    1
57  -333.8369785 1.3201463 0.0000000    2   54  118    1    1
59  -359.2336431 1.1903317 0.0000000    2   54  118    1    1
62   -16.0465911 2.3398488 0.0000000    2   54  118    1    1
63  -216.8466037 1.9503649 0.0000000    2   54  118    1    1
64   -92.4766493 2.2360331 0.0000000    2   54  118    1    1
66  -104.1068203 2.3040595 0.0000000    2   54  118    1    1
67  -286.4376621 1.8680564 0.0000000    2   54  118    1    1
68   -19.4026455 2.3516031 0.0000000    2   54  118    1    1
69  -134.7322914 2.1760913 0.0000000    2   54  118    1    1
70  -109.1226006 2.2237555 0.0000000    2   54  118    1    1
72  -129.2322330 1.1903317 0.0000000    3   54  118    1    1
73  -129.1420249 0.7708520 0.0000000    3   54  118    1    1
74   -51.4106363 2.0153598 0.0000000    3   54  118    1    1
75  -100.2489943 1.2380461 0.0000000    3   54  118    1    1
76  -146.4828985 0.8692317 0.0000000    3   54  118    1    1
77  -136.7398300 1.2253093 0.0000000    3   54  118    1    1
78  -126.6041620 1.5263393 0.0000000    3   54  118    1    1
79  -134.0963835 1.3636120 0.0000000    3   54  118    1    1
80   -49.2253515 2.1628630 0.0000000    3   54  118    1    1
81  -132.6873945 1.1986571 0.0000000    3   54  118    1    1
82  -116.4892076 1.6020600 0.0000000    3   54  118    1    1
83   -11.3966521 2.2367891 0.0000000    3   54  118    1    1
86   -89.3867424 2.0166155 0.0000000    3   54  118    1    1
88  -103.5408051 1.8215135 0.0000000    3   54  118    1    1
89   -63.2867805 2.1051694 0.0000000    3   54  118    1    1
90  -142.2213886 1.6720979 0.0000000    3   54  118    1    1
92  -141.2377386 1.5276299 0.0000000    3   54  118    1    1
93  -154.6616615 1.9818186 0.0000000    3   54  118    1    1
