# Seed = 469
# Site = redarrow
# Method = galogistic-weighted
# Area under ROC curve = 0.955538579067991
# aggregate.tpos = 53
# aggregate.tneg = 118
# aggregate.fpos = 1
# aggregate.fneg = 2
# variables: beach_EColiValue, AirTemperature_StDev_48, log.Manitowoc_Discharge_Mean_120
# thresholding specificity: 0
# decision threshold: 2.22044604925031e-16
# full results: 
      predicted    actual threshold fold tpos tneg fpos fneg
2   -417.086461 1.0374265         0    1   53  118    1    2
21  -389.261359 1.3541084         0    2   53  118    1    2
5   -309.426752 1.6599162         0    5   53  118    1    2
6   -393.329214 0.0000000         0    6   53  118    1    2
8   -310.370990 1.9329808         0    8   53  118    1    2
9   -425.581232 1.6170003         0    9   53  118    1    2
17    -7.930558 2.3829171         0   17   53  118    1    2
20  -240.417543 2.0969100         0   20   53  118    1    2
211  -90.100939 2.2871296         0   21   53  118    1    2
22   -81.321769 2.2866810         0   22   53  118    1    2
23  -400.832250 1.6464037         0   23   53  118    1    2
26  -412.075841 1.7024305         0   26   53  118    1    2
28  -156.574306 2.2362853         0   28   53  118    1    2
29  -277.905342 2.0195317         0   29   53  118    1    2
30  -210.516340 2.1195858         0   30   53  118    1    2
31  -411.494677 1.6954817         0   31   53  118    1    2
32  -267.710666 1.8847954         0   32   53  118    1    2
33  -151.793110 2.2227165         0   33   53  118    1    2
34  -270.103403 1.9344985         0   34   53  118    1    2
35  -490.860041 0.9344985         0   35   53  118    1    2
36  -426.270489 1.5440680         0   36   53  118    1    2
37  -404.078852 1.8898617         0   37   53  118    1    2
39   -36.782310 2.3308195         0   39   53  118    1    2
40  -167.396494 2.1878026         0   40   53  118    1    2
42  -335.722717 1.5843312         0   42   53  118    1    2
44  -251.768014 1.8680564         0   44   53  118    1    2
45  -558.567724 1.2068259         0   45   53  118    1    2
46  -481.697295 1.1172713         0   46   53  118    1    2
47  -457.631236 1.4927604         0   47   53  118    1    2
48  -488.595220 0.7075702         0   48   53  118    1    2
49  -387.162933 1.0374265         0   49   53  118    1    2
51  -323.966843 1.7307823         0   51   53  118    1    2
52  -482.259462 1.6374897         0   52   53  118    1    2
53  -301.126191 1.9934362         0   53   53  118    1    2
54  -193.316808 2.2227165         0   54   53  118    1    2
57  -453.254058 1.3201463         0   57   53  118    1    2
59  -470.338453 1.1903317         0   59   53  118    1    2
62   -34.205500 2.3398488         0   62   53  118    1    2
63  -310.908993 1.9503649         0   63   53  118    1    2
64  -130.003909 2.2360331         0   64   53  118    1    2
66   -68.106982 2.3040595         0   66   53  118    1    2
67  -340.602115 1.8680564         0   67   53  118    1    2
68  -105.582393 2.3516031         0   68   53  118    1    2
69  -176.427854 2.1760913         0   69   53  118    1    2
70  -147.988897 2.2237555         0   70   53  118    1    2
72  -470.865919 1.1903317         0   72   53  118    1    2
73  -475.684683 0.7708520         0   73   53  118    1    2
74  -291.578404 2.0153598         0   74   53  118    1    2
75  -555.776872 1.2380461         0   75   53  118    1    2
76  -476.075311 0.8692317         0   76   53  118    1    2
77  -451.745761 1.2253093         0   77   53  118    1    2
78  -381.936257 1.5263393         0   78   53  118    1    2
79  -402.355479 1.3636120         0   79   53  118    1    2
80  -182.598172 2.1628630         0   80   53  118    1    2
81  -427.551736 1.1986571         0   81   53  118    1    2
82  -421.438817 1.6020600         0   82   53  118    1    2
83  -139.372972 2.2367891         0   83   53  118    1    2
86  -269.713748 2.0166155         0   86   53  118    1    2
88  -349.891701 1.8215135         0   88   53  118    1    2
89  -199.925351 2.1051694         0   89   53  118    1    2
90  -354.538018 1.6720979         0   90   53  118    1    2
92  -390.955430 1.5276299         0   92   53  118    1    2
93  -276.969403 1.9818186         0   93   53  118    1    2
94  -374.630807 1.6551384         0   94   53  118    1    2
95  -542.991784 1.3856063         0   95   53  118    1    2
96  -333.763849 1.8299467         0   96   53  118    1    2
97  -421.732015 1.5611014         0   97   53  118    1    2
98  -446.970796 1.4393327         0   98   53  118    1    2
99  -396.778722 1.5658478         0   99   53  118    1    2
103 -428.178463 1.3031961         0  103   53  118    1    2
104 -238.436124 2.0870712         0  104   53  118    1    2
105 -202.339959 2.1878026         0  105   53  118    1    2
109 -239.832149 2.0795430         0  109   53  118    1    2
110 -357.517607 1.7505084         0  110   53  118    1    2
111 -315.919902 1.9571282         0  111   53  118    1    2
112 -130.680182 2.2237555         0  112   53  118    1    2
113 -322.874431 1.9464523         0  113   53  118    1    2
114 -477.340848 1.1522883         0  114   53  118    1    2
115 -292.022215 1.9722028         0  115   53  118    1    2
117  -67.312126 2.3147097         0  117   53  118    1    2
118 -363.627841 1.4785665         0  118   53  118    1    2
119 -196.884779 2.1580608         0  119   53  118    1    2
122 -192.241095 2.1000257         0  122   53  118    1    2
123 -240.919503 2.0831441         0  123   53  118    1    2
124 -302.844402 1.9703469         0  124   53  118    1    2
125 -400.834093 1.8898617         0  125   53  118    1    2
126 -398.533497 1.7291648         0  126   53  118    1    2
127 -417.966473 1.5831988         0  127   53  118    1    2
128 -464.806711 1.0791812         0  128   53  118    1    2
130 -178.336313 2.1316187         0  130   53  118    1    2
131 -530.758586 1.4082400         0  131   53  118    1    2
132 -162.928919 2.1495270         0  132   53  118    1    2
133  -13.824889 2.3769418         0  133   53  118    1    2
135 -422.191587 1.5502284         0  135   53  118    1    2
136 -331.378072 1.6954817         0  136   53  118    1    2
137 -425.256277 1.4593925         0  137   53  118    1    2
138  -21.067070 2.3398488         0  138   53  118    1    2
139 -161.667174 2.1553360         0  139   53  118    1    2
140 -483.984919 0.9242793         0  140   53  118    1    2
142 -235.427813 1.9929951         0  142   53  118    1    2
143 -344.449007 1.5943926         0  143   53  118    1    2
144 -451.035605 1.3031961         0  144   53  118    1    2
145 -371.632065 1.4031205         0  145   53  118    1    2
146 -424.433311 1.3909351         0  146   53  118    1    2
149 -454.572972 1.3926970         0  149   53  118    1    2
150 -411.798273 1.1522883         0  150   53  118    1    2
151 -488.378688 0.6127839         0  151   53  118    1    2
152 -414.895489 0.3010300         0  152   53  118    1    2
153 -391.110079 1.2329961         0  153   53  118    1    2
