# threshold = 0.699258591805806
# Area under ROC curve = 0.295809523809524
# aggregate.tpos = 22
# aggregate.tneg = 22
# aggregate.fpos = 103
# aggregate.fneg = 20
# rocframe: 
           X1    actual   threshold fold tpos tneg fpos fneg
18  0.7366919 3.3837436 0.000000000    1   39    0  125    3
94  0.7126303 3.3837436 0.000000000    3   39    0  125    3
117 0.7116271 3.0048371 0.000000000    3   39    0  125    3
47  0.5990233 2.7567882 0.008130081    2   38    0  125    4
95  0.7201536 2.2631625 0.008849558    3   36    1  124    6
116 0.7176093 3.3837436 0.008849558    3   36    1  124    6
125 0.7180580 3.3837436 0.008849558    3   36    1  124    6
93  0.7238842 2.3174365 0.035398230    3   35    3  122    7
119 0.7266109 3.3837436 0.035398230    3   35    3  122    7
120 0.7266109 1.7535831 0.035398230    3   35    3  122    7
56  0.6371458 3.3837436 0.040650407    2   34    3  122    8
3   0.7627716 3.3837436 0.046153846    1   32    4  121   10
8   0.7571245 3.3837436 0.046153846    1   32    4  121   10
20  0.7580501 1.5263393 0.046153846    1   32    4  121   10
7   0.7650732 2.4350476 0.069230769    1   31    4  121   11
112 0.7310686 2.4201208 0.070796460    3   29    4  121   13
126 0.7287376 3.3837436 0.070796460    3   29    4  121   13
6   0.7672483 1.5717088 0.084615385    1   29    5  120   13
148 0.6671047 0.4913617 0.088888889    4   29    6  119   13
1   0.7677672 2.5366847 0.107692308    1   28    6  119   14
59  0.6919631 2.2000293 0.138211382    2   28    7  118   14
137 0.6884398 2.3310222 0.140740741    4   28    8  117   14
111 0.7344298 2.2387986 0.150442478    3   28    9  116   14
29  0.7712917 1.8709888 0.153846154    1   28   10  115   14
19  0.7723952 2.2367891 0.169230769    1   28   11  114   14
61  0.7025956 1.9355073 0.170731707    2   28   12  113   14
15  0.7725539 1.8920946 0.176923077    1   28   13  112   14
129 0.7357774 1.3263359 0.185840708    3   28   14  111   14
82  0.7358414 1.6665180 0.194690265    3   28   15  110   14
142 0.7028506 1.2041200 0.207407407    4   28   16  109   14
24  0.7734199 2.8121108 0.207692308    1   27   16  109   15
44  0.7118803 2.0338257 0.211382114    2   26   17  108   16
46  0.7135651 2.7136585 0.211382114    2   26   17  108   16
118 0.7365739 1.8095597 0.212389381    3   26   19  106   16
133 0.7364271 1.5538830 0.212389381    3   26   19  106   16
134 0.7370473 1.6314438 0.238938053    3   26   20  105   16
45  0.7218629 2.9914033 0.243902439    2   25   20  105   17
131 0.7374944 0.8512583 0.247787611    3   25   21  104   17
57  0.7247443 3.3837436 0.252032520    2   23   21  104   19
66  0.7245205 2.6190933 0.252032520    2   23   21  104   19
13  0.7760933 2.5627685 0.253846154    1   22   21  104   20
83  0.7381399 0.4913617 0.256637168    3   22   23  102   20
130 0.7379960 1.4248816 0.256637168    3   22   23  102   20
30  0.7768705 1.6042261 0.269230769    1   22   24  101   20
159 0.7100206 2.3769418 0.274074074    4   21   25  100   21
160 0.7101464 1.0791812 0.274074074    4   21   25  100   21
136 0.7113699 2.3218055 0.281481481    4   21   26   99   21
65  0.7287858 2.3380579 0.284552846    2   21   27   98   21
53  0.7306508 2.2355284 0.300813008    2   21   29   96   21
60  0.7318726 2.1027766 0.300813008    2   21   29   96   21
143 0.7167114 1.6599162 0.311111111    4   21   30   95   21
14  0.7786322 2.0297895 0.323076923    1   21   31   94   21
139 0.7181585 1.7853298 0.325925926    4   21   32   93   21
41  0.7340258 2.0318123 0.333333333    2   21   35   90   21
149 0.7204138 1.8129134 0.333333333    4   21   35   90   21
153 0.7215291 1.5440680 0.333333333    4   21   35   90   21
103 0.7405037 3.2980448 0.336283186    3   19   36   89   23
104 0.7405037 3.3837436 0.336283186    3   19   36   89   23
124 0.7402926 1.9283959 0.336283186    3   19   36   89   23
37  0.7789544 1.7024305 0.338461538    1   19   37   88   23
63  0.7383304 2.1433271 0.357723577    2   19   38   87   23
165 0.7260547 3.2387735 0.370370370    4   18   38   87   24
145 0.7306310 1.5843312 0.377777778    4   18   39   86   24
9   0.7797550 0.3010300 0.384615385    1   18   40   85   24
26  0.7800176 1.1643529 0.392307692    1   18   41   84   24
54  0.7414889 1.3710679 0.398373984    2   18   42   83   24
62  0.7450602 1.4712917 0.406504065    2   18   44   81   24
70  0.7434091 1.8000294 0.406504065    2   18   44   81   24
138 0.7379256 2.4350476 0.407407407    4   17   48   77   25
141 0.7428713 2.0338257 0.407407407    4   17   48   77   25
144 0.7419447 1.7972675 0.407407407    4   17   48   77   25
155 0.7393828 1.2988531 0.407407407    4   17   48   77   25
161 0.7401803 1.9943172 0.407407407    4   17   48   77   25
146 0.7467534 2.5779511 0.429629630    4   15   48   77   27
156 0.7469427 3.1911994 0.429629630    4   15   48   77   27
39  0.7489181 2.3398488 0.439024390    2   15   50   75   27
69  0.7480045 1.6866363 0.439024390    2   15   50   75   27
86  0.7450616 1.5024271 0.460176991    3   15   51   74   27
68  0.7543025 1.3979400 0.463414634    2   15   52   73   27
152 0.7513919 1.4183013 0.466666667    4   15   53   72   27
76  0.7569183 2.0406023 0.487804878    2   15   54   71   27
121 0.7460442 1.3344538 0.495575221    3   15   55   70   27
151 0.7557938 2.1448854 0.511111111    4   15   56   69   27
50  0.7579491 1.4593925 0.512195122    2   15   58   67   27
51  0.7579491 1.6884198 0.512195122    2   15   58   67   27
67  0.7598540 0.6127839 0.520325203    2   15   59   66   27
115 0.7469647 2.9825426 0.539823009    3   14   60   65   28
132 0.7469730 0.3010300 0.539823009    3   14   60   65   28
109 0.7474747 1.3891661 0.548672566    3   14   61   64   28
154 0.7604602 1.4653829 0.562962963    4   14   62   63   28
96  0.7481585 1.8870544 0.575221239    3   14   63   62   28
105 0.7483154 1.3856063 0.584070796    3   14   64   61   28
74  0.7679234 1.9484130 0.593495935    2   14   65   60   28
127 0.7488749 1.4116197 0.610619469    3   14   67   58   28
128 0.7488749 0.6127839 0.610619469    3   14   67   58   28
77  0.7705259 2.6887757 0.634146341    2   13   67   58   29
38  0.7716896 0.3010300 0.658536585    2   13   71   54   29
55  0.7719227 1.9020029 0.658536585    2   13   71   54   29
64  0.7714781 2.1598678 0.658536585    2   13   71   54   29
79  0.7713321 1.1643529 0.658536585    2   13   71   54   29
78  0.7736157 1.0374265 0.682926829    2   13   72   53   29
71  0.7741189 0.3010300 0.691056911    2   13   74   51   29
72  0.7741189 1.5786392 0.691056911    2   13   74   51   29
80  0.7745397 1.9355073 0.707317073    2   13   75   50   29
40  0.7747999 1.6009729 0.715447154    2   13   76   49   29
52  0.7759426 1.3483049 0.756097561    2   12   77   48   30
81  0.7760828 2.5161386 0.756097561    2   12   77   48   30
75  0.7763805 1.9703469 0.764227642    2   12   78   47   30
2   0.7808858 2.5375673 1.000000000    1    0  125    0   42
4   0.7808858 3.2980448 1.000000000    1    0  125    0   42
5   0.7808858 1.7767012 1.000000000    1    0  125    0   42
10  0.7808858 2.5880475 1.000000000    1    0  125    0   42
11  0.7808858 1.3765770 1.000000000    1    0  125    0   42
12  0.7808858 1.1172713 1.000000000    1    0  125    0   42
16  0.7808858 3.3837436 1.000000000    1    0  125    0   42
17  0.7808858 2.4834446 1.000000000    1    0  125    0   42
21  0.7808858 2.6134189 1.000000000    1    0  125    0   42
22  0.7808858 2.2000293 1.000000000    1    0  125    0   42
23  0.7808858 2.1664301 1.000000000    1    0  125    0   42
25  0.7808858 2.1804126 1.000000000    1    0  125    0   42
27  0.7808858 0.7993405 1.000000000    1    0  125    0   42
28  0.7808858 1.6532125 1.000000000    1    0  125    0   42
31  0.7808858 1.1430148 1.000000000    1    0  125    0   42
32  0.7808858 1.3579348 1.000000000    1    0  125    0   42
33  0.7808858 1.3820170 1.000000000    1    0  125    0   42
34  0.7808858 2.2671717 1.000000000    1    0  125    0   42
35  0.7808858 2.2796669 1.000000000    1    0  125    0   42
36  0.7808858 1.5024271 1.000000000    1    0  125    0   42
42  0.7772406 2.4637437 1.000000000    2    0  125    0   42
43  0.7772406 1.3961993 1.000000000    2    0  125    0   42
48  0.7772406 1.8469553 1.000000000    2    0  125    0   42
49  0.7772406 3.3837436 1.000000000    2    0  125    0   42
58  0.7772406 2.3583156 1.000000000    2    0  125    0   42
73  0.7772406 0.3010300 1.000000000    2    0  125    0   42
84  0.7504763 1.1271048 1.000000000    3    0  125    0   42
85  0.7504763 2.1525941 1.000000000    3    0  125    0   42
87  0.7504763 1.6928469 1.000000000    3    0  125    0   42
88  0.7504763 1.5263393 1.000000000    3    0  125    0   42
89  0.7504763 0.0000000 1.000000000    3    0  125    0   42
90  0.7504763 1.5158738 1.000000000    3    0  125    0   42
91  0.7504763 1.7986506 1.000000000    3    0  125    0   42
92  0.7504763 1.9576073 1.000000000    3    0  125    0   42
97  0.7504763 2.2387986 1.000000000    3    0  125    0   42
98  0.7504763 1.5670264 1.000000000    3    0  125    0   42
99  0.7504763 3.3837436 1.000000000    3    0  125    0   42
100 0.7504763 2.7271344 1.000000000    3    0  125    0   42
101 0.7504763 2.1734776 1.000000000    3    0  125    0   42
102 0.7504763 1.2944662 1.000000000    3    0  125    0   42
106 0.7504763 1.4756712 1.000000000    3    0  125    0   42
107 0.7504763 1.3384565 1.000000000    3    0  125    0   42
108 0.7504763 1.3384565 1.000000000    3    0  125    0   42
110 0.7504763 1.6866363 1.000000000    3    0  125    0   42
113 0.7504763 1.5888317 1.000000000    3    0  125    0   42
114 0.7504763 2.2309596 1.000000000    3    0  125    0   42
122 0.7504763 0.9030900 1.000000000    3    0  125    0   42
123 0.7504763 1.7041505 1.000000000    3    0  125    0   42
135 0.7504763 2.7629785 1.000000000    3    0  125    0   42
140 0.7671747 1.9138139 1.000000000    4    0  125    0   42
147 0.7671747 2.0874265 1.000000000    4    0  125    0   42
150 0.7671747 0.3010300 1.000000000    4    0  125    0   42
157 0.7671747 1.4742163 1.000000000    4    0  125    0   42
158 0.7671747 2.8865471 1.000000000    4    0  125    0   42
162 0.7671747 2.1386184 1.000000000    4    0  125    0   42
163 0.7671747 1.6294096 1.000000000    4    0  125    0   42
164 0.7671747 1.6314438 1.000000000    4    0  125    0   42
166 0.7671747 1.8394780 1.000000000    4    0  125    0   42
167 0.7671747 1.7371926 1.000000000    4    0  125    0   42
# predperf: 
  tpos tneg fpos fneg
1    6    8   16    7
2    4    4   30    6
3    6    8   33    7
4    6    2   24    0
