# threshold = 0.833981008871274
# Area under ROC curve = 0.155727155727156
# aggregate.tpos = 3
# aggregate.tneg = 94
# aggregate.fpos = 17
# aggregate.fneg = 18
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
2   0.5194804 2.9914033 0.00000000    1   20    0  111    1
14  0.5362148 2.3960249 0.00877193    1   19    0  111    2
80  0.7616697 1.3344538 0.02564103    3   19    2  109    2
118 0.7779367 1.4842998 0.02564103    3   19    2  109    2
3   0.6730347 0.4913617 0.02631579    1   19    5  106    2
4   0.6788480 2.1316187 0.02631579    1   19    5  106    2
18  0.6933322 2.3040595 0.02631579    1   19    5  106    2
101 0.7814421 3.3837436 0.03846154    3   18    5  106    3
6   0.7192807 1.5888317 0.05263158    1   18    6  105    3
110 0.7859503 1.1613680 0.06410256    3   18    7  104    3
30  0.8519002 2.5985717 0.09638554    2   17    7  104    4
21  0.8536132 0.7993405 0.10843373    2   15    8  103    6
29  0.8536132 3.3837436 0.10843373    2   15    8  103    6
31  0.8536132 2.7136585 0.10843373    2   15    8  103    6
126 0.8319234 2.9914033 0.13223140    4   14    8  103    7
8   0.7838515 2.6386889 0.14912281    1   13    8  103    8
51  0.8548149 1.5854607 0.15662651    2   13    9  102    8
1   0.7992668 0.6127839 0.16666667    1   13   10  101    8
131 0.8373611 2.7383841 0.19834711    4   12   11  100    9
132 0.8376562 1.9813655 0.19834711    4   12   11  100    9
16  0.8171461 0.9242793 0.20175439    1   12   12   99    9
7   0.8294366 0.0000000 0.23684211    1   12   13   98    9
123 0.8443085 1.6294096 0.23966942    4   12   15   96    9
125 0.8433308 1.6170003 0.23966942    4   12   15   96    9
122 0.8469831 2.5627685 0.26446281    4   11   15   96   10
127 0.8479995 1.8970770 0.27272727    4   11   16   95   10
128 0.8503899 1.8998205 0.32231405    4   11   17   94   10
9   0.8507043 2.0406023 0.36842105    1   11   18   93   10
129 0.8553112 1.3636120 0.42975207    4   11   19   92   10
10  0.8658484 0.0000000 0.45614035    1   11   20   91   10
5   0.8753478 1.2855573 0.50877193    1   11   21   90   10
17  0.8771603 1.7024305 0.52631579    1   11   22   89   10
124 0.8618027 1.4548449 0.55371901    4   11   23   88   10
15  0.8825279 1.1903317 0.57894737    1   11   24   87   10
130 0.8636306 1.2068259 0.61157025    4   11   25   86   10
12  0.8851851 0.9344985 0.61403509    1   11   26   85   10
11  0.9024802 2.7136585 0.80701754    1   10   26   85   11
13  0.9063020 1.1303338 0.83333333    1   10   27   84   11
19  0.8576816 1.9464523 1.00000000    2    0  111    0   21
20  0.8576816 1.9698816 1.00000000    2    0  111    0   21
22  0.8576816 0.3010300 1.00000000    2    0  111    0   21
