# Seed = 248
# Site = maslowski
# Method = adalasso-unweighted
# Area under ROC curve = 0.322256836275528
# aggregate.tpos = 15
# aggregate.tneg = 26
# aggregate.fpos = 81
# aggregate.fneg = 12
# variables: (Intercept), beach_Sc, beach_WaterTemp, beach_AirTemp, trib_NorthFishCreekAtHwy2_TribSc, trib_SouthFishCreekAtHwy137_TribSc, trib_WhittleseyCreekAtHwy1304026321_TribSc, trib_SouthFishCreekAtHwy137_WaterElevation, beach_LakeshoreCurrVel, beach_NoGeese, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Whittlesey_Discharge_Diff_6, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_2, HeightAboveSeaLevel_Mean_6, HeightAboveSeaLevel_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.maslowski.Sum..1hr, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, Sqrt.Precipitation.over.upload.maslowski.Sum..6hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..48hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..120hr, Sqrt.Whittlesey_ARF_Sum_1, Sqrt.Whittlesey_ARF_Sum_2, Sqrt.Whittlesey_ARF_Sum_6, Sqrt.Whittlesey_ARF_Sum_12, Sqrt.Whittlesey_ARF_Sum_24, Sqrt.Whittlesey_ARF_Sum_48, Sqrt.Whittlesey_ARF_Sum_72, Sqrt.Whittlesey_ARF_Sum_120, log.Whittlesey_Discharge_Mean_1, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Mean_6, log.Whittlesey_Discharge_Mean_12, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Mean_48, log.Whittlesey_Discharge_Mean_72, log.Whittlesey_Discharge_Mean_120, log.Whittlesey_Discharge_Min_1, log.Whittlesey_Discharge_Min_2, log.Whittlesey_Discharge_Min_6, log.Whittlesey_Discharge_Min_12, log.Whittlesey_Discharge_Min_24, log.Whittlesey_Discharge_Min_48, log.Whittlesey_Discharge_Min_72, log.Whittlesey_Discharge_Min_120, log.Whittlesey_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.270676691729323
# decision threshold: 0.795067972775276
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
71  0.2053485 2.2360331 0.00000000   71   27    2  105    0
112 0.5342552 0.3010300 0.00000000  112   27    2  105    0
85  0.2499932 2.1504494 0.01503759   85   27    3  104    0
104 0.4105257 2.3040595 0.03007519  104   27    4  103    0
87  0.5558920 2.1711412 0.03759398   87   27    5  102    0
20  0.3250645 2.1251558 0.04511278   20   27    6  101    0
132 0.4512133 1.5899496 0.07518797  132   27    7  100    0
83  0.6451512 1.5024271 0.08270677   83   27    8   99    0
68  0.4579188 1.3820170 0.09022556   68   26   10   97    1
116 0.4818360 1.7795965 0.09022556  116   26   10   97    1
121 0.4076737 3.1911994 0.09022556  121   26   10   97    1
16  0.7033385 3.1503265 0.10526316   16   25   11   96    2
22  0.3983700 2.0557605 0.10526316   22   25   11   96    2
111 0.6781623 2.0461048 0.12781955  111   25   12   95    2
92  0.7112072 2.6134189 0.13533835   92   24   12   95    3
7   0.5654780 2.0318123 0.14285714    7   23   13   94    4
72  0.6996021 2.3900515 0.14285714   72   23   13   94    4
55  0.4622938 2.1664301 0.15037594   55   23   14   93    4
105 0.5268746 2.5880475 0.15789474  105   22   15   92    5
119 0.5093530 2.1945143 0.15789474  119   22   15   92    5
17  0.5723721 2.1525941 0.17293233   17   22   16   91    5
73  0.6244517 2.4879863 0.18045113   73   21   16   91    6
211 0.7482067 2.7383841 0.18796992   21   20   18   89    7
70  0.7366152 1.2068259 0.18796992   70   20   18   89    7
109 0.5720153 2.3310222 0.18796992  109   20   18   89    7
18  0.6361903 2.7629785 0.20300752   18   19   18   89    8
9   0.6254584 1.7581546 0.21052632    9   19   19   88    8
86  0.6946947 2.5627685 0.21804511   86   18   19   88    9
38  0.6745662 1.5728716 0.22556391   38   18   20   87    9
19  0.6437188 2.0060380 0.23308271   19   18   21   86    9
51  0.7719101 3.3837436 0.24060150   51   16   22   85   11
108 0.6971177 2.1711412 0.24060150  108   16   22   85   11
123 0.6711590 2.9641653 0.24060150  123   16   22   85   11
78  0.7255759 1.1205739 0.24812030   78   16   23   84   11
113 0.7621393 2.9119030 0.25563910  113   15   23   84   12
35  0.7129757 2.3040595 0.27067669   35   15   26   81   12
88  0.7363044 1.5728716 0.27067669   88   15   26   81   12
114 0.7634409 1.6444386 0.27067669  114   15   26   81   12
24  0.7753995 3.3837436 0.27819549   24   12   26   81   15
106 0.7770777 2.9914033 0.27819549  106   12   26   81   15
130 0.7663324 2.9119030 0.27819549  130   12   26   81   15
84  0.7743509 3.1138431 0.28571429   84   11   27   80   16
100 0.7445765 2.2367891 0.28571429  100   11   27   80   16
6   0.7609362 2.3147097 0.29323308    6   11   28   79   16
101 0.7699392 2.3109056 0.30075188  101   11   30   77   16
118 0.7750089 1.1986571 0.30075188  118   11   30   77   16
97  0.7822769 1.7299743 0.31578947   97   11   31   76   16
58  0.8130946 2.2913689 0.34586466   58   11   33   74   16
110 0.8033172 1.7291648 0.34586466  110   11   33   74   16
2   0.8263496 1.0755470 0.36090226    1   11   36   71   16
82  0.8079316 2.2652896 0.36090226   82   11   36   71   16
117 0.8132468 1.9344985 0.36090226  117   11   36   71   16
3   0.8250745 1.8773713 0.36842105    3   10   37   70   17
99  0.7962370 3.2387735 0.36842105   99   10   37   70   17
122 0.7970157 2.4549972 0.37593985  122    9   37   70   18
48  0.8209413 0.3010300 0.38345865   48    9   38   69   18
94  0.8281206 1.5717088 0.39097744   94    9   39   68   18
96  0.8316994 1.9469433 0.40601504   96    9   41   66   18
107 0.8291872 1.9947569 0.40601504  107    9   41   66   18
53  0.8349435 1.1613680 0.41353383   53    9   42   65   18
52  0.8516470 1.3010300 0.43609023   52    9   44   63   18
67  0.8585861 1.9822712 0.43609023   67    9   44   63   18
93  0.8154711 2.6740340 0.45112782   93    8   44   63   19
29  0.8549956 1.5327544 0.45864662   29    8   46   61   19
41  0.8702029 2.1051694 0.45864662   41    8   46   61   19
91  0.8624856 2.0195317 0.48120301   91    8   47   60   19
89  0.8933116 2.2671717 0.50375940   89    7   48   59   20
120 0.8912065 2.4879863 0.50375940  120    7   48   59   20
127 0.8833035 1.7520484 0.51127820  127    7   49   58   20
69  0.8738942 1.8382192 0.51879699   69    6   50   57   21
124 0.9224985 2.3960249 0.51879699  124    6   50   57   21
128 0.8867704 1.4456042 0.52631579  128    6   51   56   21
126 0.8976409 2.2695129 0.54135338  126    6   52   55   21
14  0.8959558 1.6812412 0.54887218   14    6   54   53   21
81  0.8900145 1.7795965 0.54887218   81    6   54   53   21
34  0.8951945 2.0652061 0.55639098   34    6   55   52   21
33  0.8761238 1.5899496 0.56390977   33    5   56   51   22
134 0.8373935 2.9914033 0.56390977  134    5   56   51   22
133 0.8415381 2.4401216 0.57142857  133    4   56   51   23
27  0.9005548 2.0318123 0.59398496   27    3   59   48   24
57  0.8999877 1.3856063 0.59398496   57    3   59   48   24
95  0.9144084 2.5880475 0.59398496   95    3   59   48   24
131 0.8947729 2.1664301 0.59398496  131    3   59   48   24
37  0.9174929 2.1664301 0.61654135   37    3   60   47   24
60  0.9095897 1.6821451 0.62406015   60    3   62   45   24
129 0.9269828 1.9454686 0.62406015  129    3   62   45   24
39  0.9282803 1.7024305 0.63157895   39    3   64   43   24
98  0.9320614 1.6665180 0.63157895   98    3   64   43   24
66  0.9220895 2.0195317 0.65413534   66    3   65   42   24
4   0.9302251 2.9914033 0.67669173    4    2   67   40   25
54  0.9377890 2.1752218 0.67669173   54    2   67   40   25
90  0.9393402 1.1643529 0.67669173   90    2   67   40   25
56  0.9427098 1.3344538 0.68421053   56    2   68   39   25
76  0.9424506 1.3710679 0.69924812   76    2   69   38   25
21  0.9472306 1.3856063 0.70676692    2    2   70   37   25
30  0.9423249 0.6127839 0.72180451   30    2   71   36   25
36  0.9486759 2.0182843 0.72932331   36    2   73   34   25
74  0.9474032 1.3483049 0.72932331   74    2   73   34   25
77  0.9438281 0.9242793 0.74436090   77    2   76   31   25
79  0.9518412 1.9365137 0.74436090   79    2   76   31   25
80  0.9444062 0.8750613 0.74436090   80    2   76   31   25
103 0.9673650 1.7923917 0.77443609  103    2   77   30   25
42  0.9703064 0.7160033 0.78195489   42    2   78   29   25
115 0.9720099 2.2516382 0.78947368  115    2   79   28   25
44  0.9765582 0.9777236 0.79699248   44    2   81   26   25
47  0.9762419 1.8802418 0.79699248   47    2   81   26   25
