# threshold = 0.827199013503843
# Area under ROC curve = 0.3996138996139
# aggregate.tpos = 8
# aggregate.tneg = 52
# aggregate.fpos = 96
# aggregate.fneg = 6
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
79  0.8595628 0.0000000 0.01886792    3   13    7  141    1
80  0.8577649 2.1139434 0.01886792    3   13    7  141    1
81  0.8615560 1.5145478 0.01886792    3   13    7  141    1
100 0.8606673 1.2944662 0.01886792    3   13    7  141    1
102 0.8564038 2.9377184 0.01886792    3   13    7  141    1
111 0.8609037 1.5378191 0.01886792    3   13    7  141    1
112 0.8567600 2.1598678 0.01886792    3   13    7  141    1
116 0.8593861 2.3529539 0.01886792    3   13    7  141    1
99  0.8646194 2.3529539 0.02830189    3   13    8  140    1
4   0.8877883 2.0759118 0.02919708    1   13    9  139    1
152 0.7459314 1.8432328 0.04032258    4   13   10  138    1
69  0.8666449 1.3891661 0.04716981    3   13   12  136    1
121 0.8664487 1.7693773 0.04716981    3   13   12  136    1
140 0.8261074 1.4393327 0.04838710    4   13   13  135    1
130 0.8440076 2.6637951 0.05645161    4   12   13  135    2
125 0.8632398 1.3909351 0.06451613    4   11   14  134    3
150 0.8569658 2.8865471 0.06451613    4   11   14  134    3
120 0.8671251 1.5211381 0.06603774    3   11   15  133    3
10  0.8916813 2.2652896 0.07299270    1   11   16  132    3
32  0.9189388 2.8367670 0.07563025    2   10   19  129    4
47  0.9186026 1.8920946 0.07563025    2   10   19  129    4
48  0.9184481 2.3232521 0.07563025    2   10   19  129    4
60  0.9187218 1.4593925 0.07563025    2   10   19  129    4
83  0.8675944 0.9777236 0.09433962    3   10   21  127    4
93  0.8676506 1.1986571 0.09433962    3   10   21  127    4
11  0.8922857 1.8680564 0.09489051    1   10   23  125    4
25  0.8924655 1.2329961 0.09489051    1   10   23  125    4
106 0.8681835 0.6127839 0.10377358    3   10   24  124    4
98  0.8685413 1.9355073 0.11320755    3   10   25  123    4
78  0.8701832 0.3010300 0.12264151    3   10   26  122    4
129 0.9093343 2.1711412 0.12903226    4   10   27  121    4
128 0.9220834 1.8175654 0.14516129    4   10   28  120    4
84  0.8723512 1.9319661 0.15094340    3   10   29  119    4
13  0.8937879 1.4232459 0.15328467    1   10   30  118    4
149 0.9340744 0.7923917 0.16129032    4   10   31  117    4
89  0.8729374 2.2159018 0.17924528    3   10   34  114    4
94  0.8728645 1.6599162 0.17924528    3   10   34  114    4
104 0.8729905 1.1643529 0.17924528    3   10   34  114    4
34  0.9208150 3.1138431 0.18487395    2    9   35  113    5
59  0.9207987 1.6444386 0.18487395    2    9   35  113    5
139 0.9404031 1.9474337 0.19354839    4    9   37  111    5
