# Seed = 722
# Site = neshotah
# Method = adalasso-unweighted
# Area under ROC curve = 0.173745173745174
# aggregate.tpos = 7
# aggregate.tneg = 20
# aggregate.fpos = 128
# aggregate.fneg = 7
# variables: (Intercept), beach_WaterTemp, beach_AirTemp, beach_LakeshoreCurrVel, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, Kewaunee_Discharge_Diff_6, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.neshtah.Sum..1hr, Sqrt.Precipitation.over.upload.neshtah.Sum..2hr, Sqrt.Precipitation.over.upload.neshtah.Sum..6hr, Sqrt.Precipitation.over.upload.neshtah.Sum..12hr, Sqrt.Precipitation.over.upload.neshtah.Sum..24hr, Sqrt.Precipitation.over.upload.neshtah.Sum..48hr, Sqrt.Precipitation.over.upload.neshtah.Sum..72hr, Sqrt.Precipitation.over.upload.neshtah.Sum..120hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..1hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..2hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..6hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..12hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..24hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..48hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..72hr, Sqrt.Precipitation.over.upload.Twin_Rivers.Sum..120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, log.Kewaunee_Discharge_Mean_1, log.Kewaunee_Discharge_Mean_2, log.Kewaunee_Discharge_Mean_6, log.Kewaunee_Discharge_Mean_12, log.Kewaunee_Discharge_Mean_24, log.Kewaunee_Discharge_Mean_48, log.Kewaunee_Discharge_Mean_72, log.Kewaunee_Discharge_Mean_120, log.Kewaunee_Discharge_Min_1, log.Kewaunee_Discharge_Min_2, log.Kewaunee_Discharge_Min_6, log.Kewaunee_Discharge_Min_12, log.Kewaunee_Discharge_Min_24, log.Kewaunee_Discharge_Min_48, log.Kewaunee_Discharge_Min_72, log.Kewaunee_Discharge_Min_120, log.Kewaunee_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.167701863354037
# decision threshold: 0.909744311698917
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
116 0.1689840 2.3529539 0.00000000  116   14    1  147    0
4   0.4113208 2.0759118 0.00621118    4   14    2  146    0
129 0.5310757 2.1711412 0.01242236  129   14    3  145    0
47  0.5875874 1.8920946 0.01863354   47   14    4  144    0
35  0.6232437 2.0726175 0.02484472   35   13    5  143    1
154 0.6430195 3.3837436 0.02484472  154   13    5  143    1
140 0.6324816 1.4393327 0.03105590  140   13    6  142    1
38  0.7630890 2.4549972 0.04968944   38   12    6  142    2
99  0.6937801 2.3529539 0.06832298   99   12    7  141    2
27  0.7081298 1.9057959 0.08074534   27   11    9  139    3
34  0.7751989 3.1138431 0.08074534   34   11    9  139    3
139 0.6988117 1.9474337 0.08074534  139   11    9  139    3
48  0.7225186 2.3232521 0.08695652   48   11   10  138    3
128 0.7503209 1.8175654 0.09316770  128    9   11  137    5
147 0.7735050 2.3727279 0.09316770  147    9   11  137    5
155 0.7722671 2.9377184 0.09316770  155    9   11  137    5
112 0.7483670 2.1598678 0.10559006  112    9   12  136    5
32  0.8237193 2.8367670 0.12422360   32    7   12  136    7
36  0.8247403 2.7875313 0.12422360   36    7   12  136    7
113 0.8280117 2.1126050 0.14285714  113    7   13  135    7
79  0.8407636 0.0000000 0.14906832   79    7   15  133    7
146 0.8406391 1.2278867 0.14906832  146    7   15  133    7
125 0.8598490 1.3909351 0.15527950  125    7   16  132    7
80  0.8600775 2.1139434 0.16149068   80    7   18  130    7
121 0.8645130 1.7693773 0.16149068  121    7   18  130    7
33  0.8690738 1.2988531 0.16770186   33    7   20  128    7
93  0.8680083 1.1986571 0.16770186   93    7   20  128    7
55  0.8782303 2.9914033 0.17391304   55    5   22  126    9
81  0.8697751 1.5145478 0.17391304   81    5   22  126    9
104 0.8734485 1.1643529 0.17391304  104    5   22  126    9
130 0.8740888 2.6637951 0.17391304  130    5   22  126    9
152 0.8763130 1.8432328 0.18012422  152    5   23  125    9
107 0.8857159 0.9867717 0.21118012  107    5   24  124    9
114 0.8921493 1.5440680 0.21739130  114    5   25  123    9
13  0.8945382 1.4232459 0.22360248   13    5   26  122    9
10  0.8958776 2.2652896 0.22981366   10    4   30  118   10
69  0.8962186 1.3891661 0.22981366   69    4   30  118   10
134 0.9000779 1.6106602 0.22981366  134    4   30  118   10
142 0.8982066 1.5092025 0.22981366  142    4   30  118   10
150 0.9126572 2.8865471 0.22981366  150    4   30  118   10
84  0.9005011 1.9319661 0.23602484   84    4   31  117   10
102 0.9161818 2.9377184 0.24844720  102    3   32  116   11
120 0.9087733 1.5211381 0.24844720  120    3   32  116   11
153 0.9072360 1.2329961 0.25465839  153    3   34  114   11
162 0.9088232 1.3944517 0.25465839  162    3   34  114   11
117 0.9088929 1.0791812 0.26086957  117    3   35  113   11
68  0.9121466 1.7505084 0.26708075   68    3   36  112   11
127 0.9122523 1.0334238 0.27950311  127    3   37  111   11
115 0.9169878 1.0863598 0.28571429  115    3   38  110   11
2   0.9167431 1.6170003 0.29192547    1    2   39  109   12
141 0.9261520 3.2980448 0.29192547  141    2   39  109   12
159 0.9174095 1.6532125 0.29813665  159    2   40  108   12
133 0.9371207 3.2980448 0.30434783  133    1   40  108   13
6   0.9215104 1.9036325 0.31055901    6    1   41  107   13
14  0.9230412 1.1613680 0.31677019   14    1   44  104   13
111 0.9247856 1.5378191 0.31677019  111    1   44  104   13
132 0.9250515 2.2195845 0.31677019  132    1   44  104   13
100 0.9226029 1.2944662 0.32298137  100    1   45  103   13
94  0.9249862 1.6599162 0.32919255   94    1   47  101   13
148 0.9241502 2.0195317 0.32919255  148    1   47  101   13
135 0.9281309 0.6127839 0.33540373  135    1   48  100   13
64  0.9323604 0.9867717 0.36024845   64    1   50   98   13
78  0.9317704 0.3010300 0.36024845   78    1   50   98   13
145 0.9363497 1.2278867 0.37267081  145    1   51   97   13
5   0.9389324 1.5378191 0.38509317    5    1   52   96   13
60  0.9373852 1.4593925 0.39130435   60    1   56   92   13
101 0.9399045 1.3820170 0.39130435  101    1   56   92   13
131 0.9396987 1.2041200 0.39130435  131    1   56   92   13
156 0.9395588 2.0744507 0.39130435  156    1   56   92   13
71  0.9420528 1.6063814 0.39751553   71    1   58   90   13
119 0.9414020 0.8512583 0.39751553  119    1   58   90   13
40  0.9418673 1.5105450 0.40372671   40    1   59   89   13
49  0.9421407 1.7226339 0.40993789   49    1   60   88   13
31  0.9428747 0.0000000 0.41614907   31    1   61   87   13
123 0.9448061 1.5550944 0.42236025  123    1   62   86   13
161 0.9443155 1.8920946 0.42857143  161    1   63   85   13
11  0.9448383 1.8680564 0.43478261   11    1   64   84   13
12  0.9448238 1.9947569 0.44099379   12    1   66   82   13
53  0.9453068 1.4785665 0.44099379   53    1   66   82   13
73  0.9473038 1.4593925 0.44720497   73    1   67   81   13
25  0.9474267 1.2329961 0.45341615   25    1   68   80   13
144 0.9478878 0.8750613 0.45962733  144    1   69   79   13
20  0.9505870 2.0413927 0.47826087   20    1   70   78   13
158 0.9515129 1.5211381 0.49068323  158    1   71   77   13
138 0.9535711 0.4771213 0.49689441  138    1   72   76   13
103 0.9527555 1.4345689 0.50310559  103    1   73   75   13
63  0.9540942 1.7737864 0.50931677   63    1   74   74   13
30  0.9530065 0.7075702 0.51552795   30    1   77   71   13
59  0.9535262 1.6444386 0.51552795   59    1   77   71   13
157 0.9532452 1.8773713 0.51552795  157    1   77   71   13
28  0.9541653 1.4456042 0.52173913   28    1   78   70   13
76  0.9566385 0.8692317 0.54037267   76    1   80   68   13
95  0.9553222 1.5550944 0.54037267   95    1   80   68   13
143 0.9560105 1.0863598 0.54658385  143    1   81   67   13
106 0.9569975 0.6127839 0.55279503  106    1   82   66   13
7   0.9575856 1.0374265 0.55900621    7    1   84   64   13
151 0.9572161 0.3010300 0.55900621  151    1   84   64   13
21  0.9599213 1.2671717 0.59006211    2    1   86   62   13
83  0.9602868 0.9777236 0.59006211   83    1   86   62   13
37  0.9606332 2.0437551 0.59627329   37    1   87   61   13
8   0.9613839 0.6127839 0.60248447    8    1   88   60   13
39  0.9624108 1.2041200 0.61490683   39    1   90   58   13
89  0.9628815 2.2159018 0.61490683   89    1   90   58   13
56  0.9624044 1.8175654 0.62111801   56    1   92   56   13
136 0.9633480 1.0334238 0.62111801  136    1   92   56   13
137 0.9634912 1.7092700 0.62732919  137    1   93   55   13
29  0.9644766 0.6127839 0.63975155   29    1   94   54   13
74  0.9648044 1.2900346 0.64596273   74    1   95   53   13
