# threshold = 0.00698237227982786
# Area under ROC curve = 0.0169595110771581
# aggregate.tpos = 26
# aggregate.tneg = 0
# aggregate.fpos = 119
# aggregate.fneg = 29
# rocframe: 
              X1    actual  threshold fold tpos tneg fpos fneg
15  3.418150e-12 3.3837436 0.00000000    1   53    0  119    2
147 1.811055e-08 3.3837436 0.00000000    4   53    0  119    2
27  6.796019e-12 3.3837436 0.01388889    1   52    0  119    3
60  3.198244e-14 3.3837436 0.01503759    2   51    0  119    4
4   7.513625e-12 3.3837436 0.02083333    1   49    0  119    6
13  8.372668e-12 3.3837436 0.02083333    1   49    0  119    6
100 3.641413e-07 3.3837436 0.03389831    3   46    0  119    9
107 3.304590e-07 3.3837436 0.03389831    3   46    0  119    9
120 3.493052e-07 3.3837436 0.03389831    3   46    0  119    9
50  8.048507e-14 3.3837436 0.04511278    2   45    0  119   10
116 4.996442e-07 3.3837436 0.05084746    3   44    0  119   11
71  1.027180e-13 3.3837436 0.05263158    2   43    0  119   12
65  2.792432e-13 3.3837436 0.07518797    2   42    0  119   13
12  6.189018e-08 3.2387735 0.07638889    1   40    0  119   15
16  1.551042e-09 3.2980448 0.07638889    1   40    0  119   15
163 2.850077e-07 3.3837436 0.07874016    4   39    0  119   16
101 6.785270e-06 3.2980448 0.08474576    3   38    0  119   17
25  3.635477e-05 3.0491792 0.09027778    1   37    0  119   18
3   6.518175e-05 3.0491792 0.09722222    1   36    0  119   19
41  8.473263e-07 3.0803739 0.09774436    2   34    0  119   21
61  6.203292e-07 3.1138431 0.09774436    2   34    0  119   21
84  4.045320e-03 3.0048371 0.12711864    3   33    0  119   22
148 2.583394e-03 3.0196147 0.14173228    4   32    0  119   23
56  5.687740e-04 2.8615344 0.14285714    2   31    0  119   24
85  1.421825e-02 2.9189211 0.14406780    3   28    0  119   27
102 4.067420e-02 2.8615344 0.14406780    3   28    0  119   27
106 2.577857e-02 2.9119030 0.14406780    3   28    0  119   27
91  6.479238e-02 2.8615344 0.15254237    3   27    0  119   28
87  1.178833e-01 2.7595168 0.16949153    3   26    0  119   29
7   8.863160e-02 2.6887757 0.17361111    1   25    0  119   30
43  3.982251e-02 2.7136585 0.18796992    2   23    0  119   32
58  3.068532e-02 2.6637951 0.18796992    2   23    0  119   32
134 1.447705e-01 2.8865471 0.19685039    4   22    0  119   33
161 2.346957e-01 2.8615344 0.21259843    4   21    0  119   34
11  1.624104e-01 2.6386889 0.21527778    1   20    0  119   35
10  3.928272e-01 2.4366396 0.23611111    1   18    0  119   37
19  4.015074e-01 2.5880475 0.23611111    1   18    0  119   37
108 2.844673e-01 2.6134189 0.24576271    3   17    0  119   38
24  4.692488e-01 2.4549972 0.25694444    1   16    0  119   39
38  2.775690e-01 2.5627685 0.26315789    2   15    0  119   40
164 3.817515e-01 2.7629785 0.26771654    4   14    0  119   41
55  2.989979e-01 2.5880475 0.27067669    2   13    0  119   42
