# Seed = 469
# Site = redarrow
# Method = adalasso-unweighted
# Area under ROC curve = 0.00244461420932009
# aggregate.tpos = 28
# aggregate.tneg = 0
# aggregate.fpos = 119
# aggregate.fneg = 27
# variables: (Intercept), beach_EColiValue, beach_WaterTemp, beach_AirTemp, beach_LakeshoreCurrVel, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_1, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_1, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitationoverupload.RedarrowSum.1hr, Sqrt.Precipitationoverupload.RedarrowSum.2hr, Sqrt.Precipitationoverupload.RedarrowSum.6hr, Sqrt.Precipitationoverupload.RedarrowSum.12hr, Sqrt.Precipitationoverupload.RedarrowSum.24hr, Sqrt.Precipitationoverupload.RedarrowSum.48hr, Sqrt.Precipitationoverupload.RedarrowSum.72hr, Sqrt.Precipitationoverupload.RedarrowSum.120hr, Sqrt.Precipitationoverupload.ManitowocRSum.1hr, Sqrt.Precipitationoverupload.ManitowocRSum.2hr, Sqrt.Precipitationoverupload.ManitowocRSum.6hr, Sqrt.Precipitationoverupload.ManitowocRSum.12hr, Sqrt.Precipitationoverupload.ManitowocRSum.24hr, Sqrt.Precipitationoverupload.ManitowocRSum.48hr, Sqrt.Precipitationoverupload.ManitowocRSum.72hr, Sqrt.Precipitationoverupload.ManitowocRSum.120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.15028901734104
# decision threshold: 0.00370803378598862
# full results: 
       predicted    actual  threshold fold tpos tneg fpos fneg
147 2.473379e-19 3.3837436 0.00000000  147   54    0  119    1
60  1.347360e-19 3.3837436 0.01156069   60   53    0  119    2
163 1.688634e-19 3.3837436 0.01734104  163   52    0  119    3
4   8.273153e-26 3.3837436 0.02312139    4   49    0  119    6
13  1.427090e-26 3.3837436 0.02312139   13   49    0  119    6
120 1.850548e-19 3.3837436 0.02312139  120   49    0  119    6
27  2.912100e-19 3.3837436 0.03468208   27   48    0  119    7
50  4.169594e-19 3.3837436 0.04624277   50   47    0  119    8
100 4.757959e-19 3.3837436 0.05202312  100   46    0  119    9
71  5.900765e-19 3.3837436 0.05780347   71   44    0  119   11
116 4.126967e-26 3.3837436 0.05780347  116   44    0  119   11
15  6.798249e-25 3.3837436 0.06358382   15   42    0  119   13
107 1.749827e-19 3.3837436 0.06358382  107   42    0  119   13
65  1.958700e-18 3.3837436 0.07514451   65   41    0  119   14
16  8.056223e-17 3.2980448 0.08092486   16   40    0  119   15
101 1.930308e-15 3.2980448 0.08670520  101   39    0  119   16
12  1.587296e-12 3.2387735 0.09248555   12   38    0  119   17
61  2.602379e-09 3.1138431 0.09826590   61   37    0  119   18
41  8.221134e-09 3.0803739 0.10404624   41   36    0  119   19
25  6.523420e-08 3.0491792 0.10982659   25   35    0  119   20
84  1.296252e-07 3.0048371 0.11560694   84   34    0  119   21
148 1.868024e-07 3.0196147 0.12138728  148   33    0  119   22
3   5.559338e-07 3.0491792 0.12716763    3   32    0  119   23
85  7.130437e-06 2.9189211 0.13294798   85   31    0  119   24
106 1.819734e-05 2.9119030 0.13872832  106   30    0  119   25
56  5.734161e-05 2.8615344 0.14450867   56   29    0  119   26
91  1.038284e-04 2.8615344 0.15028902   91   28    0  119   27
161 1.198343e-04 2.8615344 0.15606936  161   27    0  119   28
102 1.313676e-04 2.8615344 0.16184971  102   26    0  119   29
134 3.482419e-04 2.8865471 0.16763006  134   25    0  119   30
87  2.473321e-03 2.7595168 0.17341040   87   24    0  119   31
164 3.379718e-03 2.7629785 0.17919075  164   23    0  119   32
7   1.155031e-02 2.6887757 0.18497110    7   22    0  119   33
43  1.362722e-02 2.7136585 0.19075145   43   21    0  119   34
58  2.398212e-02 2.6637951 0.19653179   58   20    0  119   35
11  3.199025e-02 2.6386889 0.20809249   11   18    0  119   37
159 3.462187e-02 2.6386889 0.20809249  159   18    0  119   37
162 4.662264e-02 2.6134189 0.21387283  162   17    0  119   38
171 6.081686e-02 2.6386889 0.22543353  171   16    0  119   39
108 9.721823e-02 2.6134189 0.27167630  108   15    0  119   40
141 1.857924e-01 2.5161386 0.29479769  141   14    0  119   41
10  3.407578e-01 2.4366396 0.30057803   10   12    0  119   43
55  3.866928e-01 2.5880475 0.30057803   55   12    0  119   43
18  3.522755e-01 2.5366847 0.30635838   18   11    0  119   44
14  2.938268e-01 2.3577443 0.31213873   14    5    1  118   50
19  3.108639e-01 2.5880475 0.31213873   19    5    1  118   50
24  3.123362e-01 2.4549972 0.31213873   24    5    1  118   50
38  4.397879e-01 2.5627685 0.31213873   38    5    1  118   50
121 5.066660e-01 2.5125510 0.31213873  121    5    1  118   50
172 5.280656e-01 2.4879863 0.31213873  172    5    1  118   50
174 2.920126e-01 2.5627685 0.31213873  174    5    1  118   50
211 5.115989e-01 2.2871296 0.31791908   21    1    8  111   54
22  7.416858e-01 2.2866810 0.31791908   22    1    8  111   54
28  7.643396e-01 2.2362853 0.31791908   28    1    8  111   54
62  6.450046e-01 2.3398488 0.31791908   62    1    8  111   54
64  6.453080e-01 2.2360331 0.31791908   64    1    8  111   54
129 8.078375e-01 2.4637437 0.31791908  129    1    8  111   54
133 6.601771e-01 2.3769418 0.31791908  133    1    8  111   54
160 6.321365e-01 2.3516031 0.31791908  160    1    8  111   54
166 8.156233e-01 2.4401216 0.31791908  166    1    8  111   54
169 9.506858e-01 2.5125510 0.31791908  169    1    8  111   54
170 1.073479e-01 2.3310222 0.31791908  170    1    8  111   54
33  8.601257e-01 2.2227165 0.32369942   33    1   11  108   54
54  7.393432e-01 2.2227165 0.32369942   54    1   11  108   54
117 8.711693e-01 2.3147097 0.32369942  117    1   11  108   54
130 7.981647e-01 2.1316187 0.32947977  130    1   12  107   54
17  8.837128e-01 2.3829171 0.34682081   17    0   13  106   55
138 8.415168e-01 2.3398488 0.34682081  138    0   13  106   55
112 9.051628e-01 2.2237555 0.35260116  112    0   14  105   55
39  8.713655e-01 2.3308195 0.35838150   39    0   17  102   55
142 8.784607e-01 1.9929951 0.35838150  142    0   17  102   55
165 8.736334e-01 2.1580608 0.35838150  165    0   17  102   55
173 9.021559e-01 2.1580608 0.38150289  173    0   18  101   55
115 9.076488e-01 1.9722028 0.38728324  115    0   19  100   55
66  9.154370e-01 2.3040595 0.39306358   66    0   21   98   55
68  9.235066e-01 2.3516031 0.39306358   68    0   21   98   55
69  9.256689e-01 2.1760913 0.39884393   69    0   22   97   55
70  9.286036e-01 2.2237555 0.40462428   70    0   24   95   55
83  9.249276e-01 2.2367891 0.40462428   83    0   24   95   55
86  9.321283e-01 2.0166155 0.43352601   86    0   25   94   55
132 9.441974e-01 2.1495270 0.44508671  132    0   26   93   55
80  9.584576e-01 2.1628630 0.46242775   80    0   28   91   55
89  9.561697e-01 2.1051694 0.46242775   89    0   28   91   55
167 9.610341e-01 2.1126050 0.47398844  167    0   29   90   55
139 9.608405e-01 2.1553360 0.47976879  139    0   30   89   55
74  9.712349e-01 2.0153598 0.49132948   74    0   33   86   55
93  9.699508e-01 1.9818186 0.49132948   93    0   33   86   55
104 9.728043e-01 2.0870712 0.49132948  104    0   33   86   55
20  9.774517e-01 2.0969100 0.50867052   20    0   38   81   55
40  9.797137e-01 2.1878026 0.50867052   40    0   38   81   55
109 9.771707e-01 2.0795430 0.50867052  109    0   38   81   55
