# threshold = 0.658756867955456
# Area under ROC curve = 0.130675526024363
# aggregate.tpos = 10
# aggregate.tneg = 7
# aggregate.fpos = 122
# aggregate.fneg = 4
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
10  0.3398526 3.3837436 0.00000000    1   13    0  129    1
16  0.3108485 1.9329808 0.02222222    2   11    2  127    3
79  0.7745369 1.8000294 0.02222222    3   11    2  127    3
81  0.7591825 2.9641653 0.02222222    3   11    2  127    3
101 0.7285116 2.4485517 0.02222222    3   11    2  127    3
14  0.6103934 1.6748611 0.02343750    1   11    3  126    3
136 0.4502956 1.7581546 0.02479339    4   11    4  125    3
88  0.7986995 1.5717088 0.04444444    3   11    5  124    3
114 0.8275412 2.3040595 0.05555556    3   11    6  123    3
15  0.7452443 1.9947569 0.06250000    1   11    7  122    3
31  0.6735319 1.9585639 0.06666667    2   10    8  121    4
80  0.8396485 3.2387735 0.06666667    3   10    8  121    4
30  0.7795382 2.6637951 0.07777778    2    9    8  121    5
1   0.7823843 1.5440680 0.07812500    1    9    9  120    5
55  0.7950979 3.1503265 0.08888889    2    8    9  120    6
3   0.8181380 2.5884958 0.09375000    1    7    9  120    7
56  0.8733087 1.3031961 0.10000000    2    7   10  119    7
5   0.8372316 2.5880475 0.10937500    1    6   10  119    8
28  0.9016100 2.0652061 0.12222222    2    6   12  117    8
29  0.9179775 1.9947569 0.12222222    2    6   12  117    8
17  0.9310896 2.1316187 0.16666667    2    5   15  114    9
52  0.9341335 2.8367670 0.16666667    2    5   15  114    9
60  0.9320067 0.4913617 0.16666667    2    5   15  114    9
110 0.8657490 1.3283796 0.16666667    3    5   15  114    9
82  0.8719027 2.5375673 0.18888889    3    4   15  114   10
118 0.8755224 0.4913617 0.21111111    3    4   16  113   10
137 0.8635896 2.3040595 0.21487603    4    4   17  112   10
108 0.8813970 0.7993405 0.22222222    3    4   18  111   10
128 0.8713552 1.6875290 0.22314050    4    4   19  110   10
126 0.8843888 0.3010300 0.23966942    4    4   20  109   10
40  0.9473521 1.5502284 0.24444444    2    4   21  108   10
123 0.8863208 1.2380461 0.24793388    4    4   22  107   10
134 0.8948136 1.2380461 0.25619835    4    4   23  106   10
64  0.9551018 1.2624511 0.26666667    2    4   26  103   10
70  0.8905308 1.6812412 0.26666667    3    4   26  103   10
76  0.8906153 1.8920946 0.26666667    3    4   26  103   10
21  0.9558264 2.8121108 0.27777778    2    3   26  103   11
6   0.9244440 2.0338257 0.28125000    1    3   27  102   11
69  0.8934261 1.8948697 0.28888889    3    3   28  101   11
87  0.8957344 0.0000000 0.30000000    3    3   29  100   11
53  0.9574338 1.7737864 0.31111111    2    3   31   98   11
58  0.9600771 2.1251558 0.31111111    2    3   31   98   11
8   0.9359115 2.0557605 0.31250000    1    3   32   97   11
109 0.8974940 1.0827854 0.32222222    3    3   33   96   11
67  0.9635618 1.2201081 0.33333333    2    3   34   95   11
11  0.9432480 1.9818186 0.34375000    1    3   35   94   11
39  0.9643530 1.0827854 0.34444444    2    3   37   92   11
57  0.9643184 2.1316187 0.34444444    2    3   37   92   11
18  0.9647689 1.4248816 0.35555556    2    2   39   90   12
43  0.9645954 2.4637437 0.35555556    2    2   39   90   12
68  0.9647162 2.2105860 0.35555556    2    2   39   90   12
12  0.9445845 1.2671717 0.35937500    1    2   40   89   12
78  0.9019299 1.0413927 0.36666667    3    2   41   88   12
48  0.9654080 2.6889535 0.37777778    2    1   41   88   13
138 0.9341266 0.0000000 0.38842975    4    1   43   86   13
140 0.9345535 1.0863598 0.38842975    4    1   43   86   13
135 0.9422611 0.4771213 0.42975207    4    1   45   84   13
141 0.9418793 0.8633229 0.42975207    4    1   45   84   13
130 0.9487031 0.8750613 0.47933884    4    1   46   83   13
7   0.9568139 1.0253059 0.48437500    1    1   48   81   13
9   0.9574002 1.6314438 0.48437500    1    1   48   81   13
27  0.9671496 0.4771213 0.50000000    2    1   49   80   13
19  0.9673496 0.3010300 0.51111111    2    1   51   78   13
66  0.9674451 0.9084850 0.51111111    2    1   51   78   13
46  0.9679555 2.1433271 0.54444444    2    1   52   77   13
37  0.9688363 0.9294189 0.56666667    2    1   53   76   13
23  0.9691468 1.3483049 0.58888889    2    1   56   73   13
33  0.9692267 0.0000000 0.58888889    2    1   56   73   13
47  0.9690152 1.5327544 0.58888889    2    1   56   73   13
20  0.9695619 0.0000000 0.67777778    2    1   61   68   13
22  0.9695619 1.0374265 0.67777778    2    1   61   68   13
26  0.9695759 0.0000000 0.67777778    2    1   61   68   13
59  0.9695619 0.9867717 0.67777778    2    1   61   68   13
61  0.9698010 0.3010300 0.67777778    2    1   61   68   13
32  0.9710595 0.7160033 0.73333333    2    1   62   67   13
2   0.9579180 0.3010300 1.00000000    1    0  129    0   14
4   0.9579180 0.7160033 1.00000000    1    0  129    0   14
13  0.9579180 1.4132998 1.00000000    1    0  129    0   14
24  0.9713008 0.0000000 1.00000000    2    0  129    0   14
25  0.9713008 0.9242793 1.00000000    2    0  129    0   14
34  0.9730342 0.0000000 1.00000000    2    0  129    0   14
35  0.9730342 1.6138418 1.00000000    2    0  129    0   14
36  0.9730342 1.5263393 1.00000000    2    0  129    0   14
38  0.9730342 0.0000000 1.00000000    2    0  129    0   14
41  0.9730342 1.4955443 1.00000000    2    0  129    0   14
42  0.9730342 1.4456042 1.00000000    2    0  129    0   14
44  0.9730342 1.5717088 1.00000000    2    0  129    0   14
45  0.9730342 3.0196147 1.00000000    2    0  129    0   14
49  0.9730342 1.1205739 1.00000000    2    0  129    0   14
50  0.9713008 1.2068259 1.00000000    2    0  129    0   14
51  0.9713008 0.3010300 1.00000000    2    0  129    0   14
54  0.9730342 1.7656686 1.00000000    2    0  129    0   14
62  0.9713008 1.2430380 1.00000000    2    0  129    0   14
63  0.9713008 0.9822712 1.00000000    2    0  129    0   14
65  0.9713008 1.3856063 1.00000000    2    0  129    0   14
71  0.9074379 0.7993405 1.00000000    3    0  129    0   14
72  0.9074379 0.7160033 1.00000000    3    0  129    0   14
73  0.9074379 0.3010300 1.00000000    3    0  129    0   14
74  0.9074379 0.4913617 1.00000000    3    0  129    0   14
75  0.9074379 0.9344985 1.00000000    3    0  129    0   14
77  0.9074379 1.2041200 1.00000000    3    0  129    0   14
83  0.9074379 0.6127839 1.00000000    3    0  129    0   14
84  0.9074379 0.0000000 1.00000000    3    0  129    0   14
85  0.9074379 1.0827854 1.00000000    3    0  129    0   14
86  0.9074379 1.9818186 1.00000000    3    0  129    0   14
89  0.9074379 0.3010300 1.00000000    3    0  129    0   14
