# threshold = 0.690571746136899
# Area under ROC curve = 0.236380952380952
# aggregate.tpos = 19
# aggregate.tneg = 27
# aggregate.fpos = 98
# aggregate.fneg = 23
# rocframe: 
           X1    actual   threshold fold tpos tneg fpos fneg
18  0.3023338 3.3837436 0.000000000    1   39    0  125    3
94  0.3524929 3.3837436 0.000000000    3   39    0  125    3
117 0.4150396 3.0048371 0.000000000    3   39    0  125    3
93  0.5354427 2.3174365 0.008849558    3   37    2  123    5
95  0.4574806 2.2631625 0.008849558    3   37    2  123    5
116 0.4720849 3.3837436 0.008849558    3   37    2  123    5
125 0.4791325 3.3837436 0.008849558    3   37    2  123    5
47  0.4683989 2.7567882 0.032520325    2   36    2  123    6
119 0.6161796 3.3837436 0.035398230    3   34    2  123    8
126 0.6143567 3.3837436 0.035398230    3   34    2  123    8
8   0.5800969 3.3837436 0.046153846    1   33    2  123    9
120 0.6443448 1.7535831 0.053097345    3   33    3  122    9
20  0.6461386 1.5263393 0.061538462    1   33    4  121    9
56  0.5937323 3.3837436 0.065040650    2   32    4  121   10
3   0.6742676 3.3837436 0.069230769    1   30    4  121   12
7   0.6561913 2.4350476 0.069230769    1   30    4  121   12
82  0.6743575 1.6665180 0.097345133    3   29    5  120   13
112 0.6856177 2.4201208 0.097345133    3   29    5  120   13
1   0.7086362 2.5366847 0.100000000    1   28    5  120   14
46  0.6460386 2.7136585 0.105691057    2   27    5  120   15
148 0.6182396 0.4913617 0.125925926    4   27    6  119   15
29  0.7252661 1.8709888 0.130769231    1   27    7  118   15
19  0.7508711 2.2367891 0.146153846    1   26    8  117   16
24  0.7519691 2.8121108 0.146153846    1   26    8  117   16
41  0.6819292 2.0318123 0.146341463    2   26    9  116   16
4   0.7557144 3.2980448 0.153846154    1   25   10  115   17
30  0.7554501 1.6042261 0.153846154    1   25   10  115   17
45  0.6975455 2.9914033 0.162601626    2   24   10  115   18
66  0.7082396 2.6190933 0.170731707    2   23   10  115   19
6   0.7606314 1.5717088 0.176923077    1   23   11  114   19
129 0.7301688 1.3263359 0.176991150    3   23   12  113   19
65  0.7177145 2.3380579 0.178861789    2   23   13  112   19
159 0.6723292 2.3769418 0.185185185    4   22   13  112   20
111 0.7333622 2.2387986 0.185840708    3   22   14  111   20
59  0.7235417 2.2000293 0.186991870    2   22   15  110   20
136 0.6753262 2.3218055 0.192592593    4   22   18  107   20
137 0.6820055 2.3310222 0.192592593    4   22   18  107   20
142 0.6851626 1.2041200 0.192592593    4   22   18  107   20
134 0.7401908 1.6314438 0.194690265    3   22   19  106   20
118 0.7422817 1.8095597 0.203539823    3   22   20  105   20
44  0.7373522 2.0338257 0.211382114    2   22   22  103   20
63  0.7387266 2.1433271 0.211382114    2   22   22  103   20
83  0.7596479 0.4913617 0.212389381    3   21   24  101   21
104 0.7464961 3.3837436 0.212389381    3   21   24  101   21
130 0.7562469 1.4248816 0.212389381    3   21   24  101   21
13  0.7853259 2.5627685 0.230769231    1   20   24  101   22
80  0.7553036 1.9355073 0.235772358    2   20   25  100   22
133 0.7655993 1.5538830 0.256637168    3   20   26   99   22
165 0.7204334 3.2387735 0.266666667    4   19   26   99   23
124 0.7695144 1.9283959 0.274336283    3   19   27   98   23
49  0.7695523 3.3837436 0.276422764    2   18   27   98   24
76  0.7738511 2.0406023 0.292682927    2   18   28   97   24
57  0.7772176 3.3837436 0.300813008    2   17   28   97   25
160 0.7517278 1.0791812 0.318518519    4   17   29   96   25
139 0.7541712 1.7853298 0.325925926    4   17   30   95   25
161 0.7613524 1.9943172 0.340740741    4   17   31   94   25
153 0.7655635 1.5440680 0.355555556    4   17   32   93   25
15  0.8141564 1.8920946 0.361538462    1   17   34   91   25
25  0.8145173 2.1804126 0.361538462    1   17   34   91   25
96  0.7985683 1.8870544 0.362831858    3   17   35   90   25
21  0.8153166 2.6134189 0.369230769    1   16   35   90   26
