# Seed = 882
# Site = hika
# Method = adalasso-weighted
# Area under ROC curve = 0.296761904761905
# aggregate.tpos = 21
# aggregate.tneg = 35
# aggregate.fpos = 90
# aggregate.fneg = 21
# variables: (Intercept), beach_WaterTemp, beach_AirTemp, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, Sheboygan_Discharge_Diff_6, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_1, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_1, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, Sqrt.Precipitation.over.upload.ManitowocR.Sum..1hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..2hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..6hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..12hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..24hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..48hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..72hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..120hr, Sqrt.Precipitation.over.upload.hika.Sum..1hr, Sqrt.Precipitation.over.upload.hika.Sum..2hr, Sqrt.Precipitation.over.upload.hika.Sum..6hr, Sqrt.Precipitation.over.upload.hika.Sum..12hr, Sqrt.Precipitation.over.upload.hika.Sum..24hr, Sqrt.Precipitation.over.upload.hika.Sum..48hr, Sqrt.Precipitation.over.upload.hika.Sum..72hr, Sqrt.Precipitation.over.upload.hika.Sum..120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, log.Sheboygan_Discharge_Mean_1, log.Sheboygan_Discharge_Mean_2, log.Sheboygan_Discharge_Mean_6, log.Sheboygan_Discharge_Mean_12, log.Sheboygan_Discharge_Mean_24, log.Sheboygan_Discharge_Mean_48, log.Sheboygan_Discharge_Mean_72, log.Sheboygan_Discharge_Mean_120, log.Sheboygan_Discharge_Min_1, log.Sheboygan_Discharge_Min_2, log.Sheboygan_Discharge_Min_6, log.Sheboygan_Discharge_Min_12, log.Sheboygan_Discharge_Min_24, log.Sheboygan_Discharge_Min_48, log.Sheboygan_Discharge_Min_72, log.Sheboygan_Discharge_Min_120, log.Sheboygan_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.349397590361446
# decision threshold: 0.786336603931708
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
18  0.2256784 3.3837436 0.000000000   18   41    0  125    1
94  0.2765883 3.3837436 0.006024096   94   40    0  125    2
116 0.3286944 3.3837436 0.012048193  116   39    0  125    3
93  0.3524649 2.3174365 0.024096386   93   39    1  124    3
47  0.3936625 2.7567882 0.030120482   47   37    1  124    5
117 0.4040056 3.0048371 0.030120482  117   37    1  124    5
95  0.3957974 2.2631625 0.036144578   95   36    2  123    6
125 0.4406854 3.3837436 0.036144578  125   36    2  123    6
119 0.4723670 3.3837436 0.042168675  119   35    2  123    7
56  0.5099610 3.3837436 0.060240964   56   34    2  123    8
3   0.5404891 3.3837436 0.066265060    3   33    3  122    9
20  0.5105865 1.5263393 0.066265060   20   33    3  122    9
8   0.5733934 3.3837436 0.084337349    8   32    3  122   10
112 0.5805837 2.4201208 0.090361446  112   31    4  121   11
136 0.5335649 2.3218055 0.090361446  136   31    4  121   11
7   0.6127077 2.4350476 0.114457831    7   29    6  119   13
120 0.6011358 1.7535831 0.114457831  120   29    6  119   13
148 0.6204578 0.4913617 0.114457831  148   29    6  119   13
159 0.6285273 2.3769418 0.114457831  159   29    6  119   13
4   0.6472229 3.2980448 0.120481928    4   28    7  118   14
124 0.6150927 1.9283959 0.120481928  124   28    7  118   14
2   0.6700646 2.5366847 0.132530120    1   27    9  116   15
29  0.6267233 1.8709888 0.132530120   29   27    9  116   15
111 0.6386922 2.2387986 0.132530120  111   27    9  116   15
126 0.6723598 3.3837436 0.144578313  126   26    9  116   16
19  0.6424761 2.2367891 0.156626506   19   26   11  114   16
82  0.6382271 1.6665180 0.156626506   82   26   11  114   16
59  0.6565138 2.2000293 0.162650602   59   26   12  113   16
142 0.6567958 1.2041200 0.168674699  142   26   13  112   16
46  0.6725790 2.7136585 0.174698795   46   24   13  112   18
66  0.6750098 2.6190933 0.174698795   66   24   13  112   18
44  0.6677917 2.0338257 0.192771084   44   24   14  111   18
30  0.6713546 1.6042261 0.198795181   30   24   17  108   18
137 0.6636620 2.3310222 0.198795181  137   24   17  108   18
139 0.6666809 1.7853298 0.198795181  139   24   17  108   18
41  0.6809654 2.0318123 0.210843373   41   24   18  107   18
118 0.6766158 1.8095597 0.216867470  118   24   19  106   18
6   0.6833482 1.5717088 0.222891566    6   23   20  105   19
45  0.6972257 2.9914033 0.222891566   45   23   20  105   19
165 0.7079635 3.2387735 0.228915663  165   22   20  105   20
65  0.7009973 2.3380579 0.240963855   65   22   21  104   20
61  0.6991308 1.9355073 0.246987952   61   22   22  103   20
153 0.7153337 1.5440680 0.259036145  153   22   23  102   20
15  0.7163196 1.8920946 0.265060241   15   22   26   99   20
143 0.7158015 1.6599162 0.265060241  143   22   26   99   20
145 0.7138540 1.5843312 0.265060241  145   22   26   99   20
63  0.7206502 2.1433271 0.271084337   63   22   27   98   20
130 0.7260752 1.4248816 0.283132530  130   22   28   97   20
133 0.7247545 1.5538830 0.289156627  133   22   30   95   20
160 0.7246378 1.0791812 0.289156627  160   22   30   95   20
161 0.7253319 1.9943172 0.295180723  161   22   31   94   20
103 0.7366448 3.2980448 0.313253012  103   21   32   93   21
134 0.7286386 1.6314438 0.313253012  134   21   32   93   21
129 0.7309472 1.3263359 0.319277108  129   21   33   92   21
83  0.7326882 0.4913617 0.331325301   83   21   34   91   21
9   0.7427224 0.3010300 0.349397590    9   21   35   90   21
57  0.7608587 3.3837436 0.361445783   57   20   35   90   22
70  0.7547507 1.8000294 0.373493976   70   20   37   88   22
155 0.7575852 1.2988531 0.373493976  155   20   37   88   22
39  0.7579293 2.3398488 0.379518072   39   20   38   87   22
13  0.7645476 2.5627685 0.385542169   13   17   38   87   25
211 0.7713591 2.6134189 0.385542169   21   17   38   87   25
24  0.7635272 2.8121108 0.385542169   24   17   38   87   25
96  0.7609865 1.8870544 0.391566265   96   17   40   85   25
141 0.7608005 2.0338257 0.391566265  141   17   40   85   25
131 0.7682084 0.8512583 0.403614458  131   17   42   83   25
144 0.7679642 1.7972675 0.403614458  144   17   42   83   25
16  0.7771928 3.3837436 0.409638554   16   16   43   82   26
60  0.7688566 2.1027766 0.409638554   60   16   43   82   26
14  0.7744915 2.0297895 0.415662651   14   16   46   79   26
149 0.7705221 1.8129134 0.415662651  149   16   46   79   26
154 0.7671799 1.4653829 0.415662651  154   16   46   79   26
138 0.7797916 2.4350476 0.421686747  138   15   46   79   27
85  0.7725416 2.1525941 0.427710843   85   15   47   78   27
69  0.7731420 1.6866363 0.433734940   69   15   48   77   27
62  0.7772693 1.4712917 0.439759036   62   15   50   75   27
121 0.7775647 1.3344538 0.439759036  121   15   50   75   27
104 0.7857390 3.3837436 0.451807229  104   13   50   75   29
115 0.7876385 2.9825426 0.451807229  115   13   50   75   29
21  0.7983340 2.5375673 0.469879518    2   12   50   75   30
38  0.7947673 0.3010300 0.481927711   38   11   51   74   31
146 0.8075077 2.5779511 0.481927711  146   11   51   74   31
76  0.7934977 2.0406023 0.487951807   76   11   52   73   31
97  0.7965229 2.2387986 0.493975904   97   11   53   72   31
25  0.7979464 2.1804126 0.506024096   25   10   54   71   32
156 0.8071865 3.1911994 0.506024096  156   10   54   71   32
74  0.7992041 1.9484130 0.512048193   74   10   55   70   32
58  0.8018049 2.3583156 0.518072289   58   10   57   68   32
84  0.8014962 1.1271048 0.518072289   84   10   57   68   32
90  0.8059721 1.5158738 0.536144578   90   10   58   67   32
50  0.8081972 1.4593925 0.542168675   50    9   60   65   33
80  0.8062831 1.9355073 0.542168675   80    9   60   65   33
158 0.8234727 2.8865471 0.542168675  158    9   60   65   33
51  0.8134709 1.6884198 0.560240964   51    9   61   64   33
86  0.8143662 1.5024271 0.572289157   86    9   62   63   33
53  0.8153411 2.2355284 0.578313253   53    9   65   60   33
109 0.8165917 1.3891661 0.578313253  109    9   65   60   33
123 0.8148592 1.7041505 0.578313253  123    9   65   60   33
34  0.8161350 2.2671717 0.584337349   34    9   67   58   33
68  0.8159281 1.3979400 0.584337349   68    9   67   58   33
162 0.8161095 2.1386184 0.590361446  162    9   68   57   33
167 0.8176274 1.7371926 0.608433735  167    9   69   56   33
151 0.8199462 2.1448854 0.614457831  151    9   70   55   33
98  0.8203703 1.5670264 0.632530120   98    9   72   53   33
166 0.8185487 1.8394780 0.632530120  166    9   72   53   33
26  0.8197912 1.1643529 0.644578313   26    9   73   52   33
11  0.8222924 1.3765770 0.650602410   11    9   74   51   33
127 0.8252374 1.4116197 0.668674699  127    9   75   50   33
10  0.8314385 2.5880475 0.674698795   10    8   76   49   34
27  0.8239562 0.7993405 0.674698795   27    8   76   49   34
37  0.8244820 1.7024305 0.680722892   37    8   79   46   34
54  0.8270367 1.3710679 0.680722892   54    8   79   46   34
102 0.8236419 1.2944662 0.680722892  102    8   79   46   34
107 0.8249695 1.3384565 0.686746988  107    8   83   42   34
147 0.8239647 2.0874265 0.686746988  147    8   83   42   34
152 0.8246743 1.4183013 0.686746988  152    8   83   42   34
164 0.8253390 1.6314438 0.686746988  164    8   83   42   34
77  0.8356616 2.6887757 0.704819277   77    7   83   42   35
17  0.8403727 2.4834446 0.710843373   17    6   84   41   36
35  0.8268931 2.2796669 0.710843373   35    6   84   41   36
135 0.8429059 2.7629785 0.728915663  135    5   84   41   37
75  0.8284557 1.9703469 0.734939759   75    5   85   40   37
105 0.8317487 1.3856063 0.746987952  105    5   86   39   37
49  0.8418622 3.3837436 0.753012048   49    4   87   38   38
132 0.8351708 0.3010300 0.753012048  132    4   87   38   38
108 0.8365794 1.3384565 0.759036145  108    4   88   37   38
92  0.8344532 1.9576073 0.765060241   92    4   90   35   38
163 0.8340286 1.6294096 0.765060241  163    4   90   35   38
33  0.8350970 1.3820170 0.783132530   33    4   93   32   38
40  0.8348653 1.6009729 0.783132530   40    4   93   32   38
91  0.8370685 1.7986506 0.783132530   91    4   93   32   38
12  0.8359929 1.1172713 0.789156627   12    4   94   31   38
99  0.8487227 3.3837436 0.795180723   99    3   94   31   39
113 0.8375931 1.5888317 0.807228916  113    3   95   30   39
23  0.8387001 2.1664301 0.813253012   23    3   97   28   39
157 0.8397279 1.4742163 0.813253012  157    3   97   28   39
87  0.8404756 1.6928469 0.819277108   87    3   98   27   39
114 0.8414920 2.2309596 0.825301205  114    3  100   25   39
128 0.8409023 0.6127839 0.825301205  128    3  100   25   39
106 0.8421144 1.4756712 0.843373494  106    3  101   24   39
22  0.8441295 2.2000293 0.849397590   22    3  103   22   39
36  0.8443467 1.5024271 0.849397590   36    3  103   22   39
110 0.8442211 1.6866363 0.855421687  110    3  104   21   39
88  0.8449431 1.5263393 0.867469880   88    3  105   20   39
5   0.8472053 1.7767012 0.879518072    5    3  107   18   39
140 0.8468153 1.9138139 0.879518072  140    3  107   18   39
78  0.8480004 1.0374265 0.891566265   78    3  108   17   39
64  0.8490743 2.1598678 0.897590361   64    3  109   16   39
55  0.8495460 1.9020029 0.909638554   55    3  111   14   39
150 0.8496282 0.3010300 0.909638554  150    3  111   14   39
43  0.8497801 1.3961993 0.921686747   43    3  112   13   39
52  0.8505602 1.3483049 0.927710843   52    3  114   11   39
71  0.8512703 0.3010300 0.927710843   71    3  114   11   39
79  0.8518386 1.1643529 0.933734940   79    3  116    9   39
122 0.8520507 0.9030900 0.933734940  122    3  116    9   39
42  0.8652141 2.4637437 0.939759036   42    2  116    9   40
48  0.8539540 1.8469553 0.951807229   48    2  117    8   40
101 0.8554714 2.1734776 0.957831325  101    2  118    7   40
89  0.8556894 0.0000000 0.963855422   89    2  119    6   40
28  0.8592946 1.6532125 0.969879518   28    2  120    5   40
32  0.8621333 1.3579348 0.975903614   32    2  122    3   40
67  0.8620933 0.6127839 0.975903614   67    2  122    3   40
31  0.8633611 1.1430148 0.987951807   31    2  123    2   40
72  0.8637756 1.5786392 0.993975904   72    2  124    1   40
73  0.8660189 0.3010300 1.000000000   73    0  125    0   42
81  0.9320760 2.5161386 1.000000000   81    0  125    0   42
100 0.8273919 2.7271344 1.000000000  100    0  125    0   42
