# threshold = 0.945911623936749
# Area under ROC curve = 0.125268125268125
# aggregate.tpos = 1
# aggregate.tneg = 101
# aggregate.fpos = 10
# aggregate.fneg = 20
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
2   0.1436304 2.9914033 0.00000000    1   19    0  111    2
14  0.2579693 2.3960249 0.00000000    1   19    0  111    2
4   0.4485264 2.1316187 0.01754386    1   19    1  110    2
126 0.9080333 2.9914033 0.02479339    4   18    1  110    3
18  0.5031093 2.3040595 0.02631579    1   18    2  109    3
80  0.8931065 1.3344538 0.03846154    3   17    4  107    4
81  0.9042508 2.0437551 0.03846154    3   17    4  107    4
101 0.8961828 3.3837436 0.03846154    3   17    4  107    4
118 0.9152220 1.4842998 0.05128205    3   17    5  106    4
6   0.7291806 1.5888317 0.05263158    1   17    6  105    4
3   0.7613200 0.4913617 0.06140351    1   16    7  104    5
8   0.7990000 2.6386889 0.06140351    1   16    7  104    5
110 0.9203853 1.1613680 0.06410256    3   16    8  103    5
30  0.9337007 2.5985717 0.09638554    2   15    8  103    6
21  0.9356637 0.7993405 0.10843373    2   13    9  102    8
29  0.9356637 3.3837436 0.10843373    2   13    9  102    8
31  0.9356637 2.7136585 0.10843373    2   13    9  102    8
51  0.9370195 1.5854607 0.15662651    2   13   10  101    8
16  0.9416153 0.9242793 0.33333333    1   13   11  100    8
1   0.9428819 0.6127839 0.34210526    1   13   12   99    8
7   0.9522636 0.0000000 0.35964912    1   13   13   98    8
10  0.9617664 0.0000000 0.42982456    1   13   14   97    8
9   0.9626814 2.0406023 0.43859649    1   13   15   96    8
5   0.9658214 1.2855573 0.49122807    1   13   16   95    8
15  0.9674752 1.1903317 0.51754386    1   13   17   94    8
17  0.9703176 1.7024305 0.60526316    1   13   18   93    8
12  0.9716823 0.9344985 0.61403509    1   13   19   92    8
11  0.9769603 2.7136585 0.77192982    1   12   19   92    9
13  0.9794038 1.1303338 0.86842105    1   12   20   91    9
19  0.9401826 1.9464523 1.00000000    2    0  111    0   21
20  0.9401826 1.9698816 1.00000000    2    0  111    0   21
22  0.9401826 0.3010300 1.00000000    2    0  111    0   21
23  0.9401826 0.0000000 1.00000000    2    0  111    0   21
24  0.9401826 0.0000000 1.00000000    2    0  111    0   21
25  0.9401826 0.0000000 1.00000000    2    0  111    0   21
26  0.9401826 0.3010300 1.00000000    2    0  111    0   21
27  0.9401826 0.7160033 1.00000000    2    0  111    0   21
28  0.9401826 2.8615344 1.00000000    2    0  111    0   21
32  0.9401826 0.8750613 1.00000000    2    0  111    0   21
33  0.9401826 1.2068259 1.00000000    2    0  111    0   21
34  0.9401826 0.0000000 1.00000000    2    0  111    0   21
35  0.9401826 1.0413927 1.00000000    2    0  111    0   21
36  0.9401826 1.2329961 1.00000000    2    0  111    0   21
37  0.9401826 0.6127839 1.00000000    2    0  111    0   21
38  0.9401826 1.4842998 1.00000000    2    0  111    0   21
39  0.9401826 2.1504494 1.00000000    2    0  111    0   21
40  0.9401826 0.3010300 1.00000000    2    0  111    0   21
41  0.9401826 2.4549972 1.00000000    2    0  111    0   21
42  0.9401826 1.1643529 1.00000000    2    0  111    0   21
43  0.9401826 0.7160033 1.00000000    2    0  111    0   21
44  0.9401826 2.4879863 1.00000000    2    0  111    0   21
45  0.9401826 2.2367891 1.00000000    2    0  111    0   21
46  0.9401826 2.3529539 1.00000000    2    0  111    0   21
47  0.9401826 2.5125510 1.00000000    2    0  111    0   21
48  0.9401826 0.7993405 1.00000000    2    0  111    0   21
49  0.9401826 1.6009729 1.00000000    2    0  111    0   21
50  0.9401826 2.2370408 1.00000000    2    0  111    0   21
52  0.9401826 1.1931246 1.00000000    2    0  111    0   21
53  0.9401826 1.3926970 1.00000000    2    0  111    0   21
54  0.9401826 1.4955443 1.00000000    2    0  111    0   21
55  0.9401826 2.7629785 1.00000000    2    0  111    0   21
56  0.9401826 2.1525941 1.00000000    2    0  111    0   21
57  0.9401826 0.8692317 1.00000000    2    0  111    0   21
58  0.9401826 0.7993405 1.00000000    2    0  111    0   21
59  0.9401826 1.5658478 1.00000000    2    0  111    0   21
60  0.9401826 1.7795965 1.00000000    2    0  111    0   21
61  0.9401826 1.0374265 1.00000000    2    0  111    0   21
62  0.9401826 0.9912261 1.00000000    2    0  111    0   21
63  0.9401826 0.8573325 1.00000000    2    0  111    0   21
64  0.9401826 0.6127839 1.00000000    2    0  111    0   21
65  0.9401826 1.4393327 1.00000000    2    0  111    0   21
66  0.9401826 2.8615344 1.00000000    2    0  111    0   21
67  0.9401826 2.0413927 1.00000000    2    0  111    0   21
68  0.9269745 1.6106602 1.00000000    3    0  111    0   21
69  0.9269745 1.9925535 1.00000000    3    0  111    0   21
70  0.9269745 1.9956352 1.00000000    3    0  111    0   21
71  0.9269745 0.8692317 1.00000000    3    0  111    0   21
72  0.9269745 0.3010300 1.00000000    3    0  111    0   21
73  0.9269745 0.0000000 1.00000000    3    0  111    0   21
74  0.9269745 0.0000000 1.00000000    3    0  111    0   21
75  0.9269745 1.1303338 1.00000000    3    0  111    0   21
76  0.9269745 2.9119030 1.00000000    3    0  111    0   21
77  0.9269745 0.4771213 1.00000000    3    0  111    0   21
78  0.9269745 0.3010300 1.00000000    3    0  111    0   21
79  0.9269745 2.9377184 1.00000000    3    0  111    0   21
82  0.9269745 1.9454686 1.00000000    3    0  111    0   21
83  0.9269745 1.9454686 1.00000000    3    0  111    0   21
84  0.9269745 1.5786392 1.00000000    3    0  111    0   21
85  0.9269745 1.2944662 1.00000000    3    0  111    0   21
86  0.9269745 1.1931246 1.00000000    3    0  111    0   21
87  0.9269745 1.3283796 1.00000000    3    0  111    0   21
88  0.9269745 2.2372923 1.00000000    3    0  111    0   21
89  0.9269745 1.6009729 1.00000000    3    0  111    0   21
90  0.9269745 1.7234557 1.00000000    3    0  111    0   21
91  0.9269745 2.2636361 1.00000000    3    0  111    0   21
92  0.9269745 2.0744507 1.00000000    3    0  111    0   21
93  0.9269745 1.9079485 1.00000000    3    0  111    0   21
94  0.9269745 1.8000294 1.00000000    3    0  111    0   21
95  0.9269745 2.0744507 1.00000000    3    0  111    0   21
96  0.9269745 2.4141374 1.00000000    3    0  111    0   21
97  0.9269745 2.4549972 1.00000000    3    0  111    0   21
98  0.9269745 1.9947569 1.00000000    3    0  111    0   21
99  0.9269745 1.8000294 1.00000000    3    0  111    0   21
100 0.9269745 1.2944662 1.00000000    3    0  111    0   21
102 0.9269745 2.1804126 1.00000000    3    0  111    0   21
103 0.9269745 2.0182843 1.00000000    3    0  111    0   21
104 0.9269745 2.1804126 1.00000000    3    0  111    0   21
105 0.9269745 1.2253093 1.00000000    3    0  111    0   21
106 0.9269745 1.3979400 1.00000000    3    0  111    0   21
107 0.9269745 0.4913617 1.00000000    3    0  111    0   21
108 0.9269745 1.3765770 1.00000000    3    0  111    0   21
109 0.9269745 1.5198280 1.00000000    3    0  111    0   21
111 0.9269745 0.7160033 1.00000000    3    0  111    0   21
112 0.9269745 0.7993405 1.00000000    3    0  111    0   21
113 0.9269745 1.5378191 1.00000000    3    0  111    0   21
114 0.9269745 1.1303338 1.00000000    3    0  111    0   21
115 0.9269745 1.5092025 1.00000000    3    0  111    0   21
116 0.9269745 1.2278867 1.00000000    3    0  111    0   21
117 0.9269745 0.7993405 1.00000000    3    0  111    0   21
119 0.9269745 0.3010300 1.00000000    3    0  111    0   21
120 0.9269745 1.3909351 1.00000000    3    0  111    0   21
121 0.9269745 0.9294189 1.00000000    3    0  111    0   21
122 0.9459116 2.5627685 1.00000000    4    0  111    0   21
123 0.9459116 1.6294096 1.00000000    4    0  111    0   21
124 0.9459116 1.4548449 1.00000000    4    0  111    0   21
125 0.9459116 1.6170003 1.00000000    4    0  111    0   21
127 0.9459116 1.8970770 1.00000000    4    0  111    0   21
128 0.9459116 1.8998205 1.00000000    4    0  111    0   21
129 0.9459116 1.3636120 1.00000000    4    0  111    0   21
