# Seed = 985
# Site = kreher
# Method = adalasso-weighted
# Area under ROC curve = 0.255255255255255
# aggregate.tpos = 11
# aggregate.tneg = 10
# aggregate.fpos = 101
# aggregate.fneg = 10
# variables: (Intercept), beach_Sc, beach_WaterTemp, beach_AirTemp, trib_BayCityCreekAtHwy204026368_TribSc, beach_LakeshoreCurrVel, beach_NoGeese, beach_NoGulls, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Whittlesey_Discharge_Diff_6, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_2, HeightAboveSeaLevel_Mean_6, HeightAboveSeaLevel_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.kreher.Sum..1hr, Sqrt.Precipitation.over.upload.kreher.Sum..2hr, Sqrt.Precipitation.over.upload.kreher.Sum..6hr, Sqrt.Precipitation.over.upload.kreher.Sum..12hr, Sqrt.Precipitation.over.upload.kreher.Sum..24hr, Sqrt.Precipitation.over.upload.kreher.Sum..48hr, Sqrt.Precipitation.over.upload.kreher.Sum..72hr, Sqrt.Precipitation.over.upload.kreher.Sum..120hr, Sqrt.Precipitation.over.upload.maslowski.Sum..1hr, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, Sqrt.Precipitation.over.upload.maslowski.Sum..6hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..48hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..120hr, Sqrt.Whittlesey_ARF_Sum_1, Sqrt.Whittlesey_ARF_Sum_2, Sqrt.Whittlesey_ARF_Sum_6, Sqrt.Whittlesey_ARF_Sum_12, Sqrt.Whittlesey_ARF_Sum_24, Sqrt.Whittlesey_ARF_Sum_48, Sqrt.Whittlesey_ARF_Sum_72, Sqrt.Whittlesey_ARF_Sum_120, log.Whittlesey_Discharge_Mean_1, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Mean_6, log.Whittlesey_Discharge_Mean_12, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Mean_48, log.Whittlesey_Discharge_Mean_72, log.Whittlesey_Discharge_Mean_120, log.Whittlesey_Discharge_Min_1, log.Whittlesey_Discharge_Min_2, log.Whittlesey_Discharge_Min_6, log.Whittlesey_Discharge_Min_12, log.Whittlesey_Discharge_Min_24, log.Whittlesey_Discharge_Min_48, log.Whittlesey_Discharge_Min_72, log.Whittlesey_Discharge_Min_120, log.Whittlesey_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.145038167938931
# decision threshold: 0.940099749533307
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
21  0.1597978 2.9914033 0.00000000    2   19    0  111    2
14  0.1187345 2.3960249 0.00000000   14   19    0  111    2
30  0.3768944 2.5985717 0.01526718   30   18    0  111    3
31  0.4026989 2.7136585 0.02290076   31   17    0  111    4
4   0.4306031 2.1316187 0.03053435    4   17    1  110    4
125 0.3853717 1.6170003 0.05343511  125   17    2  109    4
18  0.4796300 2.3040595 0.06106870   18   17    3  108    4
58  0.4577775 0.7993405 0.06870229   58   17    4  107    4
29  0.5551969 3.3837436 0.07633588   29   16    4  107    5
3   0.6076053 0.4913617 0.08396947    3   14    5  106    7
55  0.6241555 2.7629785 0.08396947   55   14    5  106    7
126 0.6344928 2.9914033 0.08396947  126   14    5  106    7
23  0.6091117 0.0000000 0.09160305   23   14    6  105    7
80  0.6711135 1.3344538 0.10687023   80   14    7  104    7
41  0.7073794 2.4549972 0.11450382   41   11    7  104   10
76  0.7124281 2.9119030 0.11450382   76   11    7  104   10
101 0.6614498 3.3837436 0.11450382  101   11    7  104   10
6   0.6715752 1.5888317 0.12213740    6   11    9  102   10
69  0.6549621 1.9925535 0.12213740   69   11    9  102   10
116 0.7190449 1.2278867 0.14503817  116   11   10  101   10
28  0.7389999 2.8615344 0.15267176   28   10   11  100   11
57  0.7061049 0.8692317 0.15267176   57   10   11  100   11
10  0.7369472 0.0000000 0.16793893   10   10   12   99   11
42  0.7347208 1.1643529 0.17557252   42   10   14   97   11
50  0.7499162 2.2370408 0.17557252   50   10   14   97   11
211 0.7538955 0.7993405 0.18320611   21   10   15   96   11
96  0.7837986 2.4141374 0.19083969   96    9   17   94   12
108 0.7619200 1.3765770 0.19083969  108    9   17   94   12
114 0.7678789 1.1303338 0.19083969  114    9   17   94   12
110 0.7745477 1.1613680 0.19847328  110    9   18   93   12
54  0.7922126 1.4955443 0.21374046   54    9   19   92   12
128 0.7895057 1.8998205 0.22137405  128    9   20   91   12
2   0.8232994 0.6127839 0.26717557    1    9   23   88   12
81  0.8296819 2.0437551 0.26717557   81    9   23   88   12
98  0.8156753 1.9947569 0.26717557   98    9   23   88   12
27  0.8341439 0.7160033 0.28244275   27    9   26   85   12
118 0.8425791 1.4842998 0.28244275  118    9   26   85   12
123 0.8441206 1.6294096 0.28244275  123    9   26   85   12
67  0.8475374 2.0413927 0.29007634   67    9   27   84   12
19  0.8420247 1.9464523 0.29770992   19    9   29   82   12
68  0.8489624 1.6106602 0.29770992   68    9   29   82   12
22  0.8519811 0.3010300 0.30534351   22    9   31   80   12
89  0.8500902 1.6009729 0.30534351   89    9   31   80   12
131 0.8613683 2.7383841 0.31297710  131    8   31   80   13
16  0.8649273 0.9242793 0.34351145   16    8   34   77   13
73  0.8664864 0.0000000 0.34351145   73    8   34   77   13
102 0.8590679 2.1804126 0.34351145  102    8   34   77   13
7   0.8683294 0.0000000 0.35114504    7    8   35   76   13
46  0.8727324 2.3529539 0.38167939   46    8   36   75   13
9   0.8761193 2.0406023 0.38931298    9    8   38   73   13
129 0.8759664 1.3636120 0.38931298  129    8   38   73   13
99  0.8784932 1.8000294 0.40458015   99    8   39   72   13
8   0.8859202 2.6386889 0.41221374    8    7   40   71   14
59  0.8837733 1.5658478 0.41221374   59    7   40   71   14
40  0.8878702 0.3010300 0.41984733   40    7   41   70   14
91  0.8898098 2.2636361 0.42748092   91    7   42   69   14
34  0.8910906 0.0000000 0.43511450   34    7   44   67   14
51  0.8892228 1.5854607 0.43511450   51    7   44   67   14
122 0.9186134 2.5627685 0.45038168  122    6   44   67   15
61  0.8961255 1.0374265 0.45801527   61    6   46   65   15
132 0.8963872 1.9813655 0.45801527  132    6   46   65   15
26  0.9014984 0.3010300 0.47328244   26    6   48   63   15
90  0.8996985 1.7234557 0.47328244   90    6   48   63   15
