# threshold = 0.870403011360241
# Area under ROC curve = 0.428868120456906
# aggregate.tpos = 20
# aggregate.tneg = 28
# aggregate.fpos = 79
# aggregate.fneg = 7
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
71  0.1853916 2.2360331 0.00000000    3   26    1  106    1
84  0.2358467 3.1138431 0.00000000    3   26    1  106    1
85  0.3649389 2.1504494 0.01250000    3   26    2  105    1
35  0.5632894 2.3040595 0.03488372    2   26    3  104    1
3   0.8430189 1.8773713 0.03571429    1   25    4  103    2
4   0.8427495 2.9914033 0.03571429    1   25    4  103    2
72  0.4625870 2.3900515 0.03750000    3   24    4  103    3
27  0.6080321 2.0318123 0.04651163    2   24    6  101    3
37  0.6356428 2.1664301 0.04651163    2   24    6  101    3
82  0.6018806 2.2652896 0.05000000    3   24    8   99    3
83  0.5438606 1.5024271 0.05000000    3   24    8   99    3
36  0.6450895 2.0182843 0.05813953    2   24   10   97    3
55  0.6478716 2.1664301 0.05813953    2   24   10   97    3
73  0.6992064 2.4879863 0.06250000    3   23   10   97    4
33  0.6853754 1.5899496 0.08139535    2   23   11   96    4
104 0.7250794 2.3040595 0.08750000    3   23   12   95    4
58  0.6919139 2.2913689 0.09302326    2   23   13   94    4
19  0.8469966 2.0060380 0.11607143    1   23   14   93    4
48  0.7130423 0.3010300 0.15116279    2   23   16   91    4
70  0.7129150 1.2068259 0.15116279    2   23   16   91    4
7   0.8500307 2.0318123 0.16964286    1   23   17   90    4
6   0.8513389 2.3147097 0.17857143    1   22   19   88    5
8   0.8515747 1.5611014 0.17857143    1   22   19   88    5
21  0.8509684 2.7383841 0.17857143    1   22   19   88    5
91  0.8283144 2.0195317 0.18750000    3   22   20   87    5
56  0.7560782 1.3344538 0.19767442    2   22   22   85    5
63  0.7500016 1.6963564 0.19767442    2   22   22   85    5
86  0.8408631 2.5627685 0.20000000    3   21   22   85    6
117 0.8531406 1.9344985 0.21250000    3   21   23   84    6
87  0.8606766 2.1711412 0.22500000    3   21   24   83    6
111 0.8640698 2.0461048 0.23750000    3   21   25   82    6
34  0.7709963 2.0652061 0.24418605    2   21   26   81    6
69  0.7795889 1.8382192 0.26744186    2   21   27   80    6
66  0.7825927 2.0195317 0.27906977    2   21   28   79    6
16  0.8588784 3.1503265 0.29464286    1   20   28   79    7
61  0.7865276 2.1142773 0.30232558    2   20   29   78    7
53  0.7982201 1.1613680 0.31395349    2   20   31   76    7
64  0.7951654 1.7715875 0.31395349    2   20   31   76    7
78  0.8894759 1.1205739 0.32500000    3   19   33   74    8
92  0.8876091 2.6134189 0.32500000    3   19   33   74    8
112 0.8876890 0.3010300 0.32500000    3   19   33   74    8
110 0.8904211 1.7291648 0.33750000    3   19   34   73    8
1   0.8612155 1.0755470 0.34821429    1   19   35   72    8
57  0.8010933 1.3856063 0.34883721    2   19   36   71    8
106 0.9020975 2.9914033 0.37500000    3   18   36   71    9
125 0.8704030 1.7767012 0.37903226    4   17   39   68   10
126 0.8704030 2.2695129 0.37903226    4   17   39   68   10
127 0.8705732 1.7520484 0.37903226    4   17   39   68   10
130 0.8704030 2.9119030 0.37903226    4   17   39   68   10
134 0.8707434 2.9914033 0.38709677    4   16   39   68   11
113 0.9032400 2.9119030 0.38750000    3   14   40   67   13
118 0.9054854 1.1986571 0.38750000    3   14   40   67   13
123 0.9092340 2.9641653 0.38750000    3   14   40   67   13
105 0.9102422 2.5880475 0.40000000    3   13   40   67   14
62  0.8082260 1.3031961 0.40697674    2   13   41   66   14
131 0.8713577 2.1664301 0.41129032    4   13   42   65   14
121 0.9109898 3.1911994 0.41250000    3   12   42   65   15
133 0.8717180 2.4401216 0.41935484    4   11   42   65   16
79  0.9146905 1.9365137 0.42500000    3   11   44   63   16
108 0.9145014 2.1711412 0.42500000    3   11   44   63   16
129 0.8720060 1.9454686 0.42741935    4   11   45   62   16
2   0.8632161 1.3856063 0.43750000    1   11   47   60   16
109 0.9161632 2.3310222 0.43750000    3   11   47   60   16
10  0.8638349 0.7993405 0.44642857    1   11   48   59   16
93  0.9168469 2.6740340 0.45000000    3   10   48   59   17
88  0.9193240 1.5728716 0.46250000    3   10   49   58   17
89  0.9196762 2.2671717 0.47500000    3   10   50   57   17
29  0.8197728 1.5327544 0.48837209    2   10   51   56   17
17  0.8665641 2.1525941 0.50000000    1   10   53   54   17
60  0.8260836 1.6821451 0.50000000    2   10   53   54   17
124 0.9231392 2.3960249 0.51250000    3    9   53   54   18
74  0.9243652 1.3483049 0.52500000    3    9   54   53   18
75  0.9264691 1.1271048 0.56250000    3    7   56   51   20
77  0.9253887 0.9242793 0.56250000    3    7   56   51   20
120 0.9258683 2.4879863 0.56250000    3    7   56   51   20
122 0.9251485 2.4549972 0.56250000    3    7   56   51   20
50  0.8352677 1.5263393 0.56976744    2    7   58   49   20
59  0.8356751 1.4548449 0.56976744    2    7   58   49   20
76  0.9272124 1.3710679 0.57500000    3    7   59   48   20
9   0.8696954 1.7581546 0.58035714    1    7   60   47   20
24  0.8381418 3.3837436 0.58139535    2    6   61   46   21
68  0.8379625 1.3820170 0.58139535    2    6   61   46   21
114 0.9318161 1.6444386 0.58750000    3    6   63   44   21
119 0.9314965 2.1945143 0.58750000    3    6   63   44   21
107 0.9324710 1.9947569 0.60000000    3    6   64   43   21
32  0.8425273 1.2576786 0.60465116    2    6   65   42   21
100 0.9326610 2.2367891 0.61250000    3    6   66   41   21
