# threshold = 0.791334680630701
# Area under ROC curve = 0.30984555984556
# aggregate.tpos = 9
# aggregate.tneg = 71
# aggregate.fpos = 77
# aggregate.fneg = 5
# rocframe: 
           X1    actual   threshold fold tpos tneg fpos fneg
84  0.9142670 1.9319661 0.009433962    3   14    3  145    0
111 0.9132375 1.5378191 0.009433962    3   14    3  145    0
112 0.9145757 2.1598678 0.009433962    3   14    3  145    0
49  0.9288986 1.7226339 0.016806723    2   14    4  144    0
99  0.9152396 2.3529539 0.028301887    3   14    5  143    0
152 0.7375861 1.8432328 0.032258065    4   14    6  142    0
12  0.9323684 1.9947569 0.036496350    1   14    7  141    0
55  0.9433217 2.9914033 0.042016807    2   13    7  141    1
16  0.9363949 1.6201361 0.051094891    1   13    8  140    1
129 0.8517201 2.1711412 0.064516129    4   12   10  138    2
130 0.8800670 2.6637951 0.064516129    4   12   10  138    2
140 0.8478417 1.4393327 0.064516129    4   12   10  138    2
93  0.9189893 1.1986571 0.084905660    3   12   11  137    2
117 0.9195537 1.0791812 0.094339623    3   12   13  135    2
123 0.9193369 1.5550944 0.094339623    3   12   13  135    2
125 0.9021855 1.3909351 0.104838710    4   12   15  133    2
128 0.9054284 1.8175654 0.104838710    4   12   15  133    2
150 0.9209743 2.8865471 0.120967742    4   11   15  133    3
139 0.9428823 1.9474337 0.153225806    4   11   16  132    3
161 0.9576249 1.8920946 0.185483871    4   11   17  131    3
101 0.9213424 1.3820170 0.188679245    3   11   18  130    3
94  0.9218284 1.6599162 0.198113208    3   11   20  128    3
104 0.9218048 1.1643529 0.198113208    3   11   20  128    3
155 0.9636249 2.9377184 0.209677419    4   10   20  128    4
146 0.9649276 1.2278867 0.217741935    4    9   21  127    5
154 0.9654126 3.3837436 0.217741935    4    9   21  127    5
141 0.9677711 3.2980448 0.233870968    4    8   23  125    6
142 0.9709701 1.5092025 0.233870968    4    8   23  125    6
162 0.9692996 1.3944517 0.233870968    4    8   23  125    6
156 0.9719943 2.0744507 0.241935484    4    8   24  124    6
148 0.9737081 2.0195317 0.250000000    4    8   25  123    6
133 0.9754018 3.2980448 0.266129032    4    7   26  122    7
159 0.9756472 1.6532125 0.266129032    4    7   26  122    7
74  0.9227973 1.2900346 0.273584906    3    7   28  120    7
79  0.9226901 0.0000000 0.273584906    3    7   28  120    7
149 0.9767670 0.7923917 0.282258065    4    7   29  119    7
73  0.9232461 1.4593925 0.283018868    3    7   31  117    7
107 0.9229283 0.9867717 0.283018868    3    7   31  117    7
78  0.9239192 0.3010300 0.292452830    3    7   33  115    7
92  0.9236194 0.9822712 0.292452830    3    7   33  115    7
132 0.9804332 2.2195845 0.314516129    4    7   34  114    7
69  0.9243571 1.3891661 0.320754717    3    7   35  113    7
131 0.9808125 1.2041200 0.330645161    4    7   36  112    7
135 0.9825334 0.6127839 0.354838710    4    7   37  111    7
134 0.9827069 1.6106602 0.362903226    4    7   38  110    7
81  0.9256022 1.5145478 0.396226415    3    7   39  109    7
127 0.9845155 1.0334238 0.411290323    4    7   40  108    7
147 0.9850911 2.3727279 0.427419355    4    6   40  108    8
143 0.9857084 1.0863598 0.467741935    4    6   42  106    8
158 0.9862372 1.5211381 0.467741935    4    6   42  106    8
97  0.9261939 1.4297523 0.490566038    3    6   43  105    8
89  0.9262600 2.2159018 0.509433962    3    6   44  104    8
80  0.9265158 2.1139434 0.528301887    3    6   45  103    8
136 0.9872878 1.0334238 0.540322581    4    6   46  102    8
87  0.9266950 1.2430380 0.547169811    3    6   47  101    8
126 0.9880422 0.6127839 0.556451613    4    6   48  100    8
85  0.9268281 0.7993405 0.556603774    3    6   49   99    8
114 0.9269256 1.5440680 0.566037736    3    6   50   98    8
115 0.9276311 1.0863598 0.613207547    3    6   51   97    8
86  0.9283539 1.0791812 0.632075472    3    5   56   92    9
88  0.9283503 0.9542425 0.632075472    3    5   56   92    9
102 0.9283382 2.9377184 0.632075472    3    5   56   92    9
103 0.9279046 1.4345689 0.632075472    3    5   56   92    9
120 0.9281083 1.5211381 0.632075472    3    5   56   92    9
122 0.9279686 0.0000000 0.632075472    3    5   56   92    9
90  0.9284456 1.4756712 0.641509434    3    5   57   91    9
124 0.9285038 1.2329961 0.660377358    3    5   58   90    9
75  0.9287099 0.9242793 0.669811321    3    5   62   86    9
76  0.9286767 0.8692317 0.669811321    3    5   62   86    9
82  0.9285978 1.5378191 0.669811321    3    5   62   86    9
95  0.9286641 1.5550944 0.669811321    3    5   62   86    9
71  0.9289070 1.6063814 0.688679245    3    5   64   84    9
121 0.9289185 1.7693773 0.688679245    3    5   64   84    9
83  0.9292106 0.9777236 0.698113208    3    5   65   83    9
138 0.9917096 0.4771213 0.717741935    4    5   66   82    9
157 0.9924521 1.8773713 0.741935484    4    5   67   81    9
96  0.9294857 1.5809250 0.745283019    3    5   68   80    9
108 0.9295914 1.1702617 0.754716981    3    5   71   77    9
109 0.9295826 0.0000000 0.754716981    3    5   71   77    9
118 0.9295651 0.8633229 0.754716981    3    5   71   77    9
137 0.9930244 1.7092700 0.766129032    4    5   72   76    9
72  0.9299428 0.7160033 0.773584906    3    5   73   75    9
106 0.9301860 0.6127839 0.792452830    3    5   74   74    9
70  0.9305039 1.5145478 0.811320755    3    5   75   73    9
144 0.9942192 0.8750613 0.830645161    4    5   76   72    9
91  0.9312908 0.9344985 0.867924528    3    5   77   71    9
98  0.9315098 1.9355073 0.877358491    3    5   79   69    9
100 0.9315581 1.2944662 0.877358491    3    5   79   69    9
151 0.9953111 0.3010300 0.887096774    4    5   80   68    9
105 0.9320667 1.9169800 0.915094340    3    5   82   66    9
110 0.9321061 1.4593925 0.915094340    3    5   82   66    9
145 0.9966159 1.2278867 0.951612903    4    5   84   64    9
153 0.9966923 1.2329961 0.951612903    4    5   84   64    9
77  0.9329633 1.0334238 0.962264151    3    5   87   61    9
113 0.9329540 2.1126050 0.962264151    3    5   87   61    9
119 0.9330862 0.8512583 0.962264151    3    5   87   61    9
1   0.9437884 1.6170003 1.000000000    1    0  148    0   14
2   0.9437884 1.2671717 1.000000000    1    0  148    0   14
3   0.9437884 1.1398791 1.000000000    1    0  148    0   14
4   0.9437884 2.0759118 1.000000000    1    0  148    0   14
5   0.9437884 1.5378191 1.000000000    1    0  148    0   14
6   0.9437884 1.9036325 1.000000000    1    0  148    0   14
7   0.9437884 1.0374265 1.000000000    1    0  148    0   14
8   0.9437884 0.6127839 1.000000000    1    0  148    0   14
9   0.9437884 1.7846173 1.000000000    1    0  148    0   14
10  0.9437884 2.2652896 1.000000000    1    0  148    0   14
11  0.9437884 1.8680564 1.000000000    1    0  148    0   14
13  0.9437884 1.4232459 1.000000000    1    0  148    0   14
14  0.9437884 1.1613680 1.000000000    1    0  148    0   14
15  0.9437884 1.3820170 1.000000000    1    0  148    0   14
17  0.9437884 1.6730209 1.000000000    1    0  148    0   14
18  0.9437884 2.1126050 1.000000000    1    0  148    0   14
19  0.9437884 1.3856063 1.000000000    1    0  148    0   14
20  0.9437884 2.0413927 1.000000000    1    0  148    0   14
21  0.9437884 1.9484130 1.000000000    1    0  148    0   14
22  0.9437884 1.8088859 1.000000000    1    0  148    0   14
23  0.9437884 0.0000000 1.000000000    1    0  148    0   14
24  0.9437884 1.8469553 1.000000000    1    0  148    0   14
25  0.9437884 1.2329961 1.000000000    1    0  148    0   14
26  0.9534136 1.1271048 1.000000000    2    0  148    0   14
27  0.9534136 1.9057959 1.000000000    2    0  148    0   14
28  0.9534136 1.4456042 1.000000000    2    0  148    0   14
29  0.9534136 0.6127839 1.000000000    2    0  148    0   14
30  0.9534136 0.7075702 1.000000000    2    0  148    0   14
