# threshold = 0.00233434156633624
# Area under ROC curve = 0.00687547746371276
# aggregate.tpos = 27
# aggregate.tneg = 0
# aggregate.fpos = 119
# aggregate.fneg = 28
# rocframe: 
              X1    actual   threshold fold tpos tneg fpos fneg
71  3.261863e-09 3.3837436 0.000000000    2   54    0  119    1
15  1.451093e-10 3.3837436 0.006944444    1   53    0  119    2
120 3.027559e-09 3.3837436 0.008474576    3   52    0  119    3
13  1.619788e-10 3.3837436 0.013888889    1   50    0  119    5
27  1.815954e-10 3.3837436 0.013888889    1   50    0  119    5
100 3.669974e-09 3.3837436 0.016949153    3   49    0  119    6
107 4.189866e-09 3.3837436 0.025423729    3   47    0  119    8
116 4.995554e-09 3.3837436 0.025423729    3   47    0  119    8
147 1.616522e-08 3.3837436 0.031496063    4   46    0  119    9
4   2.967061e-10 3.3837436 0.041666667    1   45    0  119   10
60  8.139062e-09 3.3837436 0.052631579    2   44    0  119   11
50  1.074318e-08 3.3837436 0.060150376    2   43    0  119   12
16  3.070595e-08 3.2980448 0.069444444    1   42    0  119   13
65  6.152659e-08 3.3837436 0.075187970    2   41    0  119   14
12  1.045266e-06 3.2387735 0.076388889    1   40    0  119   15
101 2.034349e-07 3.2980448 0.084745763    3   39    0  119   16
163 4.183871e-08 3.3837436 0.086614173    4   38    0  119   17
3   3.104572e-04 3.0491792 0.090277778    1   36    0  119   19
25  2.406669e-04 3.0491792 0.090277778    1   36    0  119   19
41  1.338241e-04 3.0803739 0.097744361    2   34    0  119   21
61  2.008886e-04 3.1138431 0.097744361    2   34    0  119   21
84  9.221642e-04 3.0048371 0.127118644    3   33    0  119   22
148 1.993954e-03 3.0196147 0.141732283    4   32    0  119   23
85  5.906351e-03 2.9189211 0.144067797    3   30    0  119   25
106 1.154697e-02 2.9119030 0.144067797    3   30    0  119   25
102 2.490388e-02 2.8615344 0.152542373    3   29    0  119   26
87  6.959364e-02 2.7595168 0.161016949    3   27    0  119   28
91  6.225493e-02 2.8615344 0.161016949    3   27    0  119   28
7   1.972116e-01 2.6887757 0.180555556    1   26    0  119   29
161 9.592726e-02 2.8615344 0.188976378    4   25    0  119   30
56  1.228832e-01 2.8615344 0.195488722    2   24    0  119   31
134 1.107586e-01 2.8865471 0.196850394    4   23    0  119   32
11  3.581722e-01 2.6386889 0.222222222    1   22    0  119   33
43  3.515508e-01 2.7136585 0.233082707    2   21    0  119   34
19  4.946344e-01 2.5880475 0.236111111    1   20    0  119   35
164 3.071688e-01 2.7629785 0.236220472    4   19    0  119   36
108 2.371919e-01 2.6134189 0.245762712    3   18    0  119   37
38  3.936671e-01 2.5627685 0.248120301    2   17    0  119   38
24  6.193825e-01 2.4549972 0.250000000    1   16    0  119   39
162 4.321668e-01 2.6134189 0.259842520    4   15    0  119   40
18  7.102437e-01 2.5366847 0.263888889    1   14    0  119   41
159 5.320642e-01 2.6386889 0.267716535    4   13    0  119   42
