# threshold = 0.80965203448925
# Area under ROC curve = 0.157253599114064
# aggregate.tpos = 10
# aggregate.tneg = 7
# aggregate.fpos = 122
# aggregate.fneg = 4
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
10  0.7171133 3.3837436 0.00781250    1   13    0  129    1
16  0.4176404 1.9329808 0.02222222    2   11    2  127    3
79  0.8252669 1.8000294 0.02222222    3   11    2  127    3
81  0.8034216 2.9641653 0.02222222    3   11    2  127    3
101 0.7547968 2.4485517 0.02222222    3   11    2  127    3
14  0.8218357 1.6748611 0.02343750    1   11    3  126    3
31  0.8024306 1.9585639 0.03333333    2   11    4  125    3
136 0.7410562 1.7581546 0.04132231    4   11    5  124    3
88  0.8591538 1.5717088 0.04444444    3   11    6  123    3
80  0.9083340 3.2387735 0.06666667    3   10    7  122    4
114 0.8954968 2.3040595 0.06666667    3   10    7  122    4
3   0.9117307 2.5884958 0.07031250    1    9    7  122    5
30  0.9139553 2.6637951 0.07777778    2    8    8  121    6
56  0.9305660 1.3031961 0.07777778    2    8    8  121    6
15  0.9368877 1.9947569 0.09375000    1    8    9  120    6
28  0.9395142 2.0652061 0.10000000    2    8   10  119    6
55  0.9457846 3.1503265 0.11111111    2    7   10  119    7
17  0.9661108 2.1316187 0.14444444    2    7   12  117    7
29  0.9685092 1.9947569 0.14444444    2    7   12  117    7
126 0.9309628 0.3010300 0.16528926    4    7   13  116    7
110 0.9347852 1.3283796 0.16666667    3    7   14  115    7
128 0.9328807 1.6875290 0.17355372    4    7   17  112    7
134 0.9333051 1.2380461 0.17355372    4    7   17  112    7
137 0.9358125 2.3040595 0.17355372    4    7   17  112    7
82  0.9401078 2.5375673 0.17777778    3    6   17  112    8
60  0.9734922 0.4913617 0.20000000    2    6   18  111    8
6   0.9624748 2.0338257 0.21093750    1    6   19  110    8
118 0.9433172 0.4913617 0.21111111    3    6   20  109    8
108 0.9481471 0.7993405 0.22222222    3    6   21  108    8
8   0.9674662 2.0557605 0.24218750    1    6   22  107    8
123 0.9564004 1.2380461 0.25619835    4    6   23  106    8
70  0.9553955 1.6812412 0.26666667    3    6   25  104    8
76  0.9554737 1.8920946 0.26666667    3    6   25  104    8
52  0.9813624 2.8367670 0.28888889    2    5   26  103    9
69  0.9577907 1.8948697 0.28888889    3    5   26  103    9
21  0.9820201 2.8121108 0.30000000    2    4   30   99   10
40  0.9820201 1.5502284 0.30000000    2    4   30   99   10
53  0.9820201 1.7737864 0.30000000    2    4   30   99   10
57  0.9820201 2.1316187 0.30000000    2    4   30   99   10
87  0.9595948 0.0000000 0.30000000    3    4   30   99   10
1   0.9729684 1.5440680 0.31250000    1    4   31   98   10
109 0.9608085 1.0827854 0.32222222    3    4   32   97   10
138 0.9636276 0.0000000 0.32231405    4    4   33   96   10
5   0.9758291 2.5880475 0.32812500    1    3   35   94   11
7   0.9751681 1.0253059 0.32812500    1    3   35   94   11
9   0.9754719 1.6314438 0.32812500    1    3   35   94   11
78  0.9637992 1.0413927 0.36666667    3    3   36   93   11
18  0.9841436 1.4248816 0.37777778    2    3   38   91   11
64  0.9831349 1.2624511 0.37777778    2    3   38   91   11
92  0.9674664 1.2329961 0.43333333    3    3   41   88   11
97  0.9674596 1.0791812 0.43333333    3    3   41   88   11
111 0.9674685 0.4771213 0.43333333    3    3   41   88   11
90  0.9674805 1.9344985 0.45555556    3    3   42   87   11
19  0.9853079 0.3010300 0.63333333    2    3   50   79   11
20  0.9853079 0.0000000 0.63333333    2    3   50   79   11
22  0.9853079 1.0374265 0.63333333    2    3   50   79   11
23  0.9853079 1.3483049 0.63333333    2    3   50   79   11
58  0.9853079 2.1251558 0.63333333    2    3   50   79   11
59  0.9853079 0.9867717 0.63333333    2    3   50   79   11
66  0.9861858 0.9084850 0.63333333    2    3   50   79   11
68  0.9853079 2.2105860 0.63333333    2    3   50   79   11
27  0.9862924 0.4771213 0.65555556    2    3   51   78   11
2   0.9765122 0.3010300 1.00000000    1    0  129    0   14
4   0.9765122 0.7160033 1.00000000    1    0  129    0   14
11  0.9765122 1.9818186 1.00000000    1    0  129    0   14
12  0.9765122 1.2671717 1.00000000    1    0  129    0   14
13  0.9765122 1.4132998 1.00000000    1    0  129    0   14
24  0.9863646 0.0000000 1.00000000    2    0  129    0   14
25  0.9863646 0.9242793 1.00000000    2    0  129    0   14
26  0.9863646 0.0000000 1.00000000    2    0  129    0   14
32  0.9863646 0.7160033 1.00000000    2    0  129    0   14
33  0.9874002 0.0000000 1.00000000    2    0  129    0   14
34  0.9874002 0.0000000 1.00000000    2    0  129    0   14
35  0.9874002 1.6138418 1.00000000    2    0  129    0   14
36  0.9874002 1.5263393 1.00000000    2    0  129    0   14
37  0.9874002 0.9294189 1.00000000    2    0  129    0   14
38  0.9874002 0.0000000 1.00000000    2    0  129    0   14
39  0.9872427 1.0827854 1.00000000    2    0  129    0   14
41  0.9874002 1.4955443 1.00000000    2    0  129    0   14
42  0.9874002 1.4456042 1.00000000    2    0  129    0   14
43  0.9872040 2.4637437 1.00000000    2    0  129    0   14
44  0.9874002 1.5717088 1.00000000    2    0  129    0   14
45  0.9874002 3.0196147 1.00000000    2    0  129    0   14
46  0.9874002 2.1433271 1.00000000    2    0  129    0   14
47  0.9874002 1.5327544 1.00000000    2    0  129    0   14
48  0.9874002 2.6889535 1.00000000    2    0  129    0   14
49  0.9874002 1.1205739 1.00000000    2    0  129    0   14
50  0.9863646 1.2068259 1.00000000    2    0  129    0   14
51  0.9863646 0.3010300 1.00000000    2    0  129    0   14
54  0.9874002 1.7656686 1.00000000    2    0  129    0   14
61  0.9863646 0.3010300 1.00000000    2    0  129    0   14
62  0.9863646 1.2430380 1.00000000    2    0  129    0   14
63  0.9863646 0.9822712 1.00000000    2    0  129    0   14
65  0.9863646 1.3856063 1.00000000    2    0  129    0   14
67  0.9863646 1.2201081 1.00000000    2    0  129    0   14
71  0.9674969 0.7993405 1.00000000    3    0  129    0   14
72  0.9674969 0.7160033 1.00000000    3    0  129    0   14
73  0.9674969 0.3010300 1.00000000    3    0  129    0   14
74  0.9674969 0.4913617 1.00000000    3    0  129    0   14
75  0.9674969 0.9344985 1.00000000    3    0  129    0   14
77  0.9674969 1.2041200 1.00000000    3    0  129    0   14
83  0.9674969 0.6127839 1.00000000    3    0  129    0   14
84  0.9674969 0.0000000 1.00000000    3    0  129    0   14
85  0.9674969 1.0827854 1.00000000    3    0  129    0   14
86  0.9674969 1.9818186 1.00000000    3    0  129    0   14
89  0.9674969 0.3010300 1.00000000    3    0  129    0   14
91  0.9674969 0.9912261 1.00000000    3    0  129    0   14
93  0.9674969 1.7489629 1.00000000    3    0  129    0   14
94  0.9674969 0.7993405 1.00000000    3    0  129    0   14
95  0.9674969 1.0827854 1.00000000    3    0  129    0   14
96  0.9674969 0.7993405 1.00000000    3    0  129    0   14
98  0.9674969 1.4393327 1.00000000    3    0  129    0   14
99  0.9674969 1.5378191 1.00000000    3    0  129    0   14
100 0.9674969 0.0000000 1.00000000    3    0  129    0   14
102 0.9674969 1.5327544 1.00000000    3    0  129    0   14
103 0.9674969 2.1844075 1.00000000    3    0  129    0   14
104 0.9674969 1.2718416 1.00000000    3    0  129    0   14
105 0.9674969 2.1760913 1.00000000    3    0  129    0   14
106 0.9674969 1.5611014 1.00000000    3    0  129    0   14
107 0.9674969 1.3483049 1.00000000    3    0  129    0   14
112 0.9674969 1.2068259 1.00000000    3    0  129    0   14
113 0.9674969 1.4132998 1.00000000    3    0  129    0   14
115 0.9674969 0.6127839 1.00000000    3    0  129    0   14
116 0.9674969 1.2380461 1.00000000    3    0  129    0   14
117 0.9674969 1.2718416 1.00000000    3    0  129    0   14
119 0.9674969 1.7092700 1.00000000    3    0  129    0   14
120 0.9674969 0.4913617 1.00000000    3    0  129    0   14
121 0.9674969 0.3010300 1.00000000    3    0  129    0   14
122 0.9712776 1.3961993 1.00000000    4    0  129    0   14
124 0.9712776 0.6127839 1.00000000    4    0  129    0   14
125 0.9712776 0.6127839 1.00000000    4    0  129    0   14
127 0.9712776 0.0000000 1.00000000    4    0  129    0   14
129 0.9712776 0.7993405 1.00000000    4    0  129    0   14
130 0.9712776 0.8750613 1.00000000    4    0  129    0   14
131 0.9712776 0.3010300 1.00000000    4    0  129    0   14
132 0.9712776 0.7160033 1.00000000    4    0  129    0   14
133 0.9712776 1.0863598 1.00000000    4    0  129    0   14
135 0.9712776 0.4771213 1.00000000    4    0  129    0   14
139 0.9712776 0.7160033 1.00000000    4    0  129    0   14
140 0.9712776 1.0863598 1.00000000    4    0  129    0   14
141 0.9712776 0.8633229 1.00000000    4    0  129    0   14
142 0.9712776 1.3074960 1.00000000    4    0  129    0   14
143 0.9712776 1.7505084 1.00000000    4    0  129    0   14
# predperf: 
  tpos tneg fpos fneg
1    2    1   11    1
2    7    2   44    0
3    1    3   46    3
4    0    1   21    0
