# Seed = 392
# Site = thompson
# Method = adalasso-weighted
# Area under ROC curve = 0.115725359911406
# aggregate.tpos = 7
# aggregate.tneg = 9
# aggregate.fpos = 120
# aggregate.fneg = 7
# variables: (Intercept), beach_Sc, beach_WaterTemp, beach_AirTemp, trib_ThompsonCreek040263165_TribSc, beach_LakeshoreCurrVel, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Whittlesey_Discharge_Diff_6, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_2, HeightAboveSeaLevel_Mean_6, HeightAboveSeaLevel_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.Thompson.Sum..1hr, Sqrt.Precipitation.over.upload.Thompson.Sum..2hr, Sqrt.Precipitation.over.upload.Thompson.Sum..6hr, Sqrt.Precipitation.over.upload.Thompson.Sum..12hr, Sqrt.Precipitation.over.upload.Thompson.Sum..24hr, Sqrt.Precipitation.over.upload.Thompson.Sum..48hr, Sqrt.Precipitation.over.upload.Thompson.Sum..72hr, Sqrt.Precipitation.over.upload.Thompson.Sum..120hr, Sqrt.Precipitation.over.upload.maslowski.Sum..1hr, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, Sqrt.Precipitation.over.upload.maslowski.Sum..6hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..48hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..120hr, Sqrt.Whittlesey_ARF_Sum_1, Sqrt.Whittlesey_ARF_Sum_2, Sqrt.Whittlesey_ARF_Sum_6, Sqrt.Whittlesey_ARF_Sum_12, Sqrt.Whittlesey_ARF_Sum_24, Sqrt.Whittlesey_ARF_Sum_48, log.Whittlesey_Discharge_Mean_1, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Mean_6, log.Whittlesey_Discharge_Mean_12, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Mean_48, log.Whittlesey_Discharge_Mean_72, log.Whittlesey_Discharge_Mean_120, log.Whittlesey_Discharge_Min_1, log.Whittlesey_Discharge_Min_2, log.Whittlesey_Discharge_Min_6, log.Whittlesey_Discharge_Min_12, log.Whittlesey_Discharge_Min_24, log.Whittlesey_Discharge_Min_48, log.Whittlesey_Discharge_Min_72, log.Whittlesey_Discharge_Min_120, log.Whittlesey_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.105633802816901
# decision threshold: 0.935486211528812
# full results: 
     predicted    actual  threshold fold tpos tneg fpos fneg
101 0.03957137 2.4485517 0.00000000  101   13    0  129    1
30  0.22306864 2.6637951 0.02816901   30   12    1  128    2
136 0.14094902 1.7581546 0.02816901  136   12    1  128    2
55  0.19672809 3.1503265 0.03521127   55   10    1  128    4
81  0.34028012 2.9641653 0.03521127   81   10    1  128    4
2   0.43657927 1.5440680 0.04929577    1   10    3  126    4
58  0.19496949 2.1251558 0.04929577   58   10    3  126    4
10  0.35980198 3.3837436 0.06338028   10    9    4  125    5
79  0.27341966 1.8000294 0.06338028   79    9    4  125    5
16  0.40848503 1.9329808 0.07042254   16    9    5  124    5
14  0.35025203 1.6748611 0.07746479   14    8    6  123    6
80  0.63016867 3.2387735 0.07746479   80    8    6  123    6
88  0.55684720 1.5717088 0.08450704   88    8    7  122    6
52  0.72136704 2.8367670 0.09859155   52    7    7  122    7
29  0.59414974 1.9947569 0.10563380   29    7    9  120    7
31  0.71694719 1.9585639 0.10563380   31    7    9  120    7
82  0.79492808 2.5375673 0.11267606   82    6    9  120    8
211 0.82175187 2.8121108 0.12676056   21    5   11  118    9
26  0.78458589 0.0000000 0.12676056   26    5   11  118    9
76  0.78376602 1.8920946 0.12676056   76    5   11  118    9
48  0.84699252 2.6889535 0.14084507   48    4   11  118   10
15  0.89412734 1.9947569 0.15492958   15    4   13  116   10
69  0.88293005 1.8948697 0.15492958   69    4   13  116   10
40  0.90653963 1.5502284 0.16197183   40    4   17  112   10
67  0.90661678 1.2201081 0.16197183   67    4   17  112   10
123 0.89801723 1.2380461 0.16197183  123    4   17  112   10
137 0.89495389 2.3040595 0.16197183  137    4   17  112   10
44  0.89767109 1.5717088 0.16901408   44    4   18  111   10
5   0.92907037 2.5880475 0.17605634    5    3   19  110   11
96  0.90335198 0.7993405 0.17605634   96    3   19  110   11
56  0.91288749 1.3031961 0.18309859   56    3   20  109   11
27  0.92240703 0.4771213 0.21126761   27    3   22  107   11
39  0.92451614 1.0827854 0.21126761   39    3   22  107   11
43  0.93535576 2.4637437 0.21830986   43    2   22  107   12
46  0.93724217 2.1433271 0.24647887   46    2   24  105   12
98  0.95374416 1.4393327 0.24647887   98    2   24  105   12
37  0.95972444 0.9294189 0.25352113   37    2   28  101   12
62  0.95806893 1.2430380 0.25352113   62    2   28  101   12
114 0.95259621 2.3040595 0.25352113  114    2   28  101   12
134 0.95599211 1.2380461 0.25352113  134    2   28  101   12
128 0.94384513 1.6875290 0.26056338  128    2   29  100   12
118 0.96326301 0.4913617 0.28169014  118    2   30   99   12
64  0.95705007 1.2624511 0.30281690   64    2   32   97   12
126 0.95670666 0.3010300 0.30281690  126    2   32   97   12
42  0.96397408 1.4456042 0.30985915   42    2   33   96   12
70  0.96627992 1.6812412 0.31690141   70    2   34   95   12
78  0.96978955 1.0413927 0.32394366   78    2   35   94   12
35  0.97060327 1.6138418 0.33098592   35    2   38   91   12
89  0.96525564 0.3010300 0.33098592   89    2   38   91   12
103 0.96215218 2.1844075 0.33098592  103    2   38   91   12
53  0.96797928 1.7737864 0.33802817   53    2   39   90   12
3   0.99972463 2.5884958 0.34507042    3    1   39   90   13
47  0.97048977 1.5327544 0.35211268   47    1   41   88   13
108 0.96970335 0.7993405 0.35211268  108    1   41   88   13
102 0.97626601 1.5327544 0.35915493  102    1   42   87   13
104 0.97498663 1.2718416 0.37323944  104    1   43   86   13
97  0.97561363 1.0791812 0.39436620   97    1   45   84   13
109 0.98198922 1.0827854 0.39436620  109    1   45   84   13
28  0.97774727 2.0652061 0.40140845   28    1   47   82   13
94  0.97643980 0.7993405 0.40140845   94    1   47   82   13
51  0.97964257 0.3010300 0.41549296   51    1   50   79   13
