# threshold = 1.79536314351985
# Area under ROC curve = 0.853820598006644
# aggregate.tpos = 10
# aggregate.tneg = 113
# aggregate.fpos = 16
# aggregate.fneg = 4
# rocframe: 
    predicted    actual   threshold fold tpos tneg fpos fneg
20  0.3818062 0.0000000 0.000000000    2   14    3  126    0
26  0.3992206 0.0000000 0.000000000    2   14    3  126    0
34  0.5073870 0.0000000 0.000000000    2   14    3  126    0
13  0.4813491 1.4132998 0.008547009    1   14    4  125    0
19  0.5421486 0.3010300 0.012048193    2   14    5  124    0
35  0.6062453 1.6138418 0.036144578    2   14    6  123    0
73  0.5777303 0.3010300 0.062500000    3   14    7  122    0
38  0.6950100 0.0000000 0.072289157    2   14    9  120    0
51  0.6873542 0.3010300 0.072289157    2   14    9  120    0
77  0.6914784 1.2041200 0.075000000    3   14   10  119    0
33  0.7180579 0.0000000 0.084337349    2   14   11  118    0
25  0.7473164 0.9242793 0.096385542    2   14   12  117    0
141 0.7024999 0.8633229 0.112149533    4   14   13  116    0
131 0.7796003 0.3010300 0.130841121    4   14   15  114    0
142 0.7424748 1.3074960 0.130841121    4   14   15  114    0
72  0.7732836 0.7160033 0.137500000    3   14   17  112    0
74  0.7523903 0.4913617 0.137500000    3   14   17  112    0
42  0.7817397 1.4456042 0.156626506    2   13   18  111    1
45  0.7842204 3.0196147 0.156626506    2   13   18  111    1
132 0.8339826 0.7160033 0.168224299    4   13   21  108    1
140 0.8490563 1.0863598 0.168224299    4   13   21  108    1
143 0.8328897 1.7505084 0.168224299    4   13   21  108    1
23  0.7996421 1.3483049 0.168674699    2   13   24  105    1
24  0.7932914 0.0000000 0.168674699    2   13   24  105    1
27  0.8008948 0.4771213 0.168674699    2   13   24  105    1
116 0.8468931 1.2380461 0.187500000    3   13   25  104    1
32  0.8166959 0.7160033 0.204819277    2   13   26  103    1
12  0.8197007 1.2671717 0.205128205    1   13   27  102    1
129 0.8999651 0.7993405 0.205607477    4   13   28  101    1
36  0.8657543 1.5263393 0.216867470    2   13   31   98    1
41  0.8593479 1.4955443 0.216867470    2   13   31   98    1
62  0.8673875 1.2430380 0.216867470    2   13   31   98    1
86  0.9179207 1.9818186 0.225000000    3   13   32   97    1
46  0.9420211 2.1433271 0.265060241    2   13   33   96    1
63  0.9717873 0.9822712 0.289156627    2   13   34   95    1
4   0.9597733 0.7160033 0.290598291    1   13   35   94    1
135 1.0698851 0.4771213 0.327102804    4   13   36   93    1
111 1.0361163 0.4771213 0.375000000    3   13   39   90    1
113 1.0303900 1.4132998 0.375000000    3   13   39   90    1
117 1.0424799 1.2718416 0.375000000    3   13   39   90    1
130 1.1306846 0.8750613 0.383177570    4   13   40   89    1
47  1.0265151 1.5327544 0.385542169    2   13   41   88    1
133 1.1483022 1.0863598 0.392523364    4   13   42   87    1
37  1.0414069 0.9294189 0.409638554    2   13   43   86    1
134 1.1647526 1.2380461 0.411214953    4   13   45   84    1
139 1.1780402 0.7160033 0.411214953    4   13   45   84    1
75  1.0755480 0.9344985 0.412500000    3   13   46   83    1
84  1.1085493 0.0000000 0.425000000    3   13   47   82    1
44  1.0605452 1.5717088 0.457831325    2   13   49   80    1
58  1.0641436 2.1251558 0.457831325    2   13   49   80    1
78  1.1698791 1.0413927 0.462500000    3   13   53   76    1
94  1.1903446 0.7993405 0.462500000    3   13   53   76    1
115 1.2268724 0.6127839 0.462500000    3   13   53   76    1
121 1.2302840 0.3010300 0.462500000    3   13   53   76    1
125 1.2156683 0.6127839 0.467289720    4   13   54   75    1
114 1.2395181 2.3040595 0.475000000    3   13   55   74    1
70  1.2471374 1.6812412 0.487500000    3   13   57   72    1
93  1.2504408 1.7489629 0.487500000    3   13   57   72    1
107 1.2558213 1.3483049 0.500000000    3   13   58   71    1
9   1.1887215 1.6314438 0.504273504    1   13   59   70    1
71  1.2633502 0.7993405 0.512500000    3   13   60   69    1
87  1.2954009 0.0000000 0.550000000    3   13   61   68    1
54  1.1453119 1.7656686 0.566265060    2   13   62   67    1
83  1.3098556 0.6127839 0.575000000    3   13   64   65    1
91  1.3163969 0.9912261 0.575000000    3   13   64   65    1
22  1.1740321 1.0374265 0.590361446    2   13   65   64    1
99  1.3343388 1.5378191 0.600000000    3   13   66   63    1
29  1.1792556 1.9947569 0.602409639    2   12   68   61    2
43  1.2130026 2.4637437 0.602409639    2   12   68   61    2
65  1.2078255 1.3856063 0.602409639    2   12   68   61    2
110 1.3502424 1.3283796 0.612500000    3   12   69   60    2
92  1.3566931 1.2329961 0.625000000    3   12   72   57    2
104 1.3651374 1.2718416 0.625000000    3   12   72   57    2
108 1.3625479 0.7993405 0.625000000    3   12   72   57    2
18  1.2397739 1.4248816 0.626506024    2   12   73   56    2
112 1.3784686 1.2068259 0.637500000    3   12   74   55    2
61  1.2633092 0.3010300 0.638554217    2   12   75   54    2
28  1.2777936 2.0652061 0.650602410    2   12   78   51    2
39  1.2657064 1.0827854 0.650602410    2   12   78   51    2
66  1.2751265 0.9084850 0.650602410    2   12   78   51    2
59  1.2817269 0.9867717 0.662650602    2   12   79   50    2
126 1.3960653 0.3010300 0.672897196    4   12   80   49    2
