# Seed = 392
# Site = thompson
# Method = pls
# Area under ROC curve = 0.86655592469546
# aggregate.tpos = 9
# aggregate.tneg = 120
# aggregate.fpos = 9
# aggregate.fneg = 5
# variables: beach_Sc, beach_WaterTemp, beach_AirTemp, trib_ThompsonCreek040263165_TribSc, beach_LakeshoreCurrVel, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Whittlesey_Discharge_Diff_6, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_2, HeightAboveSeaLevel_Mean_6, HeightAboveSeaLevel_Mean_12, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Diff_24, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, Sqrt.Precipitation.over.upload.Thompson.Sum..1hr, Sqrt.Precipitation.over.upload.Thompson.Sum..2hr, Sqrt.Precipitation.over.upload.Thompson.Sum..6hr, Sqrt.Precipitation.over.upload.Thompson.Sum..12hr, Sqrt.Precipitation.over.upload.Thompson.Sum..24hr, Sqrt.Precipitation.over.upload.Thompson.Sum..48hr, Sqrt.Precipitation.over.upload.Thompson.Sum..72hr, Sqrt.Precipitation.over.upload.Thompson.Sum..120hr, Sqrt.Precipitation.over.upload.maslowski.Sum..1hr, Sqrt.Precipitation.over.upload.maslowski.Sum..2hr, Sqrt.Precipitation.over.upload.maslowski.Sum..6hr, Sqrt.Precipitation.over.upload.maslowski.Sum..12hr, Sqrt.Precipitation.over.upload.maslowski.Sum..24hr, Sqrt.Precipitation.over.upload.maslowski.Sum..48hr, Sqrt.Precipitation.over.upload.maslowski.Sum..72hr, Sqrt.Precipitation.over.upload.maslowski.Sum..120hr, Sqrt.Whittlesey_ARF_Sum_1, Sqrt.Whittlesey_ARF_Sum_2, Sqrt.Whittlesey_ARF_Sum_6, Sqrt.Whittlesey_ARF_Sum_12, Sqrt.Whittlesey_ARF_Sum_24, Sqrt.Whittlesey_ARF_Sum_48, log.Whittlesey_Discharge_Mean_1, log.Whittlesey_Discharge_Mean_2, log.Whittlesey_Discharge_Mean_6, log.Whittlesey_Discharge_Mean_12, log.Whittlesey_Discharge_Mean_24, log.Whittlesey_Discharge_Mean_48, log.Whittlesey_Discharge_Mean_72, log.Whittlesey_Discharge_Mean_120, log.Whittlesey_Discharge_Min_1, log.Whittlesey_Discharge_Min_2, log.Whittlesey_Discharge_Min_6, log.Whittlesey_Discharge_Min_12, log.Whittlesey_Discharge_Min_24, log.Whittlesey_Discharge_Min_48, log.Whittlesey_Discharge_Min_72, log.Whittlesey_Discharge_Min_120, log.Whittlesey_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.921875
# decision threshold: 1.83707053512757
# full results: 
    predicted    actual threshold fold tpos tneg fpos fneg
19  0.2634762 0.3010300 0.0000000   19   14    1  128    0
73  0.8209405 0.3010300 0.0078125   73   14    2  127    0
24  0.5761093 0.0000000 0.0234375   24   14    4  125    0
54  0.8037652 1.7656686 0.0234375   54   14    4  125    0
141 0.5466892 0.8633229 0.0312500  141   14    5  124    0
25  0.5696269 0.9242793 0.0390625   25   14    7  122    0
142 0.5435346 1.3074960 0.0390625  142   14    7  122    0
13  0.5795646 1.4132998 0.0468750   13   14    8  121    0
77  0.5968814 1.2041200 0.0625000   77   14    9  120    0
140 0.6456878 1.0863598 0.0937500  140   14   10  119    0
34  0.9240949 0.0000000 0.1015625   34   14   11  118    0
72  0.6684746 0.7160033 0.1093750   72   14   12  117    0
131 0.7040720 0.3010300 0.1171875  131   14   13  116    0
20  0.9553795 0.0000000 0.1328125   20   14   16  113    0
26  0.9593840 0.0000000 0.1328125   26   14   16  113    0
132 0.7374065 0.7160033 0.1328125  132   14   16  113    0
35  0.7145731 1.6138418 0.1406250   35   14   19  110    0
74  0.9942141 0.4913617 0.1406250   74   14   19  110    0
75  0.7437729 0.9344985 0.1406250   75   14   19  110    0
116 0.7529899 1.2380461 0.1484375  116   14   20  109    0
143 0.9759295 1.7505084 0.1640625  143   14   21  108    0
27  0.8116590 0.4771213 0.1796875   27   14   23  106    0
42  0.9944503 1.4456042 0.1796875   42   14   23  106    0
113 0.7960982 1.4132998 0.1875000  113   14   25  104    0
129 0.8208979 0.7993405 0.1875000  129   14   25  104    0
135 0.8340052 0.4771213 0.1953125  135   14   26  103    0
23  0.8596792 1.3483049 0.2109375   23   14   27  102    0
111 0.8999922 0.4771213 0.2265625  111   14   28  101    0
134 0.9099821 1.2380461 0.2343750  134   14   29  100    0
86  0.8888123 1.9818186 0.2421875   86   14   30   99    0
117 0.9533873 1.2718416 0.2656250  117   14   32   97    0
133 0.9583549 1.0863598 0.2656250  133   14   32   97    0
41  0.9712937 1.4955443 0.2812500   41   14   33   96    0
128 1.1035924 1.6875290 0.2968750  128   14   34   95    0
43  1.1118287 2.4637437 0.3178295   43   13   34   95    1
32  1.1256273 0.7160033 0.3203125   32   13   37   92    1
36  1.0130885 1.5263393 0.3203125   36   13   37   92    1
84  1.1416913 0.0000000 0.3203125   84   13   37   92    1
130 1.0355801 0.8750613 0.3359375  130   13   38   91    1
121 1.0563139 0.3010300 0.3437500  121   13   39   90    1
12  1.0373018 1.2671717 0.3593750   12   13   42   87    1
83  1.1642298 0.6127839 0.3593750   83   13   42   87    1
139 1.0507838 0.7160033 0.3593750  139   13   42   87    1
115 1.0640313 0.6127839 0.3671875  115   13   43   86    1
40  1.1675185 1.5502284 0.3750000   40   13   46   83    1
53  1.1666829 1.7737864 0.3750000   53   13   46   83    1
136 1.1683681 1.7581546 0.3750000  136   13   46   83    1
17  1.0651458 2.1316187 0.3828125   17   13   51   78    1
61  1.1838738 0.3010300 0.3828125   61   13   51   78    1
63  1.0786267 0.9822712 0.3828125   63   13   51   78    1
87  1.0810817 0.0000000 0.3828125   87   13   51   78    1
99  1.0592512 1.5378191 0.3828125   99   13   51   78    1
37  1.0896825 0.9294189 0.3906250   37   13   52   77    1
78  1.0910395 1.0413927 0.3984375   78   13   53   76    1
38  1.1954509 0.0000000 0.4062500   38   13   54   75    1
71  1.1279897 0.7993405 0.4218750   71   13   55   74    1
93  1.0991918 1.7489629 0.4296875   93   13   57   72    1
125 1.1289100 0.6127839 0.4296875  125   13   57   72    1
18  1.1412120 1.4248816 0.4375000   18   13   58   71    1
104 1.1808180 1.2718416 0.4687500  104   13   59   70    1
