# Seed = 882
# Site = hika
# Method = galm
# Area under ROC curve = 0.677904761904762
# aggregate.tpos = 21
# aggregate.tneg = 101
# aggregate.fpos = 24
# aggregate.fneg = 21
# variables: beach_WaterTemp, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, WaveHeight_Mean_24, WaveHeightDirection_Mean_2_perp, AirTemperature_StDev_48, WaterTemperature_StDev_72, Sqrt.Precipitation.over.upload.hika.Sum..12hr, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_72, beach_AlgaeOnBeach2, log.beach_TurbidityBeach
# thresholding specificity: 0.814516129032258
# decision threshold: 2.14614657974996
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
50  0.7285590 1.4593925 0.00000000   50   41    1  124    1
81  0.5708129 2.5161386 0.00000000   81   41    1  124    1
71  1.2237984 0.3010300 0.01612903   71   41    2  123    1
78  1.2141450 1.0374265 0.02419355   78   41    4  121    1
91  0.6731131 1.7986506 0.02419355   91   41    4  121    1
89  1.3193191 0.0000000 0.03225806   89   41    6  119    1
131 0.9718309 0.8512583 0.03225806  131   41    6  119    1
73  1.0244789 0.3010300 0.04032258   73   41    7  118    1
137 1.2723538 2.3310222 0.04838710  137   41    8  117    1
32  1.1777225 1.3579348 0.05645161   32   41   10  115    1
132 1.0984886 0.3010300 0.05645161  132   41   10  115    1
4   1.3550203 3.2980448 0.08800000    4   40   10  115    2
140 1.4640216 1.9138139 0.11290323  140   40   11  114    2
157 1.4680517 1.4742163 0.12096774  157   40   12  113    2
143 1.3189636 1.6599162 0.13709677  143   40   13  112    2
55  1.4421740 1.9020029 0.16129032   55   40   14  111    2
87  1.4641409 1.6928469 0.16935484   87   40   15  110    2
22  1.5077684 2.2000293 0.17741935   22   40   18  107    2
110 1.4603778 1.6866363 0.17741935  110   40   18  107    2
164 1.3324680 1.6314438 0.17741935  164   40   18  107    2
67  1.5110347 0.6127839 0.20161290   67   40   19  106    2
156 1.4565479 3.1911994 0.20800000  156   39   19  106    3
152 1.5205943 1.4183013 0.21774194  152   39   20  105    3
54  1.4919830 1.3710679 0.22580645   54   39   22  103    3
108 1.5326178 1.3384565 0.22580645  108   39   22  103    3
99  1.4374893 3.3837436 0.23200000   99   38   22  103    4
65  1.4535286 2.3380579 0.24193548   65   38   25  100    4
79  1.5163079 1.1643529 0.24193548   79   38   25  100    4
101 1.4143632 2.1734776 0.24193548  101   38   25  100    4
5   1.4887081 1.7767012 0.25000000    5   38   26   99    4
114 1.5131559 2.2309596 0.25806452  114   38   28   97    4
130 1.5273351 1.4248816 0.25806452  130   38   28   97    4
88  1.5584820 1.5263393 0.27419355   88   38   31   94    4
128 1.5925949 0.6127839 0.27419355  128   38   31   94    4
141 1.5588626 2.0338257 0.27419355  141   38   31   94    4
60  1.5217894 2.1027766 0.28225806   60   38   32   93    4
42  1.5523207 2.4637437 0.29600000   42   37   32   93    5
28  1.6029898 1.6532125 0.30645161   28   37   34   91    5
127 1.5661869 1.4116197 0.30645161  127   37   34   91    5
86  1.6198396 1.5024271 0.31451613   86   37   35   90    5
106 1.6300127 1.4756712 0.32258065  106   37   36   89    5
150 1.6897984 0.3010300 0.33064516  150   37   37   88    5
9   1.6036570 0.3010300 0.33870968    9   37   40   85    5
27  1.6148788 0.7993405 0.33870968   27   37   40   85    5
53  1.6231116 2.2355284 0.33870968   53   37   40   85    5
96  1.6382139 1.8870544 0.34677419   96   37   41   84    5
38  1.6685771 0.3010300 0.35483871   38   37   42   83    5
26  1.6336330 1.1643529 0.36290323   26   37   45   80    5
122 1.6748668 0.9030900 0.36290323  122   37   45   80    5
153 1.6712520 1.5440680 0.36290323  153   37   45   80    5
146 1.6158946 2.5779511 0.36800000  146   36   45   80    6
29  1.6049962 1.8709888 0.37903226   29   36   46   79    6
135 1.6211267 2.7629785 0.38400000  135   35   46   79    7
14  1.6728483 2.0297895 0.38709677   14   35   48   77    7
149 1.6356382 1.8129134 0.38709677  149   35   48   77    7
33  1.6709224 1.3820170 0.39516129   33   35   50   75    7
105 1.6776733 1.3856063 0.39516129  105   35   50   75    7
8   1.7074770 3.3837436 0.40800000    8   33   50   75    9
17  1.6577682 2.4834446 0.40800000   17   33   50   75    9
51  1.6831161 1.6884198 0.41129032   51   33   52   73    9
109 1.6872079 1.3891661 0.41129032  109   33   52   73    9
52  1.7014255 1.3483049 0.41935484   52   33   53   72    9
64  1.6840296 2.1598678 0.42741935   64   33   54   71    9
120 1.7281631 1.7535831 0.43548387  120   33   55   70    9
100 1.7070537 2.7271344 0.45600000  100   32   55   70   10
35  1.7657328 2.2796669 0.45967742   35   32   56   69   10
23  1.7356599 2.1664301 0.46774194   23   32   57   68   10
15  1.7489507 1.8920946 0.47580645   15   32   60   65   10
83  1.7904008 0.4913617 0.47580645   83   32   60   65   10
113 1.7175365 1.5888317 0.47580645  113   32   60   65   10
57  1.7135499 3.3837436 0.48000000   57   31   60   65   11
31  1.7813711 1.1430148 0.48387097   31   31   62   63   11
43  1.7749494 1.3961993 0.48387097   43   31   62   63   11
77  1.7392403 2.6887757 0.48800000   77   30   62   63   12
147 1.7538550 2.0874265 0.49193548  147   30   64   61   12
163 1.7901563 1.6294096 0.49193548  163   30   64   61   12
25  1.7671312 2.1804126 0.50000000   25   30   65   60   12
10  1.8052032 2.5880475 0.50400000   10   29   65   60   13
162 1.8159045 2.1386184 0.52419355  162   29   66   59   13
103 1.8409317 3.2980448 0.53600000  103   28   66   59   14
76  1.7982270 2.0406023 0.54032258   76   28   67   58   14
107 1.8226312 1.3384565 0.54838710  107   28   68   57   14
11  1.8300643 1.3765770 0.55645161   11   28   69   56   14
133 1.8297655 1.5538830 0.56451613  133   28   70   55   14
129 1.8389267 1.3263359 0.57258065  129   28   72   53   14
167 1.8458772 1.7371926 0.57258065  167   28   72   53   14
90  1.8283568 1.5158738 0.58870968   90   28   73   52   14
98  1.8600223 1.5670264 0.60483871   98   28   75   50   14
121 1.9020941 1.3344538 0.60483871  121   28   75   50   14
134 1.9184627 1.6314438 0.61290323  134   28   76   49   14
21  1.8968064 2.5375673 0.64000000    2   27   76   49   15
68  1.8964094 1.3979400 0.64516129   68   27   78   47   15
75  1.9085080 1.9703469 0.64516129   75   27   78   47   15
72  1.9348057 1.5786392 0.65322581   72   27   80   45   15
102 1.9180546 1.2944662 0.65322581  102   27   80   45   15
6   1.9358009 1.5717088 0.66935484    6   27   81   44   15
74  1.9896126 1.9484130 0.70161290   74   27   82   43   15
16  1.9752689 3.3837436 0.70400000   16   25   82   43   17
112 1.9589650 2.4201208 0.70400000  112   25   82   43   17
37  2.0256103 1.7024305 0.70967742   37   25   84   41   17
84  1.9837944 1.1271048 0.70967742   84   25   84   41   17
165 2.0242251 3.2387735 0.72000000  165   24   84   41   18
36  2.0574567 1.5024271 0.74193548   36   24   85   40   18
139 2.0229370 1.7853298 0.75000000  139   24   86   39   18
166 2.0322934 1.8394780 0.75806452  166   24   87   38   18
70  2.0614958 1.8000294 0.76612903   70   24   90   35   18
80  2.0600549 1.9355073 0.76612903   80   24   90   35   18
155 2.0771929 1.2988531 0.76612903  155   24   90   35   18
138 2.0927693 2.4350476 0.76800000  138   23   90   35   19
61  2.0965753 1.9355073 0.78225806   61   23   94   31   19
92  2.0739379 1.9576073 0.78225806   92   23   94   31   19
154 2.0776932 1.4653829 0.78225806  154   23   94   31   19
160 2.1359956 1.0791812 0.78225806  160   23   94   31   19
3   2.0742388 3.3837436 0.78400000    3   22   94   31   20
58  2.1379395 2.3583156 0.80645161   58   22   99   26   20
62  2.1343222 1.4712917 0.80645161   62   22   99   26   20
144 2.1412120 1.7972675 0.80645161  144   22   99   26   20
145 2.0653869 1.5843312 0.80645161  145   22   99   26   20
151 2.1065879 2.1448854 0.80645161  151   22   99   26   20
104 2.1177710 3.3837436 0.80800000  104   21   99   26   21
30  2.1272975 1.6042261 0.81451613   30   21  101   24   21
142 2.1268097 1.2041200 0.81451613  142   21  101   24   21
24  2.1589662 2.8121108 0.81600000   24   20  101   24   22
85  2.1105215 2.1525941 0.82258065   85   20  102   23   22
211 2.1010616 2.6134189 0.82400000   21   18  102   23   24
45  2.1275797 2.9914033 0.82400000   45   18  102   23   24
34  2.1725464 2.2671717 0.83870968   34   18  103   22   24
2   2.2187864 2.5366847 0.84000000    1   17  103   22   25
44  2.1957739 2.0338257 0.84677419   44   17  104   21   25
158 2.1492727 2.8865471 0.84800000  158   16  104   21   26
19  2.2239399 2.2367891 0.86290323   19   16  105   20   26
40  2.2343163 1.6009729 0.87903226   40   16  107   18   26
59  2.2465172 2.2000293 0.87903226   59   16  107   18   26
66  2.3120248 2.6190933 0.88800000   66   15  107   18   27
12  2.2980725 1.1172713 0.89516129   12   15  108   17   27
46  2.3467914 2.7136585 0.89600000   46   14  108   17   28
