# Seed = 985
# Site = kreher
# Method = galm
# Area under ROC curve = 0.593736593736594
# aggregate.tpos = 11
# aggregate.tneg = 83
# aggregate.fpos = 28
# aggregate.fneg = 10
# variables: AirTemperature_Mean_72, Wind_Mean_2_perp, AirTemperature_StDev_6, Sqrt.Precipitation.over.upload.kreher.Sum..2hr, Sqrt.Whittlesey_ARF_Sum_24, log.Whittlesey_Discharge_Mean_72, log.beach_TurbidityBeach
# thresholding specificity: 0.772727272727273
# decision threshold: 1.70949755683739
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
24  0.1452178 0.0000000 0.000000000   24   21    1  110    0
20  0.2737963 1.9698816 0.009090909   20   21    3  108    0
25  0.2756990 0.0000000 0.009090909   25   21    3  108    0
26  0.5153372 0.3010300 0.027272727   26   21    4  107    0
19  0.7073821 1.9464523 0.036363636   19   21    5  106    0
9   0.6938088 2.0406023 0.045454545    9   21    6  105    0
124 0.8010159 1.4548449 0.054545455  124   21    7  104    0
2   0.8692612 0.6127839 0.063636364    1   21    9  102    0
34  0.9176391 0.0000000 0.063636364   34   21    9  102    0
65  0.8715934 1.4393327 0.072727273   65   21   10  101    0
13  0.8674589 1.1303338 0.081818182   13   21   11  100    0
35  0.9242386 1.0413927 0.100000000   35   21   12   99    0
79  0.7812007 2.9377184 0.108108108   79   20   12   99    1
49  0.9148925 1.6009729 0.118181818   49   20   13   98    1
11  0.9432600 2.7136585 0.144144144   11   19   13   98    2
64  0.8907081 0.6127839 0.145454545   64   19   14   97    2
44  0.9089351 2.4879863 0.153153153   44   18   14   97    3
128 0.9384975 1.8998205 0.154545455  128   18   15   96    3
61  1.0153680 1.0374265 0.163636364   61   18   17   94    3
78  1.0466808 0.3010300 0.163636364   78   18   17   94    3
15  0.9598670 1.1903317 0.172727273   15   18   21   90    3
22  1.0387080 0.3010300 0.172727273   22   18   21   90    3
33  1.0238668 1.2068259 0.172727273   33   18   21   90    3
115 1.0361217 1.5092025 0.172727273  115   18   21   90    3
28  0.9478086 2.8615344 0.180180180   28   17   21   90    4
36  1.0383605 1.2329961 0.181818182   36   17   22   89    4
76  1.0238541 2.9119030 0.198198198   76   16   22   89    5
52  1.0945641 1.1931246 0.218181818   52   16   24   87    5
129 1.0730290 1.3636120 0.218181818  129   16   24   87    5
12  1.0730226 0.9344985 0.227272727   12   16   26   85    5
74  1.0852888 0.0000000 0.227272727   74   16   26   85    5
73  1.1627286 0.0000000 0.245454545   73   16   27   84    5
84  1.1560900 1.5786392 0.263636364   84   16   28   83    5
8   1.1379106 2.6386889 0.270270270    8   15   28   83    6
125 1.1072261 1.6170003 0.281818182  125   15   29   82    6
87  1.1561854 1.3283796 0.290909091   87   15   31   80    6
107 1.1699318 0.4913617 0.290909091  107   15   31   80    6
48  1.2051028 0.7993405 0.300000000   48   15   33   78    6
117 1.1994893 0.7993405 0.300000000  117   15   33   78    6
5   1.2132311 1.2855573 0.318181818    5   15   36   75    6
53  1.2034491 1.3926970 0.318181818   53   15   36   75    6
130 1.2193028 1.2068259 0.318181818  130   15   36   75    6
62  1.2482803 0.9912261 0.327272727   62   15   37   74    6
27  1.1958513 0.7160033 0.336363636   27   15   39   72    6
37  1.2658488 0.6127839 0.336363636   37   15   39   72    6
32  1.2189802 0.8750613 0.345454545   32   15   40   71    6
77  1.3078939 0.4771213 0.354545455   77   15   41   70    6
122 1.2866574 2.5627685 0.360360360  122   14   41   70    7
39  1.2265409 2.1504494 0.363636364   39   14   42   69    7
41  1.2592402 2.4549972 0.369369369   41   13   42   69    8
56  1.2684690 2.1525941 0.381818182   56   13   43   68    8
116 1.2903039 1.2278867 0.409090909  116   13   44   67    8
83  1.3482582 1.9454686 0.427272727   83   13   45   66    8
45  1.3444575 2.2367891 0.445454545   45   13   46   65    8
93  1.4178385 1.9079485 0.463636364   93   13   48   63    8
121 1.3673050 0.9294189 0.463636364  121   13   48   63    8
75  1.3798753 1.1303338 0.472727273   75   13   49   62    8
70  1.3978700 1.9956352 0.500000000   70   13   50   61    8
43  1.4151433 0.7160033 0.509090909   43   13   54   57    8
63  1.4857280 0.8573325 0.509090909   63   13   54   57    8
92  1.4075682 2.0744507 0.509090909   92   13   54   57    8
105 1.4134120 1.2253093 0.509090909  105   13   54   57    8
71  1.4481734 0.8692317 0.518181818   71   13   57   54    8
109 1.3840091 1.5198280 0.518181818  109   13   57   54    8
111 1.4547225 0.7160033 0.518181818  111   13   57   54    8
51  1.4333883 1.5854607 0.545454545   51   13   58   53    8
94  1.4672520 1.8000294 0.554545455   94   13   61   50    8
112 1.4724986 0.7993405 0.554545455  112   13   61   50    8
113 1.4542844 1.5378191 0.554545455  113   13   61   50    8
85  1.4460842 1.2944662 0.563636364   85   13   62   49    8
29  1.5360483 3.3837436 0.612612613   29   12   62   49    9
95  1.5193953 2.0744507 0.618181818   95   12   63   48    9
89  1.6362504 1.6009729 0.636363636   89   12   64   47    9
47  1.5609139 2.5125510 0.648648649   47   11   64   47   10
104 1.6090709 2.1804126 0.654545455  104   11   65   46   10
60  1.5770515 1.7795965 0.672727273   60   11   67   44   10
123 1.6958615 1.6294096 0.672727273  123   11   67   44   10
211 1.6650024 0.7993405 0.681818182   21   11   68   43   10
