# threshold = 1.9798372585845
# Area under ROC curve = 0.533748701973002
# aggregate.tpos = 8
# aggregate.tneg = 82
# aggregate.fpos = 25
# aggregate.fneg = 19
# rocframe: 
     predicted    actual  threshold fold tpos tneg fpos fneg
1   1.01205374 1.0755470 0.00000000    1   27    6  101    0
8   0.88085432 1.5611014 0.00000000    1   27    6  101    0
11  0.96570358 1.6954817 0.00000000    1   27    6  101    0
31  0.61112564 1.1303338 0.00000000    2   27    6  101    0
40  0.64534470 0.9912261 0.00000000    2   27    6  101    0
58  0.03098054 2.2913689 0.00000000    2   27    6  101    0
2   1.11816143 1.3856063 0.01123596    1   27    8   99    0
9   1.10863236 1.7581546 0.01123596    1   27    8   99    0
14  1.14203878 1.6812412 0.02247191    1   27   10   97    0
15  1.14292560 1.4785665 0.02247191    1   27   10   97    0
96  0.93944899 1.9469433 0.02898551    3   27   11   96    0
45  0.92544754 1.5024271 0.03174603    2   27   12   95    0
12  1.17962130 1.8344207 0.03370787    1   27   13   94    0
92  1.06412254 2.6134189 0.07246377    3   26   13   94    1
43  1.00747946 2.6386889 0.07936508    2   25   15   92    2
46  1.08370534 2.2866810 0.07936508    2   25   15   92    2
63  1.02735345 1.6963564 0.07936508    2   25   15   92    2
5   1.33669071 0.9344985 0.10112360    1   25   17   90    2
10  1.33264309 0.7993405 0.10112360    1   25   17   90    2
94  1.21318420 1.5717088 0.10144928    3   24   19   88    3
95  1.19946248 2.5880475 0.10144928    3   24   19   88    3
117 1.16370782 1.9344985 0.10144928    3   24   19   88    3
105 1.27550311 2.5880475 0.11594203    3   21   19   88    6
123 1.27974480 2.9641653 0.11594203    3   21   19   88    6
124 1.24675408 2.3960249 0.11594203    3   21   19   88    6
56  1.26584618 1.3344538 0.12698413    2   21   20   87    6
32  1.30519837 1.2576786 0.14285714    2   21   21   86    6
74  1.31215054 1.3483049 0.14492754    3   21   22   85    6
42  1.32080033 0.7160033 0.15873016    2   21   23   84    6
30  1.41998946 0.6127839 0.19047619    2   21   24   83    6
76  1.34565855 1.3710679 0.20289855    3   21   26   81    6
101 1.34553366 2.3109056 0.20289855    3   21   26   81    6
26  1.53029163 1.7767012 0.25396825    2   21   27   80    6
13  1.61603748 1.4456042 0.28089888    1   21   28   79    6
25  1.56832500 2.0338257 0.28571429    2   21   30   77    6
49  1.61566368 1.6551384 0.28571429    2   21   30   77    6
131 1.57432717 2.1664301 0.29000000    4   21   32   75    6
132 1.57240289 1.5899496 0.29000000    4   21   32   75    6
127 1.59457893 1.7520484 0.30000000    4   21   33   74    6
89  1.43742542 2.2671717 0.30434783    3   21   34   73    6
102 1.47305240 2.1251558 0.31884058    3   21   35   72    6
128 1.60699276 1.4456042 0.32000000    4   21   36   71    6
38  1.67233308 1.5728716 0.33333333    2   21   39   68    6
50  1.70301000 1.5263393 0.33333333    2   21   39   68    6
69  1.66981590 1.8382192 0.33333333    2   21   39   68    6
129 1.64173437 1.9454686 0.35000000    4   21   40   67    6
62  1.74235648 1.3031961 0.36507937    2   21   41   66    6
44  1.75966418 0.9777236 0.38095238    2   21   45   62    6
61  1.75136675 2.1142773 0.38095238    2   21   45   62    6
66  1.78403239 2.0195317 0.38095238    2   21   45   62    6
67  1.77822450 1.9822712 0.38095238    2   21   45   62    6
80  1.52768029 0.8750613 0.40579710    3   21   46   61    6
93  1.55482661 2.6740340 0.42028986    3   20   47   60    7
97  1.58522562 1.7299743 0.42028986    3   20   47   60    7
125 1.74228116 1.7767012 0.43000000    4   20   48   59    7
113 1.60207090 2.9119030 0.43478261    3   19   49   58    8
118 1.61976685 1.1986571 0.43478261    3   19   49   58    8
130 1.79482889 2.9119030 0.46000000    4   17   49   58   10
133 1.79341441 2.4401216 0.46000000    4   17   49   58   10
75  1.65832228 1.1271048 0.46376812    3   17   50   57   10
6   1.86428655 2.3147097 0.47191011    1   17   51   56   10
106 1.68534661 2.9914033 0.47826087    3   16   51   56   11
65  1.87775341 1.0374265 0.50793651    2   16   52   55   11
134 1.85564105 2.9914033 0.51000000    4   15   52   55   12
41  1.94185562 2.1051694 0.53968254    2   15   54   53   12
47  1.93180238 1.8802418 0.53968254    2   15   54   53   12
4   1.94025906 2.9914033 0.57303371    1   14   54   53   13
77  1.80190983 0.9242793 0.57971014    3   13   55   52   14
86  1.79027328 2.5627685 0.57971014    3   13   55   52   14
98  1.82980545 1.6665180 0.60869565    3   13   56   51   14
28  2.02113295 1.7566361 0.61904762    2   13   57   50   14
51  2.06406088 3.3837436 0.63492063    2   12   57   50   15
126 1.94349946 2.2695129 0.65000000    4   12   58   49   15
116 1.86869041 1.7795965 0.66666667    3   12   59   48   15
55  2.08061645 2.1664301 0.68253968    2   12   60   47   15
121 1.88400162 3.1911994 0.69565217    3   10   60   47   17
122 1.87714634 2.4549972 0.69565217    3   10   60   47   17
108 1.89768442 2.1711412 0.71014493    3   10   61   46   17
33  2.09692223 1.5899496 0.73015873    2   10   62   45   17
99  1.91245902 3.2387735 0.73913043    3    9   62   45   18
7   2.10682027 2.0318123 0.74157303    1    9   63   44   18
115 1.92576559 2.2516382 0.75362319    3    9   64   43   18
110 1.94657327 1.7291648 0.76811594    3    9   66   41   18
119 1.93145746 2.1945143 0.76811594    3    9   66   41   18
53  2.17978930 1.1613680 0.77777778    2    9   68   39   18
70  2.20072167 1.2068259 0.77777778    2    9   68   39   18
81  1.98045224 1.7795965 0.78260870    3    9   70   37   18
109 1.97840890 2.3310222 0.78260870    3    9   70   37   18
57  2.21155509 1.3856063 0.80952381    2    9   71   36   18
3   2.20688608 1.8773713 0.82022472    1    9   72   35   18
112 2.01202500 0.3010300 0.84057971    3    8   73   34   19
120 2.00575328 2.4879863 0.84057971    3    8   73   34   19
104 2.07527946 2.3040595 0.88405797    3    8   76   31   19
111 2.09965129 2.0461048 0.88405797    3    8   76   31   19
114 2.09294698 1.6444386 0.88405797    3    8   76   31   19
78  2.16407410 1.1205739 0.89855072    3    8   79   28   19
100 2.11280014 2.2367891 0.89855072    3    8   79   28   19
103 2.22054307 1.7923917 0.89855072    3    8   79   28   19
64  2.30063653 1.7715875 0.90476190    2    8   80   27   19
87  2.29704812 2.1711412 0.91304348    3    8   82   25   19
107 2.29772319 1.9947569 0.91304348    3    8   82   25   19
17  2.36541779 2.1525941 0.92134831    1    8   83   24   19
88  2.37968703 1.5728716 0.92753623    3    8   85   22   19
90  2.38897384 1.1643529 0.92753623    3    8   85   22   19
27  2.39801889 2.0318123 0.93650794    2    8   88   19   19
39  2.46906619 1.7024305 0.93650794    2    8   88   19   19
52  2.38515937 1.3010300 0.93650794    2    8   88   19   19
79  2.46500793 1.9365137 0.97101449    3    8   89   18   19
54  2.57256665 2.1752218 0.98412698    2    8   90   17   19
19  2.59482859 2.0060380 0.98876404    1    8   91   16   19
16  3.23915816 3.1503265 1.00000000    1    0  107    0   27
18  2.79434121 2.7629785 1.00000000    1    0  107    0   27
20  3.14120120 2.1251558 1.00000000    1    0  107    0   27
21  3.33305460 2.7383841 1.00000000    1    0  107    0   27
22  2.85362573 2.0557605 1.00000000    1    0  107    0   27
23  4.47775645 2.5627685 1.00000000    2    0  107    0   27
24  5.26428517 3.3837436 1.00000000    2    0  107    0   27
29  2.76429977 1.5327544 1.00000000    2    0  107    0   27
34  3.62674214 2.0652061 1.00000000    2    0  107    0   27
35  4.01858101 2.3040595 1.00000000    2    0  107    0   27
36  3.16293662 2.0182843 1.00000000    2    0  107    0   27
37  4.06435110 2.1664301 1.00000000    2    0  107    0   27
