# Seed = 722
# Site = neshotah
# Method = galm
# Area under ROC curve = 0.808880308880309
# aggregate.tpos = 7
# aggregate.tneg = 135
# aggregate.fpos = 13
# aggregate.fneg = 7
# variables: beach_AirTemp, beach_WaveHeightManual, Kewaunee_Discharge_Diff_6, WaterTemperature_StDev_24, WaterTemperature_StDev_72, CloudCover_Mean_6, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_120_par, WaveHeight_Mean_6, WaveHeight_Mean_24, WaveHeightDirection_Mean_6_par, WaveDirection_Mean_12_perp, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_StDev_48, Sqrt.Precipitation.over.upload.neshtah.Sum..12hr, Sqrt.Precipitation.over.upload.neshtah.Sum..120hr, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Min_120, log.Kewaunee_Discharge_Mean_1, log.Kewaunee_Discharge_Mean_6, log.Kewaunee_Discharge_Min_6, log.Kewaunee_Discharge_Min_12, log.Kewaunee_Discharge_Min_24, log.Kewaunee_Discharge_Min_120, beach_AlgaeNearshore2, yday, log.beach_TurbidityBeach
# thresholding specificity: 0.965986394557823
# decision threshold: 2.15883009837537
# full results: 
     predicted    actual   threshold fold tpos tneg fpos fneg
109 0.29707571 0.0000000 0.000000000  109   14    1  147    0
42  0.07145699 0.7923917 0.006802721   42   14    4  144    0
66  0.16764264 1.4440448 0.006802721   66   14    4  144    0
81  0.36187400 1.5145478 0.006802721   81   14    4  144    0
118 0.58187174 0.8633229 0.013605442  118   14    5  143    0
82  0.46836636 1.5378191 0.020408163   82   14    7  141    0
115 0.50660972 1.0863598 0.020408163  115   14    7  141    0
77  0.58909641 1.0334238 0.034013605   77   14    8  140    0
75  0.70726515 0.9242793 0.040816327   75   14   10  138    0
110 0.72794150 1.4593925 0.040816327  110   14   10  138    0
70  0.57634233 1.5145478 0.047619048   70   14   14  134    0
122 0.73382063 0.0000000 0.047619048  122   14   14  134    0
123 0.69093362 1.5550944 0.047619048  123   14   14  134    0
138 0.71143104 0.4771213 0.047619048  138   14   14  134    0
144 0.72343163 0.8750613 0.054421769  144   14   15  133    0
21  0.69665800 1.2671717 0.061224490    2   14   18  130    0
30  0.68597130 0.7075702 0.061224490   30   14   18  130    0
124 0.75629913 1.2329961 0.061224490  124   14   18  130    0
37  0.69381902 2.0437551 0.068027211   37   14   19  129    0
90  0.74545876 1.4756712 0.081632653   90   14   20  128    0
149 0.77535690 0.7923917 0.088435374  149   14   21  127    0
56  0.85620931 1.8175654 0.095238095   56   14   23  125    0
71  0.77369305 1.6063814 0.095238095   71   14   23  125    0
104 0.86097623 1.1643529 0.102040816  104   14   24  124    0
67  0.85982017 1.1335389 0.108843537   67   14   25  123    0
86  0.86649109 1.0791812 0.122448980   86   14   26  122    0
114 0.93537296 1.5440680 0.129251701  114   14   27  121    0
29  1.01325320 0.6127839 0.176870748   29   14   29  119    0
96  0.89709765 1.5809250 0.176870748   96   14   29  119    0
63  1.07742618 1.7737864 0.197278912   63   14   31  117    0
78  1.01152254 0.3010300 0.197278912   78   14   31  117    0
13  1.02385177 1.4232459 0.204081633   13   14   33  115    0
91  0.97614962 0.9344985 0.204081633   91   14   33  115    0
23  1.05759538 0.0000000 0.210884354   23   14   34  114    0
97  0.98836037 1.4297523 0.217687075   97   14   35  113    0
14  1.06185304 1.1613680 0.224489796   14   14   37  111    0
145 1.05528350 1.2278867 0.224489796  145   14   37  111    0
27  1.03205806 1.9057959 0.231292517   27   14   40  108    0
57  1.08377425 0.7075702 0.231292517   57   14   40  108    0
88  1.02656428 0.9542425 0.231292517   88   14   40  108    0
72  1.01912313 0.7160033 0.244897959   72   14   41  107    0
50  1.05717797 1.0755470 0.258503401   50   14   43  105    0
83  1.11196539 0.9777236 0.258503401   83   14   43  105    0
28  1.05585512 1.4456042 0.265306122   28   14   44  104    0
157 1.09298052 1.8773713 0.285714286  157   14   45  103    0
142 1.17285909 1.5092025 0.299319728  142   14   46  102    0
133 1.18274888 3.2980448 0.310810811  133   13   46  102    1
117 1.12866499 1.0791812 0.319727891  117   13   47  101    1
10  1.19340440 2.2652896 0.326530612   10   13   48  100    1
87  1.21804425 1.2430380 0.346938776   87   13   49   99    1
131 1.14643684 1.2041200 0.360544218  131   13   50   98    1
160 1.16425143 2.9377184 0.364864865  160   12   50   98    2
74  1.19331302 1.2900346 0.367346939   74   12   52   96    2
137 1.18738309 1.7092700 0.367346939  137   12   52   96    2
132 1.19707550 2.2195845 0.374149660  132   12   54   94    2
143 1.19505968 1.0863598 0.374149660  143   12   54   94    2
89  1.23180528 2.2159018 0.380952381   89   12   55   93    2
3   1.28692388 1.1398791 0.401360544    3   12   57   91    2
127 1.25408756 1.0334238 0.401360544  127   12   57   91    2
119 1.26738358 0.8512583 0.414965986  119   12   59   89    2
161 1.25487785 1.8920946 0.414965986  161   12   59   89    2
2   1.28431987 1.6170003 0.428571429    1   12   60   88    2
15  1.38434624 1.3820170 0.469387755   15   12   61   87    2
40  1.29249815 1.5105450 0.476190476   40   12   63   85    2
46  1.33737008 0.7993405 0.476190476   46   12   63   85    2
79  1.42706405 0.0000000 0.517006803   79   12   64   84    2
126 1.39693362 0.6127839 0.530612245  126   12   65   83    2
92  1.47667383 0.9822712 0.537414966   92   12   68   80    2
95  1.44201439 1.5550944 0.537414966   95   12   68   80    2
135 1.41449646 0.6127839 0.537414966  135   12   68   80    2
22  1.43360363 1.8088859 0.551020408   22   12   71   77    2
26  1.44230844 1.1271048 0.551020408   26   12   71   77    2
73  1.41603434 1.4593925 0.551020408   73   12   71   77    2
62  1.43480420 1.7355989 0.557823129   62   12   72   76    2
39  1.45848574 1.2041200 0.564625850   39   12   74   74    2
159 1.48349989 1.6532125 0.564625850  159   12   74   74    2
8   1.45101691 0.6127839 0.571428571    8   12   76   72    2
107 1.43004209 0.9867717 0.571428571  107   12   76   72    2
76  1.48013864 0.8692317 0.578231293   76   12   77   71    2
98  1.46548056 1.9355073 0.585034014   98   12   79   69    2
134 1.46383829 1.6106602 0.585034014  134   12   79   69    2
101 1.50054990 1.3820170 0.591836735  101   12   83   65    2
108 1.45103581 1.1702617 0.591836735  108   12   83   65    2
146 1.52601784 1.2278867 0.591836735  146   12   83   65    2
156 1.42417938 2.0744507 0.591836735  156   12   83   65    2
64  1.51951993 0.9867717 0.598639456   64   12   84   64    2
53  1.46644968 1.4785665 0.605442177   53   12   85   63    2
211 1.49005257 1.9484130 0.612244898   21   12   86   62    2
25  1.54535217 1.2329961 0.619047619   25   12   88   60    2
111 1.49954957 1.5378191 0.619047619  111   12   88   60    2
16  1.54975187 1.6201361 0.625850340   16   12   89   59    2
17  1.53625549 1.6730209 0.632653061   17   12   90   58    2
59  1.46563055 1.6444386 0.639455782   59   12   91   57    2
125 1.56087914 1.3909351 0.646258503  125   12   92   56    2
41  1.60190854 1.1643529 0.666666667   41   12   94   54    2
54  1.57103988 0.4913617 0.666666667   54   12   94   54    2
106 1.58384086 0.6127839 0.680272109  106   12   95   53    2
9   1.65857087 1.7846173 0.687074830    9   12   96   52    2
5   1.62254979 1.5378191 0.693877551    5   12   97   51    2
51  1.66415291 2.1711412 0.707482993   51   12  100   48    2
65  1.66590743 1.3483049 0.707482993   65   12  100   48    2
153 1.63210625 1.2329961 0.707482993  153   12  100   48    2
11  1.67376715 1.8680564 0.721088435   11   12  103   45    2
12  1.68316059 1.9947569 0.721088435   12   12  103   45    2
93  1.64357829 1.1986571 0.721088435   93   12  103   45    2
