# threshold = 2.20194968971105
# Area under ROC curve = 0.764553093964859
# aggregate.tpos = 35
# aggregate.tneg = 94
# aggregate.fpos = 25
# aggregate.fneg = 20
# rocframe: 
      predicted    actual  threshold fold tpos tneg fpos fneg
20   0.88706900 2.0969100 0.00000000    1   52   11  108    3
23   0.75001333 1.6464037 0.00000000    1   52   11  108    3
26   0.79170075 1.7024305 0.00000000    1   52   11  108    3
84  -5.72370844 3.0048371 0.00000000    3   52   11  108    3
94  -2.64647869 1.6551384 0.00000000    3   52   11  108    3
98  -0.96894654 1.4393327 0.00000000    3   52   11  108    3
100 -1.17617225 3.3837436 0.00000000    3   52   11  108    3
103 -1.10065580 1.3031961 0.00000000    3   52   11  108    3
105 -0.51319563 2.1878026 0.00000000    3   52   11  108    3
110 -0.07412458 1.7505084 0.00000000    3   52   11  108    3
112 -0.37170239 2.2237555 0.00000000    3   52   11  108    3
114 -1.16608956 1.1522883 0.00000000    3   52   11  108    3
116 -1.97625010 3.3837436 0.00000000    3   52   11  108    3
138  0.33395995 2.3398488 0.00000000    4   52   11  108    3
130  0.76356516 2.1316187 0.01136364    4   51   13  106    4
136  0.74942696 1.6954817 0.01136364    4   51   13  106    4
166  0.78099756 2.4401216 0.01136364    4   51   13  106    4
73   0.18384644 0.7708520 0.01315789    3   51   17  102    4
78   0.09516927 1.5263393 0.01315789    3   51   17  102    4
90   0.19001471 1.6720979 0.01315789    3   51   17  102    4
124  0.18773761 1.9703469 0.01315789    3   51   17  102    4
76   0.31163585 0.8692317 0.02631579    3   51   22   97    4
77   0.37542658 1.2253093 0.02631579    3   51   22   97    4
81   0.47832720 1.1986571 0.02631579    3   51   22   97    4
111  0.38010549 1.9571282 0.02631579    3   51   22   97    4
127  0.42148159 1.5831988 0.02631579    3   51   22   97    4
131  0.93562522 1.4082400 0.03409091    4   51   23   96    4
75   0.67638466 1.2380461 0.05263158    3   51   25   94    4
95   0.64954984 1.3856063 0.05263158    3   51   25   94    4
135  1.01505455 1.5502284 0.05681818    4   51   26   93    4
82   0.72835651 1.6020600 0.06578947    3   51   27   92    4
21   1.20051981 2.2871296 0.08653846    1   51   29   90    4
22   1.22342119 2.2866810 0.08653846    1   51   29   90    4
80   1.01807584 2.1628630 0.09210526    3   51   30   89    4
30   1.24231260 2.1195858 0.09615385    1   51   31   88    4
32   1.26073804 1.8847954 0.10112360    2   51   32   87    4
