# Seed = 469
# Site = redarrow
# Method = galm
# Area under ROC curve = 0.924216959511077
# aggregate.tpos = 53
# aggregate.tneg = 66
# aggregate.fpos = 53
# aggregate.fneg = 2
# variables: beach_EColiValue, beach_AirTemp, CloudCover_Mean_48, CurrentDepthAveraged_Mean_120_perp, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_2_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_2_par, Sqrt.Precipitationoverupload.RedarrowSum.120hr, beach_AlgaeNearshore4, yday
# thresholding specificity: 0.542372881355932
# decision threshold: 1.83367361504753
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
46  1.1551196 1.1172713 0.00000000   46   55    3  116    0
78  0.9813511 1.5263393 0.00000000   78   55    3  116    0
79  0.8863598 1.3636120 0.00000000   79   55    3  116    0
32  1.1813094 1.8847954 0.02542373   32   55    5  114    0
155 1.0795447 1.4345689 0.02542373  155   55    5  114    0
76  1.2826793 0.8692317 0.04237288   76   55    7  112    0
94  1.2297372 1.6551384 0.04237288   94   55    7  112    0
74  1.1838789 2.0153598 0.05084746   74   55   10  109    0
95  1.2642620 1.3856063 0.05084746   95   55   10  109    0
124 1.2309540 1.9703469 0.05084746  124   55   10  109    0
5   1.2524228 1.6599162 0.05932203    5   55   11  108    0
90  1.2054902 1.6720979 0.06779661   90   55   12  107    0
105 1.2772791 2.1878026 0.07627119  105   55   13  106    0
99  1.3310378 1.5658478 0.08474576   99   55   14  105    0
75  1.2971944 1.2380461 0.09322034   75   55   16  103    0
97  1.3696581 1.5611014 0.09322034   97   55   16  103    0
136 1.3049253 1.6954817 0.10169492  136   55   17  102    0
81  1.3906994 1.1986571 0.11016949   81   55   19  100    0
103 1.3834026 1.3031961 0.11016949  103   55   19  100    0
145 1.3518543 1.4031205 0.11864407  145   55   20   99    0
20  1.3686601 2.0969100 0.13559322   20   55   21   98    0
88  1.3678292 1.8215135 0.14406780   88   55   22   97    0
138 1.3408235 2.3398488 0.15254237  138   55   23   96    0
104 1.4143324 2.0870712 0.18644068  104   55   24   95    0
135 1.4152670 1.5502284 0.19491525  135   55   25   94    0
57  1.5039636 1.3201463 0.21186441   57   55   26   93    0
47  1.5085418 1.4927604 0.22881356   47   55   28   91    0
153 1.4626626 1.2329961 0.22881356  153   55   28   91    0
44  1.4931976 1.8680564 0.23728814   44   55   30   89    0
98  1.5492062 1.4393327 0.23728814   98   55   30   89    0
59  1.5347950 1.1903317 0.26271186   59   55   31   88    0
73  1.5549856 0.7708520 0.27118644   73   55   32   87    0
6   1.5545687 0.0000000 0.27966102    6   55   35   84    0
31  1.5094558 1.6954817 0.27966102   31   55   35   84    0
154 1.5456319 0.6127839 0.27966102  154   55   35   84    0
152 1.6067820 0.3010300 0.28813559  152   55   36   83    0
72  1.5948954 1.1903317 0.32203390   72   55   39   80    0
96  1.5710158 1.8299467 0.32203390   96   55   39   80    0
137 1.5836041 1.4593925 0.32203390  137   55   39   80    0
51  1.5894345 1.7307823 0.33050847   51   55   40   79    0
123 1.6422677 2.0831441 0.34745763  123   55   41   78    0
23  1.5896081 1.6464037 0.35593220   23   55   42   77    0
48  1.6593135 0.7075702 0.36440678   48   55   44   75    0
77  1.6245132 1.2253093 0.36440678   77   55   44   75    0
131 1.6342504 1.4082400 0.37288136  131   55   45   74    0
211 1.6167510 2.2871296 0.38135593   21   55   46   73    0
17  1.6178933 2.3829171 0.38655462   17   54   46   73    1
52  1.6485392 1.6374897 0.38983051   52   54   47   72    1
92  1.6525595 1.5276299 0.41525424   92   54   49   70    1
151 1.6478242 0.6127839 0.41525424  151   54   49   70    1
55  1.6498838 2.5880475 0.42016807   55   53   49   70    2
34  1.7054361 1.9344985 0.42372881   34   53   50   69    2
2   1.6545146 1.0374265 0.43220339    1   53   52   67    2
49  1.6910020 1.0374265 0.43220339   49   53   52   67    2
21  1.6925335 1.3541084 0.44915254    2   53   53   66    2
146 1.6965874 1.3909351 0.45762712  146   53   54   65    2
114 1.7240781 1.1522883 0.47457627  114   53   55   64    2
26  1.7499844 1.7024305 0.49152542   26   53   57   62    2
110 1.7491820 1.7505084 0.49152542  110   53   57   62    2
80  1.7551899 2.1628630 0.50000000   80   53   60   59    2
130 1.7237919 2.1316187 0.50000000  130   53   60   59    2
150 1.7417564 1.1522883 0.50000000  150   53   60   59    2
45  1.7901267 1.2068259 0.51694915   45   53   62   57    2
119 1.7675067 2.1580608 0.51694915  119   53   62   57    2
158 1.8021554 1.1643529 0.52542373  158   53   63   56    2
35  1.7622959 0.9344985 0.54237288   35   53   66   53    2
82  1.7720074 1.6020600 0.54237288   82   53   66   53    2
140 1.7950163 0.9242793 0.54237288  140   53   66   53    2
9   1.8088240 1.6170003 0.55084746    9   53   67   52    2
33  1.8389564 2.2227165 0.55932203   33   53   68   51    2
8   1.8325063 1.9329808 0.57627119    8   53   74   45    2
70  1.8434697 2.2237555 0.57627119   70   53   74   45    2
142 1.8410654 1.9929951 0.57627119  142   53   74   45    2
143 1.8478538 1.5943926 0.57627119  143   53   74   45    2
144 1.8244399 1.3031961 0.57627119  144   53   74   45    2
149 1.8458869 1.3926970 0.57627119  149   53   74   45    2
156 1.8347454 1.8419848 0.58474576  156   53   75   44    2
22  1.8600265 2.2866810 0.59322034   22   53   76   43    2
93  1.8272489 1.9818186 0.61016949   93   53   77   42    2
139 1.8646652 2.1553360 0.62711864  139   53   78   41    2
83  1.8995053 2.2367891 0.63559322   83   53   79   40    2
30  1.8985071 2.1195858 0.65254237   30   53   81   38    2
62  1.9160611 2.3398488 0.65254237   62   53   81   38    2
128 1.8988136 1.0791812 0.66949153  128   53   82   37    2
11  1.8972615 2.6386889 0.68067227   11   52   82   37    3
54  1.9622088 2.2227165 0.68644068   54   52   84   35    3
132 1.9237411 2.1495270 0.68644068  132   52   84   35    3
113 1.9440545 1.9464523 0.69491525  113   52   86   33    3
127 1.9300294 1.5831988 0.69491525  127   52   86   33    3
118 1.9493398 1.4785665 0.70338983  118   52   87   32    3
133 1.9322853 2.3769418 0.70588235  133   51   87   32    4
68  1.9221392 2.3516031 0.71186441   68   51   88   31    4
91  1.9437254 2.8615344 0.71428571   91   50   88   31    5
42  2.0387062 1.5843312 0.72881356   42   50   89   30    5
169 2.0509634 2.5125510 0.73949580  169   49   89   30    6
29  1.9943623 2.0195317 0.74576271   29   49   93   26    6
64  2.0048776 2.2360331 0.74576271   64   49   93   26    6
67  1.9746682 1.8680564 0.74576271   67   49   93   26    6
115 2.0106165 1.9722028 0.74576271  115   49   93   26    6
53  2.0318994 1.9934362 0.77118644   53   49   94   25    6
108 1.9719822 2.6134189 0.77310924  108   48   94   25    7
66  2.0384025 2.3040595 0.78813559   66   48   96   23    7
165 2.0523518 2.1580608 0.78813559  165   48   96   23    7
56  2.0411885 2.8615344 0.78991597   56   47   96   23    8
89  2.1004180 2.1051694 0.83898305   89   47   97   22    8
117 2.0756623 2.3147097 0.84745763  117   47   98   21    8
