# Seed = 882
# Site = hika
# Method = gbm
# Area under ROC curve = 0.750476190476191
# aggregate.tpos = 21
# aggregate.tneg = 102
# aggregate.fpos = 23
# aggregate.fneg = 21
# variables: beach_WaterTemp, beach_AirTemp, beach_PeopleInWater, beach_PeopleOnBeach, beach_WaveHeightManual, Manitowoc_Discharge_Diff_6, Sheboygan_Discharge_Diff_6, CloudCover_Mean_1, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, CloudCover_Mean_24, CloudCover_Mean_48, HeightAboveSeaLevel_Mean_1, HeightAboveSeaLevel_Mean_24, HeightAboveSeaLevel_Max_1, HeightAboveSeaLevel_Max_24, HeightAboveSeaLevel_Min_1, HeightAboveSeaLevel_Min_24, HeightAboveSeaLevel_Diff_24, CurrentDepthAveraged_Mean_1_perp, CurrentDepthAveraged_Mean_2_perp, CurrentDepthAveraged_Mean_6_perp, CurrentDepthAveraged_Mean_12_perp, CurrentDepthAveraged_Mean_24_perp, CurrentDepthAveraged_Mean_48_perp, CurrentDepthAveraged_Mean_72_perp, CurrentDepthAveraged_Mean_120_perp, CurrentDepthAveraged_Mean_1_par, CurrentDepthAveraged_Mean_2_par, CurrentDepthAveraged_Mean_6_par, CurrentDepthAveraged_Mean_12_par, CurrentDepthAveraged_Mean_24_par, CurrentDepthAveraged_Mean_48_par, CurrentDepthAveraged_Mean_72_par, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_1_perp, CurrentSurface_Mean_2_perp, CurrentSurface_Mean_6_perp, CurrentSurface_Mean_12_perp, CurrentSurface_Mean_24_perp, CurrentSurface_Mean_48_perp, CurrentSurface_Mean_72_perp, CurrentSurface_Mean_120_perp, CurrentSurface_Mean_1_par, CurrentSurface_Mean_2_par, CurrentSurface_Mean_6_par, CurrentSurface_Mean_12_par, CurrentSurface_Mean_24_par, CurrentSurface_Mean_48_par, CurrentSurface_Mean_72_par, CurrentSurface_Mean_120_par, WaveHeight_Mean_1, WaveHeight_Mean_2, WaveHeight_Mean_6, WaveHeight_Mean_12, WaveHeight_Mean_24, WaveHeightDirection_Mean_1_perp, WaveHeightDirection_Mean_2_perp, WaveHeightDirection_Mean_6_perp, WaveHeightDirection_Mean_12_perp, WaveHeightDirection_Mean_24_perp, WaveHeightDirection_Mean_1_par, WaveHeightDirection_Mean_2_par, WaveHeightDirection_Mean_6_par, WaveHeightDirection_Mean_12_par, WaveHeightDirection_Mean_24_par, WaveDirection_Mean_1_perp, WaveDirection_Mean_2_perp, WaveDirection_Mean_6_perp, WaveDirection_Mean_12_perp, WaveDirection_Mean_24_perp, WaveDirection_Mean_1_par, WaveDirection_Mean_2_par, WaveDirection_Mean_6_par, WaveDirection_Mean_12_par, WaveDirection_Mean_24_par, Wind_Mean_1_perp, Wind_Mean_2_perp, Wind_Mean_6_perp, Wind_Mean_12_perp, Wind_Mean_24_perp, Wind_Mean_1_par, Wind_Mean_2_par, Wind_Mean_6_par, Wind_Mean_12_par, Wind_Mean_24_par, AirTemperature_Mean_1, AirTemperature_Mean_2, AirTemperature_Mean_6, AirTemperature_Mean_12, AirTemperature_Mean_24, AirTemperature_Mean_48, AirTemperature_Mean_72, AirTemperature_Mean_120, AirTemperature_StDev_2, AirTemperature_StDev_6, AirTemperature_StDev_12, AirTemperature_StDev_24, AirTemperature_StDev_48, AirTemperature_StDev_72, AirTemperature_StDev_120, WaterTemperature_Mean_1, WaterTemperature_Mean_2, WaterTemperature_Mean_6, WaterTemperature_Mean_12, WaterTemperature_Mean_24, WaterTemperature_Mean_48, WaterTemperature_Mean_72, WaterTemperature_Mean_120, WaterTemperature_StDev_6, WaterTemperature_StDev_12, WaterTemperature_StDev_24, WaterTemperature_StDev_48, WaterTemperature_StDev_72, WaterTemperature_StDev_120, Sqrt.Precipitation.over.upload.ManitowocR.Sum..1hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..2hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..6hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..12hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..24hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..48hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..72hr, Sqrt.Precipitation.over.upload.ManitowocR.Sum..120hr, Sqrt.Precipitation.over.upload.hika.Sum..1hr, Sqrt.Precipitation.over.upload.hika.Sum..2hr, Sqrt.Precipitation.over.upload.hika.Sum..6hr, Sqrt.Precipitation.over.upload.hika.Sum..12hr, Sqrt.Precipitation.over.upload.hika.Sum..24hr, Sqrt.Precipitation.over.upload.hika.Sum..48hr, Sqrt.Precipitation.over.upload.hika.Sum..72hr, Sqrt.Precipitation.over.upload.hika.Sum..120hr, log.Manitowoc_Discharge_Mean_1, log.Manitowoc_Discharge_Mean_2, log.Manitowoc_Discharge_Mean_6, log.Manitowoc_Discharge_Mean_12, log.Manitowoc_Discharge_Mean_24, log.Manitowoc_Discharge_Mean_48, log.Manitowoc_Discharge_Mean_72, log.Manitowoc_Discharge_Mean_120, log.Manitowoc_Discharge_Min_1, log.Manitowoc_Discharge_Min_2, log.Manitowoc_Discharge_Min_6, log.Manitowoc_Discharge_Min_12, log.Manitowoc_Discharge_Min_24, log.Manitowoc_Discharge_Min_48, log.Manitowoc_Discharge_Min_72, log.Manitowoc_Discharge_Min_120, log.Manitowoc_Discharge_Max_24, log.Sheboygan_Discharge_Mean_1, log.Sheboygan_Discharge_Mean_2, log.Sheboygan_Discharge_Mean_6, log.Sheboygan_Discharge_Mean_12, log.Sheboygan_Discharge_Mean_24, log.Sheboygan_Discharge_Mean_48, log.Sheboygan_Discharge_Mean_72, log.Sheboygan_Discharge_Mean_120, log.Sheboygan_Discharge_Min_1, log.Sheboygan_Discharge_Min_2, log.Sheboygan_Discharge_Min_6, log.Sheboygan_Discharge_Min_12, log.Sheboygan_Discharge_Min_24, log.Sheboygan_Discharge_Min_48, log.Sheboygan_Discharge_Min_72, log.Sheboygan_Discharge_Min_120, log.Sheboygan_Discharge_Max_24, beach_AlgaeNearshore2, beach_AlgaeNearshore3, beach_AlgaeNearshore4, beach_AlgaeOnBeach2, beach_AlgaeOnBeach3, beach_AlgaeOnBeach4, yday, log.beach_TurbidityBeach, beach_WindVector_perp, beach_WindVector_parl
# thresholding specificity: 0.895161290322581
# decision threshold: 2.09284675603804
# full results: 
    predicted    actual  threshold fold tpos tneg fpos fneg
131 0.6153220 0.8512583 0.04032258  131   42    1  124    0
71  1.0408747 0.3010300 0.08064516   71   42    3  122    0
73  0.7600827 0.3010300 0.08064516   73   42    3  122    0
122 1.0090442 0.9030900 0.10483871  122   42    4  121    0
32  1.0266260 1.3579348 0.11290323   32   42    6  119    0
38  1.1255391 0.3010300 0.11290323   38   42    6  119    0
28  1.0938245 1.6532125 0.12096774   28   42    8  117    0
132 1.3031015 0.3010300 0.12096774  132   42    8  117    0
50  1.3848430 1.4593925 0.12903226   50   42    9  116    0
31  1.2097866 1.1430148 0.14516129   31   42   10  115    0
33  1.2131873 1.3820170 0.15322581   33   42   11  114    0
91  1.3123054 1.7986506 0.16935484   91   42   12  113    0
89  1.3207666 0.0000000 0.17741935   89   42   13  112    0
52  1.3464832 1.3483049 0.18548387   52   42   15  110    0
62  1.3198691 1.4712917 0.18548387   62   42   15  110    0
72  1.3370649 1.5786392 0.19354839   72   42   17  108    0
101 1.3457002 2.1734776 0.19354839  101   42   17  108    0
78  1.3815670 1.0374265 0.20161290   78   42   18  107    0
88  1.5591237 1.5263393 0.24193548   88   42   20  105    0
110 1.5504833 1.6866363 0.24193548  110   42   20  105    0
149 1.4147414 1.8129134 0.25000000  149   42   21  104    0
83  1.4416673 0.4913617 0.25806452   83   42   22  103    0
81  1.4401412 2.5161386 0.27200000   81   41   22  103    1
128 1.4364049 0.6127839 0.27419355  128   41   23  102    1
5   1.4458461 1.7767012 0.28225806    5   41   25  100    1
140 1.5748219 1.9138139 0.28225806  140   41   25  100    1
79  1.4669797 1.1643529 0.30645161   79   41   26   99    1
35  1.4785054 2.2796669 0.31451613   35   41   27   98    1
42  1.4702934 2.4637437 0.32000000   42   40   27   98    2
60  1.4779212 2.1027766 0.32258065   60   40   28   97    2
9   1.5487782 0.3010300 0.37096774    9   40   30   95    2
114 1.5276168 2.2309596 0.37096774  114   40   30   95    2
6   1.5392344 1.5717088 0.37903226    6   40   32   93    2
113 1.5366995 1.5888317 0.37903226  113   40   32   93    2
27  1.6301914 0.7993405 0.39516129   27   40   35   90    2
43  1.6867632 1.3961993 0.39516129   43   40   35   90    2
162 1.6317407 2.1386184 0.39516129  162   40   35   90    2
108 1.5804290 1.3384565 0.41129032  108   40   36   89    2
55  1.5924610 1.9020029 0.41935484   55   40   37   88    2
70  1.6636272 1.8000294 0.42741935   70   40   38   87    2
26  1.6271188 1.1643529 0.43548387   26   40   39   86    2
87  1.6356901 1.6928469 0.44354839   87   40   41   84    2
151 1.6204492 2.1448854 0.44354839  151   40   41   84    2
22  1.6353640 2.2000293 0.45161290   22   40   43   82    2
163 1.6807880 1.6294096 0.45161290  163   40   43   82    2
86  1.6527618 1.5024271 0.46774194   86   40   44   81    2
51  1.7187370 1.6884198 0.47580645   51   40   45   80    2
54  1.7018644 1.3710679 0.48387097   54   40   47   78    2
109 1.6840490 1.3891661 0.48387097  109   40   47   78    2
106 1.6768186 1.4756712 0.50000000  106   40   49   76    2
164 1.6705366 1.6314438 0.50000000  164   40   49   76    2
133 1.6932123 1.5538830 0.50806452  133   40   50   75    2
53  1.6941640 2.2355284 0.51612903   53   40   52   73    2
67  1.7094751 0.6127839 0.51612903   67   40   52   73    2
48  1.7062848 1.8469553 0.52419355   48   40   53   72    2
138 1.7108602 2.4350476 0.52800000  138   39   53   72    3
150 1.7244674 0.3010300 0.53225806  150   39   54   71    3
99  1.7176639 3.3837436 0.53600000   99   38   54   71    4
105 1.7857815 1.3856063 0.54032258  105   38   55   70    4
14  1.7170904 2.0297895 0.54838710   14   38   57   68    4
130 1.8103929 1.4248816 0.54838710  130   38   57   68    4
129 1.7848106 1.3263359 0.56451613  129   38   58   67    4
77  1.8162451 2.6887757 0.58400000   77   37   58   67    5
68  1.7841602 1.3979400 0.59677419   68   37   60   65    5
152 1.7761790 1.4183013 0.59677419  152   37   60   65    5
156 1.7842847 3.1911994 0.60000000  156   36   60   65    6
92  1.7931619 1.9576073 0.60483871   92   36   62   63    6
107 1.8618801 1.3384565 0.60483871  107   36   62   63    6
24  1.7919191 2.8121108 0.60800000   24   35   62   63    7
75  1.8491217 1.9703469 0.61290323   75   35   64   61    7
127 1.8710338 1.4116197 0.61290323  127   35   64   61    7
21  1.8218782 2.5375673 0.61600000    2   34   64   61    8
157 1.8270351 1.4742163 0.62096774  157   34   65   60    8
25  1.8679817 2.1804126 0.62903226   25   34   66   59    8
135 1.8857525 2.7629785 0.64000000  135   33   66   59    9
76  1.8763145 2.0406023 0.65322581   76   33   67   58    9
123 1.8850448 1.7041505 0.66129032  123   33   69   56    9
143 1.8870379 1.6599162 0.66129032  143   33   69   56    9
146 1.8779979 2.5779511 0.66400000  146   32   69   56   10
37  1.8983975 1.7024305 0.66935484   37   32   70   55   10
16  1.9104512 3.3837436 0.67200000   16   31   70   55   11
15  1.9114468 1.8920946 0.67741935   15   31   73   52   11
74  1.8999284 1.9484130 0.67741935   74   31   73   52   11
141 1.8981518 2.0338257 0.67741935  141   31   73   52   11
10  1.9049003 2.5880475 0.68000000   10   30   73   52   12
41  1.9305315 2.0318123 0.70161290   41   30   76   49   12
134 1.9309936 1.6314438 0.70161290  134   30   76   49   12
160 1.9303811 1.0791812 0.70161290  160   30   76   49   12
17  1.9626275 2.4834446 0.71200000   17   29   76   49   13
58  1.9451170 2.3583156 0.71774194   58   29   78   47   13
98  1.9557390 1.5670264 0.71774194   98   29   78   47   13
154 1.9781387 1.4653829 0.76612903  154   29   79   46   13
104 1.9868246 3.3837436 0.76800000  104   28   79   46   14
11  2.0130673 1.3765770 0.77419355   11   28   82   43   14
137 1.9839945 2.3310222 0.77419355  137   28   82   43   14
145 2.0152469 1.5843312 0.77419355  145   28   82   43   14
147 2.0071620 2.0874265 0.78225806  147   28   84   41   14
153 2.0388344 1.5440680 0.78225806  153   28   84   41   14
40  2.0342638 1.6009729 0.79032258   40   28   85   40   14
69  2.0186518 1.6866363 0.79838710   69   28   86   39   14
85  2.0601358 2.1525941 0.80645161   85   28   87   38   14
36  2.0698665 1.5024271 0.81451613   36   28   89   36   14
44  2.0839991 2.0338257 0.81451613   44   28   89   36   14
64  2.0703340 2.1598678 0.82258065   64   28   90   35   14
59  2.0978982 2.2000293 0.83064516   59   28   91   34   14
8   2.1084036 3.3837436 0.83200000    8   25   91   34   17
13  2.0688813 2.5627685 0.83200000   13   25   91   34   17
