# Seed = 985
# Site = kreher
# Method = adapt
# Area under ROC curve = 0.645645645645645
# aggregate.tpos = 11
# aggregate.tneg = 79
# aggregate.fpos = 32
# aggregate.fneg = 10
# variables: trib_BayCityCreekAtHwy204026368_TribSc, AirTemperature_StDev_6, Sqrt.Precipitation.over.upload.kreher.Sum..6hr, Sqrt.Whittlesey_ARF_Sum_24
# thresholding specificity: 0.736363636363636
# decision threshold: 1.55154725942104
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
25  0.8023415 0.0000000 0.000000000   25   21    1  110    0
24  0.6709378 0.0000000 0.009090909   24   21    2  109    0
26  0.7814754 0.3010300 0.018181818   26   21    3  108    0
44  0.8329649 2.4879863 0.045045045   44   20    3  108    1
9   0.9800290 2.0406023 0.045454545    9   20    5  106    1
74  1.0596717 0.0000000 0.045454545   74   20    5  106    1
124 1.0474418 1.4548449 0.054545455  124   20    6  105    1
34  1.1819784 0.0000000 0.081818182   34   20    7  104    1
13  1.0674768 1.1303338 0.100000000   13   20   10  101    1
36  1.0975199 1.2329961 0.100000000   36   20   10  101    1
52  1.1265911 1.1931246 0.100000000   52   20   10  101    1
2   1.1600341 0.6127839 0.136363636    1   20   11  100    1
11  1.0680560 2.7136585 0.162162162   11   19   11  100    2
35  1.1682799 1.0413927 0.190909091   35   19   12   99    2
12  1.1929165 0.9344985 0.200000000   12   19   15   96    2
20  1.1426791 1.9698816 0.200000000   20   19   15   96    2
78  1.2210279 0.3010300 0.200000000   78   19   15   96    2
37  1.2245408 0.6127839 0.209090909   37   19   18   93    2
77  1.2114265 0.4771213 0.209090909   77   19   18   93    2
87  1.1821596 1.3283796 0.209090909   87   19   18   93    2
45  1.1697170 2.2367891 0.218181818   45   19   22   89    2
49  1.2049106 1.6009729 0.218181818   49   19   22   89    2
61  1.2068884 1.0374265 0.218181818   61   19   22   89    2
128 1.1635218 1.8998205 0.218181818  128   19   22   89    2
115 1.2251546 1.5092025 0.227272727  115   19   23   88    2
5   1.2432585 1.2855573 0.236363636    5   19   25   86    2
7   1.2420921 0.0000000 0.236363636    7   19   25   86    2
43  1.2826476 0.7160033 0.254545455   43   19   27   84    2
64  1.2890777 0.6127839 0.254545455   64   19   27   84    2
27  1.2630394 0.7160033 0.263636364   27   19   29   82    2
129 1.2491544 1.3636120 0.263636364  129   19   29   82    2
32  1.2950592 0.8750613 0.281818182   32   19   31   80    2
53  1.2527690 1.3926970 0.281818182   53   19   31   80    2
73  1.2832861 0.0000000 0.290909091   73   19   32   79    2
62  1.2695848 0.9912261 0.300000000   62   19   33   78    2
122 1.3001033 2.5627685 0.306306306  122   18   33   78    3
65  1.2763747 1.4393327 0.309090909   65   18   35   76    3
84  1.2644300 1.5786392 0.309090909   84   18   35   76    3
48  1.3041360 0.7993405 0.318181818   48   18   36   75    3
39  1.2647884 2.1504494 0.345454545   39   18   37   74    3
28  1.2795048 2.8615344 0.360360360   28   17   37   74    4
75  1.3109623 1.1303338 0.372727273   75   17   38   73    4
71  1.3292090 0.8692317 0.381818182   71   17   40   71    4
117 1.3504514 0.7993405 0.381818182  117   17   40   71    4
22  1.3376958 0.3010300 0.390909091   22   17   41   70    4
56  1.3275981 2.1525941 0.409090909   56   17   44   67    4
93  1.3470962 1.9079485 0.409090909   93   17   44   67    4
125 1.3291909 1.6170003 0.409090909  125   17   44   67    4
94  1.3566372 1.8000294 0.418181818   94   17   46   65    4
105 1.3553327 1.2253093 0.418181818  105   17   46   65    4
85  1.3745656 1.2944662 0.436363636   85   17   47   64    4
76  1.3637970 2.9119030 0.441441441   76   16   47   64    5
72  1.3834034 0.3010300 0.445454545   72   16   49   62    5
112 1.3776669 0.7993405 0.445454545  112   16   49   62    5
83  1.3599165 1.9454686 0.454545455   83   16   50   61    5
107 1.4124128 0.4913617 0.472727273  107   16   51   60    5
8   1.3833485 2.6386889 0.477477477    8   15   51   60    6
120 1.3996470 1.3909351 0.481818182  120   15   53   58    6
121 1.4368088 0.9294189 0.481818182  121   15   53   58    6
46  1.4090868 2.3529539 0.500000000   46   15   54   57    6
15  1.4466953 1.1903317 0.527272727   15   15   55   56    6
97  1.4415580 2.4549972 0.531531532   97   14   55   56    7
33  1.4461597 1.2068259 0.536363636   33   14   57   54    7
92  1.4320310 2.0744507 0.536363636   92   14   57   54    7
63  1.4603538 0.8573325 0.545454545   63   14   59   52    7
113 1.4549682 1.5378191 0.545454545  113   14   59   52    7
70  1.4920072 1.9956352 0.554545455   70   14   61   50    7
111 1.4862831 0.7160033 0.554545455  111   14   61   50    7
29  1.4816494 3.3837436 0.567567568   29   13   61   50    8
38  1.4870563 1.4842998 0.581818182   38   13   62   49    8
41  1.4978037 2.4549972 0.585585586   41   12   62   49    9
100 1.5186376 1.2944662 0.590909091  100   12   63   48    9
104 1.5110486 2.1804126 0.600000000  104   12   65   46    9
130 1.5249908 1.2068259 0.600000000  130   12   65   46    9
123 1.5218136 1.6294096 0.609090909  123   12   66   45    9
99  1.5302668 1.8000294 0.618181818   99   12   68   43    9
109 1.5405151 1.5198280 0.618181818  109   12   68   43    9
211 1.5553988 0.7993405 0.636363636   21   12   70   41    9
103 1.5485411 2.0182843 0.636363636  103   12   70   41    9
79  1.5913955 2.9377184 0.639639640   79   11   70   41   10
95  1.5565676 2.0744507 0.645454545   95   11   71   40   10
88  1.5649683 2.2372923 0.654545455   88   11   72   39   10
67  1.5744616 2.0413927 0.663636364   67   11   73   38   10
81  1.5911540 2.0437551 0.672727273   81   11   74   37   10
89  1.6064598 1.6009729 0.681818182   89   11   77   34   10
106 1.6002576 1.3979400 0.681818182  106   11   77   34   10
127 1.5845958 1.8970770 0.681818182  127   11   77   34   10
119 1.6395608 0.3010300 0.700000000  119   11   78   33   10
16  1.6331277 0.9242793 0.736363636   16   11   79   32   10
55  1.6309594 2.7629785 0.738738739   55   10   79   32   11
40  1.6424536 0.3010300 0.745454545   40   10   80   31   11
51  1.6712906 1.5854607 0.754545455   51   10   81   30   11
42  1.6669712 1.1643529 0.763636364   42   10   82   29   11
47  1.6818312 2.5125510 0.765765766   47    9   82   29   12
19  1.6497880 1.9464523 0.772727273   19    9   85   26   12
60  1.6687920 1.7795965 0.772727273   60    9   85   26   12
86  1.6870550 1.1931246 0.772727273   86    9   85   26   12
69  1.6839250 1.9925535 0.781818182   69    9   86   25   12
98  1.7211354 1.9947569 0.790909091   98    9   87   24   12
23  1.7681875 0.0000000 0.809090909   23    9   89   22   12
50  1.7447064 2.2370408 0.809090909   50    9   89   22   12
131 1.7297165 2.7383841 0.828828829  131    8   89   22   13
59  1.7659198 1.5658478 0.836363636   59    8   90   21   13
6   1.7611489 1.5888317 0.854545455    6    8   92   19   13
17  1.8027229 1.7024305 0.854545455   17    8   92   19   13
58  1.8099301 0.7993405 0.863636364   58    8   94   17   13
91  1.7660506 2.2636361 0.863636364   91    8   94   17   13
66  1.7648873 2.8615344 0.864864865   66    7   94   17   14
96  1.7517538 2.4141374 0.873873874   96    6   94   17   15
110 1.8588344 1.1613680 0.890909091  110    6   96   15   15
116 1.8105378 1.2278867 0.890909091  116    6   96   15   15
102 1.9004732 2.1804126 0.909090909  102    6   97   14   15
31  1.8720992 2.7136585 0.909909910   31    5   97   14   16
82  1.8346232 1.9454686 0.927272727   82    5   98   13   16
10  2.0382234 0.0000000 0.936363636   10    5   99   12   16
90  1.9400855 1.7234557 0.945454545   90    5  100   11   16
114 1.9228550 1.1303338 0.954545455  114    5  101   10   16
108 2.0149137 1.3765770 0.963636364  108    5  103    8   16
118 2.0151692 1.4842998 0.963636364  118    5  103    8   16
3   2.1214978 0.4913617 0.972727273    3    5  104    7   16
4   2.0132622 2.1316187 0.981818182    4    5  106    5   16
57  2.0399750 0.8692317 0.981818182   57    5  106    5   16
80  2.2342201 1.3344538 0.990909091   80    5  108    3   16
132 2.0885324 1.9813655 0.990909091  132    5  108    3   16
30  2.1619151 2.5985717 0.990990991   30    3  108    3   18
126 2.0785541 2.9914033 0.990990991  126    3  108    3   18
21  2.4797050 2.9914033 1.000000000    2    0  111    0   21
14  2.5857335 2.3960249 1.000000000   14    0  111    0   21
18  2.3662421 2.3040595 1.000000000   18    0  111    0   21
54  2.4238881 1.4955443 1.000000000   54    0  111    0   21
68  2.3316031 1.6106602 1.000000000   68    0  111    0   21
101 2.7721107 3.3837436 1.000000000  101    0  111    0   21
