# Seed = 722
# Site = neshotah
# Method = adapt
# Area under ROC curve = 0.844111969111969
# aggregate.tpos = 7
# aggregate.tneg = 139
# aggregate.fpos = 9
# aggregate.fneg = 7
# variables: beach_WaveHeightManual, CloudCover_Mean_2, CloudCover_Mean_6, CloudCover_Mean_12, HeightAboveSeaLevel_Min_24, CurrentDepthAveraged_Mean_120_par, CurrentSurface_Mean_24_perp, WaveHeight_Mean_6, WaveHeightDirection_Mean_12_par, Sqrt.Precipitation.over.upload.neshtah.Sum..2hr, Sqrt.Precipitation.over.upload.neshtah.Sum..6hr, beach_AlgaeNearshore2, log.beach_TurbidityBeach
# thresholding specificity: 0.945578231292517
# decision threshold: 1.8770860468043
# full results: 
    predicted    actual   threshold fold tpos tneg fpos fneg
122 0.5472346 0.0000000 0.000000000  122   14    1  147    0
118 0.6684950 0.8633229 0.006802721  118   14    2  146    0
77  0.8748881 1.0334238 0.013605442   77   14    3  145    0
57  0.9170764 0.7075702 0.020408163   57   14    5  143    0
91  0.8928296 0.9344985 0.020408163   91   14    5  143    0
46  0.9588283 0.7993405 0.034013605   46   14    7  141    0
124 0.9295652 1.2329961 0.034013605  124   14    7  141    0
75  0.9685934 0.9242793 0.047619048   75   14    8  140    0
43  1.0155134 0.7993405 0.061224490   43   14    9  139    0
42  1.0184683 0.7923917 0.074829932   42   14   10  138    0
126 1.0577726 0.6127839 0.081632653  126   14   11  137    0
138 1.1097843 0.4771213 0.088435374  138   14   12  136    0
26  1.0517681 1.1271048 0.095238095   26   14   15  133    0
66  1.1013260 1.4440448 0.095238095   66   14   15  133    0
90  1.0792837 1.4756712 0.095238095   90   14   15  133    0
72  1.1334715 0.7160033 0.108843537   72   14   17  131    0
109 1.1229979 0.0000000 0.108843537  109   14   17  131    0
160 1.0536353 2.9377184 0.114864865  160   13   17  131    1
62  1.1377181 1.7355989 0.115646259   62   13   18  130    1
37  1.0877586 2.0437551 0.122448980   37   13   20  128    1
41  1.1163700 1.1643529 0.122448980   41   13   20  128    1
56  1.1479424 1.8175654 0.129251701   56   13   24  124    1
67  1.1361670 1.1335389 0.129251701   67   13   24  124    1
70  1.1066278 1.5145478 0.129251701   70   13   24  124    1
110 1.1253088 1.4593925 0.129251701  110   13   24  124    1
29  1.1670979 0.6127839 0.142857143   29   13   26  122    1
137 1.1291128 1.7092700 0.142857143  137   13   26  122    1
63  1.1907969 1.7737864 0.156462585   63   13   28  120    1
96  1.1768358 1.5809250 0.156462585   96   13   28  120    1
52  1.2100098 0.4771213 0.163265306   52   13   29  119    1
50  1.1871315 1.0755470 0.170068027   50   13   30  118    1
108 1.2247557 1.1702617 0.204081633  108   13   31  117    1
17  1.2320567 1.6730209 0.217687075   17   13   33  115    1
87  1.2383650 1.2430380 0.217687075   87   13   33  115    1
92  1.2422502 0.9822712 0.224489796   92   13   34  114    1
45  1.2309131 1.6384893 0.231292517   45   13   35  113    1
74  1.2524851 1.2900346 0.238095238   74   13   37  111    1
98  1.2503865 1.9355073 0.238095238   98   13   37  111    1
44  1.2724457 0.7160033 0.251700680   44   13   38  110    1
15  1.2683998 1.3820170 0.265306122   15   13   39  109    1
88  1.2716452 0.9542425 0.272108844   88   13   40  108    1
3   1.2841877 1.1398791 0.278911565    3   13   44  104    1
83  1.2926545 0.9777236 0.278911565   83   13   44  104    1
85  1.2950305 0.7993405 0.278911565   85   13   44  104    1
132 1.2681403 2.2195845 0.278911565  132   13   44  104    1
123 1.2805367 1.5550944 0.299319728  123   13   45  103    1
135 1.3231172 0.6127839 0.326530612  135   13   46  102    1
95  1.3149278 1.5550944 0.340136054   95   13   47  101    1
86  1.3298010 1.0791812 0.353741497   86   13   48  100    1
9   1.3249926 1.7846173 0.360544218    9   13   51   97    1
30  1.3303893 0.7075702 0.360544218   30   13   51   97    1
94  1.3237386 1.6599162 0.360544218   94   13   51   97    1
127 1.3383873 1.0334238 0.374149660  127   13   52   96    1
76  1.3488084 0.8692317 0.380952381   76   13   53   95    1
23  1.3519526 0.0000000 0.387755102   23   13   56   92    1
73  1.3408022 1.4593925 0.387755102   73   13   56   92    1
136 1.3498854 1.0334238 0.387755102  136   13   56   92    1
51  1.3432518 2.1711412 0.401360544   51   13   57   91    1
28  1.3495520 1.4456042 0.408163265   28   13   59   89    1
78  1.3665833 0.3010300 0.408163265   78   13   59   89    1
54  1.3737948 0.4913617 0.421768707   54   13   61   87    1
101 1.3589362 1.3820170 0.421768707  101   13   61   87    1
82  1.3672676 1.5378191 0.435374150   82   13   63   85    1
149 1.3899743 0.7923917 0.435374150  149   13   63   85    1
143 1.3727774 1.0863598 0.442176871  143   13   64   84    1
89  1.3735273 2.2159018 0.448979592   89   13   66   82    1
97  1.3703779 1.4297523 0.448979592   97   13   66   82    1
117 1.3863257 1.0791812 0.455782313  117   13   67   81    1
16  1.3964123 1.6201361 0.462585034   16   13   68   80    1
120 1.3875992 1.5211381 0.469387755  120   13   70   78    1
142 1.3877046 1.5092025 0.469387755  142   13   70   78    1
71  1.3970543 1.6063814 0.482993197   71   13   71   77    1
40  1.4076642 1.5105450 0.489795918   40   13   73   75    1
105 1.4069833 1.9169800 0.489795918  105   13   73   75    1
158 1.4209367 1.5211381 0.496598639  158   13   74   74    1
21  1.4382817 1.2671717 0.510204082    2   13   76   72    1
31  1.4454670 0.0000000 0.510204082   31   13   76   72    1
5   1.4526498 1.5378191 0.564625850    5   13   78   70    1
22  1.4507414 1.8088859 0.564625850   22   13   78   70    1
59  1.4666462 1.6444386 0.571428571   59   13   80   68    1
65  1.4616783 1.3483049 0.571428571   65   13   80   68    1
13  1.4773045 1.4232459 0.578231293   13   13   83   65    1
19  1.4790085 1.3856063 0.578231293   19   13   83   65    1
131 1.4729081 1.2041200 0.578231293  131   13   83   65    1
84  1.4823907 1.9319661 0.605442177   84   13   85   63    1
106 1.5056470 0.6127839 0.605442177  106   13   85   63    1
134 1.5151372 1.6106602 0.625850340  134   13   86   62    1
39  1.5092642 1.2041200 0.632653061   39   13   89   59    1
60  1.5169345 1.4593925 0.632653061   60   13   89   59    1
144 1.5017692 0.8750613 0.632653061  144   13   89   59    1
61  1.5021285 1.7795965 0.639455782   61   13   90   58    1
157 1.5254643 1.8773713 0.646258503  157   13   91   57    1
27  1.5166330 1.9057959 0.653061224   27   13   94   54    1
79  1.5424875 0.0000000 0.653061224   79   13   94   54    1
111 1.5278234 1.5378191 0.653061224  111   13   94   54    1
18  1.5324374 2.1126050 0.659863946   18   13   95   53    1
10  1.5361983 2.2652896 0.666666667   10   13   97   51    1
115 1.5366996 1.0863598 0.666666667  115   13   97   51    1
8   1.5453307 0.6127839 0.680272109    8   13   99   49    1
125 1.5456294 1.3909351 0.680272109  125   13   99   49    1
6   1.5582397 1.9036325 0.693877551    6   13  100   48    1
58  1.5648163 1.0791812 0.700680272   58   13  101   47    1
69  1.5734031 1.3891661 0.714285714   69   13  103   45    1
153 1.5731657 1.2329961 0.714285714  153   13  103   45    1
133 1.5583782 3.2980448 0.722972973  133   12  103   45    2
25  1.5961873 1.2329961 0.727891156   25   12  104   44    2
93  1.5940634 1.1986571 0.734693878   93   12  105   43    2
211 1.5995911 1.9484130 0.741496599   21   12  106   42    2
14  1.6001583 1.1613680 0.748299320   14   12  107   41    2
24  1.5994259 1.8469553 0.755102041   24   12  109   39    2
114 1.6039031 1.5440680 0.755102041  114   12  109   39    2
49  1.6114320 1.7226339 0.761904762   49   12  112   36    2
100 1.6141828 1.2944662 0.761904762  100   12  112   36    2
152 1.6060915 1.8432328 0.761904762  152   12  112   36    2
11  1.6215986 1.8680564 0.768707483   11   12  113   35    2
20  1.6178812 2.0413927 0.775510204   20   12  114   34    2
159 1.6301357 1.6532125 0.789115646  159   12  115   33    2
151 1.7031047 0.3010300 0.802721088  151   12  116   32    2
2   1.6517858 1.6170003 0.809523810    1   12  117   31    2
107 1.6582303 0.9867717 0.816326531  107   12  118   30    2
141 1.6716885 3.2980448 0.817567568  141   11  118   30    3
64  1.6758315 0.9867717 0.829931973   64   11  119   29    3
103 1.6688507 1.4345689 0.836734694  103   11  121   27    3
145 1.6992441 1.2278867 0.836734694  145   11  121   27    3
130 1.6661644 2.6637951 0.837837838  130   10  121   27    4
68  1.7042845 1.7505084 0.843537415   68   10  122   26    4
148 1.7204246 2.0195317 0.850340136  148   10  123   25    4
161 1.7148255 1.8920946 0.857142857  161   10  124   24    4
121 1.7552447 1.7693773 0.863945578  121   10  126   22    4
156 1.7170248 2.0744507 0.863945578  156   10  126   22    4
7   1.7706289 1.0374265 0.870748299    7   10  128   20    4
33  1.7571428 1.2988531 0.870748299   33   10  128   20    4
150 1.7622175 2.8865471 0.871621622  150    9  128   20    5
119 1.7769050 0.8512583 0.877551020  119    9  129   19    5
81  1.7943517 1.5145478 0.891156463   81    9  131   17    5
128 1.7948110 1.8175654 0.891156463  128    9  131   17    5
104 1.8746128 1.1643529 0.904761905  104    9  132   16    5
32  1.8984596 2.8367670 0.905405405   32    8  132   16    6
139 1.8887641 1.9474337 0.911564626  139    8  133   15    6
53  1.9463207 1.4785665 0.918367347   53    8  135   13    6
146 1.9672622 1.2278867 0.918367347  146    8  135   13    6
48  1.9621199 2.3232521 0.925170068   48    8  136   12    6
162 2.0488433 1.3944517 0.938775510  162    8  137   11    6
36  2.0518586 2.7875313 0.939189189   36    7  137   11    7
35  2.0624365 2.0726175 0.945578231   35    7  139    9    7
47  2.1054230 1.8920946 0.945578231   47    7  139    9    7
34  2.0308482 3.1138431 0.945945946   34    6  139    9    8
140 2.1278146 1.4393327 0.952380952  140    6  140    8    8
155 2.0986726 2.9377184 0.952702703  155    5  140    8    9
99  2.0364317 2.3529539 0.959183673   99    5  142    6    9
